V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_A01_02,4107.6818,8.6616,14.7941,2.6883,0.0,11120.6098,665.7685,254.6347,100.1598,10.9925,19.3515,8.1189,49.1781,4.1178,6.787,2.1707,0.5145,1.1289,2.6111,3.9855,0.2285,4.2454,13.9733,2.2998,168.7142,24.2013,53.9734,0.1982,0.6608,10.6602,0.2566,170.4266,1.1723,23.332,1.2919,4.8312,175.2556,5.7739,8.9808,57.7294,20.7064,12.4878,1.2264,7.8861,0.0
ARG_A03,7.931,16.9421,0.038,0.0007,0.041,258.3744,0.1668,0.0189,0.3891,0.404,1.7758,1.0006,0.0353,0.0165,0.059,0.0439,0.0128,0.0203,0.0926,0.1046,0.003,0.099,0.0052,0.0088,0.0778,0.2147,3.1894,0.0214,0.373,0.7614,0.0423,57.5829,0.0919,0.052,0.0199,0.0282,0.0107,0.0645,0.2301,2.7917,2.3162,2.2723,0.4001,0.3161,0.0
ARG_B05_06,2.3742,0.0662,302.6428,2.0552,31.8886,12.0734,2.698,0.867,1.8785,4837.844,71.7214,13.1647,2.0957,14.9298,31.0939,3.8738,0.5988,1.3904,1.727,2.9233,0.2448,8.7026,1071.0649,2.0043,124.0827,16.5777,41.5649,0.1876,1.1839,8.8533,0.2207,10.4837,3.5886,19.0054,2.9184,13.3158,128.4401,3.4298,2.9337,20.7357,10.36,7.2638,1.3843,3.3832,0.0
ARG_B07_08,0.4899,0.4841,42.2831,79.4512,0.0488,16.9159,4.9237,0.0202,3.9911,40.8616,22.4505,9.799,0.4325,206.3293,350.1916,13.8075,0.2835,0.4725,0.3398,9.253,0.188,1.1008,0.1252,5.0165,323.5454,0.1797,0.0388,0.0012,0.0354,0.0354,0.0,2.9591,0.63,0.6422,0.3755,0.0258,40.5455,0.0541,0.6099,7.7356,0.2319,0.0687,0.1826,1.0185,0.0
ARG_B09,0.0,0.0,2047.85,21.0204,111.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507,0.0,1.9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7526,1.4921,0.0,0.0,0.0,0.0,0.0,0.0
ARG_C10T12,573.9185,8.0066,8.791,1.3291,3.1042,3504.6225,38.9157,6.7935,54.4301,15.72,99.4357,80.2098,14.9701,28.0024,69.3311,10.0873,3.7911,8.1828,8.7683,26.4555,0.997,5.3643,4.9491,12.65,67.8634,43.8837,24.7051,0.2694,45.304,10.5794,0.3745,1914.6444,11.2832,20.3442,11.7555,23.4385,20.682,23.1582,43.9771,260.4937,131.0806,129.055,185.3926,50.4993,0.0
ARG_C13T15,75.0337,3.3744,18.7992,0.3247,20.6892,134.6032,1592.0761,7.1088,41.5521,8.1423,16.1072,36.3774,80.829,9.7314,17.5544,8.8213,4.2104,5.9968,12.4552,46.4298,1.516,39.1242,5.2077,8.3246,44.0887,55.358,42.8207,0.2077,13.905,37.6397,2.4886,28.2232,8.7182,18.8745,4.0748,13.0158,28.7935,9.52,10.6007,91.7744,16.2282,32.6529,32.7285,35.4593,0.0
ARG_C16,120.9275,0.3972,0.5984,0.0654,0.172,64.3891,6.5095,192.9542,8.5847,2.1338,4.1385,3.1572,7.2377,8.0548,7.3402,9.4276,1.8716,6.1907,4.1207,5.806,0.4085,134.1774,0.3623,21.1415,438.6835,152.9904,1.4992,0.0189,0.4542,14.065,0.0435,2.2451,7.0977,1.7238,0.7954,1.5279,54.9594,4.2428,2.3547,7.7517,1.0651,0.9173,9.551,3.7569,0.0
ARG_C17_18,19.7413,6.8174,5.0753,7.6199,4.672,461.6469,40.7204,9.5499,1076.2008,5.4117,59.967,80.2808,38.6224,51.2782,13.2503,14.7687,10.7318,20.2678,11.9761,13.0504,1.3136,23.0406,6.4857,6.1819,27.1452,133.9658,38.8167,0.5002,9.87,8.8082,7.9063,59.1174,319.7911,29.1167,51.8686,131.2995,14.2082,118.9934,27.8055,182.6736,83.3284,32.1273,36.6455,54.0428,0.0
ARG_C19,491.1382,20.6989,12.0147,13.2832,23.8674,127.8559,43.3003,18.1749,47.746,312.1179,235.1893,48.9397,161.2812,48.0392,94.038,19.2513,5.9828,21.4041,12.3266,21.4924,2.095,16.2448,41.127,26.286,104.3856,111.7945,799.1724,3.5331,178.6236,131.8819,2.2048,14.876,5.235,8.7478,5.6014,21.2292,35.4923,14.5873,20.8706,127.5217,13.7889,19.8192,12.6403,14.0921,0.0
ARG_C20,433.1206,2.7913,17.4595,7.35,16.6558,152.7285,136.182,18.8941,146.9888,132.0686,643.9695,151.4479,579.2379,41.2,33.4752,32.2891,24.6099,58.9027,21.2563,50.1542,3.9443,40.0568,2.8824,14.7361,122.5941,42.8077,51.7336,0.9281,8.5253,9.8003,0.4813,23.4269,12.6301,11.9477,4.076,10.8532,119.6387,15.7992,12.9413,27.1717,8.3879,48.3918,25.0192,45.7758,0.0
ARG_C21,220.1519,1.3802,5.9923,0.9372,2.3678,254.6181,32.2553,11.3765,25.486,22.1897,64.6258,1985.6982,35.052,11.3834,23.5558,12.6663,8.8677,12.5421,16.3341,29.4416,1.1749,9.1528,5.5282,3.0178,66.6738,48.5302,15.5482,0.1876,3.5833,5.9299,0.3858,21.2716,10.8976,33.592,8.9327,22.2,25.5444,22.9652,4.4918,27.1923,27.1542,768.5448,21.7572,125.4022,0.0
ARG_C22,199.4146,2.2201,18.4534,1.1321,63.6007,581.6015,114.3048,11.9869,145.2281,21.2644,297.8565,109.0034,171.4275,24.0042,13.9752,19.6039,25.5969,63.9049,74.4658,189.6254,10.7341,72.3489,3.1192,11.1527,153.7741,121.631,353.1604,0.4331,30.0007,116.2226,3.1906,62.3184,11.4436,6.0278,10.9425,9.27,112.5829,16.546,12.8477,64.3416,6.9856,21.5468,21.1695,19.2619,0.0
ARG_C23,19.4963,0.0967,33.7626,0.2919,9.9294,220.0728,2.5243,7.5636,3.151,5.4772,31.1322,28.7751,11.9738,217.5091,43.3389,15.3644,14.7244,23.9562,8.388,45.8041,2.0838,5.8403,4.2828,4.9528,1558.8463,33.553,16.0793,0.6731,32.9181,1.5498,0.053,8.5733,3.9529,2.2302,1.2958,4.2763,300.7603,3.3004,7.027,10.0878,8.8564,12.5154,7.5911,4.4576,0.0
ARG_C24,33.1623,3.5085,206.414,13.2284,0.3594,85.9872,9.6112,15.2291,14.676,12.8768,30.6368,14.2473,48.6153,36.4684,1609.9983,982.6356,44.1795,481.2137,555.411,663.0551,29.479,142.3796,2.49,5.0191,1343.2246,11.3835,7.7339,0.0417,1.3234,2.4497,0.2637,2.3695,2.5021,2.735,0.949,1.7916,110.4068,2.2635,5.467,26.3391,1.3403,3.1435,5.0548,2.5612,0.0
ARG_C25,26.0548,7.0141,82.5409,1.7568,3.3741,159.5418,18.7993,23.5754,20.0619,6.1384,40.2949,21.4508,28.0443,15.3074,187.77,258.1016,18.1251,199.6528,307.3219,493.3553,11.5059,65.2949,8.6985,7.6877,656.74,22.5608,23.9326,0.2711,2.7159,9.2752,0.5716,7.2799,4.7172,8.5386,3.8798,6.5745,202.9899,6.1763,12.2127,31.4158,4.6156,5.5502,9.9139,4.2824,0.0
ARG_C26,6.8602,0.1613,6.7749,0.1437,2.8718,11.1142,2.5691,0.9969,10.9049,9.6566,3.5548,4.4301,1.8856,1.1575,4.6369,3.0919,103.6968,22.3562,12.4853,17.3126,0.2699,5.9512,7.47,0.7847,45.8467,9.5367,3.7084,0.0291,0.9659,2.1306,0.0701,2.9737,20.8837,40.2922,9.7294,3.7378,14.9513,7.5575,5.6848,20.1841,5.2192,40.8202,2.0801,8.7407,0.0
ARG_C27,17.6676,1.4928,11.6984,0.5411,5.2183,38.6114,8.3349,3.6664,8.6163,3.8795,6.5642,6.967,5.0853,6.6035,38.7838,13.2141,38.6759,163.5497,90.1507,113.503,2.5278,11.0084,73.7721,3.4821,259.6585,51.9186,40.158,0.1834,1.2967,20.0226,0.2608,20.5459,7.2188,79.4531,11.6649,5.9982,374.5487,7.0901,11.3093,21.9472,6.7364,8.9775,5.8856,4.7577,0.0
ARG_C28,40.4617,5.3895,28.9439,1.0752,7.0409,49.6551,16.0002,6.8217,17.4246,4.7218,7.8433,10.2268,10.7812,9.8825,35.6978,24.6056,5.5419,46.5309,195.7022,336.6824,3.7301,11.9504,12.5938,7.4783,283.3143,20.8554,47.9943,1.3034,1.4274,10.8391,0.1506,8.6886,3.1879,6.8198,3.8099,4.7902,59.437,4.8771,17.7642,18.09,2.8312,5.0696,6.062,2.3713,0.0
ARG_C29,54.5054,9.7139,34.8865,9.7488,20.3162,117.7168,29.1129,12.7026,33.8579,13.5883,19.2789,26.3619,18.975,18.1779,52.4353,23.8717,5.1726,26.125,106.9421,822.8717,7.0298,12.3966,19.9027,23.6034,154.0103,81.3428,341.8202,1.3148,12.5928,67.5133,1.5607,16.0679,8.5565,26.3735,11.5985,35.0955,47.3434,12.7308,15.0948,125.0259,7.6424,22.8167,13.486,6.3712,0.0
ARG_C30,5.112,0.2671,1.7789,0.115,0.585,8.6702,1.78,0.7601,1.6794,1.0254,1.7509,1.9036,1.2597,0.7874,2.1587,1.807,1.7035,3.0495,7.5217,15.9107,17.5385,1.1361,0.7689,0.4676,15.6053,4.1385,9.6517,0.2428,1.2223,3.808,0.0375,1.661,1.2701,2.4443,0.7674,0.7224,3.8325,0.6621,0.8359,2.7225,0.5089,1.2188,1.5147,0.5028,0.0
ARG_C31T33,15.472,0.6384,91.7641,0.533,2.4526,30.5769,35.5753,4.5615,20.8616,3.5197,8.3062,8.5024,6.509,3.457,24.593,7.0177,10.2982,15.1936,21.9038,170.5334,1.0444,22.3206,7.49,10.4144,146.9053,30.7125,21.1721,0.1446,6.7929,7.302,0.7982,6.8261,13.0593,14.096,4.7891,19.2253,30.8879,14.5431,4.062,44.9859,13.3579,16.0148,6.7142,4.5966,0.0
