V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_A01_02,944.7091,9.3614,0.7282,0.0602,0.0385,2711.522,255.0223,199.0758,82.6017,7.3499,27.0639,7.238,20.1241,5.3239,2.9728,2.0074,1.6097,1.6902,1.7868,2.0165,0.6623,24.387,3.7668,1.2828,80.9903,33.3597,4.991,1.5523,1.5998,1.9353,0.3511,127.707,2.7102,3.4205,0.5287,1.903,4.1787,3.3011,2.9283,18.9046,6.0687,18.3296,4.1826,12.031,0
BGD_A03,8.855,152.1611,0.1642,0.0094,0.0094,309.7395,7.9731,0.4863,0.7523,1.5517,2.1708,0.7698,0.5238,0.721,0.5262,0.3181,0.3906,0.3803,0.3832,0.4101,0.13,1.8329,0.3514,0.1676,5.4328,4.4397,0.966,0.7357,0.4561,0.3494,0.0591,73.8143,0.6401,0.6241,0.107,0.253,0.3373,0.5284,0.345,1.6776,1.4102,4.3267,0.8436,1.8402,0
BGD_B05_06,0.6354,0.1351,2.3282,0.0255,0.0353,1.4951,1.9783,0.0891,0.6237,630.9999,6.5497,0.144,0.3523,2.978,3.0688,0.2868,0.1171,0.2025,0.2412,0.1864,0.0709,0.2903,20.7283,0.0945,4.9492,0.6509,1.1989,0.1755,0.2762,0.1641,0.0458,0.265,0.0739,0.1282,0.0191,0.0644,0.2117,0.1348,0.0805,0.3939,0.1745,0.3268,0.0677,0.3178,0
BGD_B07_08,0.2266,0.0383,0.0346,0.0564,0.0056,0.2947,0.1508,0.0094,0.1627,0.7976,2.8003,0.0561,0.0569,10.7266,2.9606,0.0812,0.0215,0.0591,0.054,0.0199,0.0063,0.207,0.0989,0.0532,15.2391,0.0436,0.0433,0.0032,0.0024,0.0254,0.0009,0.0298,0.0047,0.0054,0.001,0.0021,0.0331,0.0105,0.006,0.0827,0.0067,0.0162,0.009,0.0341,0
BGD_B09,0.0702,0.0619,1.1395,0.025,0.0335,0.0617,0.0392,0.0048,0.0698,4.2895,0.2427,0.0089,0.0174,0.4541,0.1616,0.0391,0.0023,0.0028,0.0058,0.0041,0.0011,0.0046,0.5379,0.0057,3.408,0.0156,0.0877,0.0066,0.0039,0.0284,0.0005,0.0081,0.0022,0.0033,0.0008,0.0024,0.0366,0.0069,0.0056,0.017,0.0037,0.0099,0.0043,0.0107,0
BGD_C10T12,274.1879,20.8137,0.2203,0.0227,0.0136,907.4688,77.5646,0.6632,5.469,6.5571,33.5782,8.9881,4.5468,2.8645,2.2364,1.245,1.3092,1.3151,1.1918,1.0619,0.3248,3.1579,1.0777,0.9844,14.2967,20.4974,2.6605,2.2865,2.1901,1.6447,0.246,402.8992,2.3523,2.4505,0.4987,1.2787,1.3623,3.3298,2.3568,17.2449,12.7646,38.8858,5.3653,12.6499,0
BGD_C13T15,6.0949,2.0226,0.4559,0.0326,0.0269,16.5471,1754.6068,1.6407,5.2824,6.0075,6.855,1.5753,6.7481,4.5733,3.3989,3.0272,2.8667,3.1614,3.2557,6.2837,1.2216,15.1589,1.4457,1.0261,34.7398,10.0878,3.6704,0.6808,1.3235,0.9446,0.4187,4.9741,2.1253,2.512,0.3424,0.9067,0.9508,1.8389,1.4979,7.8999,1.717,7.4197,1.9876,10.1434,0
BGD_C16,4.3515,0.9406,0.139,0.0289,0.0131,6.9964,9.3022,75.8674,13.2115,0.9566,3.3268,0.4204,2.5338,7.4709,2.1962,2.9263,1.1858,2.2524,1.8456,4.042,1.8516,87.288,0.9957,0.4021,306.4819,3.9852,1.1348,0.1275,0.1306,0.8529,0.0858,1.2316,0.8162,0.4952,0.0913,0.1774,3.1944,0.9606,0.6655,1.2943,0.8327,0.7816,0.6204,5.9088,0
BGD_C17_18,7.5103,1.374,0.2865,0.0626,0.0166,101.4301,108.4324,5.8093,350.5191,6.6719,27.8366,10.5975,14.4787,24.4005,4.9037,4.8505,7.5654,9.0644,4.9519,5.0598,1.033,18.0238,2.1835,1.9228,36.519,31.4995,4.8974,0.8125,1.2412,3.139,2.5993,9.8387,100.7236,10.2686,3.0886,11.6083,3.705,17.8802,7.1489,21.481,14.4556,13.4372,5.4898,20.2467,0
BGD_C19,75.1043,23.9752,4.6225,0.6338,0.2936,32.7787,70.5429,4.5404,12.2486,615.7184,117.1998,4.7617,17.0512,46.646,38.7902,7.9578,4.7052,8.2639,6.1335,7.1013,2.5707,16.2942,39.6427,8.4997,224.2582,40.0616,217.4615,35.9763,69.0119,13.3421,3.9464,10.5608,3.9984,7.7736,1.1897,4.1958,4.573,6.8309,6.9037,28.3822,7.8483,15.4405,3.3838,20.6648,0
