V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_A01_02,1189.2845,0.8848,0.8468,0.3137,0.2451,1971.3298,52.2412,55.809,13.2608,1.7925,16.6962,4.2053,10.8701,1.7773,1.257,0.8181,0.8371,0.8999,1.6297,0.9911,0.2442,6.386,3.6675,0.7166,12.598,25.5292,2.2099,2.881,1.3778,1.0,0.1374,50.3403,1.1738,1.5476,0.3941,1.5988,1.5477,2.3748,2.1823,10.8884,3.8386,11.6747,3.0058,5.09,0
BLR_A03,0.6781,1.0772,0.01,0.0033,0.0029,15.0881,0.0588,0.0206,0.021,0.0207,0.087,0.0312,0.0146,0.0153,0.0116,0.0072,0.0104,0.0106,0.0172,0.0099,0.0025,0.0651,0.021,0.0044,0.0579,0.2099,0.0211,0.0746,0.0196,0.0091,0.0011,1.9418,0.0153,0.0144,0.0043,0.0101,0.0074,0.0204,0.0126,0.0609,0.0591,0.1786,0.0352,0.0524,0
BLR_B05_06,0.6712,0.0079,2.0783,0.193,0.2336,0.9083,0.2691,0.0916,0.3922,117.6574,4.2745,0.0851,0.1988,1.5907,2.5148,0.1362,0.0581,0.1033,0.1951,0.077,0.0258,0.1331,24.3103,0.0783,1.1543,0.3925,0.333,0.1585,0.1094,0.076,0.0138,0.0953,0.0286,0.0525,0.0127,0.0484,0.0889,0.0916,0.0464,0.2212,0.1094,0.1761,0.0449,0.1145,0
BLR_B07_08,2.0548,0.0269,0.2524,2.6316,0.228,1.4298,0.158,0.0799,0.6818,1.2408,14.2141,0.2605,0.2343,33.3879,9.5228,0.2862,0.0913,0.2636,0.4327,0.0805,0.0208,0.8706,0.8277,0.2613,23.3902,0.2539,0.1695,0.0348,0.0165,0.1107,0.0033,0.0848,0.0157,0.0202,0.0059,0.0148,0.0977,0.0604,0.0333,0.3596,0.0332,0.0684,0.0492,0.113,0
BLR_B09,0.9877,0.0694,11.5766,1.7592,2.1423,0.3911,0.0329,0.0565,0.4549,10.3383,1.932,0.0624,0.1167,2.1802,0.9391,0.2218,0.0075,0.0112,0.0578,0.0155,0.0034,0.0178,6.5902,0.1199,8.1205,0.092,0.4791,0.1155,0.017,0.1753,0.0015,0.0279,0.0067,0.0089,0.0045,0.0142,0.1486,0.0453,0.0421,0.0996,0.0215,0.0591,0.0325,0.0451,0
BLR_C10T12,644.2544,3.8713,0.337,0.2345,0.1145,1161.8103,21.6803,0.9688,5.2539,2.2854,38.8173,10.4039,2.8805,1.7964,1.6668,0.9609,1.1703,1.172,2.1218,0.8103,0.2138,2.9553,2.0348,0.9124,5.0433,29.5006,2.3699,9.2401,4.6172,1.7904,0.1832,305.1994,2.0834,2.1358,0.716,2.0835,0.9709,4.719,3.3575,19.3528,15.3338,44.0975,7.969,11.0316,0
BLR_C13T15,7.9252,0.4884,0.7949,0.3028,0.2118,8.5043,527.9546,1.9774,4.9115,1.1852,5.0094,1.2208,8.4188,2.706,1.7726,1.4558,1.9078,2.1639,3.7803,6.7408,0.8189,25.1962,1.8294,1.3383,10.7812,12.9625,2.9145,2.4077,1.7285,0.9676,0.412,4.2321,1.5279,1.6484,0.2682,1.0288,0.559,2.4757,2.4447,12.9269,2.4785,12.3037,3.9176,12.7298,0
BLR_C16,4.4523,0.0759,0.1305,0.1525,0.0636,3.9213,1.2309,73.4705,6.4051,0.2494,1.982,0.2531,1.4178,2.6969,0.9939,1.2617,0.6024,1.214,1.8597,1.8343,0.7562,41.4024,0.9812,0.208,51.7613,2.6235,0.5218,0.2433,0.145,0.422,0.0325,0.4608,0.3436,0.2331,0.0713,0.1734,0.9392,0.6328,0.4381,0.7103,0.4713,0.4871,0.4004,2.1151,0
BLR_C17_18,13.0529,0.1895,0.3988,0.5724,0.1325,88.2785,16.4331,9.4022,282.5221,2.129,27.3133,10.1024,12.9397,14.7364,3.6479,3.5431,6.1827,8.1115,8.3654,3.84,0.6757,14.6847,3.6521,1.7169,10.7933,36.4574,3.751,2.454,1.9561,2.789,1.6656,5.5839,63.6026,7.7862,3.7833,15.325,2.2345,20.0391,8.5145,20.2241,14.3399,12.1775,6.6884,14.7085,0
BLR_C19,71.5573,2.0869,5.4342,4.3387,2.0556,25.0837,12.5838,5.451,7.123,237.9209,73.7362,3.4689,10.2025,21.1876,25.3532,3.5613,4.1789,5.6815,6.7978,4.4164,1.0535,10.339,34.5824,4.9813,39.2724,25.3313,104.8124,92.4099,74.8763,6.5597,1.2096,5.2184,1.9073,3.9792,1.0063,3.9246,1.8192,5.3814,4.3727,13.5005,4.2507,8.1449,2.2861,8.5742,0
