V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_A01_02,13.8447,0.0,14.3478,0.4115,0.0572,0.1537,0.0018,0.8833,0.0155,0.19,0.0,0.0002,0.0065,0.0005,0.0,0.8566,0.0118,0.0,0.5923,0,0.0878,1.103,0.0001,0.0969,0.1211,5.8915,0.0402,0.0068,0.0281,0.0,0.0,5.4147,0.0007,0.0141,0.0017,0.0609,0.0088,5.1365,0.1524,14.3459,4.8975,7.5395,0.0016,0.0343,0.0
BRN_A03,0.0322,0.0096,0.0308,0.0088,0.001,0.2052,0.0011,0.0,0.0004,0.005,0.0,0.0,0.0002,0.0,0.0,0.0227,0.0,0.0002,0.0156,0,0.0039,0.028,0.0008,0.0005,0.0,0.0127,0.0011,0.0002,0.0007,0.0,0.0,0.4621,0.0,0.0004,0.0,0.0016,0.0002,0.0894,0.0025,0.8549,0.1296,0.2072,0.0,0.0004,0.0
BRN_B05_06,0.0208,0.0306,1039.9051,84.5561,7.3888,0.1339,0.0006,0.0003,0.0,702.5163,0.9704,0.2235,0.1161,0.0005,0.0003,0.0,0.008,0.005,0.7746,0,0.0961,0.961,9.7683,0.0312,1.5236,7.1034,0.2117,0.0,0.0004,0.0978,0.0165,0.0534,0.0018,0.0474,0.0119,0.0,0.0049,0.3406,0.2364,0.0,0.0,1.0635,0.0129,0.0619,0.0
BRN_B07_08,5.8382,0.0,76.1328,251.6325,25.8701,4.3731,0.5356,0.0258,3.4409,0.0003,0.5841,0.5876,0.1403,50.0881,12.5237,4.704,0.0,7.8097,0.8924,0,8.2424,0.9835,3.4666,5.9521,388.5585,13.9348,21.3735,44.3969,0.0116,0.0226,0.1417,19.4361,5.9286,122.8656,31.543,152.2816,0.478,74.1344,3.7915,32.682,0.3298,19.1003,0.2841,0.4325,0.0
BRN_B09,0.7859,0.0003,12.1348,32.0813,3.3348,0.5833,0.0256,0.0045,0.4769,6.5196,0.0128,0.0049,0.0025,0.0002,0.0,0.6447,0.0006,0.0001,0.0191,0,0.0012,0.0564,0.1065,0.0021,5.3548,2.0046,2.9646,0.0001,0.0012,0.0067,0.0005,0.1626,0.0001,0.0008,0.0007,0.0686,0.066,0.471,0.2929,4.8345,0.0471,0.0767,0.0319,0.0607,0.0
BRN_C10T12,0.6067,0.043,2.7032,0.6379,0.0,1.8057,0.0002,0.0007,0.0478,1.1263,0.0004,0.001,0.0183,0.0,0.0,0.0048,0.0,0.0032,0.1219,0,0.0186,0.1868,1.1315,0.0023,0.0519,6.1934,0.0011,0.0915,0.0,0.0,0.0,3.2292,0.0017,0.0235,0.0002,0.4215,0.3654,0.4212,0.0951,7.5422,2.7577,0.2085,0.009,0.0115,0.0
BRN_C13T15,0.0054,0.0,22.5919,0.144,0.314,0.0007,20.7722,0.0002,0.5188,0.4698,0.0001,0.0002,0.0006,0.0001,0.0,0.125,0.0354,0.0001,0.0821,0,0.0116,0.6831,0.155,0.0025,0.0256,1.224,0.0049,0.0316,0.0986,0.0,0.0566,0.0251,0.0001,0.0061,0.001,0.0093,0.2527,0.3545,0.4098,9.8701,0.8804,0.3586,0.0003,0.0034,0.0
BRN_C16,0.0041,0.0,0.0446,0.4487,0.0375,0.0007,0.0,0.0183,0.078,0.1656,0.0,0.0,0.0019,0.0001,0.0,0.0,0.0,0.0003,0.0105,0,0.1054,1.038,0.0465,0.0036,2.7704,0.0303,0.0019,0.0014,0.0212,0.0022,0.0,0.0008,0.0039,0.0,0.0032,0.1782,0.0094,0.2322,0.0421,0.2589,0.2562,0.0906,0.0041,0.0084,0.0
BRN_C17_18,0.0275,0.0006,1.6167,1.3321,0.0313,0.9071,0.0064,0.0055,0.2451,0.684,0.0002,0.0001,0.0054,0.0001,0.0,0.0052,0.0094,0.0,0.0311,0,0.001,0.013,0.0197,0.0105,0.0747,4.2305,0.0039,0.0042,0.0134,0.0047,0.0005,0.0171,0.0481,0.0009,0.0105,0.1013,0.0254,1.4922,0.0919,7.4169,0.2412,0.0211,0.0118,0.0106,0.0
BRN_C19,0.1308,0.4153,453.5672,200.1611,5.3953,0.1728,0.0092,0.0989,0.2564,161.8686,1.1202,0.1414,0.6618,0.0001,0.0,0.08,0.1308,0.0,3.3806,0,0.8639,0.106,9.5416,0.7114,74.8373,87.2886,21.3961,49.4748,200.87,0.3201,0.0546,0.2529,0.2513,0.033,0.0018,0.0634,1.7541,7.4903,13.6227,353.8994,0.1527,0.0536,0.2325,0.1753,0.0
BRN_C20,0.0116,0.0124,2.3602,0.3728,0.0262,0.0952,0.0,0.0005,0.01,4.8861,0.2084,0.0186,0.1448,0.0,0.0,0.0055,0.0945,0.0,0.0021,0,0.0003,0.1328,0.0,0.2077,0.2093,0.3396,0.0126,0.0186,0.0623,0.0,0.0015,0.0803,0.0017,0.0,0.0002,0.0157,0.1597,0.209,0.0774,5.2637,0.0346,4.8619,0.0029,0.0948,0.0
BRN_C21,0.0059,0.0063,1.1986,0.012,0.0133,0.049,0.0,0.0,0.0008,0.4322,0.0,0.0459,0.0,0.0,0.0,0.0028,0.048,0.0,0.0001,0,0.0,0.0675,0.0,0.1055,0.0115,0.0739,0.0013,0.0017,0.0075,0.0,0.0008,0.0408,0.0007,0.0,0.0001,0.0017,0.0812,0.104,0.0306,2.784,0.0091,2.4704,0.0014,0.0483,0.0
BRN_C22,0.0077,0.0082,1.5613,0.0897,0.0173,0.0568,0.0,0.0009,0.0011,0.5082,0.0,0.0,0.0363,0.0001,0.0,0.0037,0.0625,0.0,0.0157,0,0.0044,0.0878,0.0,0.1374,0.2933,0.3652,0.0005,0.0008,0.0067,0.0,0.001,0.0531,0.0011,0.0177,0.0001,0.0969,0.1057,0.1395,0.082,3.5371,0.0635,3.2172,0.0014,0.0631,0.0
BRN_C23,0.1457,0.0,0.7399,0.6394,0.0579,0.0549,0.033,0.006,0.0258,0.1425,0.0004,0.0002,0.3263,0.0587,0.0,0.2795,0.3151,0.0,0.1006,0,0.0282,0.3404,0.0001,0.0489,1.3856,2.023,0.002,0.0055,0.0428,0.0001,0.0001,0.0812,0.0017,0.251,0.0017,0.6204,0.007,0.0771,0.3323,20.7864,0.0262,2.787,0.0039,0.0372,0.0
BRN_C24,0.0027,0.0,0.1283,0.5453,1.0137,0.0042,0.0,0.0071,0.0156,0.0,0.0,0.0,0.0013,0.0007,0.0,0.4658,0.079,0.0006,0.0086,0,0.0193,0.0296,0.0,0.0561,0.8843,0.6555,0.0004,0.001,0.0126,0.0,0.0,0.0027,0.0007,0.0116,0.0002,0.0228,0.0035,0.0091,0.0048,0.1266,0.0242,0.057,0.0004,0.0009,0.0
BRN_C25,0.0214,0.0,5.744,1.7575,1.3229,0.5827,0.0007,0.0231,0.0615,0.0372,0.0001,0.0001,0.0053,0.0005,0.0,0.2665,0.0342,0.0,0.0302,0,0.017,0.0313,0.0001,0.0129,1.6457,8.3343,0.0016,0.0037,0.0498,0.0,0.0,0.0062,0.0028,0.0412,0.0015,0.0861,0.0136,0.41,0.0321,3.3494,0.0359,0.2196,0.0002,0.0007,0.0
BRN_C26,0.0159,0.0,0.6738,0.1674,0.0414,0.0299,0.0202,0.0013,0.0076,0.0494,0.0,0.0001,0.001,0.0002,0.0,0.0046,0.0069,0.0001,0.0043,0,0.0007,0.0085,0.0016,0.0021,0.0352,0.1289,0.0005,0.001,0.0033,0.0,0.0003,0.0135,0.0003,0.025,0.0005,0.0082,0.0035,0.0228,0.0032,0.3607,0.018,0.0597,0.0001,0.0005,0.0
BRN_C27,0.0001,0.0,1.252,1.1034,0.0075,0.0075,0.0,0.0001,0.0551,0.0,0.0,0.0001,0.0046,0.0,0.0,0.0005,0.0021,0.0048,0.0294,0,0.0004,0.0003,0.0068,0.0008,0.0355,0.1204,0.0015,0.0031,0.0412,0.0,0.0,0.0002,0.0028,0.0361,0.0011,0.0792,0.0105,0.0021,0.0084,0.0644,1.5137,0.2303,0.0,0.0,0.0
