V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_A01_02,1572.2372,1.9723,0.1463,0.5488,0.0045,3423.1596,16.9142,556.8789,269.7227,0.1549,4.1365,0.7529,33.4779,0.4352,0.2824,0.0891,0.0143,0.1428,0.1352,0.3109,0.0794,15.6263,27.2769,0.0082,52.0189,3.5094,0.9867,9.3708,0.2449,6.035,0.0119,112.6613,1.3113,0.0261,0.8899,0.6459,0.7986,8.7491,21.7906,10.6418,1.7987,5.1082,8.0249,22.9655,0
CHL_A03,4.0339,170.4756,0.003,0.166,0.0003,1288.9274,0.0917,0.0248,0.0844,0.0471,0.9539,24.7341,0.1128,0.0345,0.0238,0.0203,0.0003,0.0038,0.0107,0.0052,0.0015,0.1293,0.0068,0.0025,0.1151,0.6882,0.0447,5.3524,0.019,0.0258,0.0016,28.089,0.0119,0.0549,0.0985,0.1576,0.0407,0.0924,0.1104,0.5747,0.17,0.455,0.4796,1.6214,0
CHL_B05_06,0.1035,0.0194,0.9881,6.5574,0.1807,3.1685,0.1399,0.0585,0.4391,196.5336,3.501,0.4415,0.1085,3.7963,16.0927,0.2016,0.0037,0.0846,0.1535,0.0528,0.0181,0.0516,20.1906,0.0357,5.1332,1.663,0.5851,0.0159,0.0104,0.1015,0.0589,0.1885,0.1168,0.2044,0.3287,0.2954,0.3761,2.4935,0.8854,0.1472,0.0536,0.152,0.0986,0.1086,0
CHL_B07_08,80.8786,1.8768,22.6601,5050.4799,2.9493,112.8569,10.2002,19.9979,32.1774,50.1713,265.9453,7.2633,129.4734,247.8341,912.6357,521.6168,3.3852,83.3704,143.0253,33.4288,13.4425,148.1986,8.4959,1.6458,739.565,91.1296,8.6981,2.5224,0.9426,5.7559,0.9585,7.8211,10.9139,10.1382,13.6622,32.9619,19.6763,226.6352,42.6966,12.0248,9.633,21.1762,10.396,18.1459,0
CHL_B09,0.694,0.0047,1.3577,0.9521,0.2402,0.3416,0.035,0.0223,0.1078,0.0325,2.2668,0.0065,0.1458,4.6445,1.1955,0.047,0.0002,0.003,0.0476,0.0066,0.0034,0.0441,0.0006,0.0014,6.8781,0.0334,0.0096,0.0015,0.0004,0.0028,0.0003,0.0448,0.0041,0.0016,0.0079,0.0053,0.006,0.0445,0.0911,0.0124,0.0094,0.0368,0.0417,0.0196,0
CHL_C10T12,736.8555,575.8962,0.8761,20.7885,0.0688,1939.3662,17.5372,4.0871,11.9387,7.0633,56.0285,12.344,7.3284,8.6709,5.7898,3.5614,0.0519,0.9414,2.1137,0.9792,0.4171,3.9733,6.0533,0.2393,33.1361,122.9921,8.898,59.6977,4.1118,3.0902,0.2598,826.917,3.0371,3.8885,4.5853,14.258,12.3783,17.5969,19.3645,31.785,12.5073,24.5004,13.245,39.2374,0
CHL_C13T15,6.8679,4.8267,0.1182,9.9622,0.0259,16.9975,72.2341,0.9264,8.7382,1.3013,6.0976,1.3134,6.908,2.0257,1.4513,1.3539,0.0319,0.5133,1.2016,0.3617,0.2255,9.2638,1.2913,0.1921,42.5248,25.5431,4.2292,4.6844,1.0862,0.8548,0.1208,4.806,2.3068,0.6411,0.8782,7.4009,1.5774,5.5915,5.1385,6.2876,1.4983,3.5787,2.0635,3.9124,0
CHL_C16,14.142,1.5399,0.2525,5.8551,0.014,27.8851,0.9113,161.5234,40.3009,0.8736,2.7141,0.339,0.9635,5.0922,0.8545,1.2765,0.0179,0.3215,0.4565,0.5106,0.2453,19.3372,8.213,0.1945,245.5139,17.5011,1.0607,0.4027,0.1711,0.6434,0.0591,0.9954,1.1086,0.6567,0.5474,2.452,1.2124,2.0623,2.6038,2.2255,0.7098,0.9342,0.3351,2.5146,0
CHL_C17_18,24.9875,6.1295,0.1673,37.5474,0.0763,264.4354,9.0789,67.0892,580.1954,10.6625,78.4186,16.1308,18.3542,30.8882,3.719,5.3321,0.197,3.61,5.2969,0.909,0.839,10.9636,62.1994,1.3742,111.3953,325.9008,15.5524,5.3158,3.2809,36.1477,2.9601,18.3166,148.169,51.9422,8.9811,95.3106,30.0805,186.7444,85.0223,38.3419,30.9446,14.9235,6.2685,33.2516,0
CHL_C19,239.5649,79.0185,3.1798,211.5125,1.1178,112.7625,4.6639,10.8994,37.4384,154.6605,79.4094,2.3424,10.1238,63.0171,35.7378,9.8953,0.1486,3.587,5.727,2.3812,0.9745,10.1246,144.7184,2.5672,190.8671,154.1449,1146.3721,415.362,179.2713,13.6932,0.9371,26.0865,2.4141,2.7285,1.6796,6.4548,6.2468,52.9311,83.6091,44.3833,10.51,37.6062,4.2293,18.9188,0
