V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_A01_02,120.2838,0.0021,0.0007,0.0039,0.0,348.3125,0.021,10.8396,0.0222,0.0004,2.4336,0.1355,0.0662,0.3203,0.0039,0.0193,0.0007,0.0023,0.0035,0.0109,0.0189,0.9386,0.0106,0.0117,11.3715,0.2815,0.0,0.117,0.0056,0.1371,0.0073,36.627,0.8407,0.0832,0.009,0.0809,0.648,2.4797,0.1356,5.7597,0.0218,1.0889,0.4175,0.1235,0.0
CYP_A03,0.0,2.5195,0.0,0.0,0.0,0.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7798,0.0637,0.0328,0.0,0.0,0.0,0.0,0.0,1.2844,0.0011,0.266,0.1364,0.048,0.0
CYP_B05_06,0.0049,0.0,0.0092,0.0205,0.0001,0.0093,0.0,0.0,0.0,1.0158,0.002,0.0017,0.0,4.0128,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1342,0.0,7.2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.0,0.0,0.0486,0.0,0.0,0.0,0.0,0.0
CYP_B07_08,0.0218,0.0,0.0077,0.1002,0.0004,0.0209,0.0,0.0,0.0,0.2929,0.0047,0.0039,0.0,15.7607,4.5336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772,0.0,0.0,0.2147,0.0,0.0,0.0,0.0,0.0
CYP_B09,0.002,0.001,0.0114,0.0214,0.0001,0.0012,0.0,0.0003,0.0012,0.0018,0.0014,0.0003,0.0002,0.0446,0.0009,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0748,0.0011,0.1616,0.001,0.0018,0.0078,0.0,0.0241,0.0,0.0004,0.0,0.0,0.0002,0.0001,0.0028,0.0003,0.0001,0.0012,0.0002,0.0007,0.0006,0.0002,0.0
CYP_C10T12,71.0373,0.3505,0.0015,0.0074,0.0,163.7342,0.295,0.0113,0.0596,0.0009,0.1489,0.0413,0.0145,0.0358,0.0033,0.0253,0.0013,0.0008,0.0026,0.0133,0.0234,1.3438,0.0103,0.033,1.2049,12.3342,0.4975,8.9669,0.0275,0.1096,0.0006,248.0012,1.5953,1.7822,0.4833,0.4723,1.3264,0.7294,0.0892,5.2217,2.7443,10.0966,7.4653,1.5585,0.0
CYP_C13T15,1.1649,0.0105,0.005,0.0325,0.0,0.7008,6.9826,0.35,0.6431,0.0052,0.0086,0.0271,0.0364,0.1208,0.0034,0.2403,0.0062,0.0128,0.0116,0.0548,0.0003,1.1811,0.2482,0.0669,1.613,3.3955,0.0169,1.4267,0.4344,0.6073,0.0001,2.1876,0.2737,0.009,0.0211,7.5754,0.0851,0.1311,0.0317,1.9431,0.0492,0.7455,0.4016,0.1067,0.0
CYP_C16,1.4594,0.0151,0.0012,0.0099,0.0,0.6334,0.2303,54.3203,0.0253,0.001,0.2414,0.0155,0.0144,3.078,0.019,0.1384,0.012,0.0017,0.0065,0.0965,0.2048,7.3724,0.1278,0.0063,122.4399,1.4479,0.0046,1.0839,0.0613,1.3455,0.0004,4.5712,8.5088,0.0136,0.0733,0.1172,6.9917,0.5528,0.1318,0.1779,0.05,0.1113,1.474,0.0688,0.0
CYP_C17_18,0.0933,1.0873,0.0069,0.0401,0.0,4.4203,0.182,0.1003,19.6019,0.0086,0.5737,1.1945,0.3639,2.3999,0.0941,0.2407,0.0413,0.0634,0.0807,0.0763,0.0228,0.2974,0.595,0.253,6.0905,24.8402,0.0747,17.231,0.3856,3.6994,0.2675,3.5732,12.0036,1.9136,5.6516,23.6324,0.7768,6.1417,0.6334,3.2963,1.161,2.0724,4.1984,6.0489,0.0
CYP_C19,0.0179,0.0016,0.0037,0.0275,0.0,0.0131,0.0023,0.0059,0.0065,0.002,0.0051,0.0037,0.0054,0.0673,0.0035,0.0075,0.0004,0.0006,0.0017,0.0002,0.0004,0.0046,0.7203,0.0061,0.0677,0.069,0.0804,1.5143,0.1864,0.104,0.0052,0.0142,0.0029,0.0036,0.0337,0.0468,0.0034,0.0288,0.016,0.0459,0.014,0.0274,0.01,0.0157,0.0
