V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_A01_02,898.3098,0.6032,3.7024,0.8803,0.379,2901.7807,13.7748,78.6243,5.3055,1.7551,14.3063,32.8561,16.2427,14.1063,3.5948,68.4909,15.9931,17.1453,134.1031,6.0492,12.3208,55.7846,44.7917,16.0339,204.5248,106.4844,8.9108,2.6192,2.9869,21.4375,3.8973,114.2528,24.2247,18.8031,40.2127,30.855,50.2414,63.8711,75.0283,57.1986,36.3369,89.4272,29.0638,19.4116,0.0
DNK_A03,3.5908,3.4611,1.0523,0.2818,0.1008,115.2572,0.2152,0.093,0.3455,0.0315,0.6283,1.1438,0.2003,0.5386,0.0346,0.6211,0.6256,0.5741,3.7995,0.2171,0.322,0.9134,0.1995,2.4262,16.3011,11.4262,0.5753,0.0706,0.0799,6.1402,0.2448,9.2978,1.5652,1.2835,5.1837,1.9733,0.8657,7.8337,4.1732,3.5513,3.2779,5.9908,2.7438,2.4696,0.0
DNK_B05_06,12.5005,0.0004,211.7605,15.4776,1.2608,72.8161,3.0114,1.3126,10.529,2196.5127,43.95,12.6393,6.0736,15.6967,16.9998,9.0628,1.8977,1.7018,9.8194,1.3882,2.0369,5.1565,1350.9196,9.704,99.3531,29.3882,0.3325,0.0448,0.0935,2.1784,1.9201,17.3349,4.3173,1.305,1.9055,3.5063,3.7332,9.8606,16.0415,7.756,12.2447,52.5523,9.4202,1.9784,0.0
DNK_B07_08,7.0376,0.0001,11.5087,5.8975,0.109,9.7253,1.5063,0.3471,4.5645,0.2009,3.5647,1.0314,3.9383,60.842,0.9837,5.4313,0.827,0.837,3.7882,0.6152,0.0992,2.0497,50.8431,0.8045,69.3222,7.3248,0.1379,0.018,0.0397,0.2048,0.155,0.9762,0.3151,0.1026,0.5744,1.3232,0.2984,0.8688,1.4003,4.8273,4.2764,4.2707,0.7747,0.6814,0.0
DNK_B09,0.2323,0.0933,82.2073,0.547,0.2982,0.225,0.0017,0.0202,0.1493,1.4846,0.4258,0.0914,0.0488,0.8216,0.1077,0.2186,0.0008,0.0012,0.0445,0.001,0.0002,0.0053,2.9422,0.0709,7.6577,0.0841,0.3381,0.2196,0.0012,0.2199,0.0002,0.02,0.0013,0.0,0.0048,0.0052,0.4168,0.0742,0.0452,0.0842,0.0233,0.06,0.035,0.0259,0.0
DNK_C10T12,1027.5641,33.7384,2.5367,0.5641,0.1155,3056.2697,9.6101,1.8746,18.3476,0.3762,88.6838,132.7613,8.4241,6.0004,0.3192,6.6182,6.0619,3.4074,19.5417,1.1564,1.2264,9.8395,4.5967,9.1654,17.7805,185.9756,4.7454,1.389,0.5572,13.1022,1.1835,1110.35,19.2208,6.266,27.7224,16.6249,7.736,55.8917,21.4805,54.486,42.1003,227.4776,17.1518,51.5596,0.0
DNK_C13T15,1.0324,2.3773,0.3013,0.0832,0.0384,4.3843,180.6073,1.5775,4.0275,0.1209,1.6652,2.232,10.0966,10.8587,0.5548,10.4947,5.4455,4.1093,31.0153,2.1832,7.3997,50.5206,1.6811,2.3109,31.2454,14.5812,1.5063,0.3118,0.6631,3.0152,3.8127,2.155,4.8996,2.1496,1.8366,1.0521,0.4772,3.9093,25.2689,12.4856,7.5348,37.0316,7.0192,9.4649,0.0
DNK_C16,4.2681,0.0563,2.0375,0.6559,0.0751,11.4934,1.5418,218.3144,4.2999,0.1927,4.8955,1.5769,9.578,13.7494,4.3865,23.1911,8.6229,4.0584,33.5188,9.0028,12.2069,251.5224,8.7168,12.4889,1074.6489,23.6638,2.7882,0.2189,0.2395,3.7799,0.3483,0.782,1.3481,1.7291,1.7031,1.4045,3.3937,3.1244,14.9473,4.3981,3.1298,6.881,8.844,4.6888,0.0
DNK_C17_18,12.2911,0.1041,2.5196,0.6521,0.0907,160.4033,6.468,9.0086,478.6999,0.2308,16.9133,36.9139,33.7688,20.9196,4.2624,18.9966,16.9782,7.2854,27.7717,2.6556,1.4102,32.9662,2.5174,15.3951,16.0258,308.5792,7.1913,0.4013,1.1536,4.433,7.4839,5.7422,277.6,39.6513,43.237,58.4291,42.5102,328.4312,40.6729,61.4481,43.9895,47.4303,24.0925,25.6096,0.0
DNK_C19,140.7395,52.9542,7.9897,2.4814,0.9963,37.0451,2.694,5.6117,5.1473,47.571,23.0807,2.7405,11.0821,40.1613,1.8017,21.4923,2.5075,2.128,19.5187,1.8723,1.0157,23.0493,43.2358,17.8811,250.1582,167.965,294.6438,884.0349,201.9912,21.5827,18.1389,9.1688,5.2599,3.4011,7.9841,10.5469,20.2692,28.9572,44.9511,71.7962,19.9662,25.9525,9.6247,16.6636,0.0
DNK_C20,106.1245,0.7755,9.7742,1.6035,0.2831,68.2535,44.6983,13.0007,38.4483,18.6584,266.5196,149.4239,167.2841,35.6445,12.8969,32.8702,16.2328,18.8672,53.4313,7.7137,5.4509,43.9295,1.936,6.3216,125.8517,24.0663,9.3843,12.2875,3.377,2.4424,0.7411,2.4133,12.0718,2.4841,5.3892,4.9507,6.1,13.5499,38.206,31.9297,14.4684,38.7123,5.4492,21.9222,0.0
DNK_C21,57.3153,0.1025,2.309,0.3764,0.1344,59.0003,11.5283,3.5894,9.0761,4.0381,69.485,360.0156,42.972,7.6195,2.8611,8.2841,5.4509,5.1745,16.7473,1.9534,1.679,16.9836,1.0022,4.4183,26.8544,34.3944,2.6742,0.4128,0.4002,2.8401,0.916,3.0676,9.5452,4.7756,12.0634,9.8354,9.6534,56.0537,19.9863,93.0929,38.2299,379.8798,9.2996,11.5378,0.0
DNK_C22,19.6327,3.4919,5.9549,1.781,0.26,151.8357,22.5347,16.9021,37.7181,4.8173,33.7442,61.2018,145.3904,27.3773,11.3317,48.1626,56.7708,25.2364,93.3652,9.255,16.47,89.0244,5.0717,8.465,395.5367,397.3404,15.8887,2.3646,7.1914,7.0437,1.879,7.6819,9.4996,8.8796,8.788,7.9299,6.4155,19.2739,14.8491,61.6535,31.1364,76.1356,16.6209,12.4225,0.0
DNK_C23,7.1459,0.4463,5.2359,1.692,0.4208,21.5402,2.7759,54.4461,2.8537,5.0237,8.889,15.1825,18.3414,187.5273,7.7953,22.3817,21.6633,11.3231,132.1789,11.6017,13.1537,28.7533,4.4729,7.3643,1608.6446,33.6564,6.1815,4.004,5.0136,3.1682,1.5356,1.0961,1.8015,6.1764,3.8477,5.8396,32.9601,6.2594,3.7586,17.7209,4.4438,13.2126,2.3073,2.5317,0.0
