V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_A01_02,2180.0745,0.2861,0.7422,0.9646,0.005,4169.3676,83.7844,113.9379,8.6225,0.0732,5.7425,2.1396,7.753,2.6097,2.4431,3.4302,0.1807,0.3733,0.5381,0.212,0.4947,15.4043,0.0123,13.8844,0.0,0.0,0.0,4.3328,0.0,0.0038,0.0,565.036,0.0275,0.0,0.0,0.0,0.0,0.0066,0.0061,7.1518,292.626,1.7086,0.0034,6.1235,0.0
GRC_A03,0.0,40.7622,0.0,0.0,0.0,7.5306,1.2455,0.0,0.0,0.0,0.0,0.0059,0.0462,1.1628,0.0,0.7272,0.0,0.0,0.0,0.0,0.0,2.1264,0.0,0.0077,0.0,0.0,0.0,0.6348,0.0,0.0001,0.0,57.7891,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1146,0.0079,0.0474,0.0021,0.0623,0.0
GRC_B05_06,0.0035,0.0,0.1216,0.011,0.0085,0.3676,0.1266,0.0398,0.1246,27.5223,0.144,0.0235,0.0276,0.7526,2.0417,0.0943,0.0112,0.0631,0.0826,0.0545,0.1744,0.0307,161.4985,0.0015,0.4504,0.2568,0.0301,0.084,0.0015,0.0042,0.0,0.0396,0.0067,0.0059,0.001,0.0421,0.2098,0.0555,0.0121,0.0557,0.108,0.0436,0.0104,0.0141,0.0
GRC_B07_08,3.6993,0.0258,0.0226,17.5842,0.332,9.246,0.4206,22.6632,2.7815,0.6831,20.3052,2.5916,0.5317,268.8156,98.1616,2.551,1.3808,0.0853,0.1926,0.0113,0.1137,0.2474,0.5659,0.4407,870.3799,4.7455,1.2767,1.4443,1.0251,0.0754,0.1483,11.6408,0.4289,0.5958,0.1336,1.5098,1.182,1.6028,0.7372,1.3506,1.9246,1.4583,0.9116,0.2526,0.0
GRC_B09,0.4166,0.1713,0.6601,1.9613,0.1663,0.1723,0.0065,0.0148,0.14,7.8508,0.3002,0.0238,0.0273,1.0675,0.2176,0.1628,0.0001,0.0005,0.003,0.0002,0.0002,0.0016,4.3999,0.0712,15.7492,0.1504,0.2071,0.3021,0.0017,0.2417,0.0003,0.0881,0.001,0.0,0.0007,0.0023,0.4369,0.0397,0.0176,0.108,0.018,0.0589,0.0277,0.0173,0.0
GRC_C10T12,253.7163,0.7636,0.0042,0.0251,0.0116,850.2606,12.69,23.4324,1.9812,0.4212,5.101,5.4837,1.1419,0.3346,8.6268,21.0091,4.1689,10.9665,8.4489,0.1475,0.9248,0.7357,0.1288,3.1558,1.9301,4.9296,0.1697,93.3734,0.1257,0.019,0.0197,2498.3079,13.7829,0.1392,0.0195,1.2523,0.0143,6.2601,3.2804,36.2343,3.5041,52.3449,0.2906,4.5634,0.0
GRC_C13T15,6.3013,1.2244,0.0448,0.2784,0.0253,16.6618,355.0796,1.308,3.4617,3.0639,2.9566,4.469,3.4845,2.4114,1.1401,27.9627,0.2508,0.4316,0.3097,0.0534,0.1977,19.7084,1.0932,14.1652,21.6879,99.2516,0.9213,2.5898,1.2076,0.1556,0.1584,54.4033,1.3867,7.4734,0.1434,0.9889,0.0116,4.7978,1.8798,12.5701,1.215,8.1702,2.7401,4.7991,0.0
GRC_C16,11.2112,0.6922,0.0172,0.8355,0.0599,188.2611,4.6322,410.8078,26.0575,20.7321,22.1178,20.188,3.7071,5.3398,7.3514,82.8896,0.5527,1.8388,1.9775,0.1758,0.3479,224.8029,2.619,1.0963,221.9064,3.8304,0.5078,2.4942,0.4526,4.7318,1.0026,360.156,4.9352,0.5129,0.1699,0.6269,0.0948,11.8073,3.9995,2.3495,0.6506,2.2755,0.5657,19.2582,0.0
GRC_C17_18,2.6438,0.2981,1.9401,2.8001,0.0629,190.0043,12.4731,5.3933,355.3314,2.8181,24.9536,44.2559,7.9308,17.565,4.8774,24.3699,0.4249,1.0307,0.6132,0.0751,0.5287,2.1378,6.6453,1.0667,359.3212,268.6912,14.0269,12.1128,14.2645,1.379,6.1719,325.2725,183.1662,15.0223,26.413,99.6896,0.8207,415.6777,66.5576,217.1633,35.5438,28.3673,166.1066,162.454,0.0
GRC_C19,476.3316,66.7771,7.8684,72.7907,0.9365,130.7473,31.0244,13.2077,15.9109,539.9493,87.834,7.4288,12.3315,115.8661,47.06,37.5161,2.6024,5.4557,6.4439,0.65,7.0978,10.4788,359.9718,109.4791,527.8799,402.7217,531.6172,998.4628,122.7159,94.6692,2.2787,193.5956,14.3862,113.1867,7.5329,29.757,1.6014,86.4724,45.5889,105.1081,7.4513,32.1989,41.8115,28.9313,0.0
GRC_C20,91.4036,0.3986,1.0981,3.8724,0.0954,25.7253,8.9969,3.8949,23.8283,28.9236,159.4279,25.9041,89.1632,7.6918,4.9034,37.0731,1.5304,7.4192,2.6289,0.2913,1.6498,6.6601,2.1479,10.165,53.2842,259.7776,3.4633,21.0716,1.4858,1.0152,0.1711,55.6476,5.2992,2.3523,0.3953,3.4826,0.2438,15.529,6.818,26.2334,4.1489,275.8259,11.2482,8.8462,0.0
GRC_C21,4.0097,0.226,0.3934,1.4448,0.0254,11.9876,4.0527,0.9332,0.9385,2.6096,4.9477,89.4438,0.8312,0.7589,2.1247,1.3715,0.1754,0.2833,0.2054,0.0267,0.6693,0.7383,0.878,3.8231,12.8074,10.1961,1.0946,6.3662,0.9631,0.6143,0.1315,21.7841,1.6448,1.6733,0.2642,1.1687,0.1975,13.3829,2.0959,11.0268,6.008,411.1918,1.2743,1.3951,0.0
GRC_C22,10.6354,0.1432,0.6152,2.2524,0.0933,42.6411,8.346,5.8562,7.2555,1.3165,3.2848,7.8509,13.253,3.0729,0.912,19.6169,2.0542,4.6636,3.2899,0.2131,0.2864,8.8352,0.9476,0.6856,347.3329,243.6933,6.2994,4.5771,1.7255,1.6907,0.1317,26.5251,4.0861,1.1385,0.3947,0.6274,0.1525,3.7132,3.842,2.837,1.4054,3.0764,0.9005,15.507,0.0
GRC_C23,2.1175,0.2754,0.9994,1.7886,0.1509,30.2799,2.3125,1.3312,1.6242,1.5113,7.2178,7.0489,3.5068,196.3128,1.3297,2.8823,3.0845,5.7893,2.7391,0.3486,0.7857,2.982,1.3101,0.9771,3101.7933,21.156,2.2831,10.6925,1.7777,2.3927,0.2063,34.3648,3.3384,2.9231,0.4632,1.279,0.5552,5.047,2.1518,4.7387,0.6956,21.1301,3.057,3.5136,0.0
