V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_A01_02,1553.1246,22.2718,0.4513,0.699,0.9757,9764.6281,549.6871,836.4299,162.6426,59.5659,298.0581,79.7713,835.5954,3.9265,0.0036,1.5119,4.4357,0.0166,0.0351,0.0003,17.0545,147.1253,0.0607,54.7727,1218.8301,29.0806,0.3393,0.8289,10.3585,0.0785,0.0012,947.171,48.8128,0.0033,1.0723,0.5726,0.2448,20.4443,4.4423,1.586,10.5696,1301.4522,89.6788,58.0939,0.0
IDN_A03,0.1955,169.9286,0.0,0.0,0.0,829.0433,0.0469,0.0778,0.0,0.0,0.2079,0.3551,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,6.9597,0.0,4.9077,0.0,0.0,0.0,0.2523,0.0,0.0,0.0,138.2281,0.0,0.0,4.1081,0.0,0.0,3.5502,12.6745,2.4385,4.4051,105.4784,0.0088,3.0422,0.0
IDN_B05_06,0.1321,0.0,610.6001,30.1313,33.0679,26.1473,91.2674,8.4064,24.4875,1301.2165,223.8763,0.1828,11.1537,808.9307,171.6165,136.4031,4.2329,2.8911,0.4854,1.3219,0.2259,0.4196,1964.6751,0.0,0.0162,0.0,3.7326,0.0,0.0,0.4253,0.0,1.1854,0.0006,0.0,0.0,0.0,0.3153,13.4848,0.559,0.0,0.0,0.0,0.0,0.0,0.0
IDN_B07_08,0.0402,0.154,0.0107,260.9013,100.331,23.9195,0.6891,0.5911,0.1203,27.4565,493.4096,0.2093,1.8635,75.2732,1147.8453,87.1953,1.0053,0.1996,1.1799,0.1823,2.1006,17.2089,0.0014,2.6305,3201.7064,2.183,0.0,0.0,0.0,0.0023,0.0,0.0096,0.0,0.0,0.692,0.0,0.0,0.5131,0.0032,1.4379,41.7024,0.0018,0.0004,0.0031,0.0
IDN_B09,0.0,0.0,1242.6732,273.1149,69.7743,0.0771,0.0088,0.0,0.0,22.4236,33.7058,0.0,3.605,11.2355,47.8924,11.0163,2.2523,8.3106,0.0,0.0346,0.0304,10.2361,0.0001,0.0,1.7996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.0,0.0,128.2379,0.4369,0.0,0.0,0.0,0.0,0.0,0.0
IDN_C10T12,805.5294,211.2449,13.4334,16.1874,0.3603,4032.9749,150.5315,8.9862,18.7573,28.4088,124.0505,17.1193,0.5637,107.7159,2.9636,1.0723,1.8325,0.6946,1.1072,0.016,0.2399,7.9381,1.9371,111.9344,1755.0669,63.3176,1.5716,21.4189,9.6785,1.2413,4.0014,1417.6728,11.1696,2.3441,6.8685,3.4644,395.1563,26.074,52.1317,40.0319,27.2825,902.3146,379.2577,5.2534,0.0
IDN_C13T15,11.6232,0.7744,0.8437,1.7502,1.9228,4.6046,3184.9038,3.3874,7.7129,0.4527,17.7529,0.2582,49.0972,0.724,0.057,31.1844,10.0067,8.4654,2.0529,9.2258,3.8525,15.7462,0.29,5.1625,41.8752,572.6971,5.1316,1.3366,0.8113,2.8053,3.093,55.699,7.1384,6.8003,8.8039,0.8506,72.7883,7.7299,55.9808,17.6448,12.634,17.0525,0.5998,74.3979,0.0
IDN_C16,4.1999,1.6208,0.0002,1.1372,0.8356,6.7345,3.9524,194.573,4.3839,0.2173,3.8277,0.0001,1.5252,0.7502,0.2312,45.0359,13.1034,1.2006,0.96,1.6919,21.9059,209.6427,0.0,0.2084,859.3209,221.3661,0.1256,0.0,0.0494,0.3212,0.194,0.2964,0.1436,0.0509,0.063,0.0,2.4162,0.0538,0.93,0.7029,1.9091,0.025,0.1239,5.008,0.0
IDN_C17_18,6.4282,0.7065,6.1484,3.9656,1.1769,72.4698,29.3536,3.9968,1154.5551,0.1375,29.3867,5.0421,11.2867,8.0565,1.7486,13.2162,56.4781,18.7698,0.9287,2.3164,5.0525,5.95,3.1653,7.394,25.2335,1657.7303,14.2433,0.6349,0.6676,1.1449,55.3045,2.5359,318.1138,15.751,53.8054,34.766,126.568,32.7486,92.4074,121.5473,306.1123,7.157,10.1118,10.3036,0.0
IDN_C19,78.4054,150.9767,83.8931,100.5603,164.0152,216.5599,454.0148,72.6199,278.1923,15.9991,221.8606,6.2751,142.0327,110.956,204.6174,514.3788,57.8275,81.7178,3.349,11.3816,83.1851,70.746,1204.6793,16.8455,1905.2098,3028.6357,654.414,244.308,440.7352,12.1337,128.7309,17.2415,52.8198,9.7368,73.9701,14.8722,98.072,44.1234,288.5542,132.3059,40.1476,20.4424,13.1594,15.6584,0.0
IDN_C20,463.1647,1.0774,4.1526,40.4646,64.6907,90.3333,631.3989,57.4001,295.1118,32.0754,1032.8617,60.5597,730.8854,34.4616,70.0636,823.3058,134.8112,487.2721,10.3144,12.0659,28.5607,53.7577,1.0828,112.5628,151.1581,194.7968,2.2732,1.0903,0.3384,0.4348,1.4425,12.8698,111.2299,0.3945,15.0457,1.8744,15.9919,23.0323,95.0828,25.4594,54.1598,42.1585,5.903,59.4995,0.0
