V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_A01_02,29.8975,0.0,0.0007,0.0,0.0,150.1632,3.1284,2.4227,0.0,0.0,0.0,0.0,0.8448,0.0,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9496,1.3479,0.0,0.0,0.0,0.0
ISL_A03,0.0,65.3729,0.0,0.0,0.0,755.6524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B05_06,0.0,0.0,0.0061,0.0,0.0001,0.0006,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0172,0.1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,2.0579,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B07_08,0.0,0.0,0.0071,2.3754,0.0017,0.5885,0.0,0.0,0.0,0.0003,0.0566,0.0773,0.0,3.0793,6.2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,0.5052,16.9725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_B09,0.0004,0.0071,0.0013,0.0017,0.0,0.0008,0.0,0.0,0.0002,0.0,0.0005,0.0001,0.0001,0.0041,0.0026,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.0002,0.06,0.0003,0.0005,0.0002,0.0,0.0007,0.0,0.0001,0.0,0.0,0.0,0.0,0.0016,0.0003,0.0001,0.0003,0.0001,0.0004,0.0003,0.0002,0.0
ISL_C10T12,34.9177,11.2922,0.0021,0.1143,0.0001,143.2026,0.6498,0.3846,0.5569,0.0,0.3401,0.4632,0.4669,1.502,1.5621,0.9626,0.0382,0.083,0.616,0.0577,0.1191,0.7414,2.5373,0.3475,17.8764,10.2951,0.8647,1.8544,6.4487,1.4617,0.3189,80.9514,2.2341,1.6678,1.2148,3.4956,4.7855,6.7597,2.9326,6.0541,5.3961,15.0588,1.1148,2.0998,0.0
ISL_C13T15,0.4506,26.2378,0.0016,0.0067,0.0,0.6478,14.0492,0.0047,0.0066,0.0,0.0041,0.0056,0.0761,0.1643,0.3802,0.0841,0.0005,0.001,0.0161,0.0531,0.0914,2.2434,0.028,0.0298,1.3751,0.0949,0.009,0.0212,0.0713,0.0159,0.0035,3.1169,0.0214,0.0181,0.0002,0.2816,0.0001,0.0311,0.4036,0.3243,0.0,2.0646,0.6128,0.1169,0.0
ISL_C16,0.0,0.0,0.001,0.0,0.0001,0.0305,0.0,6.3749,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0325,0.0,0.0,0.0541,0.0337,5.6809,0.0,0.0524,44.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651,0.0,0.0,0.0652,0.0
ISL_C17_18,0.096,0.0617,0.0014,0.0009,0.0,1.3287,0.0286,0.032,12.9799,0.0,0.0812,0.1167,0.0187,0.019,0.0119,0.108,0.0045,0.0047,0.0157,0.003,0.0036,0.1774,0.2725,0.0832,0.3855,3.6873,0.0925,0.1471,0.4075,0.1309,0.4142,0.384,24.8754,0.2785,0.7484,2.6632,3.7094,1.7803,1.1471,7.5429,48.3432,0.3664,2.5085,0.583,0.0
ISL_C19,0.0011,0.014,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0006,0.0024,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0006,0.0017,0.0022,0.0032,0.0039,0.0056,0.0155,0.0354,0.0029,0.0004,0.0005,0.0003,0.001,0.0001,0.0002,0.0001,0.0004,0.0035,0.0011,0.0001,0.0008,0.0,0.0004,0.0
