V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_A01_02,4452.0842,0.9131,6.5907,0.1428,0.0179,21938.879,797.8269,760.0231,322.7634,11.3853,103.6449,32.4169,259.4852,33.3861,39.4424,151.6993,10.6855,39.9583,68.4113,21.2701,19.9822,152.903,32.6145,14.1301,162.2072,1815.1403,37.4667,72.8381,6.9206,199.1622,23.4271,1224.5792,25.165,87.0824,165.8583,175.5629,330.3847,171.1164,118.9342,55.5441,9.8289,336.7051,33.9376,55.5825,0.0
ITA_A03,1.3025,8.3069,0.0049,0.0003,0.0,172.4173,2.7381,0.0006,0.0074,0.0043,10.0886,0.0936,0.0049,0.0085,0.0046,0.1244,0.0116,0.0159,0.1004,0.0101,0.0045,15.7283,0.0308,2.0957,0.2217,59.1249,0.0569,45.6578,0.0005,3.5239,0.0099,244.9347,4.6385,0.0029,0.338,0.0464,0.2183,0.4637,1.5297,0.4758,1.6663,8.002,12.4184,1.5948,0.0
ITA_B05_06,1.8325,0.0552,96.8534,3.7356,0.3132,118.1118,11.9019,2.0686,17.6019,5580.9706,161.327,22.6677,7.907,6.4719,360.8203,14.1652,4.4622,8.1142,59.3565,14.8555,6.2499,10.2511,2340.4196,21.5686,118.2717,56.3696,4.9667,1.3027,1.7395,71.0076,8.5973,81.3249,4.893,18.6988,12.1084,23.4799,31.0338,40.8829,27.9075,111.8658,2.5768,46.7498,15.4802,5.8036,0.0
ITA_B07_08,1.9293,0.0253,1.2571,5.0934,0.1035,14.1183,2.2081,1.9218,26.9886,2.3188,31.295,0.7824,3.8082,664.4362,30.6289,24.179,3.0668,2.9525,10.4465,3.133,1.2802,12.2146,14.6641,1.6292,453.4881,63.1063,0.2804,0.1678,0.0971,2.903,0.0806,2.0485,0.3617,0.4958,0.8871,0.2334,1.9107,1.0595,1.0231,0.6345,0.1515,0.6049,0.5696,2.3142,0.0
ITA_B09,1.5474,0.4027,95.2991,0.7605,0.5164,1.6824,0.2097,0.2479,2.1968,36.2618,6.2037,0.3558,0.6792,17.1165,5.1115,4.2892,0.006,0.0276,0.4592,0.0458,0.012,0.0555,36.7332,0.7606,92.0744,0.6598,2.8983,0.1105,0.0055,2.8761,0.0009,0.2643,0.0124,0.0,0.039,0.0533,5.7526,0.47,0.481,0.7804,0.131,0.4661,0.2785,0.1377,0.0
ITA_C10T12,3708.7298,61.766,0.0475,0.5735,0.0412,20267.7784,2162.4895,0.9489,72.767,61.9135,1005.7862,76.9147,6.8108,34.074,15.9471,10.8552,1.2744,2.8171,24.1537,1.5587,0.9139,27.3613,2.3682,20.0871,9.889,3179.9444,4.2391,470.4197,12.4551,87.3207,1.7382,13289.7659,29.1458,0.4631,1.675,1.0431,12.1818,55.8777,46.8501,97.8247,26.406,1532.1308,143.408,34.2221,0.0
ITA_C13T15,75.8452,29.9247,14.8007,0.1595,0.1154,95.903,20843.4917,75.4921,226.44,102.4327,183.922,24.1617,381.5709,89.6127,119.5909,253.7421,34.3709,72.4006,210.3161,546.5374,94.0565,751.1215,68.8214,186.8769,469.0745,2187.2443,75.6786,8.5863,12.5484,20.5118,10.3027,78.2645,23.2289,21.6028,24.1306,12.4863,22.4764,188.8486,245.1666,140.7762,22.4158,347.5401,50.7663,120.9149,0.0
ITA_C16,38.3006,5.3152,9.8685,1.6873,0.1783,472.1898,96.0271,5810.9847,111.7243,14.574,86.4808,13.7929,167.7873,313.7602,59.2849,641.1887,24.8384,60.9062,248.3389,123.4897,160.4981,5776.2299,31.573,24.883,4330.3912,287.7956,88.6779,23.2874,18.5244,66.2115,1.5203,63.6212,24.6769,16.6294,19.4769,12.7315,32.4184,83.6771,102.8325,112.8043,4.4968,52.2147,22.1268,164.35,0.0
ITA_C17_18,29.9956,3.9242,69.5938,1.5765,0.1246,1695.7285,731.7378,97.4867,7377.9459,86.7897,923.1791,47.4447,504.6905,513.9049,273.7654,538.3255,119.9896,568.4024,869.4126,201.4891,107.0454,852.9954,260.3249,189.0738,1181.3683,2757.7988,277.5409,27.1902,42.8742,72.4223,67.5215,516.2145,2721.8352,839.0599,387.766,769.1143,114.9238,2028.4761,1790.67,1425.1903,59.2866,443.8365,566.2567,481.5301,0.0
ITA_C19,1170.0086,96.5546,38.591,10.5094,2.9401,465.8622,320.583,111.6599,113.3159,3915.747,1121.9779,63.4943,109.4192,1274.8445,1466.1146,305.0853,37.497,158.3715,256.8083,63.8526,34.2693,213.8446,2535.2281,252.6699,2542.7544,3751.5546,3576.0974,166.6478,1009.0828,755.5884,28.9783,412.9051,82.9364,238.1712,219.9576,234.84,99.1986,902.8763,1254.7578,705.7881,149.5359,462.8457,199.6625,184.6145,0.0
ITA_C20,738.1296,8.2396,187.4888,5.5075,0.9145,1058.4683,1639.1313,318.6308,1292.5119,1135.4783,9224.7018,702.5612,5307.0047,1013.9562,910.114,700.9755,589.92,715.3872,800.1171,405.2495,111.3844,533.5295,386.5736,481.9506,1321.0722,1020.9597,80.7175,21.9622,30.0817,46.2643,10.978,158.4075,247.6974,86.4681,93.5171,25.4119,41.6763,411.0312,425.0859,351.994,10.3997,2270.1879,20.8095,503.4856,0.0
ITA_C21,47.7202,0.3424,34.9528,0.9877,0.0685,204.5073,302.457,11.5361,31.0742,36.1896,421.9291,3612.9661,135.0107,31.9407,158.1973,36.5437,36.4539,38.1346,60.6561,29.7375,25.3532,50.7093,19.7155,69.0118,110.3749,239.8721,15.5819,2.2988,3.0802,11.033,1.6614,33.6291,12.843,37.5548,28.0746,10.5833,7.7628,210.2433,46.8374,42.9817,2.8663,1326.068,6.9599,18.3311,0.0
ITA_C22,109.6955,7.0545,36.5126,3.4121,0.7271,1172.824,1525.6302,155.1464,654.6565,180.2692,1434.7179,160.0303,4027.0523,470.7249,473.2868,777.6053,343.6541,1615.7558,2728.3086,2218.5602,377.3424,1147.0433,266.9161,240.3627,3554.0952,1708.7513,1186.6758,16.3172,25.1137,138.8043,32.78,184.9003,86.3499,159.2432,152.5779,94.97,89.9317,639.8084,772.0382,169.6808,14.4936,330.6009,47.9328,176.7557,0.0
ITA_C23,141.6863,3.9744,29.1002,29.3229,0.8139,1314.9409,120.1946,158.0549,55.2027,100.8572,988.3068,74.0299,196.8227,6213.1853,1296.6006,588.0237,183.2772,457.486,676.98,465.6403,169.4753,342.3555,264.4002,241.3793,23865.8321,792.0296,31.8911,26.393,10.3976,52.3993,3.1876,235.3341,21.1816,23.8671,44.1143,18.7345,233.5377,182.8944,113.3296,89.7406,36.5592,78.6333,29.9992,39.174,0.0
ITA_C24,25.1257,6.9405,77.9734,0.3361,1.6572,85.0565,26.6019,69.2928,77.0248,19.5397,355.9922,11.3404,521.6031,579.2718,9216.8915,12770.6787,297.2055,2694.4628,5619.985,1878.2641,508.5451,3094.6351,45.9371,408.1533,3960.6669,848.1933,22.5421,1.3978,6.8085,64.6464,0.2922,1.2248,2.916,1.4326,7.0669,2.3525,32.2783,48.5543,63.1709,90.4153,0.7304,10.456,3.3428,40.3974,0.0
ITA_C25,190.7725,27.1543,169.9882,4.0351,1.9396,935.191,630.394,734.2629,255.5022,112.3819,278.7444,40.404,810.1268,704.7041,2158.7538,11242.4549,697.3887,2516.8933,16063.6626,5768.3803,1197.0948,3308.1327,713.2106,537.7211,14966.2102,1551.1881,322.8262,57.6068,30.4112,254.0415,16.7614,149.3883,89.2072,201.3776,163.3603,124.4495,169.7226,376.4585,545.7166,552.4338,33.0782,409.4333,52.2991,105.9201,0.0
ITA_C26,33.8968,4.6367,22.1165,0.6707,0.1959,104.5881,87.6221,9.1732,45.3766,121.1288,232.7206,84.66,169.8082,69.035,54.5471,178.0802,1893.8764,374.9813,428.0095,252.449,246.7823,243.4778,71.4231,64.3466,654.3737,537.7828,140.7318,7.3808,16.7974,228.3377,12.3339,78.986,57.3616,465.6392,557.9585,88.6926,78.6461,264.9266,196.3631,176.1663,20.8141,958.4077,34.4094,72.1844,0.0
ITA_C27,55.0836,6.469,52.6794,2.0705,0.6128,200.2263,165.4799,65.392,98.1808,34.9665,183.6968,25.8372,204.321,212.6706,227.7774,1166.6984,1070.512,4856.8896,3692.579,1756.7945,446.068,918.3202,703.127,168.4363,5067.3004,1090.0874,188.5098,20.0411,35.993,486.2564,15.2018,143.2061,94.8898,1006.4552,255.4894,89.6524,126.1402,446.143,413.7417,113.2627,11.8927,257.4521,97.0123,132.6298,0.0
ITA_C28,111.2452,3.2011,133.9424,10.4571,2.3619,854.7328,613.6445,140.8301,405.1184,198.3536,381.1617,87.1213,474.8999,530.6488,781.2299,1652.9349,405.9698,679.2453,9256.4299,2190.4254,808.385,1081.9246,801.7602,651.9197,2863.5328,1934.5963,579.7974,51.0711,51.5599,450.8783,32.2785,203.6246,128.1606,250.1874,246.5839,95.8014,117.1561,491.0286,552.8895,947.6789,18.2693,269.1568,50.6282,202.1991,0.0
ITA_C29,113.7692,1.1083,9.3604,1.1942,0.2091,54.4564,56.1897,13.0854,12.0052,9.612,72.6346,14.6249,337.2005,47.3025,329.2636,684.0141,26.5806,275.7819,966.5872,4796.2577,204.8251,183.4812,27.5362,466.4432,435.9264,1812.6912,1015.3784,4.0861,3.3869,387.2537,6.8614,41.7805,17.6313,100.8409,60.2719,26.9657,20.2815,207.9933,234.3521,324.7034,8.4304,29.4159,47.5086,25.7048,0.0
ITA_C30,0.0,52.0924,3.8246,0.3865,0.032,17.9173,63.0881,11.5792,50.0732,0.442,8.9162,0.9563,46.0345,31.4468,69.8106,170.1297,81.1639,74.9768,308.3675,106.217,4228.088,351.4459,1.6946,28.5773,13.5375,319.9907,333.1726,691.9312,1104.0376,227.9818,1.6721,30.7712,14.1079,1.15,0.8103,1.2164,2.2658,37.7895,155.3692,2180.7208,17.1674,13.534,5.0026,59.5085,0.0
ITA_C31T33,443.9401,23.6088,102.0092,6.6575,1.5278,590.1485,423.6206,352.7169,299.8597,62.4517,333.8203,103.3624,172.8012,446.2935,554.5552,629.8777,568.3839,345.2288,1281.7429,430.8693,342.1766,3884.7462,354.4429,669.9945,3575.5329,2493.0413,389.1779,137.6319,235.9359,440.2183,23.2005,222.7836,362.7699,590.873,323.2853,208.8062,531.9027,637.8886,878.0655,486.881,54.0756,596.6464,164.8484,266.8798,0.0
ITA_D,809.6596,57.5114,253.4054,14.1335,1.6637,3069.6004,2013.5064,477.4763,1606.1064,534.7134,1640.2222,477.7961,1415.431,3601.6211,2167.5141,1244.3227,425.0233,1096.7176,1815.7135,831.843,203.5712,992.3966,9535.8446,596.3304,888.7939,2862.7184,474.4836,12.2449,9.4779,296.6125,214.4267,1533.1856,252.8429,426.8697,266.1649,435.8727,1193.5136,1086.6122,1009.4361,2005.1411,648.6897,1322.5464,439.3259,537.9256,0.0
ITA_E,285.5798,0.1814,17.1578,1.8519,0.4298,699.8937,685.122,57.8751,727.0414,342.4606,467.0004,105.8347,299.5332,497.9723,4039.2693,595.8136,29.8292,101.9569,242.6465,120.4716,71.2724,302.2394,670.2803,4012.6692,1202.4185,2439.4742,154.2591,110.6762,7.6241,82.9719,11.2294,704.6906,131.4428,111.138,72.0502,87.7683,140.6127,242.2658,345.6301,2316.2204,175.4511,885.5056,124.6986,247.8475,0.0
ITA_F,370.6243,3.6682,392.0204,5.0548,3.2298,1042.7888,1391.3022,154.2125,690.2922,53.2745,451.6972,103.2192,444.0402,805.2802,656.8202,1135.2819,354.7438,465.1187,1209.2291,388.585,191.2687,532.5545,1090.4283,3396.9381,45897.8285,5182.2422,701.2666,49.3797,86.6092,5835.9642,2009.7092,952.6873,697.6598,3553.2229,1133.1746,1188.5539,8080.2574,4435.7416,3085.402,5430.7811,327.1401,1988.8906,461.3915,273.6862,0.0
ITA_G,4085.9582,93.9249,364.6201,25.3947,3.9942,21474.3037,12172.5438,2355.4211,3298.631,3530.8432,5233.5648,2441.7442,3868.9121,3508.9033,3610.0027,5777.2379,2117.9561,3111.9292,7561.1911,4700.9509,1604.0252,5724.5495,2793.6268,1451.8636,13014.0918,22788.9167,4535.1887,1059.7761,937.9986,2930.2652,102.7227,7010.0643,1840.1464,1510.9542,1415.8969,1033.9167,918.5859,3308.9893,3762.8414,2600.288,323.6283,3776.0684,767.8858,1009.4672,0.0
ITA_H49,917.2849,23.1634,200.8285,11.9382,3.5819,4780.6227,1764.774,611.8466,763.4644,1349.5035,1317.4515,294.0355,969.0713,1434.3829,1121.9965,1645.4685,379.1305,862.7311,1906.6477,1315.4078,376.931,1341.7083,916.8657,312.7717,5469.1594,6673.6459,4035.813,281.3924,285.418,6613.4969,251.3792,1216.4296,510.89,449.6868,712.5755,290.5263,187.3632,1547.8215,1856.6164,638.7735,46.3289,905.1652,265.15,390.0892,0.0
