V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_A01_02,7936.7087,107.7374,5.6503,13.5827,0.2642,30840.2888,180.7826,3670.0112,108.2982,9.601,352.9219,170.1918,2612.7896,26.4679,19.8048,56.5352,100.1282,39.2504,71.7194,49.706,10.6126,124.2599,27.0769,10.9158,692.0923,3800.1871,23.6426,3.4622,3.7723,39.0748,1.8409,8118.7679,12.0761,144.9857,36.6544,83.283,16.497,500.7435,40.03,266.8705,550.3845,1734.5953,216.2825,378.0993,0
JPN_A03,1.9106,403.8466,0.0725,1.0139,0.0097,5834.5686,1.3348,0.3803,5.9131,1.0215,11.0525,7.9331,2.0472,3.0394,3.56,9.1265,10.2898,4.7116,13.5699,4.3198,1.411,138.9821,6.8475,3.7336,21.1608,220.3869,9.3438,1.6659,1.2841,7.5267,0.6284,2974.8153,5.5399,49.6271,13.3927,26.5595,3.2249,9.8255,6.6531,46.2205,30.4696,585.748,6.6406,49.9488,0
JPN_B05_06,0.6211,0.0398,0.0268,0.0384,0.1285,3.1513,0.2845,0.1647,11.1964,718.1576,8.4556,0.5289,0.6216,10.919,16.2311,0.3867,1.8344,0.9073,0.919,1.2235,0.1478,0.3092,329.4701,0.1838,8.2003,2.4667,0.4731,0.0562,0.0733,0.1794,0.0127,1.6323,0.078,0.2383,0.2263,0.3951,0.1198,33.1296,0.3651,1.0714,0.5197,0.7924,0.2752,0.3447,0
JPN_B07_08,4.6561,0.2642,0.0234,18.2659,6.1313,16.0667,2.1371,1.1263,76.9452,71.7098,191.4132,15.1925,26.1922,1978.1293,143.4696,16.5641,6.6552,13.9841,23.1393,3.1636,0.6856,33.3177,2.5328,0.7423,2658.8828,11.8623,24.0011,0.2792,0.34,0.8729,0.0655,7.5774,0.2645,1.2063,0.5973,0.9169,0.5671,25.7342,0.465,6.35,1.6708,3.712,3.5052,4.6926,0
JPN_B09,5.1199,4.6826,6.4988,20.2031,18.3499,8.0576,0.1428,0.3843,16.347,554.5166,59.8103,2.0579,4.4315,42.8346,147.4095,14.7939,0.1958,0.2657,3.4407,1.778,0.1047,0.2529,313.7733,11.4698,371.9773,2.6658,12.0023,0.566,0.0259,6.6259,0.002,1.8721,0.0264,0.0,0.1859,0.173,5.5976,1.7264,0.8213,2.7778,0.1989,1.5588,1.1237,0.5169,0
JPN_C10T12,3202.0422,451.2819,1.3085,21.4736,2.6779,22706.7902,246.8731,27.9369,327.8135,38.2967,685.2324,288.5116,109.3177,109.9263,98.172,100.4139,314.4792,160.2627,324.6234,138.3,35.9354,127.7686,135.5801,86.3578,577.5529,4308.9803,169.8722,27.6836,26.6154,224.2926,15.1696,41543.1354,167.8566,1004.8156,294.0028,709.0061,99.9205,554.6531,314.449,724.1154,1746.2369,5648.363,228.5261,675.0434,0
JPN_C13T15,52.6424,110.7106,0.8998,11.189,1.3977,146.8469,6634.7023,24.7968,638.5222,11.1072,146.4016,48.6454,1538.0685,139.7721,75.9376,81.9345,434.5352,243.1324,305.3699,517.8273,84.9847,324.6249,46.822,55.2345,1224.5334,1573.4989,139.9678,122.8495,27.3874,134.2178,12.7008,242.3353,112.0027,179.2022,220.3295,291.9793,20.7683,258.822,328.1582,456.4792,101.8768,1301.1236,398.125,250.0801,0
JPN_C16,72.0246,10.244,0.6545,3.208,1.788,107.457,30.8721,1593.4099,1321.3193,0.7527,16.5859,4.7047,10.7732,207.2798,111.059,134.3064,91.0392,51.8452,137.8897,91.2373,63.7193,1034.8284,94.2276,1.4317,11992.1351,636.1119,5.5598,5.785,1.6539,668.7161,0.7743,130.2711,21.7237,18.1984,8.8613,33.2201,3.1296,37.9508,36.4115,22.9884,2.5822,16.2463,51.2423,55.4898,0
JPN_C17_18,678.0819,21.0495,3.0195,14.6241,3.4783,4779.6602,433.4467,122.5378,26391.0821,78.309,2321.8568,1187.3093,531.8425,1131.533,380.5162,793.5471,3211.2694,1341.5047,1502.3257,909.842,190.5488,1096.5397,733.5668,347.5724,2751.5381,15376.774,822.362,108.7305,81.938,2336.3491,189.7119,1163.2971,10543.8632,2150.9904,2732.4272,8792.3071,225.0639,5554.3108,1777.068,5103.2753,2242.8574,3456.072,1822.5723,1364.4492,0
JPN_C19,743.7532,564.3615,7.6131,458.9381,61.2427,1154.4513,196.9147,105.9376,634.9027,3695.1078,6917.421,696.362,265.744,1656.8065,2122.4871,375.1001,805.9295,339.0203,657.9799,423.8768,265.7998,274.2923,9411.8162,414.7785,12763.5606,10471.3698,8351.0852,2373.4429,3094.5859,324.538,93.4205,1517.4219,278.1189,445.313,688.0271,643.3748,531.6993,4026.8687,817.0939,4462.6854,1271.2232,2215.3584,1253.0493,1199.5297,0
