V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_A01_02,1996.9423,57.1262,1.4941,2.2947,0.0023,17948.2156,353.7364,636.5964,5.3369,2.4153,27.8276,143.8594,320.1433,5.4985,15.8287,13.9777,30.1319,10.4845,20.4608,4.0002,10.7082,6.855,1.9395,1.7559,340.5617,32.6877,3.0241,0.5214,1.349,6.2531,0.384,2895.6885,2.5747,4.9326,8.4621,18.1068,3.9324,31.8278,7.9203,150.1587,4.9421,306.8466,9.7954,25.1851,0.0
KOR_A03,0.435,153.6347,0.0136,0.1064,0.0,1381.7255,2.2674,0.2034,0.5334,0.1666,2.7556,1.0069,0.866,0.5639,1.2643,1.644,5.092,1.2861,2.3869,1.7623,2.3998,3.148,0.1595,0.2015,1.6112,2.431,0.3273,0.0237,0.1531,0.1713,0.0497,1092.2058,0.4473,0.7611,0.4246,1.0836,0.651,2.9401,0.4612,25.0488,58.0299,24.5151,3.2759,2.2927,0.0
KOR_B05_06,0.0346,0.0052,0.0118,0.1036,0.0027,0.0736,0.1209,0.0048,0.0516,132.3694,12.0094,0.0276,0.0379,24.2592,21.1717,0.0992,0.0863,0.0576,0.0561,0.0491,0.0231,0.0191,192.2213,1.0407,0.2334,1.3337,0.1063,0.0091,0.0503,0.2843,0.0123,1.3175,0.0404,0.0328,0.2505,0.4424,0.3186,2.7806,0.3911,0.0975,0.3921,0.6521,0.4288,1.4068,0.0
KOR_B07_08,1.7428,0.2968,0.0047,85.2692,0.0819,21.4819,5.2383,0.3566,40.4684,6.3029,331.7225,1.5343,5.7251,1651.4378,189.1003,10.3168,32.6046,7.1342,12.202,4.8497,1.5447,3.6883,0.7038,3.6123,271.8934,1.0259,0.3772,0.1417,0.2521,0.1686,0.0306,13.4294,0.2076,0.0756,0.2187,0.1815,0.3508,1.672,0.38,5.0916,0.7553,3.5881,0.3454,1.6775,0.0
KOR_B09,0.123,0.0954,0.0889,0.7796,0.0088,0.0874,0.0076,0.005,0.1338,2.7223,0.9106,0.0138,0.0495,0.7967,0.8827,0.2276,0.0037,0.0028,0.0308,0.0104,0.0004,0.0015,1.9624,0.0315,4.818,0.0188,0.3081,0.0089,0.0006,0.1441,0.0001,0.032,0.0008,0.0,0.0028,0.0035,0.1086,0.0491,0.0181,0.0454,0.0177,0.0248,0.0189,0.0158,0.0
KOR_C10T12,2768.6025,69.0878,0.3186,5.1797,0.0098,7049.0686,463.4658,6.3378,40.3993,19.8273,281.1113,82.5251,27.9643,14.3464,61.9336,51.2872,112.3343,34.7894,65.0333,61.2585,28.5367,7.4659,14.1925,8.7472,91.4048,201.9885,24.1186,6.9632,7.7266,48.6958,2.6565,14908.8128,34.4776,35.1098,57.7026,107.373,22.8837,315.1962,86.2192,75.0207,744.0089,194.9131,81.4449,157.098,0.0
KOR_C13T15,179.263,160.351,0.5219,7.3436,0.0337,126.789,11822.7883,11.567,180.4227,13.8064,174.5687,25.8159,616.8477,84.2387,54.5909,111.7337,385.0571,106.6586,138.2683,354.5736,204.6945,706.5153,36.6293,38.8315,352.138,435.2676,124.3949,10.5664,18.0638,124.215,41.0922,247.1367,34.9992,11.6012,12.0105,64.7727,57.3016,119.9989,109.0448,257.7573,50.7482,160.8585,98.2,390.7417,0.0
KOR_C16,45.2665,137.8763,1.1479,6.4448,0.026,50.9641,15.279,1008.9963,89.8119,4.0642,41.4747,4.8539,23.3847,75.5534,54.1513,139.4603,84.092,128.3639,149.2117,104.7869,121.7339,528.3623,3.8805,1.1013,1601.7095,37.2695,21.377,0.69,0.3424,64.4593,0.3982,58.0631,3.7666,0.3208,0.8838,1.0928,3.3276,9.6135,7.7047,16.5023,22.4091,16.8474,16.4377,13.5531,0.0
KOR_C17_18,199.2123,9.077,0.1095,1.6874,0.0222,1089.7089,409.1529,37.5632,6158.765,20.7806,371.5768,287.7279,237.737,249.294,41.004,207.1676,783.5747,440.1755,186.1995,103.3369,29.5838,813.6362,14.953,24.2832,351.9424,993.4439,54.88,7.6451,9.4033,141.1705,192.4516,214.1307,1209.1999,61.2062,209.4337,339.491,80.7545,1575.5982,182.9716,413.0439,807.059,151.0288,126.7861,304.8525,0.0
KOR_C19,608.6688,216.1709,0.7215,104.5134,0.2858,234.8441,766.695,62.5202,298.7313,4921.1187,11309.1216,310.7741,1669.5985,593.9271,750.6621,492.7027,919.2443,317.6607,285.7127,300.8933,145.5772,122.3335,682.1899,143.3902,854.6185,750.8501,2865.8035,1108.097,1101.293,218.3124,28.6246,546.9462,49.3354,20.212,33.1142,50.7111,56.3483,478.5973,127.9738,254.5559,347.1737,194.3331,87.6576,207.4562,0.0
