V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_A01_02,520.01,3.9334,0.1112,0.0916,0.0128,319.6141,9.1482,78.2354,2.1672,1.8495,6.2977,0.5125,0.443,0.4365,0.0366,0.6006,0.3099,0.1509,0.1488,0.2003,0.1125,2.9412,2.9189,0.7207,16.8334,38.2498,2.3042,0.106,0.3749,1.5814,0.0155,2.828,0.3322,0.2944,0.1329,0.1726,4.8075,1.4942,1.0376,9.4883,2.101,1.8554,1.1157,1.2336,0.0
LTU_A03,0.2919,6.0594,0.007,0.0044,0.0004,20.1066,0.1616,0.0916,0.0204,0.2361,0.0636,0.0039,0.0374,0.0378,0.0044,0.0724,0.0303,0.0145,0.0107,0.0164,0.0087,0.049,0.1732,0.0387,0.189,8.1294,0.0523,0.0069,0.0568,0.0274,0.0008,1.5758,0.0605,0.0231,0.017,0.0188,0.2536,0.3349,0.1488,0.5091,1.0287,0.3577,0.2414,0.0836,0.0
LTU_B05_06,0.7172,0.0162,0.1236,0.1495,0.0065,0.8969,0.203,0.7292,0.1885,71.365,4.2349,0.0076,1.5931,0.2046,0.007,0.1339,0.0426,0.026,0.0295,0.0437,0.0287,0.1685,5.7003,0.0781,0.7837,0.243,0.1444,0.0117,0.0021,0.0506,0.0022,0.0559,0.0286,0.021,0.0015,0.0173,6.4552,0.0529,0.1841,0.1678,0.0371,0.0468,0.0311,0.0326,0.0
LTU_B07_08,3.6069,0.0072,0.0,0.1872,0.0335,1.6837,0.3902,0.0,0.0498,7.8133,0.5024,0.0,0.2044,33.785,0.0428,0.0064,0.0002,0.0014,0.1309,0.0181,0.0,0.0156,0.3129,1.2438,13.6619,0.7035,2.4275,0.0,0.1214,0.6717,0.0001,0.0411,0.0009,0.0001,0.0001,0.0,0.3372,0.0099,0.0088,0.5289,0.0033,0.0064,0.1876,0.5112,0.0
LTU_B09,0.2521,0.038,1.7063,0.4717,0.1977,0.09,0.0044,0.0423,0.0625,9.7793,0.4083,0.0188,0.0408,0.5772,0.0113,0.0832,0.0004,0.0006,0.0023,0.0009,0.0006,0.0042,3.7439,0.0638,4.9266,0.0602,0.4483,0.008,0.0002,0.2257,0.0,0.005,0.0003,0.0,0.0007,0.0015,0.3329,0.0168,0.014,0.0523,0.0104,0.0163,0.0165,0.0057,0.0
LTU_C10T12,99.7623,0.8062,0.0147,0.014,0.003,337.3334,1.0778,0.0298,0.096,0.018,5.537,0.0,4.5399,0.0183,0.1595,0.6852,2.9885,0.0085,0.3752,0.2971,0.0172,0.2053,0.9441,1.2957,20.7991,22.4989,0.028,1.3858,0.9919,4.3552,0.1867,20.3819,0.3403,7.7422,0.0577,1.4386,0.2349,3.753,1.8368,17.0781,6.3125,27.939,2.7123,0.1665,0.0
LTU_C13T15,2.5253,0.255,0.2421,0.145,0.0268,6.165,67.2476,3.8584,1.1209,3.4827,1.3781,0.052,0.8815,0.5824,0.0714,0.6902,1.7965,0.5658,0.3439,0.5956,0.3687,5.6981,3.183,0.7269,9.1699,13.8807,4.5679,0.3052,1.3335,1.2833,0.0379,1.2341,2.224,0.5197,0.2632,0.4013,3.6618,1.1447,0.6429,10.7771,0.8616,4.0247,4.0003,2.6615,0.0
LTU_C16,9.1999,0.9924,1.4369,0.2472,0.0281,31.2092,7.7412,114.5057,22.6142,4.158,27.2286,0.0326,3.9212,1.2215,0.1473,1.5643,2.5227,1.2697,0.714,2.2434,1.4937,89.3099,15.0714,1.9358,113.665,18.3104,4.1625,0.3118,0.3755,2.3375,0.4735,0.8093,11.9297,0.2687,0.5633,2.5891,9.9285,12.4544,6.5604,10.4323,13.2608,2.0658,0.7391,2.4192,0.0
LTU_C17_18,4.4679,0.3693,0.1663,0.4071,0.0052,29.6836,0.9715,3.9278,8.3567,3.387,2.6402,0.0084,1.2133,1.4764,0.0458,0.4045,2.2384,0.4469,0.4777,0.8306,0.238,9.3013,6.3805,0.4939,7.7473,20.3567,2.043,0.2829,0.3915,2.0167,1.2215,0.8199,14.7654,0.5882,3.432,12.7995,10.712,10.147,2.876,17.5215,16.959,2.5114,13.5514,3.7147,0.0
LTU_C19,24.9935,1.0429,1.4909,0.966,0.5332,26.7046,13.7827,2.1202,2.3391,108.0119,2.3549,0.009,0.3244,4.3498,0.2244,0.7226,0.3494,0.3099,0.1019,1.2155,2.7033,2.3238,70.0771,5.1377,64.6034,134.226,55.796,3.8567,4.1535,38.4615,0.1904,1.6389,11.6661,1.7079,0.4356,3.7846,14.2094,9.6244,6.3211,42.4987,0.4499,18.1717,7.6891,2.5311,0.0
LTU_C20,23.5581,0.0784,0.7256,0.4804,0.0404,12.5546,6.6554,24.7278,8.0079,0.3985,23.1301,0.0042,25.0162,6.0707,0.1149,2.2656,3.3567,0.8164,0.4103,0.3256,1.0358,7.6982,1.211,3.2804,31.5411,8.1156,0.2766,0.067,0.4207,1.765,0.0032,0.7388,0.5381,0.0565,0.0461,0.2912,0.5491,1.0329,1.0343,1.9938,0.6465,11.5966,1.1683,1.8372,0.0
LTU_C21,0.4439,0.0272,0.0063,0.0061,0.0008,0.6737,0.1001,0.1823,0.0345,0.5246,0.2467,1.8122,0.0957,0.0595,0.0021,0.0659,0.0473,0.0265,0.0167,0.0193,0.0194,0.1431,0.1835,0.0322,0.4662,0.2279,0.0872,0.0157,0.0036,0.0503,0.0014,0.0334,0.0324,0.0329,0.0051,0.0336,0.0871,0.0525,0.0228,0.1417,0.0577,0.4421,0.0597,0.0325,0.0
LTU_C22,10.4245,0.7508,3.2643,2.1331,0.0508,25.4584,4.5765,11.2759,2.2928,17.0123,8.3589,0.0478,79.2497,21.279,0.0707,5.7943,11.3025,2.7672,2.2699,12.9477,4.3808,14.0655,12.9762,4.2058,28.9733,17.165,32.8298,0.9154,1.5898,5.8179,0.0095,2.0555,3.7444,2.074,0.0976,1.8094,6.0332,7.9769,4.5519,10.9529,0.779,13.2115,1.1064,3.2399,0.0
LTU_C23,4.8784,0.1708,0.1761,0.3176,0.0529,36.5788,0.421,3.6768,0.3661,3.4999,1.7653,0.0359,4.6157,13.0645,0.0891,1.5995,2.6569,0.2313,0.6472,2.0372,0.2492,2.5555,3.3664,1.7046,187.5881,14.402,4.6174,0.6865,0.1257,0.6238,0.0053,0.9967,0.762,1.1911,0.1046,0.1396,23.8823,0.9853,0.4467,6.7371,0.5964,2.1948,0.2832,1.3665,0.0
LTU_C24,0.3329,0.0685,0.0,0.1436,0.0166,0.1423,0.0768,0.8441,0.014,0.1438,0.0765,0.0003,0.0502,0.5864,0.2544,7.5472,1.4204,0.671,1.0342,1.3771,0.2491,0.8268,1.8899,0.4486,4.6277,0.2815,0.0132,0.0009,0.0001,0.1222,0.0,0.0008,0.0,0.002,0.0,0.0281,0.4541,0.0019,0.0026,0.0045,0.0061,0.0043,0.0004,0.0963,0.0
LTU_C25,8.0285,0.5248,0.8541,1.0038,0.1075,35.1916,1.1429,9.3647,2.2773,2.8887,2.2412,0.053,1.1408,2.2465,0.1809,27.7709,2.0246,1.324,5.5129,3.7858,0.8446,7.9612,31.3983,2.7827,34.1168,9.7441,5.5859,0.3166,0.1901,1.1018,0.0438,0.4262,0.9958,0.59,0.2151,0.8247,5.802,1.8747,1.3157,6.521,0.779,1.1347,0.4361,0.8696,0.0
LTU_C26,2.7233,0.2929,0.1947,0.1736,0.0125,7.4063,0.7982,2.1982,0.4075,5.314,0.5048,0.0847,0.8577,0.828,0.0399,1.2145,13.8877,9.5106,0.8402,0.6104,0.8047,3.6992,7.1363,0.7492,10.9938,5.6628,2.1466,0.129,0.1352,1.1437,0.009,0.2991,0.5721,14.027,0.8113,3.4214,2.7307,2.1133,1.1017,5.2599,0.6783,1.7173,0.6023,2.815,0.0
LTU_C27,0.9513,0.2047,0.0145,0.0325,0.0073,1.0127,0.1942,0.3485,0.0729,1.5093,0.1492,0.0152,0.1132,0.3908,0.0185,0.2166,6.6867,4.2262,0.3057,0.3979,0.9074,0.7044,4.1889,0.3155,10.9218,2.9443,1.8482,0.383,0.0129,1.2593,0.024,0.1182,0.035,3.2892,0.1541,0.2585,3.0,1.3263,0.8275,1.3018,0.0971,0.9103,1.8957,0.4143,0.0
LTU_C28,2.2098,0.1082,0.1248,0.0672,0.0213,2.8106,0.2916,1.0106,0.3702,0.6294,0.5514,0.0309,0.5587,0.3344,0.0279,2.0474,0.3931,0.4729,0.9159,0.3615,0.3652,1.5537,5.7742,0.7575,3.5163,2.222,3.6798,0.1094,0.2465,0.618,0.0144,0.1412,0.1656,0.1785,0.0553,0.1296,0.9624,0.2907,0.2388,1.5452,0.1248,0.3625,0.1796,0.2464,0.0
LTU_C29,0.6025,0.0723,0.0309,0.0236,0.0048,0.3745,0.0471,0.3941,0.0769,0.5875,0.2698,0.001,0.3383,0.2063,0.0111,0.0919,0.7369,0.2115,0.1238,1.5337,0.8743,0.39,3.6483,0.8809,0.6457,12.0856,22.5111,0.1094,0.0651,2.435,0.0257,0.0529,0.1118,0.0485,0.0106,0.0554,1.3706,0.6631,0.7172,0.9011,0.1573,0.2012,0.0914,0.1895,0.0
LTU_C30,0.1564,0.4666,0.0093,0.0107,0.0015,0.0,0.0,0.2652,0.0012,0.0047,0.0004,0.0,0.0,0.0544,0.0,0.0,0.0,0.0,0.3671,0.093,15.2779,28.22,0.0053,0.0045,0.0836,1.1673,17.0722,8.0797,0.6423,1.547,0.0,0.0,0.1658,0.0,0.0,0.0152,0.0,0.7781,0.1311,8.0907,0.0905,0.1338,1.3105,0.0002,0.0
