V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_A01_02,232.3372,0.3517,0.0001,0.1498,0.0003,262.5148,4.1066,163.6884,2.7967,0.2465,1.608,0.0899,0.3203,0.9102,0.6429,0.5157,0.0809,0.1366,0.1711,0.087,0.1254,5.5939,3.0032,0.7123,42.8962,17.1574,1.9315,0.0487,0.0573,1.5112,0.0498,7.8663,0.2141,0.2284,0.1424,0.2453,4.4078,0.9457,0.7395,5.0783,3.3786,4.0138,1.0137,1.4171,0.0
LVA_A03,0.14,0.644,0.0001,0.0294,0.0,19.1214,0.0172,0.102,0.1272,0.0027,0.0375,0.0276,0.0128,0.0111,0.0265,0.0976,0.0042,0.0146,0.0072,0.0178,0.0073,0.0578,0.0613,0.0227,0.4073,0.4549,0.1531,0.0194,0.0103,0.3792,0.0007,0.1008,0.0073,0.0143,0.0067,0.0092,0.2335,0.0369,0.1321,0.1372,0.0226,0.1592,0.0117,0.0635,0.0
LVA_B05_06,0.0432,0.0001,0.0002,0.0066,0.0,0.0212,0.0023,0.0035,0.0036,0.0001,0.0003,0.0,0.0006,0.0043,0.0044,0.0011,0.0001,0.0001,0.0002,0.0002,0.0001,0.0007,0.0313,0.0035,0.0123,0.011,0.0336,0.0,0.0001,0.0042,0.0002,0.004,0.0006,0.0005,0.0007,0.0007,0.0895,0.0511,0.0513,0.1223,0.0372,0.0384,0.0035,0.0244,0.0
LVA_B07_08,0.6682,0.0252,0.0002,2.6228,0.0048,0.7794,0.0735,0.4348,0.3213,0.0116,0.4006,0.0087,0.2318,12.9289,0.6788,0.1361,0.011,0.0243,0.0185,0.0109,0.174,0.4959,0.4199,4.7628,40.3298,0.6035,2.3844,0.0046,0.0071,0.3768,0.0067,0.0421,1.5939,0.0247,0.008,0.012,4.5781,0.0905,0.11,0.1001,0.0679,0.1656,0.0551,0.3015,0.0
LVA_B09,0.0001,0.0,0.0,0.0005,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0029,0.0,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA_C10T12,25.8145,0.5581,0.0001,0.0252,0.0,268.2805,0.0986,0.5651,0.0395,0.005,0.0607,0.0108,0.0298,0.0346,0.0513,0.0472,0.0117,0.0285,0.0246,0.0141,0.0196,0.0885,0.2486,0.0888,8.8679,23.4265,1.7243,2.803,0.3828,0.5565,0.0103,65.7449,0.7549,0.0255,0.1421,0.4571,8.5865,1.4734,0.5889,8.8718,14.2476,21.1319,8.119,2.3114,0.0
LVA_C13T15,1.0701,0.101,0.0,0.0267,0.0001,3.0211,64.4799,1.4949,0.3434,0.0671,0.1185,0.1209,1.0436,4.2185,0.4402,0.7197,1.0488,0.4277,0.2605,0.2482,0.1408,5.1152,1.4137,0.2362,13.9993,2.4991,1.8702,0.0406,0.0777,1.1877,0.028,0.5895,0.184,0.1326,0.0686,0.2191,2.8261,2.3856,3.3935,4.5975,1.2034,1.9736,1.0145,1.4573,0.0
LVA_C16,23.3527,0.1547,0.0011,0.3061,0.003,9.8362,1.4415,243.2154,2.4038,0.1857,0.3882,0.2354,1.6749,4.0196,2.259,2.0569,0.2949,0.5919,0.4803,0.3711,0.4605,50.1229,14.028,1.0133,85.0633,25.0302,8.1676,0.633,0.248,6.7393,0.0864,1.3645,1.1743,3.3072,0.1335,0.5261,12.691,3.3807,4.0706,3.91,1.4276,2.6319,0.907,1.6699,0.0
LVA_C17_18,2.6296,0.0782,0.0,0.0843,0.0001,27.1246,0.8633,5.139,25.8474,0.6429,1.2173,0.3156,0.3487,1.0336,0.0971,0.5645,0.0307,0.2859,0.3043,0.0099,0.0848,1.422,1.1521,0.2185,6.48,13.6723,6.5255,0.0042,0.0195,1.5159,1.3535,1.8923,37.7578,0.7224,0.1421,3.2275,3.0988,28.0934,7.4208,9.9895,3.499,3.2182,11.2435,3.1413,0.0
LVA_C19,3.8157,0.3128,0.0001,0.2215,0.0004,1.0481,0.0549,0.9535,0.0551,0.0161,0.058,0.0195,0.0601,0.4381,0.1589,0.1082,0.0127,0.027,0.04,0.0133,0.0256,0.6375,1.0469,0.5544,5.2403,2.0882,7.6406,0.4381,0.3812,1.6973,0.0707,0.1204,0.0824,0.0264,0.0748,0.1769,3.2313,0.9537,0.8712,0.9376,0.4039,0.4023,0.0878,0.2323,0.0
LVA_C20,5.0749,0.1411,0.0001,0.1969,0.0011,1.9503,0.4345,3.974,1.2837,0.3401,1.7397,0.7472,2.8403,1.2961,0.3067,0.4198,0.0256,0.0892,0.0733,0.0288,0.0736,1.304,0.4765,0.7031,7.2605,1.0894,5.7233,0.057,0.1639,1.3283,0.0597,0.3475,0.2737,0.105,0.0432,0.1902,1.547,1.1538,1.1323,1.3776,0.4274,4.8762,0.2341,0.3551,0.0
LVA_C21,1.9659,0.047,0.0001,0.221,0.0001,1.5158,0.3368,0.9829,0.1665,0.6938,0.7267,2.3474,0.0432,0.1923,0.3334,0.1696,0.0435,0.0137,0.0158,0.0839,0.0544,0.0569,0.2541,0.4526,4.1557,2.4729,0.2748,0.0048,0.0064,0.1974,0.0028,0.2252,0.0907,0.0073,0.0064,0.013,0.5385,0.628,0.5974,0.1487,0.055,10.1288,0.1225,1.0156,0.0
LVA_C22,3.3076,0.2552,0.0005,0.2327,0.0007,22.5634,1.3963,3.8909,3.7386,0.4971,1.0513,0.6973,15.5606,2.9165,1.9446,2.0497,0.2247,0.6708,0.7129,0.6938,0.1999,1.6573,0.885,0.8268,23.8422,8.3137,5.0931,0.038,0.033,0.7116,0.4515,0.6885,0.3846,0.1285,0.2376,0.5265,2.4383,1.6292,1.2192,1.1876,0.3563,0.6253,0.2473,0.4075,0.0
LVA_C23,1.6141,0.0439,0.0001,0.3692,0.0008,7.6932,4.8658,3.0277,0.3998,0.3354,0.7751,0.2852,4.6968,8.8986,0.5156,1.0522,0.3819,0.5773,0.1335,0.6022,0.172,3.6608,1.2896,1.3058,102.0493,23.5356,2.5957,0.0668,0.0935,0.5502,0.0409,0.6399,1.2843,0.0955,0.0488,0.5636,7.618,1.2325,0.7902,2.3901,1.2112,1.3362,0.6633,0.6946,0.0
