V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_A01_02,1429.9666,4.3469,0.0173,1.7895,0.0005,3312.2557,13.984,42.7237,15.1356,0.0,45.0474,9.8323,4.4749,1.1324,0.0737,1.37,0.0,0.0,0.0,0.1746,0.7007,16.1513,0.0,0.0,0.6261,0.8246,1.0627,0.8528,0.4295,0.5717,0.0,48.7622,1.7383,0.0,0.606,0.0,0.3147,1.8669,5.4052,5.769,1.1201,0.6059,2.4302,12.2227,0.0
MAR_A03,0.0,10.2761,0.0,0.0,0.0,258.1341,0.2705,0.0,0.0,0.0,1.3716,0.8948,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,4.6669,0.0097,0.0153,0.0116,0.0067,0.0,50.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6886,0.2605,0.4063,0.0,0.0,0.0
MAR_B05_06,0.0,0.0,0.0009,0.0507,0.001,0.0,0.0048,0.0012,0.0128,8.4178,0.0084,0.0002,0.0,0.0039,0.0167,0.0439,0.0037,0.0075,0.0,0.0,0.0,0.0012,3.6956,0.4002,0.0013,0.0,0.0058,0.0014,0.0019,0.002,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4548,0.0531,0.0232,0.0,0.0,0.0
MAR_B07_08,0.1541,0.1727,0.0707,25.044,0.0588,8.0196,0.4529,2.1319,0.2974,1.5755,577.4453,19.4199,0.3177,104.5409,94.2943,11.525,0.548,10.4184,0.6771,0.411,0.0682,0.5719,0.015,0.0196,275.671,6.7172,1.5289,0.2672,0.3158,0.8082,0.0018,0.2881,0.1689,0.0134,0.0298,0.0294,0.1418,0.0779,0.0685,5.981,0.0149,0.0085,0.0411,0.257,0.0
MAR_B09,0.846,0.4316,0.1615,7.49,0.0583,0.3445,0.0082,0.0079,0.1002,1.4211,0.823,0.0214,0.0173,1.5798,0.2618,0.0791,0.0008,0.0014,0.0013,0.0043,0.0003,0.0024,1.8441,0.134,6.6038,0.055,0.2217,0.0169,0.0014,0.0875,0.0001,0.0268,0.0006,0.0,0.0249,0.0043,0.0825,0.2125,0.0819,0.0956,0.0174,0.1098,0.0077,0.0262,0.0
MAR_C10T12,255.6532,2.1941,0.0,0.0,0.0018,1239.3434,8.4352,0.0746,0.2724,0.0,1.5031,0.2823,0.0702,0.1739,0.0,0.0282,0.2283,0.0,0.0,0.0,0.0,0.7982,0.0,0.0,0.0,43.3881,0.2498,0.2229,0.3904,0.2031,0.0,471.1667,1.2044,0.0,0.0766,0.0,0.1014,0.2416,0.6092,20.4177,5.8018,3.1946,1.0155,4.516,0.0
MAR_C13T15,5.9962,2.0929,0.0135,1.4728,0.0042,7.9167,339.8078,0.3274,1.1343,0.1064,7.5864,1.1243,4.3315,0.3953,0.2191,0.6325,1.5435,2.3527,0.374,1.5817,0.0989,10.5278,0.0546,0.0161,2.5933,12.0172,0.2343,0.0449,0.0964,0.0821,0.0303,0.8977,0.6123,0.1596,0.0847,0.052,0.0815,0.2444,0.5975,20.0886,1.451,0.9667,0.2059,1.1949,0.0
MAR_C16,1.7523,0.0443,0.0007,0.1761,0.0033,2.1442,0.386,41.4267,9.685,0.0125,0.0259,0.0037,0.345,4.8571,0.1168,0.1953,0.0041,2.9633,0.1441,1.302,0.8042,35.1904,0.0065,0.0037,131.3995,1.6129,0.6294,0.2027,0.1825,0.45,0.1242,0.025,0.7632,0.6413,0.2594,0.0092,0.4435,0.5645,1.6385,0.0281,0.0104,0.0063,0.3952,3.0201,0.0
MAR_C17_18,7.9908,1.4417,0.0147,2.078,0.0046,51.1083,4.8494,0.579,106.668,0.202,17.1457,4.1662,0.9122,26.2036,1.3067,2.1972,1.7636,3.7616,1.1308,3.1339,0.2015,2.1496,1.6975,0.3395,3.5693,28.4791,2.1931,0.4863,1.1104,1.5889,0.5542,3.1223,31.6461,3.4625,5.4752,13.2609,2.7826,17.8888,23.2699,32.3494,18.0915,5.3726,0.6235,2.795,0.0
MAR_C19,112.0862,46.2338,0.4262,76.8598,0.0823,101.38,13.2886,2.9519,7.3234,0.1427,33.6484,1.6032,5.6209,209.2772,14.4271,8.2785,6.5508,6.1287,1.1547,9.7694,0.3201,9.4813,51.8199,5.6277,123.0014,174.3207,174.3791,52.3952,112.4416,21.5154,2.3278,9.6053,2.5649,7.9325,1.9103,0.0021,1.7267,3.212,13.1717,102.0117,6.2228,2.8928,1.4617,8.4606,0.0
