V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_A01_02,272.0885,1.9221,2.5091,0.5895,0.6362,1574.2353,22.2214,369.6865,145.8376,4.5897,10.9446,3.5115,1.675,5.4959,1.9182,24.6479,3.1868,1.7427,5.087,0.6311,5.3473,9.4908,8.4999,1.7632,90.3391,195.7285,4.3413,10.5109,1.1462,6.9514,0.5585,34.1763,22.5126,14.2448,7.9249,4.3001,18.505,32.1369,31.1569,27.0718,8.9402,34.9509,6.8088,4.5807,0.0
NOR_A03,4.1125,209.2998,7.5231,0.4793,0.2977,1762.6627,0.605,1.4276,1.298,0.0621,1.3821,0.5167,0.304,1.014,0.9995,1.5134,0.7056,0.6269,3.3683,0.2639,2.4679,2.0721,1.9208,0.393,2.6841,10.2412,0.9965,22.0258,0.4037,0.9968,0.5537,101.2907,5.0654,1.2389,2.3224,1.6845,0.6019,2.6892,2.2121,1.976,3.0457,50.4589,1.3217,0.1281,0.0
NOR_B05_06,50.7568,57.7073,302.2904,30.2307,116.7689,156.2133,3.9706,22.1994,61.0825,3793.2677,119.2864,8.4836,6.6156,93.7581,151.2668,59.9288,11.6972,30.3196,157.1254,7.8277,113.3623,48.0684,124.4043,32.4228,266.0859,342.6507,308.6648,808.614,181.2556,123.1978,30.7572,23.6241,14.1713,72.1224,14.5627,28.4471,31.5913,56.7283,55.7719,85.2765,22.3486,62.1728,10.4682,17.2994,0.0
NOR_B07_08,3.0082,1.634,19.3494,28.1994,11.7582,13.1677,0.2907,2.266,6.0196,0.6885,60.4377,7.0523,0.7232,58.5172,47.1555,2.2083,0.8038,0.8313,5.5671,0.3365,11.8178,2.8074,0.314,1.3557,68.0552,3.832,5.325,4.1105,0.4288,1.2032,1.7376,0.6963,2.0913,1.6771,0.2013,0.4641,7.4938,1.2937,1.1595,5.2935,0.4712,2.3027,4.5725,0.3894,0.0
NOR_B09,1.8975,12.3309,3371.7297,42.4784,445.9964,3.9385,0.0258,0.635,5.6045,280.9538,12.1677,0.1719,0.3275,17.3889,18.8532,3.4654,0.0108,0.022,0.4047,0.0203,0.0162,0.069,74.1577,1.8624,189.896,2.3443,8.6488,7.1591,0.0685,7.4843,0.0053,0.4334,0.0286,0.0,0.1097,0.1269,7.9738,1.6651,1.1306,2.1813,0.4717,1.3806,1.1439,0.4519,0.0
NOR_C10T12,536.9084,586.1378,2.6449,0.2496,2.6591,4097.2769,14.2761,2.3018,1.5275,1.6671,38.3825,5.7258,0.9869,6.1517,3.3874,1.8577,1.6535,1.3528,2.9252,0.4222,2.4921,5.5627,2.3096,0.576,7.1216,67.571,0.9029,103.0009,0.4438,0.7802,0.2006,1025.8661,8.6951,3.5555,2.7279,1.8377,4.5044,11.6814,7.9879,44.437,18.0806,287.1518,1.8573,0.6668,0.0
NOR_C13T15,1.3199,6.1544,17.2117,0.7498,1.8317,8.6993,32.4919,1.9058,1.6826,1.3017,2.842,0.1951,1.5919,1.6483,2.9899,3.215,1.3778,1.1577,4.6318,0.9234,6.6325,21.6313,2.2479,5.2994,30.0614,19.4495,2.2313,26.3911,0.5166,3.7614,0.4086,6.5577,6.0707,3.1788,0.4721,0.8391,5.5476,10.0719,6.9397,5.0909,2.6022,29.3433,19.2498,7.9604,0.0
NOR_C16,2.4073,4.9179,14.2624,1.303,6.5934,21.07,1.1198,474.2359,40.7351,3.4506,15.542,0.172,1.4359,9.0354,7.574,9.299,2.2242,2.8025,10.8335,2.3472,17.1759,106.0888,10.1849,25.594,1423.0916,139.6767,5.5369,10.4326,1.6376,6.122,1.0258,2.7086,2.8226,4.6513,0.5734,2.4819,253.6971,7.8278,5.1529,5.1401,12.1478,13.6226,35.6902,5.9185,0.0
NOR_C17_18,10.4657,37.0244,24.0839,3.5318,6.5714,104.9657,3.2613,8.1664,612.2621,86.8057,31.8452,8.719,11.3899,17.4241,8.7694,7.0246,1.9455,6.4062,16.5159,2.2483,18.6139,12.5944,2.2595,8.1261,41.144,429.5572,19.9617,17.8885,2.1625,15.7999,85.5559,25.7408,787.6888,7.7818,1.7795,4.493,36.3198,132.1952,38.3277,91.0569,32.9033,44.0687,55.1028,47.9725,0.0
NOR_C19,47.8552,58.7927,24.5778,15.7221,64.3213,30.0163,1.694,4.8477,17.6229,633.028,73.5209,4.8652,2.2214,68.9399,55.7588,10.95,0.2812,15.4355,6.4908,1.6484,7.3437,9.9203,10.4437,26.0525,144.1948,307.1125,325.1751,855.9251,206.8827,111.0387,4.5052,11.6315,4.964,13.8171,4.393,5.9922,8.7078,26.1872,21.5625,44.0229,17.259,52.9752,2.3818,8.9697,0.0
