V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_A01_02,2193.4882,10.0996,0.6297,0.7045,0.2061,5063.0729,129.329,575.0407,182.6332,0.8247,0.4516,0.2132,11.1424,0.6662,0.3025,1.1046,0.6403,0.2488,6.4951,0.219,0.8345,1.001,1.6326,0.5242,49.351,105.8337,12.471,2.2086,0.8594,3.2177,0.1728,73.8269,4.3511,0.7752,0.8764,9.5546,19.6595,76.5685,53.5986,116.2991,3.2435,27.4611,54.7091,7.8672,0.0
NZL_A03,1.4747,620.3556,0.3864,0.3653,0.1848,953.0223,0.6857,0.3535,0.7502,0.5752,0.2945,0.2566,0.2476,0.265,0.3544,0.2836,0.168,0.0894,0.1054,0.0209,0.0163,2.3821,0.4094,0.264,1.6027,11.2046,0.9767,0.1558,2.301,0.3029,0.0469,51.5424,1.6484,0.3761,0.3066,8.9721,2.1142,2.3935,2.4892,3.6664,0.7345,1.7824,0.5789,0.4637,0.0
NZL_B05_06,5.2639,0.6334,19.644,15.5437,7.0662,15.5863,3.0091,1.0558,1.8352,440.3979,49.6311,0.2223,0.7866,8.3206,21.218,5.5125,0.0913,0.1458,1.3298,0.1421,0.1305,0.9409,150.4059,0.948,91.5848,37.0674,4.1385,0.6305,4.433,0.7975,0.0419,3.7379,2.3051,0.0696,0.0601,1.219,15.941,5.1875,2.732,4.132,5.9736,5.4984,0.7347,1.3496,0.0
NZL_B07_08,16.8994,0.0319,0.5104,1.1527,1.4393,24.9484,8.3096,0.7124,0.0537,2.0267,31.5865,0.2677,3.5273,27.8117,40.6048,0.6737,2.8555,2.4139,0.8286,0.0083,0.0118,2.3034,0.3455,0.3643,85.8009,2.2197,0.5555,0.0416,0.0103,0.1681,0.0088,3.2129,0.0401,0.0193,0.0271,1.5935,2.0317,0.8287,0.5284,0.3696,0.2972,0.1192,0.0808,0.438,0.0
NZL_B09,0.9754,0.0226,40.1977,38.2304,16.5929,18.975,6.8454,0.9959,0.9452,32.2842,7.4431,0.4921,1.6783,2.5028,26.179,13.6372,0.2939,0.2083,2.7198,0.2746,0.0246,1.8545,5.6642,0.4267,17.1317,42.9583,0.6466,0.0124,0.0589,0.1824,0.0419,0.8714,0.1869,0.0998,0.1202,0.6842,3.7746,8.5744,4.7491,6.2752,4.56,1.3684,0.436,0.5451,0.0
NZL_C10T12,178.7476,67.9381,4.6874,8.6467,3.0798,1391.5718,127.4037,54.1359,128.4965,32.6436,73.8097,52.4716,81.3567,20.8223,23.3293,21.5687,8.6588,16.4998,10.4601,2.9888,7.5468,5.5627,11.698,8.4573,67.8181,304.4148,13.5328,5.2658,27.0036,16.4122,4.5482,567.8252,217.6796,3.6794,6.4068,15.4494,66.9859,60.389,56.6233,35.6793,27.2785,112.1119,32.3162,14.1385,0.0
NZL_C13T15,11.3006,7.0799,1.0465,1.3253,0.9091,15.0329,110.6217,3.3478,5.3031,4.2123,1.6173,0.615,4.5772,1.6258,4.5268,2.1885,13.0138,0.8795,1.2499,1.694,1.7252,12.0824,2.4127,0.7183,43.2891,95.2486,5.0115,1.3151,7.6329,2.3708,0.1488,3.4529,4.8406,0.8483,0.5555,3.4525,30.2886,8.1863,6.9801,10.9959,7.3883,7.0242,2.8852,13.0255,0.0
NZL_C16,18.3374,0.5344,0.8032,0.8563,0.1368,24.7993,0.8839,523.0049,91.409,3.206,1.5423,0.4046,10.8403,25.6856,8.1847,34.6752,0.765,4.7325,2.8737,1.4999,13.6595,79.2356,1.4694,0.2904,892.3163,195.4904,1.1944,0.2122,1.6323,2.1581,0.0581,1.2593,7.179,0.2885,0.2159,0.8785,45.0368,25.3337,5.6021,4.3302,9.8088,2.5151,2.6324,7.4976,0.0
NZL_C17_18,30.9907,15.6689,2.703,4.9418,1.2786,204.9671,14.1025,27.6414,386.481,26.7717,16.7067,11.4724,17.7208,13.8827,26.3694,14.8167,20.1945,3.0511,4.7968,0.8479,3.5425,12.0222,14.081,3.9326,67.1762,165.3029,7.4271,4.6417,35.9164,11.1904,4.9548,47.9975,159.4779,9.2324,2.9865,36.167,43.0264,117.4677,40.546,25.9174,58.4553,28.24,39.1694,36.0264,0.0
NZL_C19,209.9322,61.6581,22.3849,40.0319,8.8437,87.9747,13.9483,23.7969,49.4888,96.2303,14.761,2.0241,11.2028,26.6915,36.8518,16.5359,6.5664,3.6841,8.5363,1.7448,7.6959,12.8246,36.483,19.9045,338.3514,203.6944,472.4965,28.8583,561.6192,42.3518,0.7591,20.5211,102.0112,6.1138,7.9989,25.1888,45.9216,41.0248,48.6372,47.0234,32.3261,45.3901,28.547,26.1963,0.0
