V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_A01_02,505.5591,0.3128,0.1907,1.6498,0.0013,2261.2438,107.2853,72.749,0.2213,0.0088,3.7359,5.3925,9.4118,0.1266,0.0156,0.0029,0.0001,0.0002,0.0136,0.0001,0.0,37.1933,0.0013,0.0066,1.2135,0.5072,0.0269,0.0001,0.0025,0.0016,0.0004,226.4925,0.0007,0.0089,0.0006,0.0667,0.0194,0.0105,0.0042,10.113,0.434,1.8034,0.419,14.8251,0.0
PER_A03,0.4124,2.0257,0.1285,0.6778,0.0351,573.7883,1.5288,0.0278,0.1004,0.0184,0.1018,0.0345,0.0794,0.0711,0.0063,0.066,0.0184,0.005,0.128,0.0079,0.0041,0.3185,0.0684,0.0336,0.829,0.3234,0.1176,0.0108,0.1977,0.0519,0.0045,28.4057,0.0791,0.2845,0.0195,0.1237,0.0077,0.1495,0.2033,2.6324,0.2068,1.0119,0.1454,0.6604,0.0
PER_B05_06,4.1848,2.6276,15.123,34.4926,14.5519,66.4017,1.8745,2.0119,2.4163,2197.1269,4.4512,0.0398,4.7862,250.584,1.6822,3.1227,0.008,0.0616,0.1659,0.0313,0.0153,0.3905,122.3056,2.173,3.677,2.2164,19.6397,0.1576,1.493,1.1325,0.1895,1.724,0.4862,0.3898,0.0149,0.2694,0.4825,0.579,0.5127,3.5165,0.4119,0.393,0.2054,1.1871,0.0
PER_B07_08,4.8324,0.1946,48.9984,523.6239,1.1122,10.0804,1.8329,0.1294,1.03,0.3132,29.1999,1.6303,1.2518,184.0514,2518.8546,13.8249,0.4118,10.3125,2.5873,0.6463,0.2258,241.2304,9.4528,3.6841,134.3231,1.0143,0.2112,0.0063,0.0363,0.0759,0.0113,1.6546,0.2254,1.2457,0.0645,2.3911,6.2865,0.4103,0.3756,6.2286,0.6178,4.5854,0.2439,1.9069,0.0
PER_B09,0.4567,0.0176,212.2019,247.7625,4.6545,0.3236,0.1293,0.0214,0.0707,0.5745,0.0795,0.0322,0.0724,0.0408,0.4975,0.0944,0.0031,0.002,0.0346,0.0223,0.0111,0.03,0.0571,0.0459,5.8839,0.4959,0.1637,0.0111,0.2807,0.1866,0.0227,0.1247,0.1297,0.4207,0.0358,0.2835,0.0617,0.5128,0.5044,0.5406,0.2926,0.2977,0.2029,0.1749,0.0
PER_C10T12,176.9933,4.0727,4.2523,19.121,0.5853,1038.9338,25.7346,1.0451,15.2984,0.2918,17.8864,5.6419,10.7096,1.583,0.1806,1.4506,0.1287,0.0848,1.9918,0.2194,0.0828,15.7792,1.7893,1.0036,16.4816,6.8366,1.9309,0.1484,3.4798,0.8651,0.0412,998.9681,1.4254,4.3114,0.2567,2.9352,1.1071,2.3537,3.6151,71.9575,5.5529,7.1871,10.2419,53.2318,0.0
PER_C13T15,7.8768,6.7978,1.515,7.0842,0.1704,20.3259,1159.3959,6.2173,10.1406,0.1836,6.9231,5.7704,13.4036,1.4532,0.1174,0.7835,0.0791,0.0236,0.4301,0.1831,0.0707,26.4377,0.513,0.2352,20.199,10.5605,0.3375,0.003,1.2244,0.0877,0.0093,34.5158,0.9448,0.32,0.0584,5.6978,0.106,29.2596,25.9496,20.1915,3.033,22.578,4.732,29.3992,0.0
PER_C16,17.3122,0.3583,0.4706,18.3312,0.0007,8.1898,2.1795,213.995,6.0534,0.0001,3.2515,0.0027,3.2607,2.9614,0.0777,1.6479,0.0002,0.0717,0.0002,2.6046,1.5538,67.9559,0.3049,0.1816,446.9459,1.8827,0.0096,0.0,0.0009,0.0028,0.0001,1.7126,0.0015,0.009,0.0005,0.4978,27.9351,2.0246,1.0285,8.9222,5.7509,2.109,0.425,12.2413,0.0
PER_C17_18,8.0889,0.7269,0.6583,5.0224,0.1815,128.3141,16.5998,4.3253,435.0259,0.1844,14.5502,6.2886,11.261,7.5205,0.0333,1.9472,1.4219,0.3676,1.5618,1.4476,0.6075,8.0543,1.3219,1.8769,6.8837,128.7173,3.0312,0.0062,0.2745,4.0114,0.3055,27.5423,109.6108,26.0239,1.2337,35.1261,18.366,90.0506,44.9509,69.3704,74.699,9.461,11.3288,26.6388,0.0
PER_C19,24.8834,130.752,33.2241,412.3947,4.9491,270.4076,30.5926,9.3779,17.5248,49.0461,23.7582,1.6501,11.2762,32.7805,4.2901,7.7084,0.3743,0.3916,3.2923,1.4784,0.704,15.9388,92.6344,8.0264,99.5878,69.8217,901.1466,7.7916,67.0476,56.6457,9.4351,44.7802,3.274,4.7848,0.2962,7.5469,1.0989,25.7852,20.4242,137.4502,19.3282,15.1927,6.0569,15.4274,0.0
