V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T
POL_A01_02,3547.0044,3.2443,8.2502,4.3849,0.0168,6806.4878,44.5319,541.9747,205.9824,1.6338,31.2384,8.6108,66.1049,10.3996,5.3513,4.2605,1.4818,2.0411,4.7887,6.1346,1.0979,51.8848,6.3846,6.0036,46.1517,593.8052,16.553,0.075,0.1474,11.4465,0.1205,47.9236,1.5775,0.8389,0.5429,3.0572,12.5368,15.4428,9.3214,23.4462,4.7171,17.3923,1.7648,27.6669,0.0
POL_A03,0.911,2.5219,0.0199,0.0809,0.0003,52.3475,0.2068,0.0857,0.0627,0.0303,0.0997,0.0216,0.085,0.0534,0.0394,0.0458,0.0498,0.0356,0.0522,0.0957,0.014,0.1539,0.0898,0.032,0.2515,12.0535,0.1556,0.0033,0.0082,0.2276,0.0076,6.1485,0.0544,0.079,0.0199,0.1634,0.1901,0.4971,0.1576,0.1047,0.2708,0.4298,0.0572,0.1003,0.0
POL_B05_06,120.0774,0.0764,17.501,3.1103,0.2143,105.1936,10.6679,14.1024,44.1894,942.7409,74.0809,0.8256,17.2944,80.1068,228.8054,8.5927,2.1363,6.4788,11.7953,6.1728,4.1397,10.1184,2935.7208,16.2102,31.0061,43.0269,15.9207,0.1427,0.3224,4.8294,0.5161,6.926,2.2529,5.5062,1.0706,6.6244,86.7433,11.7884,3.8891,7.0485,5.8122,8.046,2.3532,7.6136,0.0
POL_B07_08,3.3299,0.004,10.6985,42.2334,0.0,21.4663,0.2965,0.1488,0.7768,1138.2588,302.9392,0.5308,9.7669,345.6988,617.999,21.1657,0.0216,16.8475,10.4757,5.8147,1.1777,2.9016,286.0958,12.2316,328.1215,25.0181,14.3149,0.0,0.0,3.4454,0.12,0.971,0.0527,0.0,0.0148,3.9736,3.3326,29.9982,9.8882,10.5964,1.1181,0.1838,0.8543,12.1033,0.0
POL_B09,0.0,0.0,20.5647,5.7373,5.2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL_C10T12,1423.5177,4.0915,9.7385,4.6646,0.2879,7325.6149,80.406,19.5288,29.067,32.6163,154.7843,12.704,55.3166,26.4875,21.6389,32.2232,14.0179,15.0384,25.4335,26.3694,5.695,72.8685,31.43,8.127,101.1244,2057.0717,41.4402,2.0878,4.0786,41.9263,1.602,1278.2756,10.3486,14.4379,5.4429,65.4777,41.5422,76.5291,41.5465,71.5417,130.9944,150.4639,16.6854,73.785,0.0
POL_C13T15,15.7255,0.3962,7.197,2.3388,0.0605,55.1953,493.7968,8.6805,39.7188,5.496,11.1016,2.5834,57.2373,13.7729,9.6049,10.7737,3.9322,6.466,8.8891,126.1167,3.6711,151.6677,9.9345,3.2575,38.8525,114.949,17.9054,0.3195,0.7026,4.7572,1.957,9.3804,9.3218,2.8494,0.9745,9.8245,8.2873,24.9669,10.3533,67.9776,5.8083,8.8253,9.1702,12.795,0.0
POL_C16,69.7997,0.0698,20.0441,3.2079,0.0086,49.0665,10.9269,987.0087,70.634,4.4161,20.9062,2.5489,27.0931,56.6694,10.7916,44.8602,10.4591,32.7586,21.6018,40.818,7.888,733.2247,10.6436,5.6211,762.7536,223.3119,45.2332,0.9111,2.4855,13.0628,1.5104,7.9585,14.2784,5.5352,2.5866,8.4891,72.6068,28.8968,12.8709,17.8859,11.1326,10.0022,12.4058,45.6773,0.0
POL_C17_18,27.2179,0.1501,4.8064,3.4606,0.0977,540.4617,53.8065,114.1592,1394.9301,7.5797,87.5048,41.4373,92.7453,122.1661,16.1855,32.5157,17.8807,28.2581,22.6016,46.3651,3.6999,136.1009,15.3424,8.7501,96.6418,905.6445,48.3096,0.9883,2.0822,36.2226,12.3384,32.5126,605.7741,38.3003,8.0875,328.9303,52.6897,386.0403,86.9717,121.4207,270.0834,60.2017,70.7128,67.7306,0.0
POL_C19,692.8838,5.1467,31.5218,39.6156,1.9622,304.7085,47.9813,72.0371,60.6207,441.7249,302.8056,34.5621,191.0012,173.8736,393.0955,72.3099,24.5235,45.0686,52.8313,64.3967,15.8855,103.6325,94.4468,77.0801,523.6913,986.6271,2095.8982,15.993,46.0317,162.7747,15.1829,46.2189,24.4598,21.8707,8.0889,286.6709,105.017,111.2412,64.9858,141.7291,61.1702,80.106,19.0361,40.2419,0.0
