V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_A01_02,1046.1408,6.1108,64.3928,0.0,4.2542,3740.4083,96.8448,0.7929,6.2284,0.2379,23.9625,1.0813,25.8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0,1.5929,0.1432,0.059,5.289,608.0441,0.0,0.4168,0.0,0.1112,0.2684,161.0904,10.4162,4.3555,0.0093,0.1417,0.225,0.2132,0.1842,117.2438,35.8859,23.3271,25.6032,1.1945,0.0
SAU_A03,24.8484,0.0173,0.0,0.0,0.0,15.6251,0.0,0.0,0.0,0.0,0.4646,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.0,0.0,3.7727,0.0247,0.0,0.0,0.0,0.0,0.0,19.9723,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,1.3854,2.2918,2.6766,0.0,0.021,0.0
SAU_B05_06,0.0,0.0,12.9487,0.887,0.1564,88.3114,21.9171,3.69,15.6874,2663.8845,33.3416,0.1511,22.2064,31.92,39.6655,30.5868,1.3042,21.9934,11.582,5.6712,2.0463,14.0047,240.0341,0.2868,61.2341,0.0,1.6431,0.057,6.4108,3.3132,0.3727,2.788,4.5147,20.4041,1.9237,0.0031,0.1449,0.2063,2.2026,0.1087,2.4896,3.9078,0.7585,0.1905,0.0
SAU_B07_08,0.2715,3.2415,0.1252,6.7165,0.0016,4.3794,0.084,0.0047,2.4667,0.0,213.1487,1.5112,0.2404,377.0459,150.5161,1.7015,0.0,1.2217,0.0,0.0208,0.0,1.1456,13.644,11.6243,303.1071,5.0439,0.0134,0.0,0.0,1.2011,0.26,0.3456,0.1177,5.1036,0.4036,0.0066,0.0336,0.1542,0.0632,0.464,0.1619,0.0897,0.3092,0.0474,0.0
SAU_B09,0.0273,0.0071,0.21,0.0013,0.0045,0.5413,0.1221,0.0203,0.0856,37.6131,0.7429,0.003,0.1217,0.1708,0.2052,0.1711,0.0085,0.1161,0.069,0.0341,0.007,0.0496,0.2214,0.0122,0.0458,0.0,0.0143,0.0001,0.0578,0.0294,0.0033,0.015,0.0055,0.0,0.0139,0.0,0.0,0.0003,0.04,0.0,0.0,0.0286,0.0015,0.0022,0.0
SAU_C10T12,436.8663,10.3656,40.1783,0.0,2.9348,569.2336,46.2672,0.0057,1.0051,0.0,12.8923,0.4943,0.0,0.0059,0.0,0.0007,0.0011,0.0,0.0,0.0,0.0,0.0186,14.7247,10.0823,22.6929,19.6803,0.0016,0.56,1.4329,0.0001,0.0005,374.2477,18.7472,0.0072,5.5708,1.5595,16.1204,8.5494,33.819,55.8059,31.5285,38.1525,2.6716,15.484,0.0
SAU_C13T15,1.6705,3.9867,8.1824,0.0095,0.1797,3.6487,241.9748,0.2408,3.4721,0.101,10.0916,0.294,5.7796,1.2882,0.9799,0.138,0.156,0.3594,0.477,1.0545,0.1181,9.7157,0.0273,2.6442,13.0111,13.5425,0.0827,0.0699,8.4796,0.5401,0.9516,16.1619,1.346,12.4527,0.1016,0.0881,0.0114,1.4656,2.4256,29.9524,4.4881,16.2296,2.4951,8.5498,0.0
SAU_C16,11.9675,2.6694,2.2959,1.3597,0.2008,27.3523,12.7045,80.9799,23.0269,0.1547,7.3801,0.1414,2.4948,11.0827,2.4342,3.1397,0.2525,2.6594,0.8622,0.2565,0.3453,73.7484,0.0093,0.4597,237.2072,12.3135,0.0655,0.0122,0.2255,10.0658,0.0516,14.5575,1.2683,0.8931,0.0273,0.0246,0.0104,0.6482,0.8244,2.9061,0.2014,0.3228,1.6397,16.6723,0.0
SAU_C17_18,17.0097,0.6815,8.0076,0.6502,0.2516,196.6402,26.9052,7.6397,406.8947,11.2494,147.1309,6.4894,16.5572,28.8498,2.2366,3.1124,1.6499,5.1722,2.7501,0.6472,0.3837,17.9679,8.4253,15.1353,6.4201,50.7519,0.6989,0.0495,3.1008,10.0475,4.6148,15.4428,205.9455,59.8204,7.055,20.7804,4.6799,55.3297,37.9809,358.0908,98.1787,38.1284,16.6643,25.5962,0.0
SAU_C19,33.9941,6.135,57.6501,4.2369,1.5174,5.4429,2.0221,1.2112,1.5133,1559.6814,191.3339,1.736,3.315,11.7092,4.5707,0.6461,0.0565,0.474,0.7825,0.0832,0.0991,3.2258,88.9132,5.0897,16.0034,26.202,32.4501,2.1027,154.9207,8.8255,0.6076,11.9446,0.7065,6.5313,0.0925,0.518,0.3023,0.8243,1.8934,56.0451,32.5995,17.7484,0.7868,3.6628,0.0
SAU_C20,398.0906,7.065,112.9303,21.578,3.0758,84.1057,83.0964,12.1609,75.0617,46.2594,2072.062,26.5204,210.8279,100.4306,83.4466,18.9362,2.0536,23.5778,8.2031,3.5583,2.4591,59.191,46.2313,43.3726,152.9891,78.7437,16.3654,1.2199,75.1883,26.5775,0.5298,82.2932,17.8134,8.1246,4.6117,1.5651,1.8252,14.1508,23.9172,186.0904,28.2179,321.3427,8.3578,30.1391,0.0
SAU_C21,4.4746,0.3253,0.9937,0.2402,0.0209,1.547,0.5563,0.1281,0.6209,0.4722,68.1622,37.2111,1.475,0.9042,0.2237,0.2003,0.0225,0.1386,0.0974,0.0462,0.0024,0.6515,0.8397,0.2965,1.5169,1.532,0.2736,0.0266,1.9126,0.4404,0.0169,1.5962,0.1608,0.2446,0.0966,0.0432,0.0187,0.6826,0.2935,11.9194,1.0356,84.1363,0.1367,0.6998,0.0
SAU_C22,78.0314,12.4686,78.8451,4.3474,2.2773,227.7255,224.7979,4.5382,18.0199,6.7784,302.4515,9.3107,418.6413,29.7148,9.5555,12.5286,6.8833,60.9067,21.9326,27.0911,11.9227,69.0573,1.2234,16.6188,313.4125,80.3915,11.251,0.0067,4.1623,40.1082,1.6096,13.787,13.5597,21.2042,0.4056,0.6474,3.7313,4.0008,6.6937,38.8703,11.6886,20.2704,7.0937,24.8336,0.0
SAU_C23,11.3076,0.3425,9.0892,2.0618,0.266,88.1756,0.6729,0.7512,0.1995,6.5216,45.7579,2.2454,2.6567,296.0214,8.5428,5.0408,2.692,4.7055,4.5547,2.5018,0.5578,9.7783,11.6958,0.3572,2190.8787,25.1477,0.1336,0.0183,1.7669,4.3826,5.1302,22.809,0.3239,107.8817,0.0,0.0829,0.0506,1.1214,1.9142,12.8649,5.3888,22.1417,0.8748,7.7208,0.0
SAU_C24,0.0916,0.0,292.0116,3.7133,7.8204,2.8791,6.6385,1.3633,21.3473,11.839,28.7888,0.3538,47.7646,101.1572,382.1537,581.4865,11.5976,287.351,184.1014,76.348,23.3008,91.9447,2.5398,5.1009,565.5147,2.0599,0.1126,0.0101,2.4963,2.4323,0.2272,4.7679,61.3663,5.3153,0.0,0.0,0.0001,2.338,2.3374,3.3797,3.4865,55.51,1.979,14.7367,0.0
SAU_C25,4.4681,0.1601,10.41,0.2894,0.2492,2.6524,0.662,0.1442,0.2137,1.2278,0.6672,0.0127,0.4367,1.3796,2.5187,1.4486,0.0934,0.9774,2.0428,0.2689,0.1812,1.7141,1.7009,0.5871,25.3794,1.1481,0.0097,0.0004,0.0931,0.4623,0.0,0.2743,0.088,0.0012,0.0292,0.0196,0.0435,0.0865,0.2361,1.4833,0.3979,0.0951,0.0726,0.491,0.0
SAU_C26,0.0018,0.0264,0.3729,0.0011,0.0127,0.0164,0.0067,0.0007,0.0241,0.0294,0.3635,0.0132,0.0043,0.0451,0.0048,0.0567,0.7127,0.0976,0.0554,0.0198,0.0505,0.2255,0.0107,0.035,2.0364,0.5349,0.0047,0.0021,0.1953,0.158,0.043,0.1087,0.0909,5.1179,0.1949,0.046,0.0084,0.2997,0.2032,2.242,1.5515,8.7223,0.1206,0.3219,0.0
