V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_A01_02,107.4799,5.211,0.0,1.9643,0.0078,1424.4153,20.3851,10.2483,3.9873,0.6825,1.1199,0.5933,0.9981,0.2014,0.0573,0.1428,0.2829,0.4114,0.5185,19.99,4.6493,17.7495,0.0,0.0,0.7999,17.268,0.8644,0.1531,0.1733,0.4464,0.0,46.7258,1.5448,0.0,1.0702,0.0,1.6327,3.2382,2.1584,23.2592,0.5688,0.8869,1.6843,2.4077,0.0
TUN_A03,16.607,29.8599,0.0,0.2993,0.0,121.4085,2.9389,0.8722,0.9349,0.1246,0.1638,0.1768,0.0746,0.0175,0.0069,0.0179,0.0422,0.0957,0.0538,0.0017,0.0011,1.0779,0.0,0.0,0.1075,0.2136,0.2389,0.0873,0.1234,0.1232,0.0,25.2438,1.8198,0.0,0.2547,0.0,0.4083,0.8077,0.6156,5.8538,0.193,0.317,0.6334,1.1744,0.0
TUN_B05_06,21.9295,2.5176,113.7769,4.1782,0.2677,27.7808,8.8323,1.3056,3.096,38.9012,0.7272,0.0132,0.3261,15.5503,15.4461,3.5026,4.9456,12.9102,11.7517,0.8751,0.4666,1.0789,180.2497,1.0497,7.8379,3.5311,45.9717,12.3805,14.4441,15.4454,1.1087,12.0879,1.4803,5.0265,1.6746,0.6878,2.3437,4.5789,3.5614,5.5422,0.1552,0.1308,0.1075,0.6236,0.0
TUN_B07_08,0.0,0.0,1.0299,0.2249,0.6492,10.4104,0.9654,0.2541,0.8199,39.6376,71.3682,6.0176,25.8872,1.8514,0.1568,0.0622,1.8168,7.5594,4.1482,0.3336,0.0901,0.0149,0.0,0.0,73.5918,0.1783,0.022,0.0021,0.0025,0.0093,0.0,5.1321,0.0549,0.0,0.1412,0.0047,0.2755,0.4139,0.1431,0.0,0.0,0.0,0.0,0.0,0.0
TUN_B09,1.0447,1.1181,105.8565,6.6684,4.3007,0.8592,0.0817,0.0477,0.4632,3.4059,0.7164,0.0378,0.0504,2.4594,0.3716,0.2657,0.0036,0.0118,0.0598,0.0055,0.0009,0.0036,11.1247,0.1612,10.0881,0.0672,0.9333,0.0513,0.0027,0.4599,0.0003,0.0877,0.0002,0.0,0.0036,0.0028,0.2788,0.046,0.0297,0.2143,0.0009,0.0012,0.0046,0.0032,0.0
TUN_C10T12,186.5949,14.6512,0.9275,0.4228,0.1238,865.5495,27.4201,0.8756,1.6184,6.9906,7.2456,3.4843,1.6164,1.1785,0.5887,0.6616,0.2338,0.6531,0.489,0.4443,0.1133,0.6827,0.283,3.9637,1.4065,64.7876,3.784,3.2271,4.1978,2.2168,0.3368,346.3948,0.2325,0.5311,1.6834,2.5483,2.5134,5.3387,3.7193,27.0079,0.5921,0.9284,0.8162,1.4695,0.0
TUN_C13T15,1.1352,0.3264,0.0441,1.4269,0.0863,5.9203,1729.9185,6.5052,16.7936,0.7763,1.209,0.4957,1.9187,0.2619,0.1313,0.2745,0.7499,1.1337,0.8837,0.2812,0.0414,6.9955,0.8151,4.0062,0.0736,2.1435,0.917,0.3984,0.4969,0.3761,0.0625,0.8933,0.2587,0.0822,0.6313,0.023,0.849,2.1067,1.7068,7.6716,0.1222,0.2151,0.3914,0.6174,0.0
TUN_C16,1.8392,0.1905,0.8156,2.3485,0.0887,29.881,16.3017,58.6467,8.1011,0.5039,0.803,0.1806,0.7269,2.9714,0.9084,2.6042,2.7111,7.2007,4.9699,0.5972,0.2898,19.0081,1.3179,0.2921,81.1695,6.0261,0.9311,0.3191,0.2117,0.5437,0.0394,1.6822,0.4634,0.0804,0.5044,0.5339,1.622,1.2539,0.8532,2.0734,0.059,0.0398,0.2021,0.3199,0.0
TUN_C17_18,0.9116,0.1279,0.5776,1.5191,0.04,57.7651,32.3419,4.2718,56.7278,0.5034,1.2712,0.9952,0.9929,2.2046,0.4328,1.3872,3.7997,7.1974,4.096,0.807,0.2488,3.3038,1.2556,0.3841,3.6017,12.74,1.9253,0.4292,0.804,1.1917,0.0847,3.4207,24.7545,0.1799,1.2996,2.9969,1.4712,6.8772,2.0122,5.7822,0.1914,0.1052,0.4316,0.339,0.0
TUN_C19,29.9389,4.535,10.9309,2.3857,2.0817,36.8353,19.4345,16.3542,20.3624,94.4976,38.9825,4.3696,11.1948,10.9159,6.7849,3.4067,4.0122,13.0248,9.6095,7.3322,2.0256,15.1551,6.6644,2.258,14.0917,1.5294,7.7937,2.285,4.1692,0.7896,0.4537,4.6395,1.4106,0.567,2.2222,1.6895,5.1109,6.465,8.0025,28.5072,0.3328,0.4967,0.7701,0.7773,0.0
