V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_A01_02,2260.2802,10.2624,1.1216,0.5033,0.0854,5265.4,49.4915,298.2944,8.7529,0.0614,106.1275,10.3354,58.7694,1.008,1.2045,0.0422,0.0186,0.0364,1.0468,0.0028,0.0328,129.8016,0.003,0.2515,5.5659,17.8456,0.2152,0.0498,0.0088,9.1974,0.0,168.2807,0.1796,0.0194,0.1922,0.4075,1.1407,15.9303,1.7203,0.2288,3.132,0.8354,0.9218,0.8856,0.0
VNM_A03,6.1757,429.5858,0.0021,0.0009,0.0,1745.7332,0.1148,0.534,0.014,0.0001,0.268,0.8438,0.0679,0.0012,0.0022,0.0001,0.0,0.002,0.0019,0.0,0.0001,0.3163,0.0,1.2162,0.0193,0.4141,0.0336,0.0046,0.0,2.5349,0.0,61.8245,0.0001,0.0,0.0,0.0019,0.0099,0.5972,0.0194,0.0001,0.4353,0.1821,0.0112,0.0575,0.0
VNM_B05_06,10.7149,0.0916,509.6308,1.7341,2.1863,63.6517,9.8298,0.6484,9.9569,1068.4602,130.1656,1.2728,8.4712,236.4807,37.1024,23.2172,1.058,0.5227,5.0495,2.7706,1.5184,9.2534,96.1443,0.6279,27.0526,7.6318,0.9647,0.0384,0.0,0.0577,0.0,26.2087,0.0056,0.0005,0.0288,0.0032,18.9469,1.5365,0.7462,0.0247,0.2393,0.3241,0.2215,2.0013,0.0
VNM_B07_08,1.3238,0.1566,0.4623,22.5964,0.0163,5.4566,2.8128,0.5347,0.6538,0.9573,56.9939,0.0329,1.3279,83.3463,49.1067,4.4864,0.0234,0.1325,0.7198,0.0116,0.1155,2.3014,0.7328,0.4457,82.7136,2.8504,0.1672,0.3485,0.0,0.1883,0.0,0.0352,0.002,0.0864,0.0,0.0381,1.8899,0.9116,0.2106,0.0599,0.0278,0.0372,0.0057,1.8482,0.0
VNM_B09,0.0006,0.2817,161.0019,1.4336,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654,0.0017,0.0,0.0,0.0,0.0,0.0,0.0512,0.0,0.0,0.0,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0174,0.0001,0.0,0.0,0.0,0.0,0.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM_C10T12,1233.2455,641.8957,0.5318,0.2151,0.068,2840.5735,1.0542,0.3157,5.4423,5.3195,7.0723,6.2529,0.8386,2.3824,0.5773,0.6767,0.1099,0.2141,0.9767,0.0341,0.0386,9.8809,0.1851,0.3558,2.5226,26.2844,3.2198,0.7117,4.9427,10.2687,0.0,465.3622,0.2057,0.2526,0.1968,0.762,0.9731,3.0367,5.4561,2.152,2.5591,3.4637,0.298,1.1322,0.0
VNM_C13T15,13.653,46.7249,12.078,1.1039,0.1327,8.8116,2841.2928,7.3726,25.5794,2.1995,3.521,0.5401,13.7855,7.234,2.711,3.3072,0.8572,0.8344,2.8459,19.7844,6.9454,122.4124,5.3239,2.6036,47.4967,29.1141,4.2017,0.8654,1.6273,2.2112,0.6962,24.1524,0.5167,3.2394,0.2116,2.8588,2.4761,3.813,3.1795,2.775,2.6397,7.247,3.1291,17.1981,0.0
VNM_C16,32.7126,19.0736,0.7831,1.1695,0.0,10.9266,6.4765,365.6638,41.8892,0.3224,11.9519,0.361,1.1782,3.6199,1.1578,2.7417,0.6037,0.3063,10.5588,0.1499,0.3563,388.9418,0.0995,0.6609,111.9896,11.8037,1.5331,0.7581,0.0182,0.9228,0.0148,5.5579,0.1095,1.0856,0.0016,1.5644,7.2868,3.4044,0.9431,1.7758,3.6251,0.729,0.4118,3.1798,0.0
VNM_C17_18,31.758,2.9703,1.9203,0.4015,0.1845,159.1828,50.9867,23.6467,406.4823,0.2944,21.9603,6.8406,19.278,29.2905,2.3222,7.8925,8.4356,23.6467,6.9211,2.9978,1.9635,83.6716,0.789,0.5709,12.2638,117.0978,3.6338,0.6342,0.4963,2.722,2.592,30.8339,52.9132,10.3971,2.0262,26.9095,3.9458,33.6842,6.0095,19.0288,10.021,7.2378,54.8176,4.1082,0.0
VNM_C19,109.6978,338.3981,294.0159,30.7886,0.7338,59.9025,17.124,24.1731,13.5174,557.2464,19.258,1.7045,25.6854,70.9778,31.6843,18.6407,1.5972,3.8441,23.9266,5.5915,12.88,29.3193,32.2012,17.4198,229.0452,127.2233,357.3482,138.3579,96.92,28.3536,2.2273,192.4636,3.5705,13.4764,0.6241,14.3752,9.4696,10.6599,8.4365,15.6381,12.9148,6.5742,2.9549,5.0761,0.0
