V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_A01_02,410.7756,8.4784,1.3457,2.4859,0.0067,6604.5037,558.7863,339.6558,435.3389,98.5847,29.2588,7.304,100.6199,12.2289,11.8354,9.297,7.6301,6.3686,15.4307,14.4853,14.9618,168.0908,2.3908,3.3556,3.5717,8.9407,1.5018,0.0079,0.1495,1.3229,0.0148,26.4236,13.9764,2.408,3.1671,1.8592,3.8148,5.5632,6.7675,10.4959,4.6114,13.3454,89.0189,143.6278,0.0
ZAF_A03,0.0,79.5353,0.0,0.0,0.0,459.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.236,0.6617,0.5945,0.0,0.0,0.2385,0.0094,0.1282,0.2123,0.0027,16.4799,0.888,0.5727,0.5817,0.0,0.6057,0.6329,1.0595,6.6872,0.7864,2.0151,9.7449,28.4442,0.0
ZAF_B05_06,2.7156,0.1905,5.8185,51.5924,0.2033,16.2424,5.4002,3.3329,46.2705,2378.078,18.9996,0.6105,2.5111,65.323,123.1413,23.9166,1.8636,7.2082,14.9094,13.1734,1.9488,11.6503,717.9092,16.6913,9.1073,0.1441,1.4165,0.058,0.7931,1.2921,0.0724,0.9588,0.5464,3.2271,0.0049,0.0487,0.2352,0.0244,0.0209,3.0537,0.6413,1.9134,5.1189,2.6141,0.0
ZAF_B07_08,18.9531,0.1983,9.2886,28.2186,0.7554,13.8834,1.31,1.8601,1.3494,19.5797,139.134,10.7036,8.0424,0.4087,2613.0108,521.3831,70.6931,221.1496,302.2972,280.074,33.9269,24.3487,3.2811,1.438,152.3819,5.6985,9.4397,0.2546,6.403,5.6861,0.0147,0.8893,0.9106,2.7563,0.3484,2.9554,17.9621,2.157,3.4346,32.9359,4.1683,6.7434,4.131,2.4569,0.0
ZAF_B09,0.0,0.0,332.6261,1.0726,50.3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187,0.0,0.0,101.4283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF_C10T12,1720.6019,43.2631,17.247,85.5191,0.1204,5984.1725,4.6331,0.467,29.4799,60.3221,201.9923,37.1792,5.3716,1.5465,2.7813,96.1015,0.0843,0.3088,2.4775,3.8722,0.0388,72.7983,16.9667,22.9118,3.2226,68.6259,53.0919,2.0325,27.6157,45.9115,0.9761,1317.6215,20.3737,155.6381,51.6402,0.2689,53.4419,56.7638,86.2447,77.0585,19.9322,60.9805,192.5188,550.2835,0.0
ZAF_C13T15,148.9356,3.2177,25.1264,78.832,0.3262,21.4199,695.5642,2.8494,40.1313,12.2377,27.1369,4.1528,47.0287,1.2563,2.3161,2.3197,4.1233,1.9706,9.6946,327.2161,3.9535,80.9733,3.9728,9.4207,85.1401,56.2186,25.0206,1.0408,13.2181,21.9161,0.5519,6.9452,22.0743,61.0558,2.0726,0.7727,2.2599,2.3026,3.5042,39.0417,21.4231,64.8098,140.0608,120.8221,0.0
ZAF_C16,24.0894,0.2338,6.819,157.5803,1.2023,187.5388,8.0942,274.3223,37.1835,443.6402,61.0928,5.7586,5.3705,30.7637,6.9507,29.6129,2.8324,1.9465,8.9645,43.2215,8.1984,171.0669,11.6831,2.6897,91.7802,48.1228,17.5912,0.4656,6.3941,16.1461,4.5826,2.2947,6.9333,31.2632,0.325,0.3368,10.3688,2.9894,2.5979,9.9532,8.0799,18.1494,45.9019,20.1512,0.0
ZAF_C17_18,8.4644,0.9245,13.8187,28.9724,0.0912,445.1146,32.1347,25.3544,1437.1987,185.49,141.0471,33.4752,42.0115,51.8533,6.6825,17.8725,8.7068,14.9513,33.309,126.7717,1.8807,66.9192,11.7536,9.6415,60.8373,947.7755,57.8498,2.0014,29.0742,56.9375,8.3216,6.0302,291.8669,119.0628,177.9459,27.1042,543.624,349.028,268.3008,56.6055,58.4032,141.3328,125.1944,80.3808,0.0
ZAF_C19,1415.9068,33.5636,280.8379,740.3462,23.2459,229.5313,131.0993,11.47,96.6342,1465.1381,1136.0922,66.9026,249.4467,67.4129,603.9758,21.7167,47.395,127.4664,21.9137,32.6799,20.2412,29.6145,504.7064,65.3129,1129.7093,1051.9028,1725.2578,71.9187,977.651,1626.8077,350.8083,31.7762,65.763,4069.9697,476.5786,84.9883,483.0104,641.1995,785.5028,414.9079,55.9232,161.9625,564.1388,197.564,0.0
ZAF_C20,871.5651,21.7486,206.6788,745.9364,28.2499,288.0445,207.9062,55.4319,371.2061,1352.3222,2975.926,198.9025,1271.4837,127.5764,452.9397,129.9308,15.7613,67.5272,100.1451,126.0215,4.0061,125.89,39.9607,57.1415,190.1273,99.6933,58.7962,2.3478,31.9159,52.8587,54.1445,40.0157,79.8915,84.4233,54.0147,13.8572,52.6162,58.0715,91.9323,71.3572,59.8716,185.3144,257.5856,71.9825,0.0
ZAF_C21,201.7593,5.2694,9.4474,11.6478,0.0,5.899,2.1469,0.0,0.0,0.0,78.8747,209.2127,0.0,0.0,0.0,0.0,0.0301,0.0,0.0,0.0,0.0,5.505,2.5848,13.6369,0.0,5.7227,0.1317,0.0055,0.0751,0.1242,0.0001,0.0,1.8042,0.0022,12.1961,0.0,5.4563,11.1986,14.0323,181.1544,7.8274,36.071,67.317,4.6999,0.0
ZAF_C22,49.5682,1.5606,105.9269,198.8607,0.095,629.3191,69.4009,40.8342,30.0886,224.1116,191.6576,34.7519,214.3508,72.0334,8.4795,21.7449,24.2733,66.9782,87.7389,525.7786,10.498,152.5881,3.2019,5.3276,484.1038,375.7776,118.7763,4.5769,62.2979,109.7819,28.9275,3.3987,17.5545,253.2626,5.9681,4.1614,71.4764,13.0274,12.8964,22.5789,6.6379,14.487,53.6897,154.3486,0.0
ZAF_C23,35.9977,1.136,18.7049,111.5245,0.0161,193.2327,0.51,13.5144,3.6447,75.8191,51.6159,13.7521,3.9841,945.5431,6.772,15.8555,16.0965,7.361,19.8802,235.9685,14.2655,47.0,25.7919,12.2872,2125.4151,47.1497,41.9444,1.706,23.1929,38.4691,12.4661,15.8651,10.8723,88.9029,10.5745,0.8772,9.3038,15.7342,14.9765,67.2423,10.3382,32.8282,123.6236,320.4373,0.0
