V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_A01_02,1741.8437,0.0967,1.3859,1.0179,0.018,2618.0877,8.6134,1162.7707,421.0068,1.6044,57.2545,6.8053,28.6178,7.2725,6.3789,8.3271,3.7502,4.1302,8.1712,7.154,1.9354,18.8313,49.008,8.565,229.1035,88.4186,17.9141,0.335,1.7598,16.8385,1.1266,167.8233,5.8338,3.1632,4.1719,12.932,81.9506,15.8918,41.5431,30.1786,13.0074,30.3243,6.7764,6.4061,0.0
AUT_A03,0.0,1.863,0.0,0.0,0.0,4.8661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0001,0.5745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7997,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0018,0.0,0.0,0.0
AUT_B05_06,2.0165,0.0171,11.9379,0.3404,0.0488,5.0749,1.0059,2.2864,1.9106,483.0713,6.9079,0.8201,1.2277,1.7193,25.2711,2.3466,0.9091,2.0433,11.0917,6.2253,0.7106,2.887,507.3166,0.722,15.5117,6.8237,14.8329,0.0316,0.6123,1.3293,0.0984,2.4305,0.3787,0.3941,0.2085,0.4729,3.6898,1.5859,0.8761,1.1646,0.8565,2.7426,0.6846,0.8392,0.0
AUT_B07_08,3.347,0.0278,2.0153,87.8538,0.7307,6.6116,0.0,0.5993,22.1868,0.006,44.9674,0.1439,0.9096,188.5874,292.2797,0.5023,0.0515,1.9124,0.3637,0.1298,0.0036,0.1684,8.1758,3.5136,117.4255,2.0706,1.7043,0.001,0.0,3.5371,0.229,0.6919,0.0349,0.0842,0.0,0.0,3.6466,0.4394,3.6421,13.1365,1.2373,2.5241,0.793,0.7451,0.0
AUT_B09,0.0189,0.0002,0.0074,0.2259,0.0088,0.0173,0.0,0.0042,0.1382,0.0,0.1161,0.0004,0.0052,0.333,0.7736,0.0019,0.0,0.0025,0.0017,0.0004,0.0,0.0001,0.0516,0.0114,0.248,0.0082,0.0052,0.0,0.0,0.0091,0.0006,0.0018,0.0001,0.0,0.0,0.0,0.0094,0.0011,0.0094,0.1054,0.007,0.0066,0.0021,0.0002,0.0
AUT_C10T12,383.7459,4.1504,0.0683,0.0901,0.0014,1891.5409,69.7756,1.6162,17.6092,0.6935,160.367,37.6509,4.6463,2.1363,3.4173,1.8545,0.6851,1.3708,3.21,1.4876,0.2985,1.9988,4.8784,0.2707,4.4203,130.655,43.1542,17.2576,15.083,9.098,0.0999,2079.6944,10.7603,0.6491,0.9285,22.9704,0.868,5.8612,17.6762,31.3059,61.2887,320.3247,17.3489,20.6794,0.0
AUT_C13T15,10.5286,0.1343,0.34,0.3135,0.0044,13.161,287.8382,4.3019,15.4253,1.8946,5.8776,1.3211,33.1827,23.7672,7.5503,11.8867,6.3795,6.638,18.4633,38.7056,5.2958,50.5687,5.2711,1.4271,34.2914,49.4606,6.6517,0.1976,1.3122,3.5952,0.0872,12.0332,1.8931,0.6991,0.8212,7.9134,3.2807,11.4945,8.5085,7.2955,2.6929,28.1149,4.0147,5.9312,0.0
AUT_C16,36.4231,0.3719,3.8242,5.3418,0.0796,41.8281,4.9974,1637.7327,68.2705,1.2334,20.7553,4.8049,37.5017,32.0358,70.0626,73.4283,15.0954,32.3155,44.4781,23.0288,6.2705,262.7047,69.0074,108.9916,1392.7206,160.3834,16.212,0.3757,2.3929,7.3937,1.005,16.362,2.9957,3.3575,9.542,14.1521,105.0766,38.8382,19.9774,50.1641,5.9627,27.5243,8.2721,22.1232,0.0
AUT_C17_18,13.4284,0.1095,0.6804,4.2974,0.0578,232.7438,12.8818,103.7774,1293.0291,2.5278,167.3349,41.8936,49.1746,44.5277,21.4676,42.8255,21.3697,26.2385,58.2834,16.6348,9.452,34.4977,19.8282,8.331,53.4792,336.3531,21.1345,0.9468,4.3061,19.5316,5.1046,48.0229,1049.5988,19.3273,80.8302,110.9702,25.4502,467.7921,78.2688,239.679,57.4248,62.2083,32.5724,159.858,0.0
AUT_C19,122.3802,0.4305,8.2509,15.3999,0.2251,49.8035,9.8392,32.2375,30.4126,41.3385,201.2575,12.3103,38.9904,71.6741,227.4946,36.9811,12.602,30.843,19.9185,12.9266,1.6748,23.1132,81.4033,50.3844,227.632,232.0843,414.391,5.7006,224.8073,48.9477,6.0709,100.6702,5.0971,5.2436,14.1889,15.1062,33.7797,54.3091,48.3401,78.8423,62.9099,118.2621,27.9702,39.4377,0.0
