V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_A01_02,1279.5562,0.0028,3.283,0.1915,0.0118,5184.632,12.5625,271.7037,108.5217,5.2946,45.1957,28.5172,19.3518,4.2444,14.4434,3.4401,1.9928,0.9004,1.0969,0.1661,0.0864,6.6904,30.6818,5.1813,21.3478,294.2348,2.6967,4.8043,1.3037,18.0187,0.2993,251.0484,0.2189,0.421,0.2056,7.0822,22.9895,14.1952,31.7089,145.1974,6.1729,42.9896,16.2231,1.1236,0.0
CHE_A03,0.0,1.3485,0.0,0.0,0.0,1.3897,0.0,0.0002,0.0,0.0281,0.2141,0.2721,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.1983,0.001,0.0,0.0001,0.0301,0.0,0.0,0.0,0.0003,0.0,1.0035,0.0001,0.0,0.0,0.0,0.0001,0.0053,0.001,0.0974,0.0,0.3086,0.1128,0.0045,0.0
CHE_B05_06,0.9144,0.001,22.7517,0.6324,0.062,2.8878,0.5079,0.1087,3.512,240.0469,317.8023,0.5095,0.5845,30.6548,27.406,2.2216,1.145,0.332,0.0612,0.0041,0.1915,0.0748,402.5298,1.7841,48.474,5.852,1.9637,1.7422,0.3607,1.716,0.2497,0.9536,0.0149,0.0573,0.0085,2.0615,0.4003,1.4946,1.2985,16.8536,0.6898,3.3291,1.293,1.2303,0.0
CHE_B07_08,0.6224,0.0002,2.4378,0.7039,0.0315,1.2005,0.0614,0.0443,1.5831,65.7651,327.6729,0.1923,0.3603,29.0034,17.8704,0.604,0.2633,0.4274,0.0885,0.0031,0.0441,0.0262,68.2216,1.3747,44.4577,2.9398,0.574,0.5125,0.0837,0.8944,0.0778,0.2017,0.0069,0.0175,0.006,0.2115,0.7345,1.2648,0.6272,8.053,0.1917,0.5709,0.3004,0.3298,0.0
CHE_B09,0.0851,0.0002,0.9029,0.0295,0.013,0.0893,0.001,0.01,0.2339,5.8895,27.2264,0.109,0.0343,0.6156,0.0977,0.2859,0.018,0.0045,0.003,0.0001,0.0122,0.0004,1.4815,0.0489,4.8752,0.2298,0.1766,0.087,0.0279,0.0543,0.0152,0.036,0.0,0.0,0.0,0.192,0.0414,0.0856,0.0341,1.289,0.0373,0.2696,0.0369,0.0605,0.0
CHE_C10T12,825.1158,0.2788,0.0047,0.0003,0.0,4871.2459,59.941,0.4156,16.2414,56.1812,331.8048,483.7132,5.2076,1.06,0.0554,0.2083,0.6072,0.2904,1.8601,0.0837,0.0705,0.3217,1.1857,0.9713,5.2599,406.1485,232.1862,491.7929,124.9361,2.2459,2.0027,2902.0132,1.7866,0.8369,12.7577,64.0868,0.3415,28.1145,7.6692,409.5513,86.8316,770.0946,23.1002,15.9895,0.0
CHE_C13T15,6.2342,0.0033,0.454,0.0296,0.0037,8.6196,206.9041,0.473,6.8862,9.16,63.2814,14.0816,19.282,9.045,4.0488,7.4744,25.3989,7.6509,15.9125,2.0088,4.5961,37.8435,0.9662,0.8941,51.8475,154.0268,5.979,7.4161,1.6242,9.2435,5.0641,15.1373,3.5293,0.116,0.3218,26.1108,7.3756,18.447,21.3147,28.4222,4.9367,38.6534,7.4137,9.6968,0.0
CHE_C16,30.0516,0.0155,12.9346,0.8006,0.0571,62.5499,2.9653,1753.8861,92.2299,2.9335,16.7161,10.3079,28.4122,35.3116,13.4148,79.4619,130.3848,45.4212,52.7731,1.0143,34.7166,601.8103,63.4958,6.496,2471.7235,472.7447,8.9507,12.5512,2.5506,22.8114,0.2647,5.908,0.805,0.9846,1.1081,13.3308,24.6604,16.4356,15.7961,97.8241,5.3984,14.8514,45.9533,2.7524,0.0
CHE_C17_18,5.0956,0.0061,4.3161,0.7064,0.0286,210.607,9.1646,26.0283,536.0325,13.6665,152.5132,178.3798,24.9236,27.463,3.3129,30.4192,78.7707,37.1926,43.1572,0.8104,4.5704,15.995,12.0638,3.9307,36.9972,1307.7613,20.1386,16.861,5.1441,88.9703,19.9487,33.1497,785.2513,36.4449,54.6448,178.9994,20.3201,629.4272,303.1784,204.5541,14.6333,47.8398,22.9202,154.0614,0.0
CHE_C19,95.1003,0.0058,13.5628,1.7635,0.0754,53.6901,20.1756,19.6569,36.3461,304.0326,578.7006,244.2984,167.4749,59.1081,52.3387,45.6624,192.0065,89.9037,35.676,1.7224,4.7485,16.2862,55.4299,19.0423,214.7221,567.777,285.2778,249.7559,105.5588,127.1163,21.6701,76.347,11.0685,4.9904,10.958,23.8256,15.4005,95.6509,72.2582,162.6811,35.788,138.5414,39.4669,34.8237,0.0
CHE_C20,126.4781,0.014,16.68,2.0197,0.1464,114.5669,49.9735,65.1667,242.7246,216.0438,4051.7666,2063.0252,1290.0917,100.4187,117.1428,159.717,1069.1266,466.2925,97.9532,6.3555,15.0678,59.6865,43.1694,33.6507,227.1908,325.8627,156.8064,201.1567,31.1669,95.6214,6.2945,103.0481,31.3142,2.6238,10.013,20.6163,30.0328,202.2955,87.4234,101.7526,53.9136,295.2448,62.7929,83.5495,0.0
CHE_C21,319.7662,0.0914,59.4499,3.8136,0.2556,245.6887,110.3356,1.0836,54.4672,0.6599,2.7589,20986.1871,6.8229,0.8701,159.0218,1.9441,33.4145,6.3046,6.4211,0.214,37.8998,113.4635,122.9029,15.5199,6.4303,103.0304,509.0309,1261.3055,186.482,255.8644,0.1668,9.3254,59.0019,4.0879,1.0272,44.4244,4.3562,1328.233,332.9619,988.2365,3.5253,3365.988,49.777,222.7735,0.0
CHE_C22,17.5488,0.0119,4.7671,0.3895,0.0328,213.8289,11.2693,18.9779,47.856,10.3104,85.4549,208.7065,154.8342,49.4719,8.8815,58.5187,298.8679,222.6212,278.0917,19.0276,27.6289,83.0768,7.4299,8.7715,470.261,825.9254,23.2717,7.8037,2.1416,60.9941,8.7395,13.5674,11.8901,14.364,16.8388,46.5716,10.5874,113.5015,64.2966,68.0329,4.8961,87.6075,10.1386,18.8162,0.0
CHE_C23,14.5623,0.024,6.4088,0.8306,0.0736,163.2236,5.3646,37.5044,2.0444,2.8088,15.5101,246.0058,54.6732,697.1179,40.5293,99.3557,269.1164,204.454,45.2246,6.9036,23.2191,40.303,16.931,19.3549,2874.2286,140.3405,47.3269,56.5071,11.9013,16.7655,1.4347,22.7295,1.5986,3.5691,0.5339,4.2148,50.195,43.3188,22.3153,103.2978,2.3902,21.4829,3.9492,1.7878,0.0
CHE_C24,0.1466,0.0003,4.2703,0.3097,0.0557,7.4985,0.0718,6.0797,5.0136,7.6409,52.9341,1.8558,28.9988,23.1582,878.5565,1009.955,351.4203,489.6887,495.1951,15.5735,57.7397,374.7646,11.8737,6.1034,275.955,34.6972,9.6267,12.5803,1.3977,1.7619,0.0701,0.1022,0.0307,0.0302,0.1566,0.0065,0.0686,2.2133,1.9501,9.7992,0.3778,6.8017,0.5541,0.0314,0.0
CHE_C25,56.8157,0.0379,8.3548,0.8181,0.1046,193.244,9.9427,55.256,4.9529,13.0262,88.524,174.0164,58.0908,48.8751,390.3733,1818.8215,1284.7519,987.25,2143.0601,38.8618,218.328,220.8385,30.983,37.9672,1727.6438,1507.4373,43.1962,40.8364,8.8008,156.7075,14.6076,79.3474,8.2741,26.1913,1.937,70.5821,35.4682,176.657,84.1144,146.985,26.934,67.7867,24.5648,28.2774,0.0
