V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_A01_02,99254.8685,1622.4336,1968.366,182.0744,22.2578,292158.9202,56756.31,20534.3316,17398.616,8.6946,10138.6634,21559.0655,3615.7052,249.2087,80.5778,79.8562,4.401,10.7716,82.3875,18.0306,7.687,7971.821,16.1026,331.2788,6380.2366,269.0265,7811.6199,1677.414,1677.9851,2395.9039,0.6909,15547.3906,36.1226,287.2646,10.9708,11.1168,22.1264,2702.0365,537.2438,4.8657,346.7483,1024.1167,459.7413,208.5992,0
CHN_A03,2462.5506,25083.846,0.0,1.9508,2.181,15252.8063,337.5335,163.1146,466.8922,0.2648,1021.4095,37.5179,12.9808,10.1394,12.3635,0.0,0.0,0.0,12.3838,3.2609,1.0108,357.6874,1.4823,152.0225,0.0,33.5502,0.0,1790.2003,0.0,0.0,0.8198,14512.8214,4.0656,25.949,0.0,1.0129,2.5949,1144.2436,65.0519,0.5065,77.5383,58.557,29.8814,24.9141,0
CHN_B05_06,451.7358,11.9464,28220.1734,660.1494,159.7478,1509.3477,1504.2248,822.4504,1389.2516,126837.7376,21830.4838,74.3462,754.1811,26610.1157,26556.367,1088.646,293.5577,377.9127,2229.3774,623.9732,338.2667,447.4166,90468.6353,505.4848,794.0707,273.5401,1583.2036,171.5844,55.1751,128.8329,42.3468,225.5963,26.5106,0.0,371.0051,142.2987,45.482,805.5852,88.1048,640.9351,298.568,591.4781,24.9442,184.2807,0
CHN_B07_08,69.5432,14.7545,167.8645,10332.1446,16.1655,234.9827,10.436,20.9017,10.1347,92.4864,15724.694,274.1243,529.4291,27172.5402,92915.8786,2415.7783,66.7697,481.685,1581.7228,251.0076,52.043,180.7208,156.3574,141.6299,13056.245,61.9401,117.2204,0.7214,0.4451,22.6562,0.212,1.973,16.5154,0.0,0.012,46.3064,99.3794,389.5992,13.0394,105.556,66.7623,181.7869,9.7327,9.1634,0
CHN_B09,0.0,0.0,10882.3412,513.689,62.577,261.1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,199.6014,0.0,1478.0348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHN_C10T12,82569.3575,4641.2971,564.7622,460.6438,6.4112,155538.7058,16507.6645,627.4783,1029.2399,1605.5741,14351.1666,2273.5463,677.9379,1949.1402,4405.843,1073.4033,4302.4934,2540.1124,2811.672,1159.3271,442.0349,936.1423,2011.9305,1167.1976,5679.8678,6722.4024,1255.1548,1108.6958,1255.6373,1082.3104,107.5512,84407.3085,746.6248,491.3427,479.2761,699.189,800.5081,4216.3044,796.8225,1120.0756,1648.8179,1965.4064,602.1169,1515.0067,0
CHN_C13T15,453.3216,5.8838,1004.7254,721.8733,59.3297,1289.7276,295989.474,843.9007,2817.3615,139.2976,3870.835,826.7171,8368.3624,2760.1672,2147.3111,1482.9122,2032.5226,2649.584,2983.2657,4963.6518,628.6143,17799.0974,2008.9578,2156.0068,5924.6717,11328.6047,1947.1876,553.8838,748.3816,1395.282,342.6975,2531.8806,703.8486,532.8535,58.1222,496.8181,1472.3064,8520.7753,2556.724,5008.715,691.5899,3728.9393,341.7687,1413.7152,0
CHN_C16,326.6551,42.2463,1617.6875,421.2022,3.3575,574.9122,500.874,33399.8575,3585.4906,73.166,744.4424,24.5382,598.0124,3538.1561,709.9439,4933.5868,1294.8278,1459.1325,2472.3076,509.9394,88.7917,18410.7072,351.1143,618.3525,22838.6527,858.0157,149.1831,39.9327,0.2002,5.2479,70.4435,86.9245,130.0081,7.4278,3.775,6.3322,328.408,944.7564,90.6324,638.8816,1735.7401,1078.8469,126.9301,564.2133,0
CHN_C17_18,551.971,87.7076,240.124,467.6997,4.9217,9362.3093,4014.8502,1420.3689,51622.9739,136.1838,6651.7096,2321.048,3335.9783,9436.2693,792.0788,1969.613,5765.152,6853.2706,5318.944,860.7798,132.8319,3589.3771,1046.1729,344.6537,1231.1171,8589.139,664.0496,31.3264,78.9113,165.7115,906.5986,497.6023,4451.8428,1226.8035,9022.8368,2363.5125,1104.9698,19293.4485,1872.4068,5637.406,4017.2034,1356.5421,87.5833,758.6773,0
CHN_C19,4567.442,661.7762,4634.1431,7909.3853,573.5866,1721.383,1944.9331,737.5217,671.6844,21039.2491,53237.8234,127.6524,1500.4904,18444.5874,40070.733,2722.9752,2401.4641,2200.1924,6844.7268,2419.1095,1037.9725,902.9579,15838.3325,1746.6634,14621.4211,3522.1256,47758.2445,19790.5271,13120.1015,13951.8079,1043.4205,1092.0914,244.4635,430.9463,154.3017,1179.2142,3054.4066,10498.6566,4880.6232,3682.8589,1355.0128,748.2523,326.2316,711.3341,0
CHN_C20,53048.3662,182.0408,5469.0558,8250.2301,767.5456,7470.5673,34045.4146,8157.976,16994.7085,5177.0643,201839.2724,3501.546,73491.7488,28895.5158,11014.0251,7810.4419,25613.1477,21751.9354,10240.6195,4956.7282,1260.3621,7850.3881,1412.8043,3647.9,26942.0128,2859.3387,780.2724,600.809,41.2077,3552.7307,26.915,996.0227,2384.2775,53.1254,1514.8143,537.1565,3238.7557,15629.5003,1644.3774,2369.1176,1488.6975,26890.1539,642.3076,2727.6476,0
CHN_C21,3479.7415,170.1915,20.0897,47.4397,6.8234,176.0955,30.0602,11.9143,52.0248,10.8747,3233.8971,39604.0439,449.5628,117.7249,37.3377,35.8849,96.6444,12.2593,77.4333,7.5619,4.7753,31.7856,70.0332,36.0986,204.1874,132.5728,112.6663,2.3808,11.5656,13.037,4.8899,28.6574,8.3048,246.2087,2.5074,24.0731,171.5657,1491.2074,240.4567,203.3664,20.9611,47620.4322,7.1309,166.483,0
CHN_C22,3923.8519,32.3343,1376.7806,2372.8424,426.6541,10632.09,5690.7663,1225.4642,5349.0653,379.0898,19424.9881,783.0124,53099.8277,6432.0321,1765.2487,2942.3751,28303.1477,21877.318,16355.7619,14522.3276,1762.1002,7267.6057,457.6655,2842.7727,10868.9808,8814.0352,3949.4206,15.2922,23.4324,302.0232,100.3811,612.5821,29.3623,176.2027,4.8217,65.5895,1081.6305,3500.5902,651.1185,182.083,145.8783,2255.3673,195.6509,892.0849,0
CHN_C23,967.6372,217.2221,2587.7719,3218.7159,567.9663,4559.5124,868.8347,252.1862,272.0172,1016.6497,5022.9326,1217.6923,1504.0279,89370.4368,19647.7596,3265.9924,15881.5267,11079.9512,5147.7373,5359.0859,238.5223,2061.3985,1261.2976,1397.035,277312.9251,362.1907,697.5028,8.0419,67.2735,359.7207,131.9808,433.2567,332.9268,35.6434,62.1375,37.0154,81.0481,1175.0381,76.2004,1334.3063,909.2441,1054.5782,188.7396,3.616,0
CHN_C24,177.2927,25.6053,11789.794,1693.088,747.7663,696.5681,468.7133,327.1911,473.0208,192.8205,5902.9003,55.682,3247.2405,12735.9587,248304.4751,96724.9554,22563.6565,123951.881,149794.2199,34374.0457,7411.6067,10067.8761,605.6821,3717.9537,155311.6767,598.6825,1576.5172,184.4938,111.6161,893.2828,51.1481,9.1746,26.1967,1.8142,1.719,7.3912,242.5488,2141.1145,89.4554,0.0802,135.3459,12.6525,58.9601,84.9957,0
CHN_C25,2448.7649,109.3419,4083.2486,2972.3028,374.3242,2936.234,1240.1126,1825.8478,1856.5165,930.6913,4171.5975,303.8984,3739.1617,12712.2541,8389.7266,36688.189,18345.2959,22479.8551,28985.1118,9587.9836,3399.7061,5789.9528,3478.3641,2104.0873,38384.4708,503.1333,341.8163,179.0687,24.206,2119.7302,28.6287,237.6478,167.423,307.3256,373.4111,142.0831,1559.3933,12640.5614,744.3678,312.4241,383.5305,361.86,50.8051,272.0383,0
CHN_C26,167.8345,15.0087,1234.2583,402.794,97.3239,405.5686,393.6754,76.5177,359.822,272.6663,2070.2329,110.8048,421.773,612.305,1271.7559,455.4441,227162.3999,19958.1978,10932.816,6740.6111,3165.489,1568.3541,4723.4696,756.2102,3284.9328,2702.7355,597.2687,80.0003,90.8406,502.6812,221.9931,55.4165,142.0065,5072.6432,9594.8856,426.2336,742.0983,24101.3171,1265.8555,1510.7043,1403.3236,318.6932,134.2871,1412.123,0
