V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_A01_02,224.7736,0.0693,0.0,0.0,0.0,465.3829,0.1821,2.9041,0.2677,0.0,2.4779,0.8574,5.6537,0.0002,0.528,0.9762,0.0,0.0,0.0,0.0,0.0,0.5599,0.0,0.0,0.1433,0.0,0.0,0.0,0.0,0.0,0.0,106.457,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0247,0.0,0.8456,0.0,0.0447,0.0
CIV_A03,0.1076,4.6034,0.0,0.0,0.0,19.6722,0.0,0.0,0.0,0.0,0.0353,0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_B05_06,0.0129,0.0,0.3593,1.0088,0.1049,2.358,0.0,0.0,0.0,159.2278,0.2625,0.0041,0.0,2.3884,6.3715,4.6743,0.0,0.1542,0.0,0.0,0.0,1.3907,0.3278,0.0,0.5681,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4781,0.0,0.0,0.0
CIV_B07_08,0.1872,0.0,1.0318,16.7947,0.6531,11.8546,0.0,0.0,0.0,0.0,1.6342,0.1948,0.0,17.8318,154.654,78.9771,0.0,2.3238,0.0,0.0,0.0,18.5903,0.2181,0.0,10.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3161,0.0,0.0,0.0
CIV_B09,0.0583,0.0,2.2682,7.5646,1.0844,3.8598,0.0,0.0,0.0,4.8457,0.3076,0.0096,0.0,1.7587,14.7263,13.2541,0.0,0.0844,0.0,0.0,0.0,0.0,0.0864,0.0,1.1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.483,0.0,0.0,0.0
CIV_C10T12,31.9573,1.6362,0.003,0.009,0.0036,359.4952,0.228,0.0348,1.4533,0.0007,17.334,3.8796,0.3107,0.0864,0.0559,0.1016,0.0129,0.0009,0.0022,0.0001,0.0,0.0292,0.0837,0.0025,0.1509,0.7995,0.412,0.0333,0.0504,0.2785,0.0811,529.3926,0.0063,0.0037,0.0055,0.0132,0.0009,0.0052,0.0016,8.1206,1.6889,0.4834,0.0003,0.0299,0.0
CIV_C13T15,4.6394,0.4453,0.0,0.0001,0.0,0.4041,16.1548,0.0025,1.4602,0.0001,0.044,0.0118,0.2327,9.595,0.0004,0.0015,0.0,0.0001,0.0,0.0,0.0,5.4219,0.0021,0.0,0.0231,0.1991,0.0631,0.005,0.0076,0.042,0.0123,0.0003,0.0002,0.0001,0.0001,0.0,0.0,0.0002,0.0001,0.4956,0.0,0.0366,0.0,18.407,0.0
CIV_C16,0.73,0.0001,0.0257,0.073,0.0307,10.653,0.0923,10.3734,0.0753,0.0002,0.1903,0.0282,0.0708,0.0083,0.0774,0.1897,0.1131,0.0002,0.0191,0.0008,0.0001,13.1171,0.616,0.0027,0.2188,0.3351,0.024,0.0066,0.0121,0.0528,0.0108,0.4968,0.0466,0.0268,0.0413,0.1156,0.0077,0.0287,0.0108,0.1005,0.0391,0.0328,0.0019,0.1654,0.0
CIV_C17_18,4.9535,0.0244,0.0335,0.2546,0.0178,11.108,0.1595,0.0778,17.5852,0.0845,2.6463,0.9326,0.293,0.506,0.0413,0.125,0.0652,0.0172,0.3978,0.4269,0.034,0.0902,0.3253,0.0493,0.7187,63.6475,0.2171,0.0514,0.1033,0.4854,0.2322,15.8573,0.4928,0.1051,0.1292,2.1774,0.1393,0.5612,0.3291,5.3912,5.5531,4.0857,0.037,0.0472,0.0
CIV_C19,47.4418,4.9461,0.4638,3.5134,0.1847,40.0242,0.1298,3.1188,0.4494,2.5076,3.5749,0.2513,1.5039,0.561,2.687,2.8099,0.2691,0.0068,0.2778,0.2909,0.0243,1.3807,0.9657,2.9346,9.9553,29.4013,117.6727,37.1737,73.4375,33.501,15.0169,19.7685,0.0477,0.0616,0.0583,1.1714,0.8073,0.1687,2.4486,8.7181,0.5965,0.6249,0.013,0.3719,0.0
