V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_A01_02,1725.1788,150.3236,220.7263,16.2873,0.2706,10663.5785,284.7511,158.0698,36.4806,5.0134,37.7689,5.7864,64.7902,9.1857,15.7856,5.9547,0.0567,1.3626,1.6266,0.221,0.0473,25.6851,52.3644,28.2211,289.379,109.9347,0.9833,0.1329,0.2301,0.357,0.7429,1478.4824,16.4934,0.3296,0.9005,12.3774,6.2141,1.143,5.1378,94.4917,27.0179,51.9145,2.6203,2.9863,0.0
COL_A03,3.4198,8.4744,13.7252,1.0047,0.0257,49.8147,55.6665,0.0579,0.9055,0.3164,31.9728,12.907,0.6892,0.605,1.2495,0.3438,0.0053,0.1139,0.1225,0.0119,0.0031,0.1667,3.4219,1.8407,0.6894,2.0263,0.0737,0.0094,0.0171,0.0618,0.0499,20.749,0.0451,0.0699,0.0457,0.7739,0.7528,0.0601,0.3053,64.6919,4.0626,8.6671,3.0073,4.5091,0.0
COL_B05_06,36.7533,2.1408,1599.7795,34.6153,1.0229,44.4531,15.7204,2.2344,21.7997,7928.7692,12.9102,0.2582,7.7178,88.4188,24.6539,5.9131,0.0471,1.099,1.7659,0.1694,0.036,2.5252,524.948,17.4586,13.9807,23.2813,18.4159,0.2066,1.2222,0.4563,0.5374,52.1578,0.4526,0.2834,0.5578,7.3356,2.1308,1.2542,3.479,12.3761,4.5478,3.9383,1.3415,1.5493,0.0
COL_B07_08,2.915,0.3962,13.9105,8.406,0.0,3.6583,0.373,0.0,1.3272,18.8968,24.5838,1.1071,0.238,172.9161,1430.5811,207.7837,0.0265,0.711,1.5544,5.5012,0.3807,25.0348,0.0,0.0,750.8937,0.0,0.2381,0.0,0.0,0.0,0.0,5.1504,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,0.0,0.0148,0.0,0.0,0.0
COL_B09,13.7919,0.8124,56.1825,4.1667,0.0657,6.714,1.0249,0.2234,1.9532,1.3232,1.9087,0.0417,2.7252,2.6866,2.2218,0.7956,0.0116,0.2909,0.3904,0.0379,0.0112,0.5907,12.9565,6.5559,2.5383,8.1118,0.2235,0.0336,0.0549,0.0323,0.1829,0.4496,0.0771,0.0,0.1864,2.7565,0.7193,0.1148,1.1956,4.0972,1.6203,1.4002,0.4904,0.5546,0.0
COL_C10T12,1995.4398,41.1296,7.0081,6.7468,0.7761,4333.5027,146.8531,11.5583,70.166,13.2368,294.7263,46.7705,14.7091,33.9306,66.6798,17.3049,0.3317,6.093,3.9879,0.855,0.0825,11.754,240.4018,8.6387,27.9136,59.4632,2.0008,0.1603,1.7246,13.0325,1.9835,4343.0181,2.8801,28.4235,5.72,32.7371,1.9979,23.2796,12.7741,275.0461,65.2588,37.3622,5.9466,9.7772,0.0
COL_C13T15,135.3846,0.8645,13.5582,3.9024,0.6949,19.9326,1435.2678,44.1481,71.5365,6.9297,9.5445,1.5614,59.2103,5.2093,11.4439,6.1571,0.339,5.1693,2.4623,6.5887,0.4811,146.8037,19.1339,7.1979,63.2316,75.672,17.9896,0.1573,0.9811,7.6531,3.8489,58.8796,8.8631,35.4159,9.0998,7.0311,1.9522,7.7531,18.0933,123.8168,70.6945,19.7701,17.6325,36.6707,0.0
COL_C16,36.4361,0.2421,7.3666,18.4873,0.0041,11.2806,5.5263,64.364,1.052,0.9552,1.9179,0.1588,4.7891,5.2243,3.9278,3.1086,0.2807,6.0983,2.4401,1.0265,0.0606,144.6843,13.8864,0.3333,688.4107,81.1592,0.1836,0.1881,0.2761,1.6174,0.3418,2.5792,0.6945,2.8357,0.3026,1.0725,0.0525,11.6488,0.0512,4.1244,5.2721,5.024,2.3261,5.3523,0.0
COL_C17_18,32.1884,2.0225,10.8219,7.8297,0.0664,410.0355,44.5683,10.619,742.5932,17.515,133.4205,30.9947,59.4893,66.6738,16.2121,11.6077,2.1186,34.5961,11.1053,6.3053,0.5615,39.7466,82.7055,11.8422,41.2149,542.6659,8.0722,0.174,4.91,10.8046,34.7825,21.885,94.115,214.7594,54.7815,185.187,11.3106,93.5189,219.1068,120.6379,112.7096,90.2842,35.7751,39.743,0.0
COL_C19,283.2014,9.6266,174.0566,131.8748,2.1519,173.406,62.9823,5.313,52.2469,2341.6334,259.0595,11.0782,44.088,627.0994,41.8183,12.4315,1.2322,31.653,7.2464,18.841,1.5573,235.8711,83.5341,86.871,415.4143,555.1335,3001.7332,65.9142,468.2946,110.3762,29.5478,71.9217,11.1849,121.2411,40.2363,7.4302,6.9656,318.6066,187.1826,612.2462,43.8731,53.6303,6.2573,14.6626,0.0
