V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_A01_02,344.7392,1.1002,0.1049,3.6735,0.003,1547.5412,11.4894,21.8354,0.4973,0.1573,2.3417,0.379,7.8811,0.088,0.7006,0.0156,0.0272,0.009,0.0003,0.001,0.0003,5.3342,0.1521,3.5457,0.2166,0.3603,0.0052,0.0144,0.0009,0.1927,0.0023,106.7359,0.1966,0.0362,0.0025,0.1328,0.2765,1.4026,0.2419,6.1013,19.5604,12.8521,0.8837,1.9067,0.0
CRI_A03,0.0055,1.9978,0.0,0.0,0.0,52.4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2571,0.0,0.0041,0.0,0.0,0.0,0.0,0.0049,0.0484,0.2269,0.0727,0.0,0.0,0.0
CRI_B05_06,0.0168,0.0,0.0125,0.3693,0.0003,0.0633,0.0,0.0003,0.0005,1.0976,0.2321,0.0024,0.0002,0.3111,0.0018,0.0,0.0,0.0006,0.0,0.0,0.0,0.0303,0.1032,0.0025,0.9587,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
CRI_B07_08,3.2731,0.0172,0.003,0.3561,0.0003,4.1294,0.0002,0.1522,0.0062,0.5754,0.9329,0.0057,0.0024,42.5788,0.0124,0.0002,0.0,0.3328,0.0115,0.0,0.0,0.0999,0.4658,0.2541,156.5375,0.4951,0.1313,0.0922,0.0119,0.001,0.0,0.0003,0.0,0.2572,0.0,0.0,14.8002,0.3865,0.151,0.1206,0.1204,0.0168,0.0066,0.0883,0.0
CRI_B09,0.0054,0.0002,0.0004,0.0181,0.0,0.0024,0.0,0.0001,0.0033,0.1229,0.0088,0.0001,0.0006,0.0143,0.0072,0.0008,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0286,0.0018,0.097,0.0009,0.0014,0.0004,0.0,0.0018,0.0,0.0006,0.0,0.0,0.0,0.0,0.0034,0.0008,0.0013,0.0016,0.0004,0.0005,0.0001,0.0002,0.0
CRI_C10T12,144.4877,13.1035,0.0051,0.2431,0.0002,712.0667,0.7711,0.8442,1.4074,3.4952,47.3322,6.5351,1.947,0.4982,1.1268,0.1021,0.1266,0.3142,0.0109,0.0189,0.0042,2.3241,0.7505,2.914,8.4041,4.3623,0.2541,0.3234,0.0999,1.3237,0.0403,487.5001,0.5303,0.7827,0.111,2.9297,4.665,3.5892,3.7555,7.4549,21.2464,24.2191,4.8419,7.5613,0.0
CRI_C13T15,2.2754,0.0232,0.0007,0.0266,0.0001,4.4889,32.3726,0.7591,9.2907,0.3528,1.4111,0.0891,0.4618,0.2231,0.199,0.0646,0.5243,0.1445,0.005,0.0284,0.007,8.6177,0.6631,0.5569,1.9133,3.5066,0.1584,0.1566,0.0523,0.3047,0.0354,2.5731,0.1085,0.3198,0.0171,0.9072,1.1087,1.1805,1.3476,1.5549,1.0823,4.234,0.6364,1.4974,0.0
CRI_C16,6.93,0.0218,0.0,0.0032,0.0,7.0108,2.0186,16.4493,0.218,0.1711,0.2007,0.007,0.2567,1.3702,0.2935,0.0567,0.0008,1.1731,0.0406,0.1821,0.0467,14.1685,0.0597,0.1649,31.3682,0.1588,0.052,0.0629,0.0094,0.0933,0.0002,0.1511,0.0155,0.0466,0.0001,0.0258,16.163,0.5281,0.0128,0.2499,0.1337,0.3173,0.0071,0.3085,0.0
CRI_C17_18,46.884,0.0283,0.0004,0.0535,0.0,44.5092,2.847,0.1245,117.8821,5.0764,7.0343,2.2477,2.6486,5.4319,0.6857,0.4901,1.2604,2.1284,0.0723,0.0976,0.0166,35.1341,1.3363,1.7564,12.2209,38.1427,0.5026,0.4005,0.0885,2.6495,0.4799,18.3705,13.3921,1.5885,0.7509,6.085,7.3312,36.6571,13.7833,6.2256,18.7933,31.1908,0.8464,4.7613,0.0
CRI_C19,51.6751,2.6857,0.0362,5.5166,0.0018,39.007,1.3958,1.5267,2.9514,2.385,5.1404,0.3039,3.3804,17.6429,2.5052,1.063,0.185,0.3236,0.0112,0.1298,0.0261,11.9002,33.6229,3.6477,28.3691,40.025,59.2892,54.5503,17.3552,8.5999,2.2293,14.5484,0.4569,1.7139,0.3767,1.4983,3.2668,11.9902,14.3048,6.2533,5.6571,7.2985,1.5363,3.4704,0.0
