V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_A01_02,211.2228,0.0551,0.4862,0.4416,0.0088,273.0369,2.9942,296.4608,27.7656,0.1446,0.4041,0.0373,0.3363,0.5025,0.0223,0.9777,0.4753,0.2484,0.3331,0.2708,0.0754,15.3355,1.7303,1.5915,4.4393,10.3615,1.697,1.5154,0.2292,2.854,0.1974,13.6561,0.2705,0.2423,0.2854,0.7209,2.9564,4.4481,2.3919,2.5746,2.2186,1.0293,1.5904,0.4854,0.0
EST_A03,0.1353,0.2524,0.0223,0.0079,0.0003,29.7877,0.0177,0.0837,0.0148,0.0238,0.0154,0.0003,0.013,0.0391,0.0004,0.0395,0.0113,0.0108,0.0129,0.0123,0.0164,0.092,0.056,0.0081,0.067,0.9113,0.1456,0.041,0.0397,0.1974,0.0033,6.7389,0.0265,0.0014,0.0044,0.0084,0.1152,0.1707,0.1453,0.1137,0.2852,0.1388,0.0638,0.0169,0.0
EST_B05_06,2.8382,0.0036,0.3682,0.0822,0.0038,0.0255,0.0019,0.0001,0.0059,47.5291,0.423,1.25,0.0,0.1506,0.0032,0.0002,0.0004,0.0,0.0105,0.0005,0.0023,0.0081,160.8681,0.0578,0.0026,0.0762,0.0227,3.077,0.0024,0.0272,0.0,0.0018,0.0035,0.0021,0.0,0.0,0.3832,0.1062,0.1368,0.0066,0.038,0.0202,0.0229,0.0037,0.0
EST_B07_08,2.3474,0.0417,2.8719,4.4757,0.0556,0.4288,0.0466,0.2882,0.3776,0.1062,3.1795,0.0077,0.1369,15.1613,0.0302,0.2139,0.038,0.0753,0.1053,0.0374,0.0197,0.1649,36.0359,0.6182,46.8806,1.043,1.2928,2.0266,0.0115,0.9038,0.0084,0.0604,0.0163,0.027,0.0447,0.0232,3.2855,0.5114,0.939,0.9466,0.2104,0.1904,0.2057,0.32,0.0
EST_B09,0.0002,0.0,0.008,0.0023,0.0001,0.0001,0.0,0.0001,0.0002,0.0032,0.0003,0.0,0.0,0.0009,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0001,0.0054,0.0001,0.0003,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0
EST_C10T12,41.9441,0.5254,0.0351,0.0172,0.0008,135.4996,1.2853,0.021,0.1297,0.0,7.4803,0.2179,0.0058,0.0241,0.0011,0.0053,0.0005,0.0001,0.0596,0.0045,0.0007,2.1141,0.0823,0.0349,0.2349,3.8516,0.2561,0.0568,0.092,0.1116,0.0,72.7542,0.4682,0.0052,0.0324,0.1323,0.2888,2.6536,1.4052,2.1073,9.2842,4.3292,1.3245,0.2417,0.0
EST_C13T15,1.0819,0.7809,0.3261,0.2331,0.005,1.5497,48.867,1.4517,0.7867,0.2156,0.2171,0.0412,1.569,0.6027,0.0156,1.5561,0.4636,1.3767,0.5111,4.6778,0.1214,12.6986,0.5627,0.1651,3.243,4.2301,0.6413,0.277,0.1024,0.8535,0.0572,1.9762,0.4895,0.1143,0.142,0.2068,0.8115,3.0367,4.8067,1.2077,0.5295,1.9773,1.5804,1.3165,0.0
EST_C16,7.3395,0.0323,0.8074,0.6542,0.0149,2.842,1.5284,227.844,2.4488,0.1931,0.7445,0.0372,2.7486,5.0375,0.0446,1.7247,1.0329,1.066,0.6972,2.1404,0.3647,56.4515,32.0039,0.5219,93.3437,11.0707,2.9512,0.4718,0.0962,6.8749,0.0477,0.6311,0.2366,0.3373,0.3073,0.5879,12.7804,3.516,0.8535,0.8501,0.4561,0.6585,0.4579,0.5357,0.0
EST_C17_18,2.6924,0.1316,0.6498,0.2772,0.0015,18.6055,5.1263,7.245,47.9657,0.0785,1.3643,0.4017,0.9795,1.2403,0.1052,1.231,1.0206,0.633,0.6764,0.337,0.0695,2.2386,0.6087,1.6226,0.755,33.3863,0.41,0.3596,0.0913,1.6438,1.3494,2.3684,49.8522,9.2023,7.3544,7.4827,0.7717,33.2871,7.9986,3.4686,5.4936,1.6016,2.6715,10.9216,0.0
EST_C19,12.5783,1.4593,2.6944,1.7589,0.0392,2.736,0.5549,2.2558,0.4735,0.8284,1.458,0.0435,0.5046,1.3702,0.0837,1.0652,0.1369,0.2318,0.3162,0.1489,0.0397,2.0325,7.2306,0.9218,15.9648,8.4759,45.3613,17.6019,5.5857,2.2805,0.2062,0.4751,0.1996,0.3046,0.3949,0.2385,0.8855,2.2946,2.965,2.3971,1.2807,0.8511,0.7007,0.4356,0.0
EST_C20,15.2255,0.1399,3.0836,1.5833,0.0415,7.6119,8.8601,9.2535,5.0983,1.8173,39.749,0.8233,14.1777,2.9587,0.1172,3.4961,1.2314,1.1893,0.9093,1.8356,0.1724,4.3434,1.3733,1.6868,7.599,3.7127,1.5724,1.8841,0.2626,1.4093,0.036,1.3843,0.3285,0.1673,0.1901,0.3885,5.6469,2.5541,2.6634,1.1947,1.719,1.5268,0.952,2.2306,0.0
EST_C21,0.5064,0.0056,0.2508,0.061,0.0003,0.3426,0.3691,0.2317,0.052,0.0284,0.1458,1.6424,0.0565,0.0503,0.0253,0.1417,0.07,0.0347,0.033,0.0258,0.0184,0.1208,0.1331,0.0641,0.2637,0.4867,0.0869,0.0929,0.0121,0.0294,0.0547,0.0926,0.0174,0.007,0.0095,0.0107,0.0456,0.5848,0.1521,0.1166,0.0748,10.6201,0.024,0.0153,0.0
EST_C22,1.8856,0.2153,0.6752,0.6023,0.0169,9.3944,2.4523,3.1392,1.7875,0.1293,1.5241,0.2345,13.8431,3.2498,0.096,1.6765,2.0066,2.4211,1.1192,2.6295,0.3682,4.531,0.5459,2.2993,20.2468,13.0775,3.1528,0.1343,0.0613,0.9487,0.0392,0.5736,0.068,0.0536,0.2363,0.3189,3.7608,1.4075,0.4688,0.9842,0.3897,0.9339,0.3704,0.5232,0.0
EST_C23,2.229,0.055,0.3449,0.3588,0.0067,3.4043,0.3492,7.2678,0.4087,0.3413,0.6157,0.3607,5.7667,24.6051,0.0701,3.353,0.4473,2.1505,0.28,0.4794,0.562,2.1377,2.2697,0.5255,103.9369,11.5571,3.0015,0.5505,0.1933,3.8185,0.0503,1.2061,0.2237,0.1686,0.3002,0.3008,9.2497,1.4808,1.3032,0.9026,0.4975,0.5594,0.4633,0.3052,0.0
EST_C24,0.0599,0.2475,0.0161,0.0068,0.0004,0.0441,0.0382,0.0941,0.2306,0.0287,0.5274,0.0103,0.0978,0.1725,0.9185,13.5997,1.0576,2.8108,2.1537,0.9446,0.0175,2.3647,0.0262,0.3439,1.0466,0.0219,0.0613,0.011,0.0181,0.0881,0.0,0.0018,0.0144,0.0032,0.0004,0.0995,0.3358,0.1891,0.0452,0.0328,0.0034,0.001,0.0238,0.0309,0.0
EST_C25,10.8636,0.5256,3.2174,1.8955,0.0731,14.3974,4.1636,13.466,3.3883,3.243,5.0821,0.7971,4.7268,9.2082,0.32,83.412,12.9169,20.4671,22.8238,9.7653,2.7505,20.2602,8.9323,3.772,87.4804,16.8584,3.8223,0.71,0.5438,11.447,0.1218,1.1559,0.2524,0.1965,0.4588,0.7952,9.8024,4.2888,6.138,10.9894,1.2786,1.2821,1.1302,0.7849,0.0
EST_C26,1.6911,0.1935,0.4196,0.2232,0.0071,1.1707,0.5098,1.2161,1.0296,0.3726,0.3485,0.0454,0.4244,0.619,0.0766,2.1875,133.9874,10.182,1.4953,3.7471,0.2947,2.6649,2.1488,0.7354,7.653,7.2332,1.1545,0.33,0.2433,2.2065,0.1548,0.663,0.4485,5.2298,1.2205,1.0574,1.6253,2.596,2.986,1.5434,1.1034,2.0809,0.603,1.96,0.0
EST_C27,1.7602,0.226,0.5258,0.2564,0.0082,1.2786,0.4851,1.5781,0.3384,0.4089,0.4035,0.0416,0.5169,0.5553,0.0604,1.5045,22.1141,23.0844,0.6635,4.6753,0.2548,2.6306,4.7296,0.3178,9.1107,6.2848,1.5652,0.3708,0.3654,2.0149,0.1179,0.5209,0.0934,0.2363,0.2313,0.2685,2.1409,1.2758,1.771,0.5681,0.4674,0.6297,0.1934,0.81,0.0
EST_C28,4.0655,0.099,1.3243,0.7495,0.0212,1.7308,0.4363,2.3612,0.5909,0.5568,0.5433,0.0404,0.5232,1.1372,0.0566,2.5611,1.3521,1.6866,3.706,1.0879,0.4751,2.9441,2.0867,0.7121,3.7731,5.6823,1.2097,0.1605,0.1611,1.8025,0.1048,0.2476,0.0383,0.0483,0.146,0.3102,0.9534,1.0244,0.971,0.5288,0.2345,0.2017,0.1788,0.2681,0.0
EST_C29,1.1907,0.0236,0.549,0.4188,0.0103,0.51,0.1314,0.6248,0.0918,0.1078,0.1263,0.0142,0.4611,0.6042,0.0411,1.5496,0.8942,0.7142,1.2206,13.7179,0.2464,0.5874,0.3121,0.4295,2.6499,11.3401,12.1144,0.0963,0.0204,0.5628,0.0503,0.0816,0.0703,0.0367,0.0363,0.165,0.3558,0.3286,1.2985,0.9292,0.1305,0.1085,0.1072,0.0562,0.0
EST_C30,0.0008,0.0065,0.0011,0.0001,0.0,0.0016,0.0033,0.004,0.0012,0.0,0.0017,0.0,0.0013,0.0004,0.0003,0.0057,0.0013,0.0007,0.0046,0.0007,0.8606,0.3339,0.0741,0.007,0.0374,0.1272,0.1043,3.091,0.0295,0.0659,0.0002,0.0018,0.0032,0.0023,0.0079,0.0,0.0061,0.0103,0.0556,0.2185,0.0045,0.0085,0.037,0.0029,0.0
EST_C31T33,12.3428,3.943,4.6624,1.437,0.0676,6.842,5.2506,15.5357,2.8985,5.1945,3.0432,0.243,2.2404,5.8828,0.0681,8.2277,3.0974,2.7002,1.7078,2.5951,3.828,34.337,12.7164,1.3174,12.255,20.1691,15.5108,2.1422,7.0615,11.1331,0.6097,4.9084,0.7767,0.5355,0.2931,3.9086,6.6279,5.3242,12.9886,8.5053,7.7018,33.494,4.9695,2.8774,0.0
EST_D,28.4273,1.1145,13.8936,10.7539,0.143,42.3515,12.6923,32.0118,39.1573,18.6926,15.1927,0.755,9.2115,22.2424,1.5296,16.7943,4.0011,5.3567,6.1292,4.2254,0.4915,16.0564,248.1909,15.3555,19.0113,88.2802,11.4445,3.2222,0.7612,49.5552,2.2379,31.5905,2.1427,8.2594,3.2118,5.3524,48.1424,12.7255,9.1925,30.2454,45.8479,22.5246,20.6007,10.1576,0.0
EST_E,7.6323,0.2971,0.2466,0.1514,0.0031,28.3556,2.779,4.6171,1.895,4.5927,4.4598,0.1786,1.622,3.4098,14.836,3.7127,1.1582,0.9084,0.7006,0.9143,0.9923,2.5833,3.5735,164.5878,14.4772,10.943,2.8051,1.6283,0.2607,13.3896,0.1375,9.1386,0.2289,0.2229,0.3366,0.8485,21.9081,5.8396,3.967,35.4952,4.6542,3.8305,2.8077,10.0072,0.0
EST_F,15.8813,0.157,1.3677,0.9339,0.0234,4.0786,1.3486,5.0216,1.1598,1.5564,0.9099,0.1217,5.1243,5.0868,0.6338,8.2039,1.0126,0.9554,1.1068,0.7171,0.1949,2.2523,9.3073,4.9815,147.8389,27.0462,6.8948,2.6654,0.6035,20.4751,1.1633,6.2486,0.5603,10.0747,1.8318,3.8952,129.8012,11.7652,6.0265,106.0163,9.8055,9.06,6.6066,2.5427,0.0
EST_G,80.5555,3.1997,8.7442,5.7626,0.142,129.4401,35.3853,92.7827,23.4948,10.058,30.173,5.093,18.4879,20.9125,1.391,47.7556,29.4224,16.1099,13.0299,18.8742,2.9897,39.8468,50.9693,6.8902,111.2039,109.7612,166.9906,24.4343,6.8565,27.9644,3.5088,41.8898,10.7226,6.0791,6.6695,10.222,21.4642,28.8814,24.349,18.8662,17.0428,34.5414,10.2633,8.6974,0.0
EST_H49,29.072,0.4931,7.4551,5.7238,0.0886,50.2086,8.3357,50.3161,11.9216,5.5685,7.241,0.4575,6.4871,20.6259,0.4072,19.0598,8.4132,4.3012,5.4309,7.8029,1.3545,18.9207,12.4058,7.3673,62.621,129.2901,86.8187,7.0287,1.9365,211.2183,1.7324,5.3294,1.3974,0.5706,1.706,1.1787,3.8938,7.6307,10.9419,7.939,7.6801,3.9083,4.6681,4.9509,0.0
EST_H50,6.7104,0.2164,0.9406,0.6001,0.0117,4.626,1.2702,3.9423,1.4521,0.9731,1.7537,0.4665,1.3001,1.0279,0.1195,3.7742,2.0385,0.9725,0.7795,0.6193,0.1959,1.675,2.3861,0.5699,4.7456,8.1987,4.6265,4.45,0.6446,35.9565,0.0892,1.6382,0.48,0.529,0.7367,0.8126,0.9044,2.6564,3.6125,1.1483,0.7469,1.2879,0.8329,0.5465,0.0
EST_H51,0.2496,0.0194,0.0401,0.0275,0.0006,0.3267,0.0955,0.1665,0.0707,0.0884,0.1503,0.0156,0.0627,0.0531,0.0205,0.4086,0.2259,0.0775,0.0762,0.0739,0.0126,0.0947,0.3308,0.0321,0.2373,0.5726,0.5248,0.2562,0.1083,1.1025,0.0086,0.0965,0.0146,0.0215,0.0236,0.0473,0.1112,0.09,0.0981,0.0391,0.0259,0.0742,0.0484,0.0293,0.0
EST_H52,30.1343,3.4881,4.0213,2.6516,0.0456,14.9972,2.9133,11.8247,6.1326,1.8642,7.0671,0.2267,2.2547,4.5813,0.2879,6.6141,3.0452,1.6461,1.7414,1.8821,1.8381,10.4877,7.0028,6.2416,8.8903,112.6928,167.9306,64.2908,37.0933,392.6007,1.1082,2.0429,0.4551,0.713,0.5641,1.3319,4.3117,2.7128,18.4081,3.8424,1.0001,1.1254,0.9927,1.5527,0.0
EST_H53,0.2926,0.0086,0.0205,0.0107,0.0003,0.4207,0.2609,0.3378,0.146,0.0145,0.1114,0.0221,0.1398,0.0583,0.0042,0.1078,0.1134,0.0472,0.047,0.0655,0.0416,0.4034,1.5834,0.3318,0.4412,5.6828,0.5727,0.0723,0.0352,0.7878,6.6772,0.2952,3.2398,0.4501,0.2038,1.9087,1.1472,1.3784,5.2032,2.4362,0.2661,0.309,0.5975,1.0321,0.0
EST_I,1.1804,0.1559,0.0541,0.0146,0.0011,0.6122,0.1435,0.5818,0.2556,0.0598,0.2088,0.0385,0.1422,0.1766,0.0136,0.9858,0.4619,0.3852,0.2232,0.3384,0.1551,1.5427,0.1916,0.0622,4.5699,5.1404,3.3627,0.1048,2.5794,1.2698,0.0443,1.0367,0.7591,0.4737,2.7959,1.5114,0.3947,4.0263,18.2351,9.5964,9.5128,4.1749,4.7463,1.3059,0.0
