V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_A01_02,3279.5669,0.0929,11.5582,2.9839,3.2526,9922.262,18.6205,233.7985,66.2165,0.9697,40.61,144.3249,21.2969,4.7583,2.9588,7.7492,3.6273,1.5567,3.7148,4.4502,4.3555,9.8178,349.8897,10.6615,231.2995,237.9204,25.1016,3.1228,17.3763,10.7144,3.4864,59.1653,12.2836,8.4804,17.003,102.1915,83.2298,92.1953,72.0969,65.0276,35.9926,85.0521,28.1678,10.8858,0.0
GBR_A03,0.0344,172.6014,0.0364,0.0057,0.0446,651.2985,0.0081,0.0104,0.0275,0.0204,0.0552,0.0183,0.0229,0.0289,0.0359,0.0418,0.0566,0.0111,0.0163,0.0473,0.016,0.0329,0.0401,0.0759,0.7883,2.4541,0.1848,0.1034,0.2043,0.1268,0.0256,126.7818,0.2301,0.0811,0.0976,0.5236,15.6091,0.2871,0.4325,0.3916,0.3594,0.3512,0.2485,0.0474,0.0
GBR_B05_06,69.9922,0.0003,131.6743,14.7206,1.0023,4.1468,0.0088,0.0067,1.3193,14509.0299,427.9188,1.365,0.598,26.6812,623.4476,0.0236,0.0577,0.7172,0.0162,0.0504,0.7055,5.128,8954.1903,0.0356,3.0029,4.0622,18.0081,0.73,0.0429,5.0448,1.3146,0.1027,0.8129,5.442,1.6618,10.6342,87.1201,56.513,7.715,9.6687,4.556,17.9195,57.377,65.8458,0.0
GBR_B07_08,6.2032,0.0699,2.1769,251.9881,7.7023,19.6496,1.8465,2.1238,6.5706,1.1525,110.9761,2.3284,12.1134,694.4168,20.8039,113.1579,2.7104,3.8344,3.0326,11.2646,3.2556,49.1701,3.0037,7.5457,1083.3396,67.1432,30.9403,2.8999,7.3962,11.138,4.0702,5.2975,5.8403,3.7813,8.5848,27.3644,19.4311,35.729,188.1646,20.7527,22.2003,22.0087,7.1897,7.4268,0.0
GBR_B09,3.2121,0.0761,5569.3199,171.1288,1313.0249,23.373,2.1859,2.1431,6.7233,1.4934,10.9933,2.9978,5.2185,8.9679,3.8297,6.0555,3.7656,2.3025,4.6927,6.4969,5.2512,4.1589,4.9351,7.0415,316.6377,95.5194,43.8688,1.6278,2.8934,10.8935,6.2924,6.3807,7.1645,4.4339,9.9622,47.5756,10.7718,80.082,25.9944,26.4029,20.9239,34.1854,6.0528,4.9013,0.0
GBR_C10T12,2151.7405,115.9582,53.982,9.459,24.0918,18798.7918,90.1161,24.959,144.5774,34.963,429.599,107.9137,124.1811,46.5403,46.0183,56.0973,284.9538,188.3655,423.7689,155.5368,52.2757,65.711,126.613,55.8796,185.8403,1391.8625,994.1248,107.0632,40.0254,634.9755,84.5443,13040.0761,510.358,67.5901,194.0114,529.5097,273.2503,186.0914,487.8954,224.3538,1612.1053,1854.0636,819.4858,360.8439,0.0
GBR_C13T15,14.4632,3.0867,7.1668,2.9072,4.4129,64.4413,808.7675,10.8517,70.2335,5.5698,48.2975,10.7391,73.8616,21.2465,12.2741,25.3247,18.6102,11.2946,22.4395,173.9343,27.7429,207.2568,22.1871,11.0518,250.7922,461.4392,17.9736,2.287,10.5421,8.0078,3.1104,33.2036,32.0086,9.9725,11.7188,64.6125,28.9035,117.3691,26.5181,99.3807,78.606,142.4139,26.5979,96.7988,0.0
GBR_C16,3.9388,0.173,37.0858,3.333,2.1608,29.1845,5.9828,1578.2696,328.8306,1.1415,15.7615,6.4533,17.6848,46.3484,6.8816,113.4123,7.1507,14.775,15.6449,121.9481,88.7689,1004.4486,4.5076,11.0368,3072.6683,92.4846,9.3546,1.0367,2.2901,6.3199,2.0193,7.0378,11.5828,3.3175,5.3817,71.5226,49.1548,32.7872,219.0246,26.9054,103.4513,27.9841,23.1878,165.3758,0.0
GBR_C17_18,141.576,0.9381,16.5472,3.9008,2.5774,1081.0228,68.6116,50.172,3397.579,4.5409,353.6107,121.2487,258.2214,121.1886,15.724,81.3107,70.9008,63.2539,80.9498,69.8424,37.7795,194.2079,36.2219,109.7528,296.8732,2443.7182,87.149,8.936,14.5852,137.5911,47.0525,97.0374,3220.5533,229.5462,137.3848,2474.3834,182.6229,1037.1786,626.9865,1730.3659,2298.3111,1628.5798,680.4912,216.5357,0.0
GBR_C19,497.3408,28.626,149.5381,53.8057,9.6361,174.2748,13.1762,43.8031,43.7871,684.7618,590.441,3.8639,38.9256,184.4132,47.2052,93.3273,3.2675,29.1832,37.2753,23.1254,11.7559,207.131,47.6587,147.606,1169.7156,3346.9039,3233.9982,729.1648,3442.0568,744.68,211.7434,99.4827,68.0621,116.383,86.1666,601.7145,100.4636,345.5294,650.4061,492.1495,268.9416,269.8361,80.2822,110.8649,0.0
