V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_A01_02,0.1094,0.0051,0,0,0.0016,5.6691,0.2947,0.0671,0.0193,0.0049,0.0701,0.0313,0,0.0087,0.0032,0.0042,0.0239,0.0395,0.0146,0.0136,0.0068,0.0053,1.6303,0.5586,0.67,9.4332,3.3038,7.345,15.9919,0.0197,0.3226,21.1631,0.0925,0.7112,0.0233,0.6582,0.4208,0.2505,0.5412,0.5865,0.8133,0.7879,0.9166,1.4886,0.0
HKG_A03,0.0089,0.0219,0,0,0.0003,0.2035,0.0467,0.005,0.0046,0.0011,0.0096,0.005,0,0.0015,0.0006,0.0007,0.005,0.0075,0.003,0.0029,0.0015,0.0006,0.1632,0.0744,0.0688,1.0439,0.3578,1.7397,3.4875,0.0033,0.0737,3.9196,0.0254,0.1506,0.0045,0.1306,0.052,0.0443,0.0783,0.0503,0.0973,0.1503,0.1635,0.2445,0.0
HKG_B05_06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B07_08,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_B09,0.1439,0.0641,0,0,0.1788,0.5463,0.2374,0.0603,0.0302,0.0013,0.0115,0.0007,0,0.0318,0.0091,0.0062,0.0079,0.0236,0.1698,0.0145,0.0072,0.0134,0.0451,0.0208,0.0339,0.2221,0.5388,0.0066,0.2666,0.0873,0.111,0.0172,0.0101,0.005,0.0039,0.6359,0.1235,0.3345,0.2733,0.0715,0.2864,0.094,0.0162,0.0523,0.0
HKG_C10T12,6.951,1.0953,0,0,0.0024,416.84,147.1324,22.8872,18.8165,3.4102,33.8973,13.8187,0,2.1275,0.4984,0.6766,7.9885,10.5754,3.3688,1.7115,0.912,0.2648,40.5556,24.4046,137.0426,1297.6307,125.0491,267.5145,294.1002,4.5331,59.4881,407.7443,13.1916,101.6924,4.6706,218.4429,112.8326,43.4226,74.5704,36.772,44.8138,117.3232,53.4248,139.332,0.0
HKG_C13T15,0.1277,0.0394,0,0,0.0007,6.5941,201.1233,0.6386,0.5007,0.1285,0.6653,0.2554,0,0.3077,0.1368,0.2281,1.2156,2.1627,0.6193,1.0164,0.4058,0.1405,1.0435,2.4013,2.5205,190.0114,16.9757,13.9686,16.0133,0.6112,8.933,2.4792,1.3822,12.5966,0.6453,36.4934,15.4334,5.2929,12.3723,6.1374,4.4597,4.6481,4.3768,17.5864,0.0
HKG_C16,2.0113,0.2565,0,0,0.0008,35.5733,0.4225,0.0422,0.0509,0.0339,0.1323,0.0463,0,0.125,0.0518,0.0978,0.3398,0.6829,0.1905,0.2133,0.0827,0.0658,0.8262,1.667,62.086,27.842,19.2517,49.9977,9.4054,0.8809,2.9255,1.8359,0.6383,6.0681,0.0608,4.2551,2.6948,1.371,1.321,2.453,5.2578,32.4758,2.8666,5.8919,0.0
HKG_C17_18,1.1679,0.2692,0,0,0.0001,168.4558,38.3188,0.7209,10.0275,0.1226,1.489,0.7582,0,1.5168,0.0457,0.0938,3.1404,5.1218,0.8497,0.4447,0.1629,0.4524,0.8379,1.9568,14.2535,186.204,11.3812,11.3385,8.7491,0.5049,4.9682,0.8797,2.8127,10.7803,0.375,42.4057,11.3743,5.3202,4.8894,2.9293,6.6054,24.9135,4.0526,8.8831,0.0
HKG_C19,0.0274,0.0068,0,0,0.0051,0.6143,0.3224,0.075,0.0613,5.0757,9.8385,1.0149,0,1.5979,1.5507,0.8614,0.6637,1.5826,0.4467,0.4958,0.2069,0.0895,0.4736,0.9475,0.1607,224.4951,4.7226,7.5937,9.0386,0.3815,0.6816,0.4428,0.1893,0.9521,0.0938,9.6965,3.1438,0.8996,2.449,5.4948,2.3485,0.5241,0.7103,1.9218,0.0
HKG_C20,0.1993,0.0087,0,0,0.0075,4.3549,2.8323,1.1096,1.8459,4.5267,61.7707,9.5395,0,6.4079,0.7075,0.9067,13.8443,28.1353,3.5558,2.8296,1.0703,0.7452,0.3797,8.1433,0.8313,173.1197,1.4411,1.9894,2.3063,0.2224,0.7684,1.8909,1.9762,1.7757,0.1708,9.8376,5.9125,2.557,5.14,5.7055,12.6926,5.6292,5.6562,20.5751,0.0
HKG_C21,0.0438,0.0068,0,0,0.0006,1.2374,0.6254,0.1417,0.1399,0.4424,4.4241,23.8281,0,0.4458,0.0705,0.0848,1.4499,1.728,0.3943,0.2428,0.1237,0.0557,0.1061,0.7814,0.2735,37.8921,0.4245,0.5931,0.8822,0.032,0.253,0.5411,0.29,0.6621,0.0539,3.0982,1.0945,0.986,0.6515,2.9888,3.5245,11.0759,2.226,3.3222,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0378,0.0075,0,0,0.0122,16.4051,0.8157,0.2089,0.1066,6.6191,6.3279,3.5455,0,79.4955,3.0425,2.9507,33.2202,65.5467,6.4658,15.0508,5.5451,0.9014,0.3609,3.4968,6.5338,147.9689,0.9908,0.6105,1.2403,0.1348,1.8382,0.7973,0.4911,4.9831,0.0924,6.5769,2.9492,1.1444,1.8974,15.7538,12.038,0.9546,2.6929,6.5523,0.0
HKG_C24,0.0072,0.0021,0,0,0.0118,0.9523,0.1305,0.2262,0.0762,1.1666,2.3995,0.4087,0,6.1708,57.187,53.3308,44.3687,172.4109,52.4649,17.921,4.311,2.9553,0.26,4.7581,1.0951,91.8037,0.5001,0.4842,0.3579,0.1185,0.2902,0.1085,0.2501,0.627,0.0961,3.9922,2.9389,1.365,1.4477,1.1598,1.3779,0.1643,0.8334,2.9973,0.0
HKG_C25,0.0305,0.0064,0,0,0.0048,2.7861,0.9002,0.4116,0.1385,1.5142,2.7721,0.6955,0,3.4294,6.4306,18.235,30.1942,80.0965,24.5511,13.0158,5.6912,1.421,0.3855,2.5527,2.3416,124.746,1.2767,1.7386,2.5902,0.1908,0.4444,0.6706,0.4596,1.8031,0.1714,7.8944,7.118,1.8436,3.3871,2.8678,2.7597,0.7695,2.0233,3.5459,0.0
HKG_C26,0.0636,0.0136,0,0,0.001,4.1003,1.9282,0.2465,0.4859,0.3284,0.8763,0.3585,0,0.3998,0.2231,0.417,75.6396,28.2931,4.9733,2.7994,1.3154,0.2761,1.0449,2.5828,1.8963,977.6301,2.576,3.2741,5.9612,0.122,2.9147,1.6657,2.1478,41.0461,0.8403,16.0388,6.1223,3.7337,4.075,5.1515,5.7451,2.0206,4.4693,11.8933,0.0
HKG_C27,0.0779,0.0163,0,0,0.002,4.6817,2.0296,0.2872,0.4834,0.5728,1.1891,0.4657,0,1.2741,1.1001,1.6488,35.359,129.1824,12.6805,7.474,2.9858,0.5098,1.705,3.3573,3.0673,1115.1015,2.9247,3.9562,7.1284,0.1416,2.3549,1.7967,1.6865,26.9035,0.3899,11.0823,8.4374,3.1116,4.9076,4.248,4.4079,1.9377,3.897,11.4039,0.0
