V1,IND_A01_02,IND_A03,IND_B05_06,IND_B07_08,IND_B09,IND_C10T12,IND_C13T15,IND_C16,IND_C17_18,IND_C19,IND_C20,IND_C21,IND_C22,IND_C23,IND_C24,IND_C25,IND_C26,IND_C27,IND_C28,IND_C29,IND_C30,IND_C31T33,IND_D,IND_E,IND_F,IND_G,IND_H49,IND_H50,IND_H51,IND_H52,IND_H53,IND_I,IND_J58T60,IND_J61,IND_J62_63,IND_K,IND_L,IND_M,IND_N,IND_O,IND_P,IND_Q,IND_R,IND_S,IND_T
IND_A01_02,73321.3445,446.217,0.0,0.0,2.2018,115536.9652,31542.784,4163.2749,1440.5591,131.0486,2254.6812,2184.806,5582.6725,132.9733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2963.1305,308.0133,0.0,17261.4744,0.0,3012.9446,0.0005,0.0,0.0,0.0,16565.1178,0.85,0.0,0.0,0.0,0.0,0.0,0.0,6911.3686,0.0,0.0,0.0,0.0,0.0
IND_A03,0.0,784.1338,0.0,0.0,0.007,5011.5444,0.0,0.0,0.0,0.0,0.0,83.2123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B05_06,0.0,0.0,9.3096,16.2636,17.8014,177.502,129.8787,0.4956,108.9139,46588.5117,155.8824,6.9569,129.1525,1107.1039,5789.3687,8.9277,0.0106,8.385,1519.9629,184.9377,56.3675,0.2427,2188.3581,147.0509,0.0,0.0,100.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B07_08,0.0,10.0828,167.1651,13.3765,27.4408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.029,10619.6378,2575.3987,0.0,0.0,0.0,0.0,0.0,414.237,0.0,0.0,917.9067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND_B09,113.6632,10.5121,2525.9391,557.1796,572.3601,7.3259,1.1747,1.5168,17.4945,7594.7466,91.7747,2.6698,5.5339,320.6245,823.52,25.6543,0.1887,0.9925,11.5689,0.9377,0.4093,0.9388,564.4198,11.7581,1516.5831,9.5852,45.4583,0.4349,0.0325,18.1161,0.0936,1.9508,0.3709,0.0,0.7317,0.3963,30.1278,0.6317,10.0958,22.5288,2.8006,1.5206,0.5044,2.5766,0.0
IND_C10T12,17233.0437,521.674,670.0706,175.9435,31.5249,5643.9188,946.5825,16.3917,229.2106,1125.174,5146.401,2086.0802,662.8095,178.0606,745.7269,222.4295,65.1161,233.231,310.6652,452.7339,112.924,111.495,13.7356,9.0252,2618.1264,364.3551,50.6609,4.1948,16.645,28.7083,1.6727,11250.9031,25.5067,65.8498,10.5757,63.8288,16.7335,10.922,57.724,16079.0949,8.5548,479.637,6.9908,78.3043,0.0
IND_C13T15,808.9204,954.3026,1116.3297,121.723,31.7969,125.546,25108.9864,67.5368,276.8638,928.509,3381.6534,749.1749,1201.7433,221.4154,383.1797,83.2914,129.4942,263.0134,295.7591,691.6178,160.5282,326.631,112.7592,25.3351,1948.2454,1297.303,301.0754,21.3044,89.6257,1316.3806,4.9513,48.5748,64.0535,71.9743,25.0145,410.0208,71.9131,13.9898,112.203,168.5957,28.0546,422.9355,96.0261,741.0032,0.0
IND_C16,442.2929,59.5727,433.1525,13.4444,10.7947,44.3448,73.778,916.2063,560.0764,129.2287,153.5827,5.5036,28.135,68.9101,86.1227,176.1661,25.0372,41.4729,162.7597,212.6592,94.6536,2079.0295,48.6214,4.1319,817.4368,749.6005,59.4134,3.403,12.3575,15.8657,1.4087,3.378,12.9708,27.3191,5.9014,25.5865,18.6092,23.3649,175.0031,17.3563,10.8881,4.5941,8.3553,36.1057,0.0
IND_C17_18,800.2153,10.2894,60.4337,80.69,17.9437,95.593,69.4872,14.3775,3751.2463,76.7035,100.5903,188.3428,117.3694,89.4029,189.5134,51.2454,84.9491,65.7824,165.9836,69.2291,17.9443,64.6865,2503.052,59.0775,342.1638,665.8902,3128.3409,209.6023,782.3926,868.0374,67.5702,12.52,2553.5725,901.402,289.9782,846.1409,418.9318,189.3825,883.7429,174.1717,1674.0084,77.4323,166.9121,804.8228,0.0
IND_C19,6037.3052,328.7761,2868.7269,1359.1496,249.5025,906.899,2468.0207,57.6542,2249.3126,31418.5088,13483.3747,2349.0214,1977.1279,5117.3371,7697.7142,1494.8419,188.2738,671.1531,774.596,16625.9671,3439.0055,367.9521,14688.7091,1301.7431,10813.2431,11728.2793,27140.7017,366.6933,1432.6576,2307.3951,579.1745,403.1479,242.2377,5334.0439,543.5827,4164.2339,4117.9588,546.5196,5035.7878,110.1523,681.5445,62.4193,690.0726,4079.5219,0.0
IND_C20,4352.1612,117.3257,3264.1278,554.2958,100.6655,401.2255,5348.9949,49.4649,1187.9699,5656.3215,23495.3326,5821.0121,3422.8557,857.9532,1588.9212,404.9548,233.925,735.7568,844.9757,1617.3872,423.254,559.9369,106.0279,54.334,11179.3755,1422.1371,214.0123,5.875,29.5262,112.1533,1.8065,278.712,130.8699,58.5007,17.5831,49.1795,34.4343,3.7662,42.1397,156.9831,21.0134,1405.5835,11.829,319.9888,0.0
IND_C21,702.944,105.3331,478.5832,79.0089,14.8821,64.2532,757.5346,6.5179,192.9114,838.771,4025.273,5984.3875,550.2275,117.8608,248.7865,63.2722,63.0045,115.9025,136.5736,248.6905,61.5341,99.0057,2.654,12.6587,1691.7907,201.0603,45.3024,0.3274,1.7519,13.5186,0.0806,81.7158,25.9631,3.0637,0.6445,1.6909,2.012,0.2133,1.4109,291.3653,1.3536,7857.2708,2.3357,54.5168,0.0
