V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_A01_02,471.1149,8.0207,0.0001,0.0088,0.0016,2544.3563,1.3482,0.0267,0.0077,0.0024,21.2076,1.3394,2.9632,0.0076,0.0017,0.1058,0.0326,0.0025,0.0095,0.0015,0.0028,0.6013,0.1809,0.2589,2.9513,8.8753,0.1887,0.0152,0.0152,0.0141,0.0101,212.8646,1.6336,0.0083,0.2478,0.2172,0.3258,4.4944,9.938,18.5817,2.4924,0.986,7.4736,0.0803,0.0
ISR_A03,0.0006,0.0001,0.0,0.0003,0.0001,10.39,0.0023,0.0,0.0024,0.0085,0.0211,0.0003,3.9892,0.0022,0.0001,0.0046,0.0332,0.0035,0.0003,0.0001,0.0371,0.0004,0.674,1.2047,0.0077,0.0226,0.0062,0.0109,0.0045,0.0339,0.0012,2.1175,1.3235,0.0675,0.025,0.0456,0.6414,0.1075,0.0386,8.5938,1.6243,1.8939,7.0113,1.9059,0.0
ISR_B05_06,0.0477,0.0037,0.0416,0.8011,0.2152,0.0315,0.0021,0.0,0.0,189.6746,1.4299,0.0,0.0,1.9825,0.0494,0.0025,0.0618,0.0008,0.0015,0.0,0.0027,2.0956,12.4048,3.4272,0.3194,0.0131,0.0063,0.0,0.0,0.0,0.0,0.0017,0.0,0.002,0.0078,0.0,0.0013,0.0485,0.0118,0.0,0.0,0.0002,0.0001,0.0,0.0
ISR_B07_08,0.8429,1.554,0.0154,20.8803,0.0,4.385,0.0135,0.0037,0.4582,0.8397,75.9951,0.3725,0.6254,85.2552,1.5278,0.0982,1.1882,0.0929,0.0716,0.0007,0.0687,607.9967,0.1566,0.0535,160.9258,0.122,0.0526,0.0,0.0,0.0078,0.0014,0.2766,0.361,0.1174,0.156,0.0162,0.1639,0.6132,0.1594,2.065,0.1078,0.0014,1.3082,0.0245,0.0
ISR_B09,0.0,0.0,15.4933,0.7942,14.3631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR_C10T12,479.9717,9.2204,0.0072,0.6996,0.0756,2214.1358,4.7603,0.3827,1.6533,0.248,49.8172,10.4389,0.3556,0.1064,0.1811,3.3036,1.3563,2.3453,0.2795,0.0166,0.353,2.4485,0.2935,1.1413,1.4905,18.7592,1.0088,3.0449,1.7983,0.0462,0.0379,1234.3657,6.0182,0.415,3.4862,0.5727,1.2631,5.9385,1.3808,55.4756,10.0825,14.3301,21.3542,1.7287,0.0
ISR_C13T15,1.7568,0.0417,0.0018,0.6111,0.0147,2.8026,128.7896,0.1593,7.7899,0.2071,7.0108,0.316,8.2887,0.4959,0.6098,2.6507,1.529,0.5772,2.903,1.6662,0.4658,6.056,0.3572,2.02,3.764,7.7478,1.842,0.5194,0.3567,0.3182,0.1315,12.0547,6.3374,0.2159,0.482,0.4568,1.5382,4.5523,2.7909,22.5415,1.9132,11.1416,23.6544,0.6233,0.0
ISR_C16,6.4634,0.0291,0.0006,1.1213,0.0072,5.8637,1.5933,50.3338,3.675,0.4501,6.7372,0.7439,3.76,5.6312,2.5454,4.395,2.9016,1.0568,2.1578,1.499,0.3884,59.6875,0.2746,0.1199,130.8199,1.7796,0.1224,0.1847,0.078,0.0447,0.2099,0.3143,0.0834,0.0041,0.1259,0.0593,1.9924,0.6925,0.6972,1.7643,0.1241,0.3017,0.3272,0.1092,0.0
ISR_C17_18,69.6216,0.0895,0.0035,1.7953,0.0115,98.8591,7.9599,5.6388,348.7251,2.2103,48.1231,21.344,28.3313,9.1904,2.3805,9.4734,22.4599,2.1797,7.3269,1.0067,2.7246,10.6488,1.4449,4.268,24.9782,93.91,3.3018,0.7349,0.6919,5.1359,1.3509,16.1142,135.1413,6.6143,15.4829,21.8157,4.7098,170.7518,35.7371,35.0184,30.8401,16.8503,186.2826,9.408,0.0
ISR_C19,102.55,4.7155,0.1021,52.3609,0.4855,77.7301,92.6323,2.4936,35.4006,1336.6857,298.4772,26.0458,507.5239,125.8779,18.6075,29.0787,68.8111,27.5099,16.5817,3.3872,4.7755,53.1028,181.9455,102.048,159.4459,153.3817,548.5963,99.0494,131.7415,13.6359,2.1343,23.3119,6.2833,18.2918,46.6795,20.9083,18.9758,65.7652,126.6945,221.2741,21.1346,17.1932,19.4128,14.0076,0.0
ISR_C20,104.6287,1.4399,0.0926,9.5706,0.2016,65.2232,10.7928,1.4912,43.7172,133.7218,620.6278,208.5086,58.8841,20.8069,14.3209,23.8278,46.0972,5.0914,19.5001,2.4144,5.4414,16.3737,6.652,25.0551,118.4169,25.571,1.5408,0.3751,0.242,0.4427,0.3719,9.816,7.3073,0.1218,10.9195,1.8705,6.454,33.1848,20.7753,27.6061,6.9633,23.7139,19.0068,0.9287,0.0
ISR_C21,14.6367,0.062,0.0051,0.3619,0.0216,30.4527,0.4691,0.0948,1.0012,5.4561,133.6385,447.2354,2.0803,0.6165,0.4468,0.7997,3.9778,0.1777,0.9963,0.1362,0.2365,14.3053,0.6518,3.451,5.311,2.799,1.5335,0.1627,0.1578,0.2021,0.3733,1.8853,0.2737,0.1046,8.7803,1.1766,0.5733,13.8677,2.6986,15.9831,0.8396,720.2015,0.9891,0.4658,0.0
ISR_C22,43.9967,1.1399,0.0419,8.1513,0.2199,235.7681,27.7556,5.3231,34.8939,5.4964,92.8246,45.8703,166.514,20.1825,5.1299,33.6093,53.8629,23.4075,41.8094,8.9129,10.09,47.7667,7.3722,25.4723,239.1319,291.0061,35.775,1.0461,0.9909,0.5696,1.8421,28.332,1.1472,1.424,8.8985,2.9565,4.6553,18.1707,17.515,38.1811,2.0519,25.5979,4.3478,1.8327,0.0
ISR_C23,3.8042,0.0048,0.0497,25.7193,0.4287,56.9192,4.5458,0.6291,0.584,3.2772,40.027,7.0834,5.1977,312.4177,13.5771,33.4243,22.7747,2.521,6.0758,3.6898,15.5951,7.1037,4.3426,2.2078,1507.6792,6.5131,1.5751,0.1117,0.0823,0.1899,0.0177,14.6084,0.0993,1.5365,5.5227,0.4739,35.7974,4.2655,2.5812,14.6697,2.0758,0.9286,1.2946,0.7519,0.0
ISR_C24,1.6391,0.0137,0.2775,4.0409,0.4728,13.3319,0.6507,0.9217,1.7911,2.3248,10.1683,1.9538,13.7237,11.727,373.0875,292.0767,43.2369,12.6931,80.3386,21.6337,38.7679,34.9213,10.5887,21.942,302.9774,5.5175,3.3258,0.0492,0.0327,0.7333,0.2245,0.5195,0.23,2.2639,3.2099,0.3289,0.2765,4.9626,1.3733,25.2718,0.1375,0.226,0.7144,0.7277,0.0
