V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_A01_02,4069.3972,0.2694,0.8601,0.1071,5.3173,22596.93,717.8436,823.9384,1.4576,0.0079,99.1151,93.9925,300.5178,0.0543,1.0907,0.4514,9.382,1.0452,0.3366,1.8303,0.0575,47.4752,7.5461,2.8128,189.3259,3.4905,1.6879,0.0188,0.0051,0.3064,0.4209,2.1904,0.1511,0.0235,0.0031,1.526,1.0805,0.0548,0.1573,5.3487,28.0351,12.1496,0.2711,0.4488,0.0
MEX_A03,0.2463,17.7761,0.0057,0.0245,0.0405,179.0193,0.8476,0.0432,0.1476,0.0183,0.139,0.5216,0.0249,0.0083,0.0439,0.0127,0.1023,0.0184,0.0146,0.0623,0.0025,1.0013,0.0071,0.0101,0.4662,12.9029,0.0245,0.0083,0.0231,0.0077,0.0019,0.0892,0.0049,0.0014,0.0008,0.0138,0.01,0.0102,0.0086,0.1253,0.0168,1.379,0.2848,0.0014,0.0
MEX_B05_06,0.0033,0.0004,1641.5777,0.0697,119.0888,0.0037,0.0169,0.0002,0.0018,22867.2782,6093.2446,1231.2053,0.0038,0.6643,620.8235,0.0105,0.0045,0.0021,0.0061,0.0128,0.0068,41.1751,1496.2611,0.0004,0.029,0.0133,0.0024,0.0019,0.0049,0.0015,0.0001,0.0003,0.0009,0.0,0.0002,0.002,0.001,0.0025,0.0017,0.0009,0.0005,0.0005,0.0004,0.0001,0.0
MEX_B07_08,69.9423,22.3943,20.6358,791.7288,71.6566,44.5578,0.3752,8.2802,18.9885,17.6973,948.4866,1.2845,3.2917,1744.6728,6319.3403,2.4825,3.4306,43.7336,5.3529,23.2463,0.226,18.3768,1.6967,21.4567,1786.2542,14.3199,8.7095,0.026,0.0724,1.5524,0.0213,14.522,0.0214,0.0584,0.0386,0.0886,0.1526,0.4133,0.6005,2.3121,0.2035,0.4148,0.2061,0.0183,0.0
MEX_B09,4.5642,0.5726,1167.8831,29.3357,200.6638,3.9516,1.3625,0.2707,2.5109,0.2099,1.4646,2.1111,1.5406,1.906,2.4785,2.3083,6.7956,2.4296,2.0184,12.7427,0.621,2.5335,0.3044,0.8143,100.3336,5.7665,3.6529,2.7899,7.3121,2.3401,0.2497,0.4786,1.3861,0.0581,0.2394,3.1308,1.4619,3.1598,2.5196,1.5626,1.0531,1.3994,0.641,0.2059,0.0
MEX_C10T12,2862.3255,29.003,8.6135,3.1145,4.9122,10436.1764,333.4258,7.0697,63.3227,2.5186,235.8313,213.2678,18.2609,23.8694,19.1418,7.8591,28.5344,10.2003,5.3825,27.3073,1.1771,11.0862,7.3838,3.6019,40.9998,828.5774,14.1313,1.1023,6.6034,9.318,0.7738,2160.2189,10.1583,6.0788,8.712,97.0863,41.0434,20.6293,18.3522,239.6736,8.9666,126.7852,21.3084,2.9978,0.0
MEX_C13T15,45.3611,0.0253,0.9982,4.7173,3.0347,73.3218,3040.7763,8.2409,305.1945,13.2797,19.3409,3.2052,115.5256,12.6798,23.3661,22.2921,178.6346,35.4634,23.4336,1039.5419,7.5388,277.6464,17.0927,6.714,74.6007,283.5797,46.514,21.599,2.0559,36.0891,4.5007,107.3808,11.4445,4.618,2.0255,10.5879,13.9567,38.8239,44.8972,109.4465,33.6707,258.1319,18.4855,14.1435,0.0
MEX_C16,19.7711,0.0052,4.378,1.0722,66.1508,92.1634,18.765,214.9209,825.4713,7.1436,35.8137,5.5638,24.8343,36.8673,12.9862,30.3754,73.0726,22.2307,19.0614,51.5364,11.833,462.9977,1.8353,3.2424,570.5907,299.2089,6.7546,0.1103,0.2851,6.771,0.26,15.6265,8.6445,19.2599,0.1082,99.0555,17.6198,57.7649,21.6769,78.4416,18.6796,26.5263,12.6899,7.1886,0.0
MEX_C17_18,93.6885,0.136,2.0865,7.0246,4.6642,705.6324,184.2844,28.0544,2526.3774,11.1294,295.0572,145.9201,112.2215,338.8073,31.8447,109.9095,650.1959,159.8796,54.4337,314.5108,5.5399,191.0207,8.7195,7.8749,132.8971,1383.1264,44.0235,2.025,4.249,44.6274,8.0837,122.113,47.0811,8.5921,1.6883,628.7988,381.6449,258.0808,760.2266,502.3793,158.3413,230.9875,43.5826,97.0793,0.0
MEX_C19,526.4406,190.5918,456.502,499.9848,54.9754,1134.7636,128.8135,114.2795,171.4203,11708.821,441.4821,61.051,85.9049,962.1675,393.4405,160.776,98.3923,54.2093,86.7426,110.0603,10.6463,161.5971,1888.6913,121.4115,1800.2299,672.9737,9699.9669,51.5618,1733.1058,76.6756,164.8223,283.0278,35.2231,149.7624,1.5716,27.917,1130.3318,275.5554,217.2746,1407.671,70.6476,331.1883,75.3037,215.3046,0.0
