V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_A01_02,1699.2872,22.4126,5.5093,1.6054,7.7398,17135.8359,129.4309,1976.734,733.9892,1.9282,49.9732,20.404,2081.9913,5.0452,5.44,7.2534,66.8376,5.79,22.5634,16.2551,381.4535,55.5777,0.1103,0.4368,10.302,1076.3688,3.6578,2.4122,1.5904,5.6239,0.4239,475.3194,1.8022,1.6921,1.246,18.309,37.4483,2.4899,3.7764,175.3682,28.6892,16.5125,2.151,1.4686,0.0
MYS_A03,2.9086,281.6086,0.0634,0.0238,0.0893,380.9904,6.4809,0.1144,1.1023,0.0983,1.7615,0.0957,2.8871,0.0525,0.0399,0.0702,0.6114,0.1358,0.1305,0.9112,1.7207,0.1125,0.042,0.0078,0.0977,213.1891,0.1053,0.3553,0.0027,0.0036,0.0479,658.4369,0.0188,0.0095,0.0195,0.0862,0.0207,0.0138,0.0212,1.7135,0.1647,0.1862,0.0032,0.0049,0.0
MYS_B05_06,1.988,0.5161,56.8813,3.0512,9.1157,39.5181,0.2255,0.2764,0.3521,10804.3168,134.4271,0.2981,1.0092,81.3296,2.201,0.6891,3.3492,0.8286,1.544,2.2702,0.4013,1.7042,312.0392,0.0525,54.5077,24.9535,1.2082,0.4072,1.5098,0.6283,0.0788,0.1841,0.0238,0.0367,0.0193,0.2488,0.2493,0.0984,0.0931,1.9012,0.154,0.1889,0.0637,0.0163,0.0
MYS_B07_08,11.5769,0.0856,0.4416,1.1688,45.4847,1.0922,0.3164,0.4474,4.8459,4.8106,9.4403,0.4006,17.1569,892.8539,90.4583,41.8057,8.7548,8.6785,21.4231,12.8675,4.5729,92.9721,0.4252,0.0977,865.5979,31.0818,0.2437,0.0216,0.0364,0.3151,0.0199,0.4014,0.0675,0.0287,0.0362,0.2242,0.196,0.0435,0.1308,3.0799,0.2248,0.3299,0.0338,0.0477,0.0
MYS_B09,6.4881,1.0834,1279.2862,49.5643,186.5136,2.1716,0.051,0.5904,5.5276,1722.8631,17.4101,0.0411,2.3675,20.5036,45.904,3.5772,0.3847,0.1642,0.9132,0.086,0.0453,0.1678,36.5802,2.4059,74.2106,1.6522,1.1992,0.2948,0.0123,2.9704,0.0176,0.469,0.0312,0.0,0.0357,0.094,1.1143,0.3998,0.4883,3.2286,0.3104,0.2038,0.2097,0.0757,0.0
MYS_C10T12,1721.0704,184.994,15.5805,9.273,5.1564,15640.9503,24.8157,8.062,16.3085,119.407,1734.004,14.6989,130.2994,10.3286,5.7639,18.1877,17.9282,15.2721,6.2592,6.6934,1.727,9.1403,2.0935,3.8226,9.9068,2321.0301,2.1439,1.0055,2.353,4.5926,0.5491,2708.4191,1.1181,0.3549,0.5845,3.1201,4.4412,2.416,0.9622,310.4935,6.7172,69.6154,75.2419,0.7182,0.0
MYS_C13T15,2.0626,0.1664,0.5223,0.8632,1.84,5.9339,574.695,5.497,104.9271,1.111,10.0472,4.3994,82.2756,4.3604,3.2145,4.4794,22.6221,10.4677,6.1151,56.6363,3.6469,9.8205,0.211,1.1004,1.4411,143.0807,0.5375,0.1988,1.5552,0.9639,3.8149,26.784,0.0286,0.0884,0.1073,1.676,1.5736,0.5755,0.4571,28.0905,7.4072,2.9314,1.7121,0.0915,0.0
MYS_C16,52.175,1.4713,0.9472,1.0724,3.5629,2.0817,1.1723,528.2817,455.5655,6.9359,76.5656,0.1509,5.8309,7.2794,0.2949,12.4783,138.2689,3.2271,5.5701,5.555,26.6344,8.3093,0.7858,0.1003,960.1487,209.29,0.1639,0.1277,0.0743,0.2933,0.0365,0.2198,0.0488,0.2504,0.458,1.3906,1.5938,0.4776,0.4359,9.0342,2.103,1.5735,1.5107,0.0656,0.0
MYS_C17_18,1.4634,0.1283,46.3852,1.4303,2.4904,82.5711,16.3629,19.9753,1042.2496,4.2371,43.6123,2.4412,38.7603,31.402,16.6453,15.927,117.2587,21.589,10.0828,17.8143,6.4764,19.2011,0.3019,0.2384,9.595,1148.3831,9.8964,2.3538,1.9507,22.0803,6.2322,26.1392,152.3876,174.6396,67.4567,560.667,34.342,152.5829,86.0709,271.7543,60.2423,25.7924,19.5734,3.6961,0.0
MYS_C19,846.6816,642.9369,922.496,134.1204,124.6894,178.1558,27.296,65.446,79.9371,1128.9848,1858.3442,5.2195,177.1681,615.8508,144.3712,57.3174,94.8353,26.3053,14.4784,17.8389,19.7865,16.5117,867.9165,62.0327,1012.0818,3643.7245,1356.531,430.2127,1788.1619,270.6651,90.5418,158.3582,2.4671,6.7889,2.6902,65.0028,27.1009,34.5748,78.5983,169.2852,37.9656,24.0432,55.8525,10.361,0.0
MYS_C20,1199.4214,82.4392,264.5804,51.0958,37.1,162.3842,238.4869,125.745,276.1148,573.3845,3964.9977,46.3109,1623.8076,159.1184,102.7276,184.3783,243.8058,276.1208,82.4929,106.8356,22.4157,163.9592,11.9284,69.4133,121.1996,567.916,17.6233,5.6247,22.7003,77.8665,8.9645,23.7339,20.6382,0.3731,0.9621,7.0751,13.5117,21.8175,5.4636,33.6083,6.525,478.2666,21.4949,10.9813,0.0
MYS_C21,52.9099,12.4925,0.5535,0.0081,0.3866,24.4445,1.1857,0.0259,8.1161,0.2527,2.0989,12.9815,0.3005,2.919,0.0139,0.0555,0.15,0.0669,0.2875,11.0806,0.013,1.7611,0.0086,0.0083,0.045,21.2629,0.019,0.0077,0.012,0.0212,0.0029,0.482,0.0039,0.0044,0.0079,0.0754,0.1067,1.0211,0.0132,21.1217,9.7826,487.5758,0.1949,0.0052,0.0
MYS_C22,97.605,25.2648,8.962,32.0638,15.9103,204.3447,35.7757,9.0918,124.044,47.1277,172.6215,9.006,4027.9895,22.2989,24.4409,60.6348,709.9013,113.6932,107.7827,202.5522,210.5309,125.6435,2.6595,81.4822,189.9908,827.5172,142.7587,1.2422,2.5942,137.0773,0.1727,35.484,0.3335,0.6589,0.7199,3.9063,14.6059,1.8545,65.796,23.78,2.9191,104.4088,5.7466,4.7388,0.0
MYS_C23,41.9904,0.2517,11.9366,3.1874,20.6448,75.9747,2.0728,14.2636,32.6197,2.1959,106.5504,5.3741,36.7218,1055.7326,357.3234,46.786,630.3456,41.1028,32.0486,7.3365,89.4307,4.3766,1.596,0.3668,3185.2087,789.1256,0.3043,0.5732,0.092,13.5687,0.0365,0.5903,0.1712,0.3178,0.5326,1.1519,5.6819,0.4257,0.5281,17.0587,2.5129,2.1194,1.0379,0.0762,0.0
MYS_C24,1.7882,0.1898,46.939,5.7053,23.5485,89.9471,6.5448,17.306,100.6635,2.403,48.6562,1.6891,56.3388,106.4461,2738.6825,1054.6863,540.9298,710.8974,555.8547,304.0001,452.0677,178.9801,39.3359,39.3264,2014.3908,369.8856,1.0956,1.6472,0.1952,0.6132,0.0444,2.1359,0.1831,0.0843,0.1729,1.2914,0.7593,1.0572,0.2717,8.8858,1.3585,4.0918,4.0436,0.253,0.0
MYS_C25,42.8443,0.1216,277.2491,5.7365,33.4955,292.2459,9.68,5.5058,93.8924,28.5685,115.7108,2.987,35.2722,200.2985,449.7791,797.3066,358.788,468.5287,468.5575,185.5659,179.6685,37.2685,1.0895,21.8766,234.2733,133.2185,0.6308,208.5435,0.188,0.5765,0.0571,1.3799,0.1603,0.3653,0.3309,2.109,1.3922,1.3875,0.4991,121.9465,1.6592,4.7513,5.0395,0.1603,0.0
MYS_C26,10.4991,2.0113,18.9055,6.5476,12.8522,24.1786,17.9079,2.8882,12.0089,8.1884,10.5175,86.3372,54.6446,5.5513,18.1427,28.5863,9654.9334,403.5482,69.3487,465.7292,68.8015,97.2945,22.0564,1.2085,99.9022,440.9147,18.4607,7.1498,19.33,26.8466,4.9064,4.4985,9.3717,372.4051,24.2679,15.9407,14.5253,132.5509,7.0012,167.1394,161.6373,136.2019,86.9169,3.0245,0.0
MYS_C27,4.9522,0.1142,20.0784,0.1979,3.2355,7.0099,3.9541,1.156,5.282,0.6641,4.3751,0.6856,9.2083,9.971,60.743,27.4908,513.9538,199.1935,33.2268,361.0145,28.296,3.3169,0.5271,0.5254,190.6653,245.6914,5.9215,2.7529,0.1452,8.8343,0.0817,31.4626,0.1491,2.3343,0.4215,2.0096,0.6561,2.3228,8.7665,26.1057,8.0102,6.9163,6.8066,1.0814,0.0
MYS_C28,22.9293,3.1433,71.241,37.328,24.2233,1.7297,22.7801,42.8167,1.8587,0.3258,1.3729,2.7069,14.9944,10.7005,91.3091,64.4671,157.4015,60.3597,211.3511,129.1083,67.9253,49.5536,105.9349,24.732,87.9486,113.1986,35.8635,1.6983,1.4259,9.0295,0.0826,90.1498,7.6747,0.3616,0.1479,0.7747,1.1548,0.8958,0.2412,22.9916,3.4606,2.3595,1.4795,8.6921,0.0
