V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_A01_02,28547.6508,770.9871,6482.9263,0.0003,0.1726,15287.8115,442.7513,113.4104,2.379,448.9817,119.5134,28.8793,1.3218,0.0227,0.0391,0.0346,0.0001,0.0008,0.0024,0.0109,0.0006,6.2974,0.0275,0.0106,3536.3134,20223.2198,0.0098,0.0007,0.0165,0.0024,0.0,1311.6658,0.0631,0.0192,0.0186,0.0006,0.0403,20.033,0.0039,0.1393,0.3059,0.0851,0.0057,0.0693,0.0
NGA_A03,3.9502,78.9178,0.0,0.0,0.0004,19.7308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0025,0.0038,0.0029,0.0116,148.0727,0.0024,0.0037,0.0053,0.0174,0.0002,74.3309,0.0041,0.0,0.0,0.0044,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_B05_06,17.0161,0.4932,5314.7351,4.9517,5.6782,15.9445,13.913,2.3386,1.1262,1738.9016,0.204,0.0394,316.0571,1128.2206,18.7142,7.9426,0.0034,0.0855,0.4874,0.6984,0.0458,4.4324,4.6547,0.6519,88.3859,1712.069,5.0862,0.0243,0.4696,0.0185,0.0831,1.9202,2.8006,5.2501,3.4231,0.2567,0.105,0.6379,0.1216,8.1109,8.2451,2.1209,0.1757,1.7881,0.0
NGA_B07_08,0.0,0.0,0.1997,14.0155,0.9409,0.2146,0.5738,0.0015,1.372,0.0005,1.3074,0.0526,0.0021,31.7819,11.7316,4.5099,0.009,0.1138,0.2916,26.0935,1.7583,0.5944,27.2751,0.056,378.9719,0.4388,0.0082,0.0001,0.0002,0.0029,0.0,0.0,0.0008,0.06,0.0479,0.0,0.0005,0.0001,0.0,5.9152,0.0002,0.0081,0.0,0.0001,0.0
NGA_B09,0.0869,0.0009,52.1069,0.4244,0.185,0.0091,0.017,0.0168,0.0117,25.4085,0.0015,0.0,0.0007,0.2118,0.2021,0.0211,0.0,0.0,0.0013,0.0001,0.0,0.003,0.9008,0.0147,5.8015,0.0146,0.0933,0.0002,0.0001,0.0056,0.0001,0.0012,0.017,0.0,0.0053,0.002,0.2015,0.0291,0.0006,0.0737,0.0113,0.0036,0.0006,0.0184,0.0
NGA_C10T12,2.0817,2.7745,1286.9667,0.3295,0.1389,2767.5687,0.9121,24.1723,52.3559,0.0,41.9363,8.3876,0.0753,31.6131,0.262,0.2355,0.0338,0.093,0.2378,45.1415,2.6475,9.175,27.1592,4.1143,42.4961,3552.1128,2.6279,15.4021,6.8376,18.5826,0.2223,443.5802,299.3676,33.2371,16.7306,16.8874,19.9545,17.865,14.4041,751.2304,102.1792,392.6927,18.6051,341.3212,0.0
NGA_C13T15,0.0023,0.0004,12.5638,0.7072,0.0125,0.041,727.3354,2.2863,0.1648,0.0109,0.0088,0.0017,0.024,0.3568,2.1537,2.821,0.0015,0.0187,0.3596,0.2386,0.0166,3.224,0.1523,0.6217,1.9647,12.2642,5.3584,0.0393,0.0223,0.1163,0.0008,0.0848,0.1188,0.0931,0.0673,0.0927,0.0489,0.2647,0.0583,0.7554,0.0583,2.1967,0.011,0.2256,0.0
NGA_C16,0.1529,0.0,15.4529,0.3979,0.0302,0.043,0.6242,25.9437,2.0295,0.0182,0.041,0.0038,0.0984,0.8955,2.6474,3.5795,0.0151,0.192,0.8747,0.9946,0.0469,13.1495,3.5939,0.1812,609.4711,2.921,0.0129,0.001,0.0253,0.046,0.0006,0.0004,0.1718,0.1066,0.0831,0.0393,1.0783,0.498,0.1795,35.3218,1.5256,0.0454,0.0593,0.4841,0.0
NGA_C17_18,0.0033,0.0099,22.5527,0.0203,0.0069,0.4205,0.3878,0.7827,1.5847,0.2422,0.0749,0.0181,0.0149,1.8867,3.3429,5.0507,0.0135,0.1108,0.36,0.7291,0.0337,0.5712,2.0908,0.5286,1.898,7.1873,1.0433,0.0173,0.1065,0.618,0.4163,0.0176,25.2114,6.137,4.6465,0.6594,0.5044,1.8475,0.4004,18.5839,2.3571,5.5219,0.4132,3.0486,0.0
NGA_C19,0.0004,0.0003,19.5762,0.9353,0.1223,0.1605,9.0236,0.9744,0.5383,2.8125,0.0057,0.0003,0.0133,0.6682,9.6927,4.5744,0.0436,0.0603,0.1836,0.0304,0.0014,1.0996,14.1341,5.7508,10.5391,12.0801,45.5329,0.5977,1.3313,0.0666,0.036,0.0209,4.561,48.7158,29.2592,0.2744,2.6396,0.4017,0.1137,1.9562,1.1207,1.5843,0.1518,0.2951,0.0
NGA_C20,0.4071,0.0051,12.197,0.0261,0.0302,0.2819,5.6973,3.1592,2.7809,0.3073,0.0342,0.0023,0.0691,1.2949,3.311,2.9246,0.0053,0.0523,0.1632,0.2147,0.0075,1.3881,2.3374,0.9079,1.9595,1.9306,0.8389,0.0005,1.4119,0.1457,0.0001,0.0458,2.0431,1.5464,1.5089,0.0274,0.0153,0.5623,0.1802,0.1862,25.2406,1.7264,0.3061,1.3629,0.0
NGA_C21,0.0001,0.0,0.4591,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096,0.0972,0.0,0.0,0.0002,0.0,0.0012,0.0044,0.087,0.0,0.0,0.0
NGA_C22,0.009,0.0005,28.9578,0.001,0.0264,1.0669,1.0291,0.2768,0.0053,0.2112,0.0001,0.0,0.0209,5.9643,0.0063,0.0056,0.0038,0.0001,0.0003,0.0004,0.0,3.2068,0.8149,0.4598,126.7136,15.6069,12.2248,0.0077,0.1025,0.7794,0.0049,0.0063,1.5841,4.8051,3.1394,0.2617,0.3562,0.1328,0.034,23.1029,4.7158,0.9089,0.1877,3.8664,0.0
NGA_C23,0.0007,0.007,36.895,7.1291,0.1454,2.6863,6.3233,6.7623,0.0049,0.3064,0.0071,0.0019,0.0703,22.6601,47.847,35.8844,0.0862,1.1023,8.2726,3.7533,0.1294,11.6147,11.0576,1.6985,1967.2444,13.4457,0.0022,0.0,0.0024,0.0032,0.0032,0.0065,0.1049,0.0523,0.034,0.0526,0.0007,0.0733,0.1741,215.707,0.3936,0.5906,0.0302,1.2578,0.0
NGA_C24,0.0003,0.0001,232.289,0.3929,0.0391,0.0008,4.1249,2.1981,0.0485,2.7416,0.0092,0.0006,0.0292,0.4434,14.9158,11.6199,0.0,0.2709,0.1767,0.0751,0.0025,24.0689,0.0971,0.37,13.9735,1.1744,0.0008,0.0003,0.0,0.0032,0.0,0.0006,0.0305,0.0179,0.013,0.0115,0.0019,0.0019,0.0001,0.0086,0.0091,0.0168,0.0,0.0064,0.0
NGA_C25,0.6172,0.0,19.1222,19.6533,0.1272,0.0411,0.0737,1.9395,0.0002,0.2299,0.0002,0.0,0.0361,0.8918,2.8115,6.81,0.0232,0.1701,2.3091,0.729,0.0338,6.8336,0.221,0.9328,109.5965,9.2012,0.1212,0.0001,0.0032,0.1739,0.0001,0.0025,0.0749,12.4751,7.8408,0.028,0.0074,0.0723,0.0633,0.3569,1.0743,0.0111,0.0229,0.6984,0.0
NGA_C26,0.0001,0.0,0.1139,0.0001,0.0004,0.0001,0.0016,0.0009,0.0008,0.0007,0.0001,0.0,0.0,0.0004,0.0381,0.0688,0.0004,0.0009,0.0134,0.0066,0.0004,0.0664,0.0043,0.0064,0.0967,0.1285,0.0134,0.0,0.0007,0.0089,0.0003,0.0,0.0585,0.4356,0.2057,0.044,0.0006,0.0916,0.0015,0.0753,0.0102,0.0883,0.0021,0.0025,0.0
NGA_C27,0.0,0.0,0.0646,0.0,0.0003,0.0,0.0001,0.0001,0.0001,0.0043,0.0,0.0,0.0,0.0004,0.0221,0.0287,0.0001,0.0005,0.0045,0.0069,0.0003,0.0407,0.0145,0.0057,0.0865,0.1203,0.0,0.0,0.0,0.0001,0.0,0.0,0.002,0.02,0.0076,0.0002,0.0,0.0006,0.0006,0.0007,0.0012,0.0018,0.0001,0.0103,0.0
NGA_C28,0.0207,0.0,4.5376,0.2545,0.018,0.0548,0.3639,0.0454,0.0,0.1955,0.0001,0.0,0.0001,0.0038,0.0181,0.021,0.0002,0.0021,0.1885,0.0198,0.0009,0.4519,0.0026,0.1543,4.7999,1.3871,0.0267,0.0,0.0307,0.0146,0.0,0.0,0.0359,0.0881,0.0634,0.0,0.0,0.0326,0.0054,0.0,0.0,0.0,0.0,0.0076,0.0
NGA_C29,0.0001,0.0,71.6734,0.1244,0.0108,0.0003,1.5215,0.7897,0.0179,0.9661,0.0032,0.0002,0.0098,0.1585,5.2412,4.0486,0.0004,0.1005,0.0,0.0182,0.0002,8.6411,0.0005,0.1358,2.3059,3.0664,0.834,0.0,0.0,0.0032,0.0001,0.0007,0.0074,0.5575,0.4284,0.0,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0853,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0015,0.0035,0.0,0.0002,0.023,0.001,0.0033,0.1737,0.0,0.0,0.1749,0.063,0.0176,0.0,0.0015,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,0.0,0.0,0.0078,0.0,0.0
NGA_C31T33,4.7221,0.1135,106.3139,0.4979,0.1665,1.186,26.9455,27.0528,0.3133,0.0187,0.0347,0.0062,0.0426,1.085,0.4726,0.496,0.0214,0.0082,0.1605,0.0432,0.009,132.3488,9.6246,4.9452,90.2661,38.5235,6.8961,0.4484,1.4762,4.0111,0.0379,0.8605,14.9937,33.7326,18.1694,14.9018,4.949,4.131,0.2084,13.3785,11.9451,21.0249,0.0989,9.4074,0.0
