V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_A01_02,4333.7297,1.023,18.1802,1.4324,6.7706,11400.0375,42.4599,39.1221,28.6822,31.7658,104.7313,17.7892,88.7458,12.3879,35.1945,18.8782,43.3965,9.3795,17.4595,4.2292,11.177,92.2002,111.3669,13.948,160.844,366.269,79.224,12.506,33.9674,50.2949,1.7146,322.4833,4.9845,10.6464,8.2348,19.365,42.0474,48.1529,249.8991,191.9614,14.6471,275.3098,46.9518,37.5865,0.0
NLD_A03,14.0147,10.4785,0.0447,0.0004,0.0025,149.7289,0.1039,0.0044,0.2495,0.0243,2.8577,1.8593,0.0674,0.0115,0.0134,0.034,0.0173,0.0135,0.0341,0.0116,0.0233,0.7186,0.19,0.3509,0.2161,4.6501,0.132,0.3274,0.0262,0.1084,0.0129,25.9605,0.0407,0.0211,0.0827,0.172,0.1522,0.2656,0.2718,3.742,0.216,19.9913,1.2678,0.9531,0.0
NLD_B05_06,186.6414,0.0488,220.7134,47.8541,348.5359,62.6294,7.0598,1.7569,27.5425,5091.9109,496.8217,5.0786,7.2763,16.8637,353.8381,7.1016,2.9902,3.283,2.2605,3.1237,1.5065,11.7484,673.4831,6.1836,159.3388,125.6999,18.394,0.8449,0.2358,17.0444,1.4638,55.7524,1.5013,5.3279,3.1222,31.2298,48.3515,37.1384,19.1782,29.1333,48.3977,79.1386,32.4433,35.2397,0.0
NLD_B07_08,36.3834,0.2675,1.1166,9.923,23.6885,2.1243,1.3791,0.0,1.1146,0.0,165.9877,0.6655,2.1052,166.0148,71.1962,1.2702,0.0,0.0,1.683,0.0,0.3312,1.5788,0.0,1.4189,240.5366,10.7808,0.0,0.0,0.0408,0.0,0.0,0.0,0.0,0.0,0.4004,0.0,8.5108,3.2468,1.5388,50.9252,0.8936,0.0,0.0,0.0,0.0
NLD_B09,0.0,0.0,644.1152,127.2494,846.7741,0.0,4.9001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.767,0.0,0.0,0.0,0.0,0.0,0.3822,6.3337,0.0,0.0,488.4642,0.0,0.0,0.0,0.0672,0.0,0.0,0.0,0.0,0.0,1.6062,0.0,33.3828,13.0252,6.1733,0.0,0.0,0.0,0.0,0.0,0.0
NLD_C10T12,2531.1903,11.1745,4.2517,3.5609,10.9044,10526.9361,42.7605,2.6243,63.3077,10.8115,373.6678,331.4852,41.2664,57.0044,26.9407,39.0395,101.9274,13.8389,32.5712,7.5947,13.1455,329.264,54.5264,69.8842,194.7207,1626.1336,21.3552,12.4407,13.5002,25.7628,7.406,2988.6802,14.8026,17.4144,52.9552,180.8033,53.2039,308.7713,129.5509,261.8015,73.7603,1123.1361,702.8107,79.01,0.0
NLD_C13T15,5.4354,4.078,0.1657,0.0536,0.319,3.2414,177.245,0.2095,21.9486,0.3729,5.1248,1.1413,14.3117,3.3705,0.1825,4.8527,3.5459,0.8706,3.6418,1.8816,1.4975,35.9574,0.6394,2.1908,15.6259,24.0074,2.7859,0.4396,0.4222,2.7386,0.9113,6.34,0.634,3.0534,0.2026,1.7745,0.7678,1.2718,13.2224,49.96,0.6602,58.9367,3.6138,13.1701,0.0
NLD_C16,39.6903,0.2955,0.9584,0.5611,3.2715,57.5467,3.3078,367.7299,32.184,4.4407,35.2747,18.2078,22.954,18.0414,10.2034,46.173,10.2231,7.5233,30.5531,7.2934,28.0116,155.867,9.5216,11.1672,967.8226,84.4788,7.7741,3.6158,10.2779,13.0681,0.6302,11.886,6.4595,4.8299,6.907,13.1689,149.9441,30.2124,83.2179,30.4228,10.582,23.3949,4.3528,36.9174,0.0
NLD_C17_18,30.6984,6.7118,3.8444,4.3381,30.0667,759.969,31.7098,12.2508,2597.9951,11.2387,99.055,74.4758,71.0801,31.6491,27.1377,63.7422,82.9711,17.2914,104.9118,15.4028,18.2182,131.6286,42.2714,42.068,141.0521,868.9052,61.7596,16.2106,13.372,52.3408,10.2054,95.0608,1184.7622,52.4679,110.7821,310.9398,72.2118,506.49,351.2178,348.7794,196.8386,690.6568,53.7241,55.4836,0.0
NLD_C19,316.4493,35.2971,3.6621,3.0694,11.7477,82.1179,9.3497,8.8437,24.1783,895.4985,2782.7467,8.5402,21.7214,38.7601,35.8992,44.1617,18.1998,155.0748,31.2059,14.2969,14.9011,96.266,237.0026,89.5628,796.9004,664.0699,1638.7413,686.2404,1877.0759,125.1988,30.3323,37.3464,4.1552,7.3578,32.5272,64.9643,75.5119,119.0751,591.9105,178.117,80.4583,71.5222,68.1435,73.5267,0.0
NLD_C20,606.8642,3.2913,6.6959,8.2743,37.9726,286.3895,369.4021,32.2205,387.5366,507.638,12340.2807,337.2549,1451.4997,162.4483,71.4838,122.9291,151.9356,100.3702,87.3161,40.3506,30.9598,259.0831,90.341,97.967,707.528,498.8076,68.2417,27.802,64.3342,12.3016,4.1593,26.0928,22.3952,11.2111,26.9445,53.5992,90.627,298.9297,164.5992,146.9792,72.0378,426.2488,23.7744,160.3407,0.0
NLD_C21,49.7007,0.2712,0.7908,0.2659,1.3777,100.7558,5.6877,5.3518,14.249,10.6496,98.4426,135.8065,13.344,7.7295,4.4393,17.182,54.8104,5.0238,24.7957,3.9038,6.4603,17.804,6.0389,2.4064,78.3938,56.756,4.7382,3.0978,2.6113,2.6206,0.8578,13.0584,4.6893,7.036,5.2365,14.2623,9.7831,90.1888,10.8302,67.7781,9.3762,488.4212,4.7144,4.6686,0.0
NLD_C22,60.9542,0.1264,0.6888,0.1605,0.889,233.577,28.4629,47.8159,122.7667,5.8412,120.291,20.8449,256.6029,89.6063,11.5018,108.2934,34.3231,60.414,165.1642,92.8034,56.8633,117.7193,6.7812,7.2495,712.7076,312.4203,95.7014,1.9785,3.0259,5.2113,0.6843,7.2571,9.5705,4.657,10.6573,44.1149,69.0127,73.4036,70.2129,33.5009,11.989,128.0732,6.94,24.6796,0.0
