V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T
PAK_A01_02,15000.7126,142.174,38.3236,3.9124,1.8744,9426.9836,1576.7588,410.4382,189.4474,11.5134,158.3,44.2269,77.7753,16.4754,9.6527,8.1918,8.4752,5.6735,7.9983,10.5101,2.4338,74.7733,91.2908,13.8709,100.4957,565.0359,37.7572,17.5373,14.7002,19.4902,2.5585,1013.925,17.2158,24.812,8.0827,30.9268,39.4877,46.9861,64.2822,189.9754,95.9901,170.8619,46.2061,66.7083,0.0
PAK_A03,27.2737,314.6778,1.8954,0.1492,0.0937,202.6529,6.5443,0.4742,0.772,0.6116,1.9729,0.7036,0.4319,0.549,0.417,0.2855,0.4486,0.2652,0.3836,0.4512,0.1104,1.7943,2.1813,0.4212,1.8557,11.864,1.6594,1.5287,0.9153,0.6746,0.0996,101.8913,0.9453,1.1874,0.4252,1.039,0.8965,1.7824,1.2055,4.9971,3.1662,5.8578,1.8798,1.7695,0.0
PAK_B05_06,29.594,2.2197,306.6623,7.8289,6.1333,17.8647,25.6652,1.249,11.3157,2937.5126,107.7393,2.7577,4.9514,40.7984,55.5135,3.5199,1.937,1.7525,3.0157,2.889,1.159,3.3753,2193.1902,3.9389,16.2538,35.6339,19.7813,4.6437,4.9719,7.2396,0.9889,8.4735,1.2867,2.5572,0.562,3.0124,8.6445,6.3884,4.5454,16.3856,7.6763,10.1792,3.3228,7.0207,0.0
PAK_B07_08,10.2366,0.7104,6.9758,12.4894,1.8279,2.7264,2.3978,0.1528,2.1701,7.6434,37.6918,0.9778,0.6414,116.9579,127.4982,2.5943,0.658,1.1708,0.9807,0.6893,0.1795,3.4553,17.6047,1.7752,62.3089,2.5794,1.0743,0.0852,0.0679,0.6828,0.0269,0.5999,0.094,0.1751,0.0528,0.1502,1.3077,0.7421,0.5298,3.1853,0.3622,0.5332,0.327,0.693,0.0
PAK_B09,1.781,0.3532,117.8262,4.4927,4.1292,0.2233,0.2236,0.0437,0.6445,20.7231,1.2769,0.0399,0.1291,3.3,4.032,0.3609,0.0297,0.0289,0.1276,0.0386,0.0143,0.0695,22.2663,0.4021,9.0704,0.5425,0.732,0.1177,0.0486,0.5629,0.0164,0.1411,0.0341,0.0469,0.0209,0.0721,0.4944,0.303,0.2576,1.0496,0.1269,0.1578,0.0639,0.152,0.0
PAK_C10T12,2033.5739,114.5301,5.569,0.8921,0.3643,1438.9728,127.8261,1.8754,13.3059,4.5454,78.2058,19.922,8.5764,5.646,3.775,2.659,3.569,2.3914,2.9464,3.0366,0.6954,7.9077,18.0755,5.1623,10.8626,181.8026,10.869,14.1514,9.6952,8.685,0.9135,1449.1546,10.0431,10.3437,3.7379,13.4292,9.6884,20.9258,16.9756,114.8989,81.7581,143.7901,34.0313,43.0004,0.0
PAK_C13T15,55.0438,12.6724,11.7772,1.3537,0.5841,27.5108,3489.5199,4.4185,18.3164,4.9346,16.6536,4.6325,19.6792,9.5997,6.1215,7.5152,8.0716,5.9714,8.0763,22.0861,2.8627,52.4477,20.7718,6.4554,30.1842,96.4878,15.844,5.2385,5.8524,5.6265,1.9357,19.5114,8.264,9.1304,2.6262,9.8646,5.8522,16.4716,14.6157,76.1698,15.6329,47.9186,13.1164,41.804,0.0
PAK_C16,50.5115,6.5001,7.9469,1.9814,0.4585,17.467,27.97,280.1746,50.0752,0.6399,9.6592,1.5128,7.4499,18.5869,5.0511,9.3536,5.5537,6.1346,6.0924,16.3115,6.3062,333.0018,24.3003,2.9984,333.1694,64.6819,6.1079,1.0632,0.7022,7.2854,0.464,5.4838,4.8891,2.5384,0.9253,2.0481,29.1432,10.5908,7.927,13.6211,9.1946,7.3261,5.0122,26.6106,0.0
PAK_C17_18,58.2082,8.9865,5.3704,1.5439,0.352,178.552,190.4993,15.4559,952.3474,3.2153,50.2415,26.3648,28.7676,42.393,6.9849,9.7748,17.5573,15.1886,11.696,13.1201,2.0702,47.2533,23.9251,9.3973,20.8232,305.9522,17.3504,4.1363,4.5412,16.3151,9.0839,36.3701,286.7834,40.4276,20.9826,102.3393,16.5328,112.4849,56.1427,138.1514,96.1537,66.8501,26.6889,54.9058,0.0
PAK_C19,555.098,118.8448,90.151,20.2769,6.1251,48.7601,125.2029,10.0316,29.038,274.7464,193.91,12.0593,29.8453,88.8967,59.1922,15.0211,11.3394,11.3269,11.5913,15.2732,3.8463,27.7978,461.3405,38.0978,132.8516,340.7266,809.7662,232.1551,342.716,69.4052,16.8327,33.5267,11.6184,25.5548,6.9922,34.372,22.8148,53.0841,52.1193,183.3855,43.2696,67.7426,16.9242,56.0306,0.0
