V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_A01_02,5451.2408,2.1656,0.0319,0.0152,0.2119,5679.7625,91.0323,144.0975,28.3409,1.292,6.9521,0.4995,1.4251,2.4779,0.6047,0.0942,1.4795,0.7683,1.1406,0.303,0.538,32.8942,2.3383,1.347,25.5153,187.322,5.1651,0.6721,0.4046,1.9243,0.0016,29.5895,0.4277,0.0307,1.5234,1.1141,0.0204,32.3935,15.329,0.099,0.9745,1.7447,1.8329,5.453,0.0
ROU_A03,0.0001,0.1009,0.0004,0.0001,0.0002,22.0612,0.0,0.0074,0.0,0.0,0.0003,0.0001,0.0,0.0097,0.0,0.0308,0.0002,0.0,0.0,0.0,0.0008,0.0,0.0001,0.0072,0.0531,5.3293,0.0002,0.0,0.0,0.0,0.0,1.0411,0.0029,0.0001,0.0,0.0,0.0,0.0477,0.0,0.0,0.0,0.0078,0.0198,0.0779,0.0
ROU_B05_06,0.0394,0.0,69.7444,0.0658,9.6062,0.4811,0.0091,0.0404,0.0037,1281.6766,7.2775,0.1504,0.0671,0.4561,186.5202,0.034,0.0,0.0038,0.0001,0.0069,0.3121,0.5257,2121.2719,6.191,0.0288,2.0372,104.1771,0.0,0.0,0.0,0.004,5.5607,0.7747,0.0546,0.0006,0.0,1.3023,5.3428,0.6701,0.3163,0.3074,0.3789,7.3388,3.9201,0.0
ROU_B07_08,4.5852,0.0101,42.8664,69.4636,7.7542,0.1095,0.851,0.0585,0.2058,0.3206,1.7596,0.0364,1.8499,160.4871,51.0786,2.5683,0.0372,0.4648,0.0645,1.1309,0.166,0.1569,1.0053,0.6666,28.1909,17.0999,2.3783,0.0256,0.0008,0.0,0.0,0.3357,0.0728,0.0,0.0,0.0,0.3149,4.1592,0.1861,0.0765,0.0,0.0745,0.396,0.4665,0.0
ROU_B09,6.9557,0.0229,229.518,18.6289,116.418,1.8434,0.1703,0.5569,1.2667,81.657,4.4753,0.0541,0.8723,16.409,51.9653,2.7361,0.0476,0.1734,0.7434,0.1197,0.0402,0.3606,124.6482,1.8402,169.982,1.2989,5.8229,0.086,0.0035,2.917,0.0303,0.3222,0.0375,0.0,0.0466,0.0241,1.2329,1.0089,0.5709,1.6637,0.3133,0.3611,0.2785,0.3119,0.0
ROU_C10T12,338.8519,0.0368,15.2329,1.1523,0.6077,2305.5727,51.3225,19.0837,12.5723,3.3563,36.2316,40.9632,7.1678,24.0409,14.9006,21.5564,10.1035,18.4052,12.7062,28.4819,7.0588,17.6347,8.9864,42.2061,191.259,954.609,44.2365,6.1659,10.3555,69.1378,5.3043,863.5757,20.374,28.0963,33.8923,20.3548,11.9587,149.8038,34.4603,52.8292,102.9641,355.8662,79.7961,310.2648,0.0
ROU_C13T15,23.002,0.0058,26.9896,0.3549,2.0437,25.9299,675.6436,25.2998,11.8012,6.079,20.8289,3.7513,79.9,37.8713,21.907,12.9931,17.7493,25.1672,27.8738,42.9312,11.6986,133.1228,39.7017,15.7636,163.3759,509.8419,75.7881,2.0153,1.9395,21.2552,2.6329,22.3088,55.7017,8.6556,9.6485,4.6134,46.8762,60.5242,9.9013,51.1793,4.8028,151.6789,5.8459,14.8639,0.0
ROU_C16,28.5682,0.0171,2.3331,4.0536,1.5236,13.3717,5.1279,393.0363,35.5384,1.8938,11.1523,2.653,7.8266,56.1159,30.4943,11.7656,8.4928,14.1815,25.4019,15.2621,15.1825,407.8371,10.2986,12.7111,995.129,381.8987,54.0722,0.6118,1.8589,21.1955,1.6387,2.7618,6.2407,8.6016,10.5073,4.9482,34.3492,44.6455,10.2455,0.692,0.7316,2.7432,11.362,12.0449,0.0
ROU_C17_18,21.8636,0.0241,6.1012,0.2912,0.7793,17.9447,14.6316,16.8875,94.2944,0.9131,18.3877,4.752,4.857,31.3768,17.9058,14.9697,13.7967,22.898,11.2838,26.1567,4.149,30.5829,21.5354,17.6708,44.4773,406.6511,17.1172,0.4353,11.268,14.5534,7.8303,8.346,101.9447,37.5426,7.22,54.405,34.5897,41.7804,7.0733,66.5795,156.8296,48.5167,90.3703,17.2867,0.0
ROU_C19,262.2388,0.0093,11.1197,2.1265,10.4314,23.17,7.1604,10.8937,6.2407,4.3675,81.1034,2.0059,14.7112,40.9129,176.5382,13.3632,0.9113,3.6115,6.9224,14.6276,4.3947,13.6998,123.7619,9.2152,222.9849,572.9115,427.0287,10.2131,19.3528,15.0963,1.1908,2.1516,4.0826,6.5781,7.5515,7.4998,5.5997,36.5067,7.812,13.8463,1.1224,5.9699,5.5643,24.4217,0.0
ROU_C20,276.9442,0.4558,6.1445,0.2654,9.3848,30.319,54.6657,21.6298,24.9764,8.1235,339.554,35.1667,274.4358,46.0152,28.3734,33.5441,16.0925,26.9508,19.2799,54.3642,9.136,56.9316,22.0173,60.845,187.2371,69.4011,72.4943,2.8593,2.5941,3.7055,1.4134,10.8981,25.376,1.4788,11.4534,4.6792,43.7999,31.5253,28.8634,4.4383,9.3092,57.7918,3.3127,12.8294,0.0
ROU_C21,1.3605,0.0058,0.2046,0.0267,0.0491,0.3469,1.0258,0.0,0.0,0.0,0.0,3.3508,0.0,0.0,0.5754,0.0,0.0,0.0,0.0,0.0,0.1047,0.0,0.0227,0.0134,0.0,0.0,0.0,0.0,0.0,0.0503,0.0,0.3543,0.0031,0.0,0.129,0.0,0.0,0.4904,0.1549,0.0,0.024,42.7106,0.027,0.0266,0.0
ROU_C22,10.5042,0.0199,20.9825,0.6373,3.8613,41.0652,50.7135,13.6216,12.7709,2.7368,34.8973,7.6006,373.8878,34.1767,37.2608,64.8194,38.252,67.9279,62.1776,270.3388,12.9524,38.428,39.4426,12.1828,385.3145,241.8434,487.2628,0.5683,1.7876,20.2997,1.5665,2.7683,13.511,57.5253,10.0342,4.7033,22.9643,54.2001,9.8267,3.8345,0.727,5.1339,8.7108,10.4721,0.0
ROU_C23,5.0655,0.0622,1.8572,0.1173,3.8164,31.874,2.6569,7.0481,0.8535,2.3536,9.4116,6.5557,12.0601,165.9043,50.0653,21.8872,5.241,14.6506,15.7176,21.2774,2.5545,17.037,15.9505,57.4053,2530.7325,45.2794,82.7899,2.6133,0.1848,2.1533,0.0,2.3016,4.4494,21.2781,1.434,6.1282,21.7458,13.334,7.2081,0.4193,14.0249,2.0826,18.413,53.7119,0.0
ROU_C24,12.1202,0.0066,32.8637,0.9014,15.3833,4.4852,1.245,5.9363,5.2861,9.9384,34.7367,0.5443,7.9379,82.1998,832.2736,621.5773,52.6276,121.9951,317.5203,527.821,81.2536,55.1314,76.2706,12.7762,1783.102,62.417,176.1496,14.5462,0.0,0.3979,0.0,0.7552,6.5001,149.9353,1.7757,0.0,7.431,76.4471,16.799,31.1457,5.3195,0.2327,15.8715,7.2574,0.0
ROU_C25,67.8861,0.1247,55.116,2.8684,13.3935,31.1264,12.6718,43.9136,25.7657,136.8223,83.3341,18.1432,60.2666,96.1299,123.0445,494.3772,49.7986,89.1781,161.713,137.3614,29.043,103.949,278.1066,2.4582,1242.68,57.3672,272.5639,6.198,17.0776,81.0118,0.0,2.3986,6.3227,14.7476,0.0197,0.7532,14.3435,92.6388,11.8849,0.1669,1.2742,4.6624,14.4189,3.649,0.0
ROU_C26,4.4375,0.0094,2.6659,0.6496,0.7704,5.7153,1.2024,0.9642,2.3857,0.9729,3.7828,0.9024,10.5968,5.1944,15.857,11.9874,66.157,25.6938,18.6013,33.669,7.7694,17.2458,27.9741,5.2796,110.5093,237.9511,38.8681,0.6114,0.6364,7.1907,0.5577,1.5405,4.4098,101.9689,107.0263,21.7622,36.0119,34.3465,5.5814,0.6522,1.2758,55.6681,2.5216,7.2856,0.0
ROU_C27,10.0252,0.0411,12.0398,0.4814,1.2106,6.729,1.3477,3.3669,4.3771,2.8093,4.1967,0.8514,23.1375,10.5742,39.5603,36.616,52.3546,117.7098,62.527,128.8447,18.1929,33.7181,106.8036,3.0713,402.0315,202.6109,150.7452,1.7845,0.2233,23.3979,1.9303,4.0713,1.6807,106.7815,46.7263,8.6943,3.1932,98.8033,42.6498,1.3547,1.3419,4.7235,4.569,11.2304,0.0
ROU_C28,1.1859,0.0581,0.5713,0.029,9.2137,0.4824,0.5511,1.5375,0.228,0.1238,0.4927,0.201,0.7611,1.0301,1.486,0.6103,0.2188,0.2112,2.0266,1.093,1.0066,5.4824,1.6697,3.6098,14.6766,2.2498,2.8724,0.0525,4.208,67.6036,0.0,0.0418,0.0544,0.3878,1.0253,1.1342,0.279,0.9538,0.1026,5.3809,3.4181,3.6653,0.4654,2.4906,0.0
ROU_C29,24.8851,0.1119,4.815,1.9601,1.7867,21.5287,0.3798,10.8639,2.2481,2.1088,7.618,3.0124,3.3146,25.7485,9.5738,12.0819,5.4122,25.9586,15.4497,696.6587,63.9604,47.4849,27.6306,8.6503,137.7797,75.6313,1001.823,1.0192,2.6417,1.1334,0.0,2.2387,1.9234,13.1406,4.8915,3.6872,17.9786,100.5077,18.1151,4.4443,1.2707,1.7197,2.1398,6.0186,0.0
ROU_C30,4.525,0.0558,1.2832,0.0485,0.2255,4.3299,0.1687,8.6517,0.0589,1.0137,5.5741,2.2934,4.316,6.448,8.4777,6.2547,0.0027,0.08,9.1641,0.0103,132.9995,31.077,33.3147,1.5424,134.9826,53.0453,383.8118,56.2091,59.7761,0.008,0.0,1.5907,0.0733,0.088,0.0069,0.0,0.0501,1.6959,0.2343,0.0,0.0012,0.0063,3.0851,21.5454,0.0
ROU_C31T33,307.4183,0.0135,12.764,0.3749,34.0945,14.5158,8.4969,26.4092,4.6538,7.0544,11.5415,3.7319,16.845,18.3235,26.4622,39.189,40.6416,22.0388,36.0611,204.4775,26.7518,63.3712,53.8045,24.1985,344.4916,341.8201,604.0122,15.6465,33.6549,95.4434,0.593,63.1031,16.203,59.879,3.8017,96.1873,82.0059,78.6975,12.7171,13.2953,19.0787,38.9337,5.4109,10.8556,0.0
ROU_D,359.5402,0.0978,333.6852,12.8709,24.1651,360.1496,178.5047,158.5484,104.8165,120.9464,576.5123,61.5645,244.8075,470.623,506.54,350.0098,73.8327,184.8867,222.5103,345.7319,104.8463,195.8361,3323.021,431.9888,1746.2851,1199.1763,192.5,9.6357,18.0251,340.0739,23.0095,240.8719,58.7128,137.0176,165.9995,193.511,129.5464,603.2806,136.7382,41.1554,55.16,135.4601,87.5446,99.0477,0.0
