V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T
SGP_A01_02,0.0819,0.0005,0,0,0,22.5404,1.5613,0.0031,0.0412,0.0134,0.0815,0.3269,0.0311,0.0122,0.0075,0.0612,2.5252,0.0557,0.4247,0.0097,0.066,0.0294,0.0449,0.0683,2.1453,0.4061,0.0258,0.2308,0.0532,0.0425,0.0043,21.1206,0.4877,0.1381,0.0697,0.4714,0.8006,2.2348,0.262,0.2831,0.0934,0.2195,0.2261,0.1403,0.0
SGP_A03,0.0007,3.9956,0,0,0,5.1073,0.4917,0.0003,0.0038,0.0223,0.0595,0.1111,0.0028,0.0042,0.0041,0.0167,1.3474,0.013,0.1733,0.0026,0.0134,0.0163,0.2898,0.0217,0.106,0.3092,0.0082,0.1671,0.0415,0.0353,0.0014,26.2723,0.0333,0.0827,0.0189,0.3963,0.109,0.2604,0.0931,0.289,0.0364,0.0576,0.4844,0.9418,0.0
SGP_B05_06,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B07_08,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_B09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP_C10T12,6.7186,4.7523,0,0,0,1275.1592,4.4887,0.1878,1.8773,9.3589,39.2826,31.6217,0.7238,0.6003,1.1219,2.0204,37.7701,1.5527,6.51,0.7552,1.6603,2.3798,1.0884,0.7654,12.193,24.0562,1.5274,232.1699,1.8067,10.6346,6.2155,979.1213,7.3298,1.286,3.0763,61.1819,8.6804,12.3956,3.5284,40.8052,1.4709,16.4026,6.8263,18.107,0.0
SGP_C13T15,0.0116,0.0488,0,0,0,0.8312,94.6901,0.0519,4.5944,0.4959,1.2796,0.0745,0.477,0.0731,1.1607,0.3749,5.96,0.1559,0.7585,1.5803,0.6499,2.7185,0.3074,0.4918,18.4801,67.3611,5.2945,9.7159,1.2361,4.4972,0.2389,6.5333,3.5095,1.9426,0.2117,0.5935,0.7421,13.0008,4.0075,4.7693,2.7823,4.2098,2.9756,6.756,0.0
SGP_C16,0.012,0.0062,0,0,0,0.9464,0.0596,22.9335,0.1165,0.2582,0.3572,0.144,0.3196,1.2448,0.0937,0.3231,6.5786,1.8986,0.5543,0.3395,2.8827,41.4696,0.0903,0.2775,80.364,1.6762,0.0305,3.1613,0.0555,5.3947,0.0314,0.4053,2.2265,0.0996,0.0728,0.2979,0.7238,2.2573,0.972,0.292,1.5566,0.6866,0.0424,0.9073,0.0
SGP_C17_18,0.1897,0.1054,0,0,0,13.0034,1.7537,0.2863,351.6017,3.6095,10.4352,1.3795,3.484,1.9937,3.3667,23.7053,70.762,13.3342,20.9487,4.1116,4.8286,7.8502,1.2004,5.3324,16.4418,637.6877,5.2861,6.7757,5.216,21.5312,8.1121,26.4264,66.2926,19.9907,23.1641,99.9003,8.3443,209.8774,28.8473,33.7549,40.8161,13.2732,15.4041,10.2159,0.0
SGP_C19,1.3474,1.5386,0,0,0,10.5548,1.2404,0.2458,3.1367,2624.064,2088.0345,1.5529,2.4384,3.1074,4.3611,8.3374,60.1585,14.1668,21.3887,2.378,14.0347,8.0732,175.0467,27.0777,105.3359,884.7185,289.3771,3287.6061,1118.7739,51.9002,5.9082,42.4826,24.8775,10.4319,34.9645,46.0362,15.7742,43.6902,26.8467,63.72,6.4916,10.579,4.9639,10.5813,0.0
SGP_C20,3.8521,1.6433,0,0,0,123.0121,25.1365,5.65,198.3039,148.134,8686.0828,118.4635,317.1712,74.2267,56.2224,214.6094,3198.5925,81.8787,150.9846,12.9775,41.0556,164.5083,25.8617,84.3907,478.4802,1087.7123,16.4794,177.9203,23.3024,262.8242,8.577,51.1173,262.884,53.4406,14.2089,128.025,43.3746,552.2995,254.0404,97.3415,59.8935,254.827,21.6874,210.1969,0.0
SGP_C21,0.5654,0.2799,0,0,0,36.5425,0.582,0.1269,1.4288,10.2996,72.4343,664.4295,0.7209,0.5002,10.3529,1.7268,27.2088,1.16,4.2533,0.4411,1.0581,25.8303,0.9474,0.5746,6.5647,9.216,0.4828,15.3088,1.8738,26.3578,0.0748,3.3914,2.8124,0.6684,0.5083,1.4167,0.7908,38.3583,6.0096,55.4741,0.3909,489.7599,2.5308,29.9077,0.0
SGP_C22,0.4343,0.1315,0,0,0,14.5987,2.2598,0.2266,23.6468,4.2733,19.3547,5.5902,93.789,0.8348,1.2371,11.9094,136.2058,14.4029,29.3967,6.6675,3.7172,50.5208,0.6872,3.2592,72.5434,136.5957,5.7876,16.006,1.2592,60.1638,1.1744,15.295,16.6472,5.3113,1.1092,25.7974,1.6428,23.3466,13.2025,6.7349,10.8178,3.7667,4.3856,10.6443,0.0
SGP_C23,0.0658,0.0392,0,0,0,5.326,0.6405,0.3005,1.7757,10.6478,13.7847,2.1754,1.1289,94.9826,19.0176,4.3943,149.7266,1.6578,8.4996,5.3739,4.6604,2.4407,1.2291,5.731,527.3371,29.7223,0.7441,6.561,1.9027,1.6755,0.3897,5.0436,2.7567,1.981,1.3805,3.4743,3.6821,16.4553,2.8314,4.9663,2.9118,1.8054,0.8268,3.4802,0.0
