V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_A01_02,187.0984,0.5397,0.9553,0.3372,0.0205,249.2823,8.7643,66.0638,10.6559,0.0301,4.2943,5.1122,19.6098,2.4622,3.5449,7.7811,1.5154,4.5572,2.8001,4.1669,0.7888,8.0563,11.1504,2.8542,17.2563,51.0106,7.0092,0.3598,1.8264,3.7544,1.3105,15.7902,2.6957,5.072,1.9298,5.1524,6.8275,15.0203,6.4482,5.0879,9.0317,6.8564,6.2628,5.8774,0.0
SVN_A03,0.0276,0.4947,0.0011,0.0029,0.0001,0.7376,0.0116,0.0184,0.0107,0.0001,0.0191,0.0406,0.0189,0.0237,0.0121,0.0469,0.0068,0.0377,0.0103,0.0139,0.0011,0.0104,0.0253,0.0218,0.5809,0.4614,0.0455,0.025,0.0034,0.2575,0.0014,2.0347,0.243,0.0132,0.0144,0.0439,0.1535,0.1824,0.0505,0.0775,0.1219,0.0594,0.3957,0.079,0.0
SVN_B05_06,0.0359,0.0004,0.453,0.1321,0.0151,0.9582,0.2073,0.0921,4.2806,0.0359,8.7893,0.4566,0.4314,1.9087,7.9754,0.532,0.1603,0.0769,0.2715,0.1608,0.0397,0.2525,145.5163,0.5604,1.602,4.0173,0.1579,0.0012,0.005,0.6526,0.0413,0.7466,0.0459,0.0627,0.139,0.1034,0.6207,0.8136,0.1211,0.1803,0.3274,1.2243,0.4271,0.1152,0.0
SVN_B07_08,0.4531,0.0039,0.0658,2.1463,0.0608,2.481,0.226,0.0963,2.2086,0.0004,21.9575,1.1683,0.2072,24.3983,20.7013,3.5455,0.1543,1.5592,0.2058,0.1804,0.0946,5.4969,0.9812,2.1644,56.1998,4.5991,0.7194,0.0039,0.0242,2.1372,0.1007,1.915,0.0917,0.0888,0.0245,0.1778,1.4993,2.2762,0.3054,0.384,0.3438,2.6133,0.9817,0.115,0.0
SVN_B09,0.043,0.0009,0.4834,0.4324,0.0915,0.0146,0.0014,0.0113,0.0954,0.0062,0.1465,0.0201,0.0319,0.3821,0.9044,0.2175,0.0009,0.0076,0.0304,0.0036,0.0003,0.0068,1.2506,0.0795,3.1751,0.0331,0.0792,0.0034,0.0001,0.089,0.0013,0.0093,0.0012,0.0,0.001,0.0015,0.0386,0.0582,0.0196,0.0719,0.0095,0.0134,0.0078,0.0072,0.0
SVN_C10T12,73.5068,0.7548,0.0807,0.338,0.0039,199.0886,3.0354,0.428,0.5149,0.0025,1.2648,3.1315,0.366,0.7706,0.2978,3.6001,0.3543,1.2343,0.6895,0.1849,0.0617,0.6576,3.9606,0.6152,4.1626,45.0125,1.2035,0.3894,2.0098,1.7783,0.0467,144.7126,2.1771,0.8626,1.717,3.3414,10.3752,6.4734,3.5932,3.3635,39.8676,23.4942,11.1355,6.5572,0.0
SVN_C13T15,0.6558,0.0186,0.2412,0.184,0.0076,1.3366,109.3887,1.1494,1.3459,0.0084,1.3462,1.2779,31.4859,0.8604,1.4272,2.558,0.2716,1.3619,0.9536,32.086,0.047,8.599,1.2731,1.1784,3.2038,10.9773,1.2921,0.0207,0.1598,2.2811,0.7057,3.156,0.3855,0.4714,0.4341,2.217,1.8196,8.7057,2.1717,2.5754,1.9945,10.8635,3.4249,2.1061,0.0
SVN_C16,4.452,0.0148,0.7278,0.1314,0.0105,2.2223,0.656,70.3434,4.4716,0.0074,2.5368,2.6773,3.7164,2.2963,1.7284,16.8814,0.4509,4.7017,2.9307,8.7823,0.128,53.9484,1.9788,1.5831,53.942,12.0612,2.255,0.0952,0.842,1.0597,0.0631,1.2405,0.4576,0.3696,0.2993,1.6426,0.7481,10.396,1.0808,1.011,1.2132,1.3687,0.9368,0.6182,0.0
SVN_C17_18,2.2479,0.0526,0.0938,0.322,0.0087,17.9147,7.497,4.3349,258.1296,0.0363,14.5789,53.8321,7.3068,6.2793,1.209,4.7893,1.4328,12.5668,2.0707,5.5958,0.2741,6.8332,2.6789,1.6953,4.5531,91.1645,2.2664,0.0658,0.438,5.9018,0.7246,8.2162,27.043,13.1346,5.4387,21.6437,3.6052,58.8462,11.4379,12.9451,6.8655,4.8082,8.5769,7.4718,0.0
SVN_C19,0.0981,0.0006,0.0019,0.01,0.0005,0.0329,0.0336,0.0263,0.0842,0.0004,0.4085,0.0276,0.213,0.0602,0.0258,0.0563,0.0238,0.0659,0.0416,0.0747,0.0076,0.0338,0.1598,0.0203,0.123,0.198,0.1576,0.0022,0.021,0.0301,0.0031,0.0334,0.0118,0.0183,0.012,0.0303,0.0375,0.1544,0.034,0.0217,0.0341,0.049,0.0172,0.0256,0.0
