V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_A01_02,4898.6154,0.3887,1.1534,3.3342,0.1899,3191.2214,40.4811,5249.959,3726.5233,1.4095,83.6983,7.5053,16.8513,6.1532,35.5103,12.9728,7.4289,12.7539,13.9375,12.5336,2.2903,40.5485,101.0035,15.3825,152.9772,51.8654,14.939,14.8462,3.1463,56.7141,1.2631,215.9946,151.8882,7.7606,12.0898,13.9451,237.6567,59.1985,36.7537,66.8876,46.2305,131.7798,173.615,24.369,0.0
SWE_A03,0.5766,2.0774,0.0,0.0004,0.0,15.8251,0.0006,0.0004,0.0019,0.0002,3.1631,1.4714,0.0007,0.0005,0.0006,0.001,0.0021,0.0008,0.0017,0.0019,0.0003,0.0317,0.0012,0.0009,0.0256,4.6026,0.0026,3.4614,0.0013,0.0912,0.0003,55.2943,0.0036,0.0013,0.0015,0.0006,0.001,0.0073,0.0964,0.5411,0.5004,1.4956,2.0404,0.0008,0.0
SWE_B05_06,62.0669,0.002,10.1346,2.3913,0.1096,0.1048,0.0092,0.1579,7.2202,50.264,3.2018,0.0262,0.3599,42.5625,83.627,0.2419,0.0421,0.0226,0.0688,0.3258,0.0267,0.5818,1.4831,2.3436,19.6263,0.3644,1.2198,0.0305,0.0396,6.1648,0.3923,0.0341,0.0976,0.0282,0.0322,0.0344,4.3086,0.2684,0.4824,0.1187,0.0693,0.1262,0.284,0.0471,0.0
SWE_B07_08,1.4124,0.1278,4.7733,293.503,7.3235,1.1345,0.0659,2.2189,12.9503,1.5457,85.2603,0.1819,2.0984,30.2057,2325.9524,5.8136,0.5545,3.5496,2.4065,0.2968,0.3818,0.4907,95.5032,45.0599,226.0878,0.0635,45.4298,0.0394,0.0,315.2894,0.9642,0.0773,0.0,0.0,0.0971,0.0,66.2653,6.4466,11.4252,0.5658,0.0287,0.166,6.2117,1.0368,0.0
SWE_B09,0.145,0.0259,0.0734,2.2002,0.1752,0.0092,0.0004,0.3942,2.2427,0.1511,0.6882,0.0015,0.3151,2.5256,18.576,0.325,0.0021,0.0237,0.2296,0.0257,0.0027,0.0038,14.7898,0.4469,16.6372,0.0068,0.388,0.0042,0.0,4.443,0.0,0.0006,0.0,0.0,0.0124,0.0,0.5333,0.4308,0.138,0.1099,0.0047,0.0357,0.0498,0.0775,0.0
SWE_C10T12,524.6278,7.7247,0.0,0.0,0.0,1714.2608,8.5259,0.0,45.6089,1.1748,137.1328,15.496,1.6998,0.2713,0.0797,0.0575,0.1591,0.6251,0.1226,0.6911,0.0964,1.033,5.7303,1.4517,0.3868,178.3114,4.447,75.9756,6.1689,1.885,0.1438,1881.0299,5.6108,0.0,2.488,10.9097,1.5659,107.3087,21.354,105.1924,160.6803,547.2315,107.9947,2.5746,0.0
SWE_C13T15,4.6921,3.0145,0.4914,0.8826,0.0295,5.3515,51.5483,0.5062,13.8973,1.6761,1.676,0.5698,2.8417,6.1175,3.4671,7.9643,2.1219,1.9195,10.1407,33.6385,4.0941,22.7847,2.0004,1.3317,17.9852,15.013,3.2666,2.1516,0.5336,6.8799,0.9062,9.4136,6.004,3.9056,4.553,1.0052,0.9368,9.4253,2.7073,13.1816,4.0566,45.2867,7.8782,1.9594,0.0
SWE_C16,220.5237,11.271,2.5463,2.6061,0.1187,19.6665,1.8846,724.1047,553.517,3.908,17.585,1.5785,16.4046,36.3784,47.3779,78.6514,13.9856,38.9608,80.4407,22.4964,43.4305,469.6039,621.6484,8.3821,2884.2583,150.5017,46.6575,7.6988,2.2895,71.1837,3.9263,12.4481,26.1481,2.48,10.5556,4.3913,567.2859,62.8219,26.641,22.544,23.7664,15.4745,48.2366,69.9688,0.0
SWE_C17_18,62.8481,1.3335,1.4456,15.5185,0.5729,300.2409,9.9078,75.4959,2294.9127,7.7387,65.3835,87.616,53.4034,40.036,50.3187,51.0408,65.3991,60.2899,84.469,46.7558,12.4869,77.6842,65.6181,47.3604,87.0994,329.8137,76.3974,12.0821,8.5801,77.594,57.8991,33.4378,1793.3139,90.1083,300.3033,86.6483,173.2858,678.6427,155.3367,130.7194,198.8581,198.33,100.2992,74.9933,0.0
SWE_C19,1062.2153,14.797,7.8469,72.1753,2.5964,48.0888,6.7434,26.9166,113.1203,113.0013,553.005,11.6211,18.9055,130.9249,201.5221,45.6847,8.584,23.018,57.2228,48.7657,6.6683,28.4074,270.1524,123.2716,570.3723,403.8133,1119.1294,283.2346,403.6989,141.559,24.6503,13.5765,21.6217,27.4341,22.7438,14.2069,98.0791,69.2784,62.8347,76.766,16.4782,45.002,22.0153,25.3319,0.0
SWE_C20,256.8905,1.4092,3.9182,41.7684,1.7181,69.436,51.7226,43.234,409.838,32.2878,1025.5323,504.8655,482.3989,76.0276,89.6985,98.6464,104.6324,40.0766,67.0879,88.1251,15.63,119.7857,242.2053,43.3459,172.3815,61.7342,63.3218,8.6693,3.7344,44.2565,2.2428,24.0489,93.2929,11.6191,20.3314,8.1742,71.3176,92.5269,58.7878,31.1679,30.0114,173.1529,32.6785,63.7105,0.0
SWE_C21,16.5236,0.1766,0.5754,6.8361,0.2754,19.4268,7.807,4.6597,22.1157,5.2609,42.3615,70.4287,18.2311,5.1624,19.8922,11.3106,24.9524,8.3131,18.5429,12.9386,3.0611,10.0495,11.2163,10.7504,42.72,173.2573,27.0943,5.4003,24.1742,29.939,2.6655,10.4445,64.2689,13.9272,14.7511,7.302,7.5386,60.0885,16.8026,13.4906,8.3178,438.919,9.749,8.9969,0.0
SWE_C22,12.8533,0.4834,3.6159,3.2332,0.1534,143.83,9.8418,16.6743,62.9577,7.9551,78.4386,12.8603,108.9313,34.0898,15.8102,38.9173,64.7975,94.7262,158.9458,247.8099,35.3441,91.7973,6.2014,35.2774,322.5769,214.1157,47.2376,2.5824,1.9343,24.4458,0.7619,24.3903,27.1853,5.7455,24.1362,7.7184,53.3314,71.9955,23.406,57.7356,20.2855,86.716,11.6756,17.5521,0.0
SWE_C23,41.5778,0.1712,1.5304,25.0869,1.5197,87.4161,9.7802,64.1806,20.1822,10.2505,44.3885,11.4719,17.9162,338.6374,52.7323,65.0659,15.0453,47.0198,50.0352,115.365,15.1889,45.8516,33.6345,18.7109,1644.4091,63.6524,32.8329,2.4783,2.5639,92.8579,1.0494,25.289,12.5104,3.0561,7.6584,5.1088,286.3313,23.9176,17.5487,18.7091,14.0235,33.9136,8.4967,16.4957,0.0
SWE_C24,14.0048,0.0,1.569,17.7644,0.8615,0.0715,12.7582,16.7985,11.775,9.0043,9.3269,0.3423,73.6331,103.955,3249.1306,1712.1213,150.6152,667.4243,1034.0267,1194.103,118.9465,331.5111,19.0704,42.3484,809.1859,18.6285,2.7992,0.5948,1.1955,63.0846,1.0388,1.0707,10.8016,8.7609,11.567,0.1066,34.8327,78.2983,21.7057,8.7142,9.417,1.412,1.224,20.6812,0.0
SWE_C25,67.6952,1.5815,1.1068,39.3158,2.2124,144.7962,8.6471,66.2644,21.1535,16.0822,59.6821,12.1792,52.1979,74.0015,270.652,1382.2439,136.1186,337.8956,1452.901,675.7412,286.9768,384.0533,29.6998,112.431,1287.2081,103.7426,65.4769,17.6509,6.3439,104.5604,4.3074,15.8257,83.448,72.4365,64.6849,8.9331,208.2012,178.2853,53.63,217.5171,44.7678,40.7101,21.8091,44.9647,0.0
SWE_C26,29.1415,0.6206,0.6053,7.8832,0.545,28.2045,2.8969,7.6333,25.8481,11.3737,36.7597,24.3127,12.9361,8.9768,35.0643,42.7451,1637.2595,186.0555,217.6506,90.8322,43.9798,93.6333,40.7165,32.6923,283.3294,211.9567,54.7165,15.867,23.3865,59.9383,15.1742,19.5522,97.6081,102.4523,205.8385,29.6271,17.5258,273.9705,99.2861,80.631,37.4102,86.3689,25.0988,38.7797,0.0
SWE_C27,41.0833,0.4515,0.9448,9.2834,0.573,10.5601,2.0944,17.3871,11.9252,3.4242,4.8023,4.0129,6.5484,7.8664,19.0496,63.2837,227.5152,185.8968,155.564,77.3132,116.8674,103.1246,47.8275,9.8009,439.053,48.398,36.5062,13.3692,10.7635,33.6992,3.0013,14.98,19.8759,21.6499,33.1168,5.7046,49.1046,68.3368,23.6537,45.7406,14.6108,20.3635,11.0157,29.6946,0.0
SWE_C28,303.1149,0.9492,2.157,43.8316,2.2884,82.4171,8.4621,35.1605,73.7356,39.7716,25.7062,12.6412,28.7272,33.2074,97.8099,105.0462,137.9455,78.075,1014.7843,425.4931,78.0599,162.2541,112.4969,32.1539,422.5239,184.7365,88.3338,30.5654,22.8818,52.0471,4.8723,32.5531,58.0754,33.3376,48.4311,24.535,34.0109,143.8913,128.0029,111.9266,38.4661,69.374,24.0466,31.0764,0.0
SWE_C29,103.51,1.1104,3.7927,16.302,0.8196,131.7577,11.2078,20.0657,59.265,63.4246,49.6416,21.8945,28.6823,22.7947,117.5277,127.577,69.728,48.057,578.2024,3359.7449,85.0894,88.7958,38.6311,33.224,223.0903,649.8592,94.5511,13.2548,14.0031,37.6757,6.3656,61.0805,49.1561,29.123,70.4142,50.0623,95.2554,107.1053,86.4544,47.1743,27.3468,78.5391,31.229,30.9841,0.0
SWE_C30,2.4672,6.8884,0.0,1.3677,0.0756,0.6192,0.1484,2.4467,0.9198,0.5165,2.0978,0.5743,0.4891,2.6397,2.5663,34.9752,7.8547,0.49,26.2157,19.8179,403.3639,206.6481,12.7464,1.9608,3.8195,13.4799,182.6527,240.5828,68.6207,25.3772,11.6587,0.748,1.3225,0.0,6.4691,7.1638,2.2356,6.5323,53.648,367.5149,0.4801,203.8256,3.8893,1.2244,0.0
SWE_C31T33,382.0595,3.416,9.3598,71.2553,3.9141,55.5207,12.1444,66.2583,62.9832,14.6637,30.6626,24.8081,26.3166,93.7766,55.8971,101.7812,142.6115,51.3098,147.9713,120.8353,196.9869,319.4594,152.6005,50.8154,378.7641,217.7235,319.9662,166.5948,132.0333,75.1899,11.625,41.6077,51.4891,29.1805,48.6844,15.3238,34.4246,160.7501,107.2523,335.6851,53.7151,403.8751,53.0126,57.5467,0.0
SWE_D,384.9354,0.4084,5.2265,192.347,5.5022,338.0736,37.2396,197.3289,1085.4549,33.4051,447.324,53.4027,129.5328,137.2185,558.6011,285.039,87.0842,70.9944,191.2459,225.8884,48.2649,119.107,1880.9643,173.0049,240.1382,1094.357,243.6063,8.3124,20.1538,420.6357,14.6619,244.9261,131.0742,59.1631,61.0586,83.5778,1166.5,192.1275,168.7291,479.3933,258.7144,522.7733,271.5256,140.3844,0.0
SWE_E,59.9977,0.3056,15.3608,117.2427,6.3208,67.5371,5.4849,46.1893,213.3431,14.8097,29.5135,9.7793,28.333,24.0485,1568.828,67.2608,24.7701,11.8208,46.4852,37.8119,5.2014,22.1093,105.0604,699.1072,117.4956,176.0987,31.9469,27.4947,19.8269,62.8556,11.2473,24.3514,47.7663,17.5126,23.5344,31.9713,2445.9571,56.6782,52.1529,126.4449,56.8105,144.2633,66.3472,41.3482,0.0
SWE_F,498.8305,0.974,3.4534,87.7316,4.7154,89.2956,7.8665,31.4109,58.3748,11.671,41.7661,38.7781,21.3432,38.8298,58.1099,80.7406,53.0841,35.7869,123.8141,129.9667,68.6462,67.6367,669.8687,93.284,883.9077,838.1154,204.5153,26.3049,19.6084,730.9541,18.3701,153.1887,96.6534,72.8658,62.2009,314.8693,10364.7364,346.1513,124.8706,870.3961,208.3949,193.6272,187.9049,234.4307,0.0
SWE_G,1567.1696,20.4405,12.7173,169.972,8.6184,2430.0591,195.6319,239.455,853.1152,608.8118,759.2463,289.0898,314.586,299.9874,1094.4196,696.2654,846.5391,407.3502,1197.9946,1672.3602,237.0372,623.2392,490.2468,308.0302,1920.7521,2431.0895,1167.7094,235.3882,197.1969,887.5686,94.0016,1485.8282,623.6462,307.3881,557.5913,189.3881,577.5724,1239.0777,477.8241,538.1494,492.0789,1300.6065,408.1834,233.6622,0.0
SWE_H49,185.4917,4.5458,9.0307,94.261,4.2028,387.1686,23.3584,205.2428,375.224,264.7897,158.3643,41.1301,67.1775,184.9892,306.4161,147.9577,91.1568,74.8494,216.9336,322.0723,39.6019,111.6185,83.9399,109.6507,789.5142,935.6503,1887.9633,53.497,39.7921,5916.8288,40.6201,142.0764,174.9221,26.5552,100.8373,42.76,98.826,222.2184,268.1937,196.8393,456.7986,143.231,96.8952,129.5149,0.0
SWE_H50,98.4365,0.1962,2.8054,26.3516,1.511,63.1094,3.7013,52.9595,68.6313,92.0104,31.7548,13.1633,9.6131,49.2655,67.5737,55.9693,31.7315,29.637,58.7259,68.9337,16.0947,32.6881,23.9135,9.2746,47.3828,126.2906,16.6555,438.398,13.0832,1232.4248,6.2367,16.8893,91.3891,16.1871,55.589,13.07,14.8461,70.0517,46.0365,8.8348,13.0274,45.7644,11.6243,4.1691,0.0
