V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_A01_02,4832.847,7.7805,28.5954,2.1664,0.9422,2876.7698,30.1141,115.3546,100.224,1.0837,9.4418,10.783,0.306,2.8958,4.6429,0.3399,0.1334,0.5178,1.1524,0.0524,1.9365,11.7293,1.7574,69.8903,8.4217,458.8422,3.4035,1.2591,0.581,1.6661,0.0477,65.3538,0.0535,0.035,0.0624,0.2846,7.2092,0.4584,5.3825,71.9456,276.1066,108.46,4.1002,2.112,0.0
UKR_A03,0.6743,1.6814,0.0039,0.0004,0.0002,5.7367,0.0683,0.1989,0.2028,0.0021,0.0183,0.021,0.0006,0.0056,0.009,0.0007,0.0003,0.001,0.0022,0.0001,0.0036,0.0227,0.0634,0.8216,0.0096,4.8518,0.0097,0.0062,0.0041,0.0042,0.0002,6.2704,0.0045,0.0205,0.0365,0.0,4.2091,0.2715,3.0828,0.013,3.2499,1.4926,0.0207,0.0105,0.0
UKR_B05_06,83.3379,0.1961,386.9814,14.5606,7.9113,508.5857,10.4347,19.1419,41.2849,1512.969,360.2014,2.208,3.3802,154.2658,404.5725,4.8561,0.8955,5.3231,16.6756,0.8294,11.1365,32.4312,2136.2533,133.4717,16.3615,34.801,298.8076,34.3401,39.9956,76.7826,9.6499,5.7798,0.5338,2.3258,0.8776,0.2894,60.9834,3.5613,11.0436,39.0576,117.7369,36.7761,2.8012,3.1461,0.0
UKR_B07_08,35.0508,0.0775,53.9236,44.3119,10.7863,493.3256,10.6621,23.0605,36.5963,4.4138,478.8042,1.613,0.6982,279.2819,1095.0983,1.159,1.7362,6.5894,6.582,0.0937,4.4328,32.0299,277.6197,49.012,325.4311,14.6344,101.4353,10.7258,25.1968,36.4278,3.0223,2.3669,0.4112,0.3301,0.0887,0.1225,24.5489,1.5746,4.4851,0.0,0.314,15.4148,1.1712,1.3174,0.0
UKR_B09,2.6677,0.006,15.0568,8.1422,6.1758,16.194,0.3984,0.6874,1.2613,1.4151,18.9018,0.4299,0.2539,31.113,220.7863,3.8543,0.0684,0.4563,1.7826,0.0388,0.6981,1.1742,18.3059,5.0668,63.3886,1.1114,8.4661,0.5249,1.1156,2.843,0.0,0.1804,0.0051,0.0,0.0439,0.0092,2.1384,0.2623,0.3179,0.0,0.1972,1.1792,0.085,0.1066,0.0
UKR_C10T12,549.4984,4.0586,97.5141,53.5751,12.2929,2350.9768,1.6521,3.6882,6.3659,1.3341,5.9376,3.4303,0.1353,0.4134,2.7223,0.2871,0.5709,0.4059,1.5664,0.0463,1.2578,0.4521,51.6843,104.9812,8.1585,441.9391,233.2095,92.6873,97.1709,102.5052,0.5508,97.1404,4.5513,10.6101,34.7641,69.2717,151.8909,55.6137,108.5215,42.8563,259.2264,181.1885,22.4389,17.4423,0.0
UKR_C13T15,8.6561,0.0622,2.6668,2.2441,0.6887,1.9159,26.9648,0.2198,0.5503,0.222,0.2925,0.1955,0.7044,0.2731,0.7429,0.0853,0.0267,0.1267,0.3462,0.0593,0.4026,4.3756,2.2917,1.8426,40.1209,6.9993,12.7001,2.6103,2.697,5.6811,0.6016,1.5546,0.0942,0.3897,0.0848,1.0975,3.3583,1.3097,1.9999,4.0858,6.4176,2.8688,0.2166,0.4355,0.0
UKR_C16,99.5245,0.6978,26.2598,14.4225,4.9128,90.4681,1.6783,260.2045,33.3638,0.2192,5.424,2.0769,4.317,12.956,2.5798,2.2936,0.5008,6.2656,3.7052,0.3728,0.9493,36.9239,11.904,18.3096,125.9987,80.5182,47.2082,8.7619,5.2062,38.2505,0.9851,17.5161,16.8729,2.0557,15.5485,12.5743,7.9538,15.4798,2.6092,13.471,11.7723,32.8597,2.2492,5.2693,0.0
UKR_C17_18,108.9516,0.7675,18.7629,16.8295,6.305,211.7248,3.8447,17.5373,176.0765,0.4013,9.2097,11.6405,6.4328,12.0509,2.284,1.1526,0.969,9.9028,3.0859,0.3372,0.7333,13.8617,12.6338,19.8588,7.6037,88.3089,81.1735,8.2124,13.5405,51.4017,4.7946,19.1898,101.4206,3.6661,39.5292,13.9241,2.7744,29.7628,3.1103,34.0358,31.4702,36.1397,4.318,3.7627,0.0
UKR_C19,306.4017,2.4234,64.793,81.9746,26.0138,296.6655,7.7251,17.3993,18.9238,87.0578,254.4804,8.7524,10.7884,63.4484,2186.0141,15.0593,3.1518,26.2938,24.9056,5.5192,41.9319,24.5577,55.0323,62.3635,433.1124,246.1135,349.2282,43.8776,94.8015,35.6569,2.8336,55.3551,3.0693,51.5371,10.6725,38.7314,54.0375,44.1882,84.804,8.746,4.3432,100.5363,7.8961,15.1789,0.0
