V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_A01_02,8558.924,874.4491,44.0012,136.2373,1.218,18956.7686,427.7205,1945.1161,7.4391,4.9785,144.5061,133.9259,193.9369,7.7344,7.4689,9.018,0.4795,0.6068,1.7032,2.7212,2.9108,5.2743,12.2997,37.622,1366.3399,1603.3706,40.8003,14.3607,7.2926,31.7736,9.5936,952.4248,38.1727,28.7459,20.8419,25.9113,150.0377,110.5612,134.8608,137.4548,174.091,293.9216,434.2399,405.5854,0
AUS_A03,86.1967,105.7235,0.0,0.0,0.0,1568.6305,22.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.0,0.0,0.0,1283.5917,0.0,0.0,0.0,0.0,0.0,504.7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2962,0.0,0.0,29.7626,0.0,0
AUS_B05_06,96.0101,7.2086,1347.6456,1550.4403,69.727,231.5061,5.2719,30.3679,60.93,3697.3728,704.9184,33.8642,83.795,240.88,1217.1477,78.6165,2.5022,2.947,8.6097,10.4977,14.969,5.3907,1400.7863,22.8288,1724.5413,1052.9544,153.3151,12.7075,13.4076,73.9787,122.9515,187.0749,14.3889,25.2314,12.6185,13.6138,215.5874,82.8501,48.3108,148.9735,42.4754,92.7033,15.4415,28.1692,0
AUS_B07_08,132.571,14.3003,402.9722,476.2893,12.0316,197.4788,9.9291,28.1314,38.6779,15.3373,99.2419,38.259,28.4578,1234.1431,11441.8935,70.854,4.9301,6.6278,17.731,17.6667,15.0724,22.742,222.1176,55.9462,2603.7054,520.8049,231.3437,37.0445,28.5991,160.5265,61.845,49.5838,28.7883,46.6809,53.4331,45.2115,151.9995,117.2801,104.5416,112.3327,41.9045,72.6296,57.0327,41.4645,0
AUS_B09,28.0091,1.9791,3013.9872,3354.1765,29.8712,24.3728,1.2198,3.0763,10.1831,3.0083,8.311,5.3997,4.7004,9.4507,11.8119,15.9265,1.0415,0.9922,2.5291,3.928,3.6575,1.2956,18.613,10.4488,339.0004,104.2373,23.0883,9.2641,23.2992,60.3465,5.5002,5.9297,2.5042,21.608,11.8813,14.8432,21.1577,26.16,19.3818,23.0493,12.3129,16.7468,5.589,5.4382,0
AUS_C10T12,960.838,131.6359,67.7233,95.2485,21.5354,8026.3136,200.2341,13.099,22.0519,25.9408,128.4627,95.3822,37.3497,23.6062,34.5692,23.0629,8.8326,7.1883,20.2314,16.1036,16.9524,12.0743,96.062,63.5403,341.0514,1340.698,28.0923,9.6245,24.6198,10.634,19.158,7163.2633,13.525,14.2854,12.6209,40.5391,29.9604,148.2364,108.1983,237.5004,373.7244,1559.4396,727.6743,185.601,0
AUS_C13T15,13.5529,13.898,25.5266,18.8912,0.8392,55.6188,139.9231,3.8082,14.257,0.7956,13.869,13.4404,24.1291,33.4007,15.3696,29.0849,3.2231,2.4882,7.9813,23.3322,24.5361,23.4749,8.4409,13.707,219.674,117.1404,22.3787,4.282,3.3023,1.1246,7.9013,15.8662,1.833,8.9358,0.0,0.7087,2.6139,22.6201,23.6516,51.608,87.8883,231.8028,44.262,77.9221,0
AUS_C16,28.9677,5.367,10.6875,26.986,1.8439,20.5642,4.8503,1087.6923,211.4617,7.1441,3.6198,1.9918,17.3789,25.8026,21.837,60.8634,3.1845,4.5116,11.675,25.8309,31.7235,169.1183,15.0428,21.4894,6920.3341,94.4198,15.388,1.6115,1.9613,10.5848,3.2981,12.2128,2.7273,1.9183,1.1182,2.5668,4.5107,3.5804,3.8514,15.2746,104.8965,15.1602,32.2364,17.5478,0
AUS_C17_18,102.0315,14.3171,103.7872,107.7744,18.6522,754.9343,22.6036,39.9248,1074.489,23.2965,105.6658,108.3103,82.2517,136.0063,50.5631,55.3739,17.3542,17.2322,35.4163,28.4617,26.0611,18.247,72.8643,39.7501,780.947,1064.3476,79.2394,19.1399,22.2142,31.9888,49.3657,133.3045,726.8798,62.2291,90.3345,250.7485,50.7248,146.0081,124.4358,248.7538,224.9042,191.3896,119.8783,128.5445,0
AUS_C19,593.5461,172.2568,363.0806,976.9909,28.7361,97.3692,6.2202,12.3414,12.4761,273.4878,118.0488,28.9918,63.7814,43.2698,383.214,47.2221,3.4052,3.4716,8.6279,18.1679,18.552,7.561,84.2141,108.9952,1468.66,324.0929,1007.4685,267.4637,991.6004,75.6021,130.7627,49.5499,20.8634,233.2417,2.0956,157.2599,18.0483,132.047,48.353,212.2814,29.4272,98.7058,38.8897,44.2251,0
AUS_C20,861.5822,46.0008,163.7279,245.485,12.7515,99.7173,7.9833,44.0847,120.6712,128.1355,697.6358,219.42,763.492,181.3273,54.2815,55.9055,14.5034,26.4565,32.9068,33.6317,29.8803,11.9326,25.7056,129.4969,1318.335,349.5088,26.7483,1.3506,2.5062,4.2748,3.2704,53.9824,12.0305,0.5225,0.0,0.6839,24.3221,78.0519,128.0259,46.3547,84.3664,243.0109,88.1197,228.9389,0
AUS_C21,327.9246,1.7604,7.0709,12.839,0.7499,3.902,0.0,0.8695,4.4468,0.6348,16.5277,211.1464,0.8015,4.4157,3.7287,3.5792,0.1211,0.0896,0.2758,0.2435,0.3072,0.2158,0.4732,0.0,18.0563,26.5793,0.439,1.9061,0.0,0.0,0.0,1.0068,1.1247,0.0,0.0,0.0,1.1975,4.9904,5.2894,1.2778,25.3606,132.6633,295.4356,8.2506,0
AUS_C22,76.8572,23.1493,123.2007,150.6779,19.1897,313.5923,21.3087,84.921,221.5404,27.5078,167.7727,122.4684,209.8578,60.8028,30.4136,65.4663,24.8678,40.4643,87.0958,196.0257,123.5008,66.2299,29.5332,63.6823,2723.5855,604.1994,156.1195,5.2195,14.634,8.7593,50.9524,45.4877,18.5404,6.2815,4.3639,5.2779,99.5358,47.0415,38.3543,141.3732,61.8628,126.052,30.9879,146.7329,0
AUS_C23,27.5183,4.866,39.5105,66.5055,11.9444,274.4293,1.918,87.1273,10.407,7.1832,77.5358,69.9614,34.7647,1036.729,87.1506,254.8129,6.9865,10.2247,20.996,78.2856,62.3774,23.9527,33.395,89.4971,10156.9176,212.5772,7.3802,0.8884,1.5001,2.9955,2.4603,73.4692,2.3636,3.3151,3.4043,4.4255,18.1138,24.7161,11.5024,19.016,51.3494,142.7068,15.3585,118.656,0
AUS_C24,0.0652,0.3008,163.4017,95.9815,52.2298,15.6545,4.1907,50.5526,30.469,11.941,8.166,2.4871,50.7813,57.1034,3018.6624,3050.1038,78.7475,260.3263,493.5897,453.2595,305.1374,98.9083,13.7133,19.8205,2469.032,351.7073,5.6299,0.7268,0.0,1.6353,1.44,13.0057,0.2859,0.0,0.0,0.0,9.9659,8.9755,5.7621,21.3304,13.4659,23.1366,6.0353,28.6652,0
AUS_C25,87.5051,47.2454,677.296,749.6215,88.9627,214.607,11.3975,194.4478,65.1793,18.8965,67.3137,39.023,102.9729,503.662,432.7982,1145.6959,52.9379,101.006,397.4049,284.2183,241.5195,80.2577,72.9307,201.112,6838.6111,587.1675,201.8741,18.3442,8.3227,21.9649,61.3758,89.7775,24.0413,22.3743,25.2786,25.9671,101.4508,71.9728,69.3732,209.781,215.995,166.3107,166.3076,155.4108,0
