V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_A01_02,659.4112,0.0015,0,1.4078,0.0142,4536.67,19.3461,155.1426,55.3356,6.0681,94.9213,7.3675,9.4225,5.1363,10.6972,10.0486,0.4221,0.6496,1.5642,1.1937,0.2297,6.9248,23.4414,7.8307,27.2248,177.5306,6.8421,0.0494,0.2124,3.399,0.0746,207.9987,2.8762,1.4864,5.088,2.6274,3.4301,15.1304,83.2774,13.2291,4.1968,63.068,2.4266,13.8925,0.0
BEL_A03,0.0024,1.0705,0,0.0008,0.0,7.0722,0.0021,0.0024,0.0045,0.0321,0.0895,0.0098,0.0056,0.0197,0.0175,0.0786,0.0031,0.0063,0.0065,0.014,0.0007,0.0069,0.0052,0.0023,0.0331,3.2215,0.3559,0.0377,0.069,0.6495,0.0002,23.7078,0.1108,0.0216,0.0225,0.0464,0.007,0.2342,3.0644,0.0102,0.0387,0.2687,0.0254,0.1009,0.0
BEL_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL_B07_08,1.1985,0.023,0,7.4095,0.1274,1.2873,0.1813,0.2105,1.8803,5.0765,12.3164,0.2405,0.0999,94.7055,21.6238,0.0365,0.0235,0.1667,0.2574,0.7354,0.0082,86.8775,0.05,3.3491,187.3399,112.4844,6.4941,0.0174,0.0549,3.6621,0.0007,25.369,0.0441,0.0493,0.1366,0.0426,1.375,0.2262,0.6258,0.653,0.0208,0.0801,0.3058,0.3846,0.0
BEL_B09,0.0154,0.0004,0,0.0725,0.02,0.0262,0.0005,0.0013,0.0258,5.5113,0.1882,0.0063,0.0069,0.1612,0.6577,0.0336,0.0003,0.0012,0.0085,0.0011,0.0006,0.0036,0.3206,0.0246,1.162,0.0148,0.0306,0.0011,0.0024,0.0521,0.0002,0.0021,0.0002,0.0,0.0002,0.0003,0.0271,0.0443,0.0287,0.0273,0.0014,0.0098,0.0015,0.0033,0.0
BEL_C10T12,1546.3153,0.0499,0,0.1123,0.0143,6555.4329,4.2744,1.94,32.0325,92.3885,482.5527,9.3262,5.0862,1.2217,2.332,20.5039,0.5922,1.0913,3.9235,3.3434,0.117,3.9297,13.6261,47.8356,35.8516,471.1008,9.9042,0.1397,1.2902,63.0722,0.418,2778.6918,18.79,6.8814,10.0404,9.6388,0.683,61.8537,42.0546,213.3945,45.2194,528.1717,109.162,35.8989,0.0
BEL_C13T15,4.051,4.2439,0,0.8134,0.0216,41.0704,604.8682,2.9272,61.2072,10.7773,43.4728,4.4642,38.7001,7.4298,7.4899,8.8626,2.486,2.5342,7.7131,107.047,1.4812,113.3387,1.4903,6.7662,137.6567,88.0489,2.3862,0.1079,0.518,9.0398,0.0294,21.2946,4.1601,2.69,4.815,3.2845,9.4283,28.9828,36.1489,10.478,3.8898,61.6942,7.5097,33.377,0.0
BEL_C16,8.4818,0.0966,0,1.4377,0.0218,63.5176,2.5047,448.2051,38.5346,7.4584,38.3824,2.5624,15.1363,27.7955,17.1827,23.2327,2.3143,7.3272,35.2207,11.036,1.6998,119.4753,76.2821,10.9143,824.127,65.6704,11.9729,0.2186,0.3566,9.3029,0.1974,8.7271,1.5675,0.6998,2.0177,2.7826,160.9294,24.6599,59.8872,7.4307,7.01,23.4753,17.8412,20.0159,0.0
BEL_C17_18,8.6106,0.1196,0,0.5752,0.0279,437.9446,27.0897,40.3102,937.0336,16.7635,97.7757,48.3889,77.0475,38.3685,37.6967,17.7499,7.3598,15.4875,12.5368,17.7765,1.2964,35.8105,5.1411,15.2349,54.4887,870.2094,14.4863,0.2066,7.2621,128.5319,3.2752,41.6009,507.9727,13.0926,14.5539,89.0372,17.6209,346.9351,201.0932,241.2749,61.8817,121.9395,28.1765,82.1902,0.0
BEL_C19,205.8917,9.2804,0,11.7786,0.7769,205.1352,66.1714,32.3572,85.5057,5100.3283,1860.6085,66.9301,182.4635,91.7505,110.9584,61.7623,17.1221,24.8574,37.1846,36.5868,4.1102,60.4346,38.7064,78.3065,388.5065,669.0868,453.972,108.922,436.8832,203.3181,4.2668,69.7428,23.3875,17.8356,63.6124,116.618,52.9044,343.305,260.1945,208.7315,33.5945,199.7862,21.6156,47.2826,0.0
