V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_A01_02,795.5856,0.088,0.4854,1.7634,0.0755,449.1861,10.1377,84.2238,14.2245,6.5964,40.3026,3.1839,3.6342,3.7094,9.8119,5.3929,1.0793,2.5335,4.0216,2.7525,0.6377,4.1783,8.5254,2.3027,34.0168,69.2679,12.3495,0.1438,1.5198,6.132,0.6917,6.5227,1.1415,3.8077,6.9858,2.0481,5.6841,9.32,14.2939,4.2907,0.9414,6.1376,3.1411,3.2156,0.0
BGR_A03,0.4985,1.8188,0.0013,0.0036,0.0002,10.1534,0.0235,0.0186,0.0065,0.0114,0.0555,0.0123,0.0065,0.0236,0.0192,0.2043,0.0204,0.0052,0.0073,0.0046,0.0011,0.0271,0.0154,0.0046,0.2744,3.9494,0.0858,0.002,0.003,2.5123,0.0008,0.3886,0.003,0.0083,0.0281,0.0063,0.0111,0.0385,0.0956,0.3252,0.0169,0.0161,0.0419,0.0509,0.0
BGR_B05_06,5.5028,0.0224,0.5877,0.6414,0.0303,3.1434,0.4428,1.6926,0.2584,14.6027,2.4234,0.5474,0.2698,4.9066,6.1193,0.3088,0.0729,0.2934,0.5758,0.128,0.051,0.8605,68.7984,0.3302,256.2992,20.8571,49.0356,0.1454,0.1571,0.6321,0.0715,0.5678,0.0949,0.0887,4.1532,0.8772,0.6429,0.6971,5.6176,0.275,0.4846,0.5349,0.2548,8.3129,0.0
BGR_B07_08,1.4861,0.0786,0.0226,71.2877,0.1367,21.7427,0.3012,0.1287,0.9401,0.9295,34.9914,7.1559,0.3423,1.9858,82.9923,11.2157,0.5897,0.7214,14.5502,1.2242,0.3583,1.9823,2.7284,3.4341,210.8369,8.8863,2.3301,0.0786,0.3625,3.0893,0.6745,7.3823,0.9461,0.572,0.1692,0.2145,5.0874,3.9761,4.9918,0.4616,0.2149,5.9,2.8783,0.3291,0.0
BGR_B09,0.0702,0.0019,0.4431,2.371,0.2025,0.0373,0.0042,0.0017,0.0318,2.8421,0.0716,0.0017,0.0118,0.3803,1.4337,0.0526,0.0003,0.0038,0.0114,0.0006,0.0009,0.0043,0.8567,0.0203,1.8672,0.0142,0.0772,0.0007,0.0035,0.032,0.0002,0.0019,0.0001,0.0,0.0002,0.0001,0.0385,0.03,0.0104,0.0233,0.0007,0.005,0.0032,0.0029,0.0
BGR_C10T12,31.3796,0.0553,0.024,0.4683,0.0146,1156.3036,0.4202,0.0933,0.097,0.2477,1.0219,0.4755,0.2303,0.2815,0.2856,0.333,0.1061,0.1083,0.9911,0.1221,0.06,0.536,0.4316,0.0511,3.5994,25.2002,1.4347,0.186,0.3633,0.5713,0.1348,164.3624,0.1163,0.1831,0.5997,0.1416,1.6076,5.1711,3.4515,4.0495,1.5543,8.2584,5.4704,0.6729,0.0
BGR_C13T15,4.1793,0.0141,0.0875,0.525,0.0459,2.9249,219.0379,0.6521,1.5692,1.0685,1.3203,4.8937,3.7658,0.9794,2.6197,2.0752,0.2406,0.6663,0.8675,97.6726,0.1966,4.7925,4.9392,1.1886,10.4609,36.4324,3.4246,0.0217,0.504,2.9264,0.089,1.5189,0.691,0.7356,0.2963,0.6164,5.6744,3.0996,5.8548,10.4112,0.1631,1.5309,2.5974,7.5082,0.0
BGR_C16,7.8828,0.0148,0.0775,0.7257,0.0273,5.372,1.7908,82.5602,1.206,1.7316,9.6136,0.2815,1.924,0.7964,2.5296,2.8262,0.2561,2.7907,1.543,0.6223,0.2031,25.7967,1.5731,0.7907,24.1223,17.3775,2.8643,0.0163,0.2233,3.7228,0.3394,0.6804,0.9982,0.1837,0.421,0.368,6.2363,1.3975,1.1512,0.8034,0.1417,0.3545,0.3783,1.4815,0.0
BGR_C17_18,3.4386,0.0206,0.1692,0.4463,0.0345,32.3369,2.6464,1.4267,186.1091,1.9571,12.5492,3.3243,2.852,5.8654,2.7729,3.115,2.2372,1.4221,4.5761,0.6942,1.8107,10.0414,1.8878,0.9056,6.2479,79.2104,3.1824,0.0192,0.5305,2.1356,2.6589,3.604,22.3048,1.1627,7.195,40.8338,1.6538,56.2019,8.8163,60.3126,4.5964,8.4807,6.3633,61.3511,0.0
BGR_C19,112.9818,0.4934,0.4852,26.8967,0.4962,25.5192,3.2512,4.4096,1.8181,27.9832,8.8333,1.6551,2.5626,14.9691,42.0657,8.3811,0.4244,1.6282,2.4097,0.6948,0.3336,5.2934,20.0751,12.4336,154.3289,121.3306,505.5451,4.4186,54.0977,14.9711,8.3984,5.5385,0.8682,3.1769,2.027,3.7112,6.688,5.6689,14.8378,1.8103,2.2422,3.9219,1.9747,2.3888,0.0
