V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_A01_02,5561.5623,62.5567,8.9051,11.7936,1.1555,49550.7386,950.1719,668.7111,1107.5473,3371.0836,3987.7853,8.3956,438.5479,40.0578,210.6662,4.2117,0.8172,0.4981,1.6554,19.4818,1.4324,39.8265,15.2004,21.9938,382.1518,2420.7362,1.48,0.1215,0.1918,3.8199,0.6015,1266.3115,270.0892,13.1766,2.8554,6.7354,8.6469,8.6513,31.6941,271.5263,157.9203,143.3297,26.8855,372.5569,0.0
BRA_A03,48.1085,107.4602,0.0092,0.3673,0.002,741.3405,0.0,2.7177,11.8529,0.0,0.0,0.0,0.0,0.0,0.1804,0.0,0.0,0.0,0.0,0.0,0.0,5.3134,0.1873,0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0211,3.5598,0.0,0.0,0.0,0.0,0.0,0.0,25.5866,35.6633,22.7612,0.4737,5.3885,0.0
BRA_B05_06,13.9322,0.2142,2643.8137,57.5219,37.9351,328.2892,38.9774,11.7084,213.2855,23946.5389,564.9545,10.9756,26.3018,166.2075,690.2317,116.8935,1.1826,7.5136,6.0697,75.9298,0.8774,0.8441,3441.8144,216.6665,254.6136,43.66,61.9289,1.3009,9.4879,7.2537,1.3042,7.1463,1.2886,19.7473,4.9799,10.5192,10.1666,22.7321,14.2549,54.0902,10.7046,14.274,2.7428,3.5582,0.0
BRA_B07_08,190.925,1.7544,198.3911,895.683,39.3881,195.5203,21.0501,8.5987,7.5429,84.9195,1237.3785,10.905,14.3596,1973.6909,4963.6778,31.8628,1.1464,29.5696,153.5882,25.9765,9.8424,38.7837,5.0939,107.7806,2525.3986,34.3256,3.1939,0.084,0.3805,1.6302,0.4748,11.0098,1.5476,0.5207,0.2874,0.8029,153.2414,3.5616,2.5262,19.7903,7.3848,3.1767,0.8137,17.2054,0.0
BRA_B09,13.3467,0.3718,907.5602,336.6709,110.3645,9.7812,0.5444,0.1909,8.5586,897.0887,27.4402,0.3545,1.7496,48.4686,105.386,4.7917,0.108,0.388,1.8339,0.33,0.2141,0.8192,120.425,1.2657,203.1106,3.0157,9.9464,0.1734,0.4259,3.1594,0.0168,0.5686,0.0219,0.0,0.0244,0.0296,18.7517,3.9146,9.9622,9.0489,0.3535,1.5766,0.128,0.84,0.0
BRA_C10T12,4773.5383,97.3971,148.3866,129.1669,5.8868,25776.8561,857.8505,33.015,342.249,1042.4801,2679.5017,106.288,491.4507,109.7384,85.4347,98.6576,17.2389,87.972,57.1672,67.3019,17.2131,104.5973,129.3961,39.5984,282.2626,1110.7696,38.0988,0.7056,10.7886,11.526,2.4337,13621.2275,365.2706,12.2899,3.9683,80.3397,36.7786,58.2434,81.4099,741.8357,888.1944,851.4127,25.3192,259.7796,0.0
BRA_C13T15,186.125,1.001,58.0783,81.7373,2.6289,146.9033,8502.1293,57.6325,63.4829,31.7239,83.4232,30.5129,146.3152,14.2904,8.4217,39.4876,19.5648,10.0018,24.4733,365.444,34.2394,346.1336,62.6368,23.4727,198.2518,157.1805,63.2165,5.2118,43.0723,16.9516,6.3441,171.4424,33.3556,30.3019,2.304,149.5167,16.7674,63.4379,88.2865,113.4765,149.2606,44.3869,29.2018,372.3189,0.0
BRA_C16,207.9167,1.901,3.1348,2.5917,1.8808,143.3447,14.8056,875.2314,123.5653,1.8054,17.6021,13.326,22.3582,11.3706,10.946,68.4699,55.248,2.0193,87.904,64.4632,57.5042,1491.4843,110.2585,1.8557,1411.92,612.0988,2.9776,0.2302,0.3879,19.7869,3.8851,6.1936,30.0799,5.1929,2.0907,6.2812,120.4182,8.3697,32.6087,16.5097,11.8239,7.7052,4.1992,47.8961,0.0
BRA_C17_18,155.8299,2.0796,18.2223,35.2408,2.9376,2270.845,439.2768,185.896,3779.1225,45.331,463.2274,234.8425,517.2717,476.0813,22.5454,363.4911,301.6918,115.5506,74.1686,278.7808,18.8303,262.1228,27.5228,17.1335,133.2849,3188.3855,67.8106,13.1925,16.7105,59.715,26.3329,335.0754,882.2911,186.6688,251.4685,721.419,113.7753,1659.1795,813.5607,400.1534,365.7728,239.3505,98.6459,217.5988,0.0
BRA_C19,4845.0834,52.8084,864.7052,1504.819,97.8018,2612.9293,345.501,89.2889,620.5483,31371.6444,6147.1885,149.9781,939.6727,1089.7956,1342.4809,194.3893,58.5872,300.1529,140.6755,423.2944,47.4873,228.3221,1334.7602,234.3316,2190.9779,3885.4331,14674.0288,302.0483,2292.2618,296.2285,81.1433,491.5995,34.2154,33.556,42.6201,168.8475,53.1982,334.2504,393.5398,481.4269,147.5855,151.4951,36.4512,176.759,0.0
BRA_C20,14736.4956,29.4236,1284.1694,1125.933,42.0866,1939.3928,1842.9796,297.8711,2004.0115,4272.6733,18656.4627,980.3558,4764.44,1076.4312,780.4001,775.4674,136.617,825.8026,166.6357,616.4273,141.5432,859.978,111.2859,283.5494,2174.1037,1808.3544,473.7864,7.6936,29.7732,55.7495,11.5585,112.3192,100.5629,51.2281,19.0227,69.6916,295.5827,312.7417,722.8304,232.9996,226.728,548.3778,67.408,359.983,0.0
BRA_C21,724.3231,1.5091,70.0723,5.5757,0.5443,129.0203,48.7944,2.5772,17.8343,32.8655,147.4549,984.1153,24.0946,13.404,44.585,12.6901,9.4704,4.4898,35.2877,11.063,1.6174,8.6915,47.9881,5.1293,22.0657,99.2694,36.2091,1.8179,4.8247,11.3572,1.4105,11.4503,1.9242,30.8041,1.3136,9.3409,26.9095,21.9567,6.6128,88.8943,123.3596,2084.9653,3.8349,113.2356,0.0
BRA_C22,235.6845,3.8379,45.5329,200.5641,15.1443,3579.2124,384.8211,50.4247,423.7336,40.5075,869.3876,113.0016,3655.6266,507.1955,148.702,210.6945,303.3117,535.7134,572.3736,3137.3914,250.8785,866.0916,70.8327,85.8048,3038.5403,1829.8607,1463.3786,106.8305,223.5073,28.6059,6.6693,119.1215,210.3028,8.9555,8.0186,25.4975,33.1047,261.7343,201.9306,42.1794,64.0078,206.1725,31.7804,36.3519,0.0
BRA_C23,1456.4884,7.653,31.9618,41.8937,14.5766,1060.3438,60.7845,93.0228,67.9772,47.1817,348.4335,20.629,132.9065,2450.5671,115.5362,57.9772,4.4948,97.0443,105.1343,654.3247,41.9645,198.6505,461.8789,178.0127,14847.8373,139.4354,21.2264,0.8902,2.9005,6.2009,1.206,212.5811,3.2895,4.1687,2.8801,9.7934,724.4669,15.5536,28.9917,82.9747,49.4206,62.4394,6.6365,58.3715,0.0
BRA_C24,190.215,1.9302,486.5291,126.3006,33.2113,391.9371,19.5884,37.0577,163.8909,73.4841,186.6768,11.0741,193.9702,205.8629,5232.0372,4880.8923,62.1899,2464.3648,2420.8328,4462.3962,465.987,1277.845,97.4275,42.2518,4563.6227,658.4058,24.4309,3.0989,2.2648,19.9532,3.6782,55.9168,12.6722,27.4755,14.8653,36.7425,28.7041,55.8803,89.6111,60.2389,42.3569,23.8131,25.9886,22.9267,0.0
