V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_A01_02,8989.4944,119.8247,21.0986,17.1874,3.4138,17727.9749,7.8554,6472.5984,902.1757,9.7799,483.6638,3.1815,197.3411,6.6586,8.502,7.3858,1.6226,2.1858,6.4729,13.4376,2.8506,23.9011,43.8158,2.2786,1387.2832,111.3951,52.873,1.0299,1.469,15.7938,5.8883,1137.8853,12.191,5.2954,5.8299,24.1118,14.4146,44.3697,14.454,181.6923,28.882,50.1585,18.7696,37.4555,0.0
CAN_A03,75.5206,50.4517,0.0499,0.0186,0.012,1359.3924,0.0065,0.0153,0.0328,0.026,0.2925,6.2466,0.1224,0.0121,0.0207,0.0146,0.0063,0.0054,0.0133,0.0514,0.0086,0.0191,0.0194,0.0092,0.8391,0.2145,0.1601,0.0014,0.0044,0.0558,0.0207,156.4958,0.0186,0.0225,0.0262,0.0998,0.0302,0.079,0.0469,1.452,0.0577,0.0501,0.0186,0.0371,0.0
CAN_B05_06,188.3712,2.8168,2800.3352,258.638,298.5327,232.5494,10.245,75.1657,177.2217,14661.233,1076.3761,19.791,52.4056,207.1251,685.5553,73.2942,14.1642,10.6408,85.4184,53.1532,37.274,50.6255,1161.4041,19.2497,1368.0218,904.394,111.5828,10.0731,15.1837,61.9996,83.3262,73.4102,72.7555,37.3989,32.0064,451.7292,608.6206,236.4673,166.055,334.141,280.2537,271.7107,45.5688,119.8416,0.0
CAN_B07_08,250.4716,0.4532,346.8083,160.9815,46.9061,31.6221,1.6129,6.102,84.3523,316.7227,254.8469,4.1593,8.1641,1063.9147,9086.1912,20.5153,7.172,3.6066,40.468,18.4827,13.0207,1056.6028,192.6293,3.9113,1530.1797,179.8125,12.0855,2.7775,2.2442,40.7287,2.1637,18.8104,20.4639,16.8422,12.8478,114.3025,39.4222,75.0772,42.0307,295.7263,38.2083,144.1899,7.6625,15.6799,0.0
CAN_B09,6.0042,0.1222,6315.9955,1016.7682,522.221,8.854,0.4909,1.8151,2.7141,1.5399,3.4178,1.231,2.9971,2.1178,2.3502,2.6602,1.6271,0.7003,4.3488,5.3029,4.2435,2.6861,9.1857,1.1751,7579.2803,74.9862,4.3582,0.0828,1.0535,2.1027,0.6243,4.194,4.2389,6.9689,7.3602,53.8081,17.8581,27.6186,17.2011,24.2774,6.347,13.4319,2.5773,6.2146,0.0
CAN_C10T12,2578.9487,198.9296,126.2065,44.3275,24.6442,9548.7507,26.9859,24.1569,79.2873,18.5163,133.0226,50.9944,34.3242,28.8178,32.1571,39.1629,19.4903,11.1301,45.6087,36.363,39.8482,79.3957,67.1688,25.7788,342.6759,851.1341,42.2448,4.4994,19.176,32.5132,8.514,8668.9331,84.8965,50.667,63.5031,329.8178,164.898,267.4074,170.4961,355.9908,250.3459,759.1972,231.96,122.1074,0.0
CAN_C13T15,51.7752,9.714,8.1405,3.8428,2.4773,24.9959,223.2883,5.9455,36.5595,2.5879,21.715,2.3155,54.5695,11.7996,5.5479,7.1889,2.0404,2.3751,7.4381,86.0451,3.5001,134.3995,3.3,6.6732,367.712,39.6686,5.2689,0.7577,1.0119,5.3352,0.7346,55.3182,9.0925,3.9773,4.2802,13.9345,7.5356,28.9348,10.9184,74.6299,42.0312,116.2467,16.5585,37.2875,0.0
CAN_C16,104.5584,3.3946,32.3934,14.7376,7.627,94.1514,17.3451,2229.4883,1734.509,19.6979,20.8103,6.6182,56.4131,34.2101,26.1631,41.3124,4.6353,4.7004,39.8823,31.636,20.3542,734.1014,28.2184,15.5844,7453.5436,163.9946,41.8714,2.4296,14.4862,7.8477,6.9449,20.3658,10.2369,10.7169,12.8861,65.4001,32.7328,43.4225,36.6005,97.5093,17.1113,70.0519,13.8393,15.7299,0.0
CAN_C17_18,140.7944,16.2289,93.9853,29.175,15.6619,1074.6526,31.6537,77.1913,2929.2986,40.8973,148.8158,57.1978,141.0999,67.7714,29.2912,74.7173,38.9964,45.7165,76.5263,40.3418,36.9866,164.8796,38.1474,35.3841,480.4568,1575.7292,52.7005,6.5521,15.9508,74.5509,51.0192,175.272,712.4506,286.1127,156.4001,626.9356,145.0036,628.7122,257.5181,375.9395,503.2549,590.1847,255.6468,364.7823,0.0
CAN_C19,1496.5497,81.0355,942.9329,566.9279,417.6504,180.0822,15.3349,138.4787,117.447,1776.4177,572.5857,34.0547,104.5807,109.9999,273.7823,66.3124,11.7769,12.3328,47.1613,37.2576,29.7874,251.2919,294.4025,215.1958,3156.9234,1666.6503,3759.5823,280.2648,1696.6473,174.9157,252.5794,186.2694,71.3934,120.703,59.7638,460.3917,498.906,316.6173,880.1553,913.7985,607.3909,718.543,79.2678,370.8601,0.0
CAN_C20,2041.0933,13.8692,342.9594,338.9205,69.671,251.7336,171.3167,194.6332,562.488,382.2167,4062.9926,709.1616,2106.3136,183.9701,619.9719,169.8216,33.7551,81.8816,122.3935,264.4079,49.9153,187.2295,140.4276,33.412,1273.4471,456.8648,175.278,10.7779,55.0829,76.5519,27.157,112.1243,110.4655,56.4593,76.1747,239.4763,133.6811,304.9871,371.9232,350.7463,180.4417,545.549,44.1299,308.7936,0.0
CAN_C21,34.02,2.7042,16.1509,8.1455,3.5205,39.276,3.2776,6.2416,12.3657,6.659,48.3,389.5366,24.1521,6.7449,12.1517,9.3418,2.9671,2.1281,8.4601,11.7319,5.5164,14.2079,7.541,9.7801,87.6436,42.4407,6.6649,0.5608,1.6613,3.47,1.1431,15.8395,8.1109,5.7538,5.1476,25.3487,13.1101,22.3512,13.6304,1484.8851,21.0217,634.1076,9.0498,16.5863,0.0
CAN_C22,593.0692,36.6659,193.0148,121.0129,43.3432,712.0099,82.2362,188.6412,412.2448,106.3773,245.1438,59.6477,1467.0231,145.0396,170.7214,244.1919,77.6364,45.4666,169.0072,1699.1511,52.4452,372.7315,91.392,18.5143,3770.8569,696.1955,281.0057,8.4913,22.0457,230.0095,60.8103,148.0141,29.5922,16.5129,35.7615,126.3386,65.7135,146.6306,102.6406,242.4177,75.5492,178.5883,114.8836,105.4711,0.0
CAN_C23,36.4991,2.889,79.0727,92.5616,138.3141,179.815,11.1989,60.5427,77.1991,43.2173,90.0214,12.0381,123.2694,2285.0176,284.8569,145.629,7.128,41.3148,68.7465,701.8986,104.327,61.4143,13.1765,10.9438,7768.5662,110.9616,9.6011,0.5654,1.8002,6.6302,2.0292,64.6202,15.2424,14.22,17.703,79.6059,45.0034,65.438,51.0363,86.2124,25.3515,86.7496,11.8713,20.8949,0.0
CAN_C24,269.4192,4.1364,782.3324,175.2948,390.5689,26.4603,16.1919,42.8922,86.1013,26.7959,358.7223,51.7379,247.5039,77.4291,8148.897,3204.3677,52.8142,642.9164,1636.8284,1419.323,532.2304,716.7005,17.7587,3.7831,1405.1539,124.4733,19.0678,3.8306,3.622,30.6374,2.7186,14.9005,18.9502,10.8195,13.8328,62.0665,32.2073,61.7684,65.3594,56.1255,38.8539,119.2501,12.6179,45.0362,0.0
CAN_C25,165.5889,15.3826,446.2776,157.9155,84.1237,363.3056,16.0928,109.3916,74.8951,47.6497,57.5251,14.3648,143.3604,103.7182,568.6936,1530.601,87.3308,127.2307,647.8693,2781.9745,343.8766,284.8024,54.7399,102.9389,7859.6062,249.9806,142.9103,4.4587,9.9335,70.0435,16.713,165.6614,88.4343,63.5321,130.3471,259.1467,297.0795,416.7659,507.4977,427.3466,128.9348,442.275,125.537,137.4704,0.0
