V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_A01_02,118.3672,2.3089,3.3728,0.0,0.8259,650.2572,106.039,150.8048,0.0055,0.0,1.6221,0.4999,0.0093,0.0341,0.4141,0.0343,0.0,0.0005,0.0013,0.0319,0.017,13.0751,0.0,0.3606,135.1729,42.6127,0.7036,0.5402,0.2988,0.6819,0.1207,166.1336,1.9861,1.7695,1.9205,0.0092,26.5946,0.1735,0.2636,0.8352,2.8135,15.2033,1.1719,10.0364,0.0
CMR_A03,4.8389,13.1555,0.0123,0.0,0.003,9.9251,0.4808,0.1178,0.0,0.0,0.0058,0.0018,0.0,0.0,0.0021,0.0002,0.0,0.0,0.0,0.0,0.0,0.0118,0.0,0.0013,0.1086,67.8139,0.0024,0.0019,0.001,0.0024,0.0004,16.3685,0.0797,0.0639,0.0834,0.0,0.0208,0.0005,0.0003,0.0468,0.0106,0.0643,0.0242,0.0678,0.0
CMR_B05_06,69.7994,0.0,107.3468,4.9268,3.1328,1.7351,13.8714,0.0909,1.3917,181.3469,4.619,0.0002,0.0,27.3828,10.2506,0.0004,0.0157,0.0011,0.0038,0.0,0.0,0.0258,102.2485,1.4883,0.4917,15.2495,2.4088,0.5974,0.6126,0.9999,0.7707,0.2864,0.3344,0.355,0.3954,0.0252,0.0272,0.3947,0.0,0.0,0.0823,0.0052,0.0167,0.0009,0.0
CMR_B07_08,0.915,0.3394,10.1795,5.5776,2.3848,35.3221,0.0452,0.048,0.0,0.0,0.0058,0.0004,0.0007,1.8906,0.7966,0.0256,0.467,0.0,0.0,0.0,0.0,0.0202,0.0,0.0026,87.6318,3.2507,0.2364,0.029,0.0888,0.1703,0.0432,10.4712,0.0022,0.0033,0.0021,0.0,0.0018,4.2902,0.0201,0.0037,2.8268,0.7272,0.2862,0.1261,0.0
CMR_B09,0.3686,0.0,42.1291,0.0484,6.777,1.381,0.0342,0.2946,0.0646,2.6633,0.0194,0.0004,0.0,0.484,0.0138,0.0007,0.0295,0.0017,0.0054,0.0,0.0,0.0101,8.4401,0.0577,3.8033,34.8487,6.0674,0.7379,0.6511,2.7462,3.1043,0.4738,0.0452,0.0,0.1148,0.0661,0.0777,0.5609,0.0,0.0,0.179,0.0114,0.0125,0.0014,0.0
CMR_C10T12,80.3319,2.4788,0.0607,0.0281,0.0145,415.316,4.0311,0.239,0.0736,0.0001,18.5259,4.3619,0.0831,0.0001,0.0945,0.0075,0.0,0.0011,0.0031,0.0004,0.0001,2.3873,0.0,0.2825,11.0253,22.0873,0.0917,0.0666,0.1004,0.1083,0.0197,451.4323,5.1049,3.557,2.6682,0.4564,0.0294,0.3594,0.0394,34.6066,1.2686,5.9063,1.3807,1.3968,0.0
CMR_C13T15,0.3125,2.4905,11.2397,0.035,1.9269,17.1509,98.2906,0.7229,0.0194,0.0015,0.3751,0.1212,0.3919,0.0275,0.0092,0.0013,0.0467,0.0024,0.0045,0.0014,0.0002,11.2502,0.0019,0.0385,17.098,5.2426,0.457,0.1569,0.2269,0.3151,0.112,56.4064,0.1953,0.1394,0.1746,0.0409,0.0005,1.4473,0.2305,11.9051,0.4649,23.9402,21.9732,23.8753,0.0
CMR_C16,15.8779,0.0868,0.1342,0.0163,0.0332,20.0457,11.7791,88.6793,0.0716,0.0127,7.1993,0.8093,0.0033,0.1609,0.0511,0.0048,0.0,0.0647,0.1213,6.4123,3.4207,35.5919,0.0066,0.0954,181.0979,0.5084,0.4987,0.1803,0.1483,0.8052,0.081,9.8717,0.8716,0.6057,0.5716,0.0089,3.6533,8.5161,38.7008,0.6567,4.5271,10.6931,12.9997,2.3841,0.0
CMR_C17_18,0.5867,0.0103,0.0142,1.4787,0.0029,1.7493,1.3699,0.8714,3.8784,0.2259,0.0253,0.009,0.0228,2.1221,0.0006,0.0001,0.0003,0.0378,0.0514,0.0001,0.0001,0.4933,0.0193,0.0064,3.6307,1.9947,0.9221,0.1869,0.4061,1.193,0.5024,0.0537,0.6054,0.1866,0.1726,0.7327,0.0084,4.1769,0.5606,27.5378,12.7536,0.2935,0.0287,2.8511,0.0
CMR_C19,57.2832,19.8211,6.2046,0.5721,1.0406,26.9483,1.3871,2.234,3.2954,0.1135,0.0953,0.0067,0.1427,0.0223,3.966,0.23,0.0001,0.0908,0.1834,0.0005,0.0002,3.848,0.2505,7.7641,35.4004,10.269,79.6243,19.4835,49.8981,13.4644,5.1923,2.9139,0.7467,1.3775,0.9327,3.4762,0.9392,49.402,2.3952,33.7994,31.1189,4.7512,0.1555,1.8149,0.0
CMR_C20,16.9459,0.0591,0.7402,0.0028,0.1551,5.0149,5.5305,1.6119,2.2867,0.1438,15.2584,1.4732,1.8326,0.0312,0.1203,0.0112,0.0026,0.1695,0.1684,0.0004,0.0002,1.972,0.014,1.1905,5.2104,4.8064,6.0482,1.7404,2.4986,6.2555,0.8291,0.4876,0.595,0.1666,0.2293,0.2251,0.037,1.3015,0.2848,10.5433,1.1274,0.6902,0.1809,3.8652,0.0
CMR_C21,1.5069,0.0222,0.0334,0.0002,0.006,0.9363,0.2666,0.1222,0.1136,0.0126,1.7103,6.7072,0.0638,0.0015,0.009,0.0008,0.0002,0.0081,0.0176,0.0,0.0,0.1219,0.0014,0.083,0.2515,0.4673,0.7313,0.4847,0.4855,0.9224,0.3263,0.0595,0.0323,0.0306,0.0367,0.0448,0.0033,0.3309,0.0358,5.5032,0.3415,1.25,0.0256,0.5106,0.0
CMR_C22,0.6973,0.4455,2.7717,0.0113,0.755,7.0793,4.2871,0.017,0.2949,0.0359,0.5727,0.1423,3.3691,0.0103,0.0032,0.0007,0.0004,0.0188,0.0304,0.26,0.0839,0.3311,0.0024,0.2518,5.1494,7.3684,7.1491,0.6173,0.991,2.6784,0.7247,0.8465,0.0476,0.0423,0.039,0.2773,0.1189,0.3195,0.2504,0.9666,0.1066,0.9379,0.0018,0.6384,0.0
CMR_C23,4.71,0.0264,16.7873,0.3011,3.9803,3.336,0.4138,0.6843,0.1054,0.0415,0.0052,0.002,0.606,29.5764,0.8121,0.0797,0.0013,0.0006,0.0007,0.0249,0.0089,0.3169,0.7482,2.125,150.1758,3.0907,1.5199,0.445,0.7821,1.6368,0.2466,0.3212,0.0227,0.0249,0.019,0.6924,0.4375,1.1506,0.0532,1.3749,2.4486,0.9228,0.0192,2.4254,0.0
CMR_C24,0.7558,0.0127,10.5785,1.0088,2.3699,5.6521,1.7322,0.2759,0.162,0.0143,0.536,0.0446,0.0903,0.0603,21.2474,1.865,0.4451,0.9408,1.2418,0.0483,0.0169,0.8531,0.2034,1.151,7.4764,3.4404,0.4693,0.1954,0.1974,0.3874,0.0227,0.245,0.305,0.2209,0.1417,0.1404,0.1561,0.5006,0.0485,0.0057,0.0011,0.0411,0.3064,0.3066,0.0
CMR_C25,0.4716,0.0057,2.8363,0.411,0.6286,2.6835,0.6892,0.1168,0.028,0.0046,0.0951,0.016,0.0173,0.0114,0.409,0.1424,0.0569,0.0719,0.2177,0.0148,0.0064,0.1047,0.0499,0.2421,2.3233,0.8939,0.1804,0.0518,0.0537,0.2014,0.0218,0.1085,0.0744,0.1015,0.0662,0.0561,0.0827,0.1681,0.0408,0.0037,0.0006,0.0289,0.2462,0.1294,0.0
CMR_C26,0.0016,0.0003,0.0297,0.0002,0.0065,0.012,0.0242,0.0,0.0039,0.0002,0.0017,0.0004,0.0002,0.0012,0.0001,0.0,0.0584,0.0001,0.0001,0.0,0.0,0.0751,0.0153,0.0002,0.0031,0.0201,0.0228,0.0064,0.0147,0.0269,0.0081,0.0015,0.071,0.2859,0.1932,0.0218,0.0174,0.0381,0.0037,0.1415,0.0049,0.0032,0.2036,0.0821,0.0
CMR_C27,0.0083,0.0034,0.0174,0.1915,0.0031,0.0602,0.0112,0.0002,0.1098,0.0347,0.0015,0.0003,0.0003,0.0529,0.007,0.0009,0.0132,0.0034,0.0021,0.0,0.0,0.0006,0.1476,0.0608,3.9614,0.0472,0.0022,0.0004,0.0005,0.0017,0.0002,0.0058,0.0003,0.0009,0.0004,0.0622,0.0005,0.0872,0.1199,0.2532,0.0064,0.0723,0.0238,0.7566,0.0
CMR_C28,0.0283,0.0048,0.0547,0.8041,0.0106,0.1364,0.0282,0.0005,0.2265,0.0677,0.0026,0.0006,0.0006,0.0752,0.0086,0.0012,0.0048,0.0006,0.006,0.0,0.0,0.0006,0.0912,0.0579,2.2355,0.0424,0.0018,0.0007,0.001,0.0019,0.0003,0.0021,0.0002,0.0003,0.0002,0.0474,0.0003,0.0638,0.1007,0.2361,0.0032,0.065,0.0123,0.5128,0.0
CMR_C29,0.0021,0.0003,0.0007,0.0021,0.0001,0.0003,0.0,0.0023,0.0002,0.0,0.0027,0.0004,0.0008,0.0355,0.0031,0.0006,0.0,0.0,0.0002,0.1688,0.0,0.0,0.0,0.0145,0.0008,0.0025,0.9516,0.0353,0.0869,0.266,0.0451,0.0002,0.0001,0.0002,0.0002,0.0001,0.0,0.0109,0.0001,0.0062,0.0028,0.0005,0.0,0.0002,0.0
CMR_C30,0.0006,0.0004,0.0007,0.0018,0.0001,0.0001,0.0,0.0013,0.0001,0.0,0.0012,0.0002,0.0005,0.0103,0.0006,0.0001,0.0,0.0,0.0,0.0,0.1006,0.0,0.0,0.0062,0.0004,0.0,0.1645,0.1298,0.3543,0.0765,0.0171,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0063,0.0,0.0046,0.0018,0.0002,0.0,0.0002,0.0
CMR_C31T33,0.6408,0.19,1.5273,0.2255,0.3518,1.793,0.4321,1.8323,0.0143,0.2598,0.2342,0.0426,0.0095,0.0341,0.0068,0.0009,0.0039,0.1333,0.3041,0.1644,0.0862,3.5353,0.1201,0.0264,4.5493,0.3594,1.4625,0.3489,0.8037,1.355,0.2044,0.1239,0.0917,0.2045,0.0734,0.9598,0.0398,0.3315,1.0195,1.0679,0.1324,0.2948,0.3647,0.1017,0.0
CMR_D,5.0468,0.0365,4.2362,0.6428,0.5979,73.7384,13.2051,0.4801,2.4583,0.6193,1.0595,0.1336,0.5995,0.006,0.5396,0.0284,0.0003,0.0312,0.0638,0.0036,0.0016,1.9729,0.4823,0.1938,1.8378,54.3452,3.9283,0.3496,0.7961,4.0555,0.6327,4.1069,4.2567,14.0912,5.3341,16.088,19.1075,20.0649,0.9776,23.6519,6.1338,1.2529,1.383,3.7133,0.0
CMR_E,2.7483,0.0246,0.0074,0.0105,0.001,2.7686,0.5344,0.0177,0.0018,0.0003,0.0206,0.0038,0.0053,0.0038,0.0021,0.0001,0.0,0.0008,0.0016,0.0041,0.0024,0.5918,0.0227,0.1563,0.0378,1.7975,0.2358,0.0691,0.1059,0.303,0.0368,2.2006,0.0063,0.0088,0.0073,0.0263,0.2469,0.303,0.165,25.1677,7.1274,0.0451,0.2243,0.4731,0.0
