V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_A01_02,1101.7564,1.39,3.1592,8.0519,1.0587,3018.5747,100.8972,834.8676,119.1349,7.5593,22.152,13.2996,15.5519,2.2195,9.1702,3.1674,6.1561,1.9546,4.8828,21.7394,3.1567,17.8063,109.6241,9.2098,21.362,246.6387,10.0511,0.1357,0.5424,3.2897,0.1547,237.3367,2.912,1.2343,0.5659,3.0473,12.4828,23.1139,37.8886,1.924,1.6703,16.1609,27.8797,5.2993,0.0
CZE_A03,1.0491,2.3054,0.007,0.0063,0.0005,6.8426,0.1274,0.016,0.0231,0.0136,0.051,0.0202,0.0497,0.0169,0.0169,0.025,0.0462,0.1728,0.0472,0.0922,0.0071,0.0411,0.1346,0.0774,0.0628,0.4419,0.1101,0.0005,0.0042,0.0659,0.0023,0.2867,0.0416,0.0073,0.042,0.0283,0.0902,0.1372,0.129,0.0547,0.0862,0.1251,0.2019,0.7085,0.0
CZE_B05_06,8.2929,0.0669,7.9749,2.2495,2.0691,14.3279,3.3857,1.8664,7.681,80.2815,30.6072,1.2162,5.9591,16.4696,203.2682,6.212,6.7155,2.8745,8.8534,14.1421,0.7288,2.7191,669.5244,2.101,6.5976,25.6773,9.9392,0.0455,0.519,8.3746,0.4141,2.8202,1.1377,0.8894,0.6212,1.6447,15.0355,7.3608,4.7532,9.7247,7.6127,6.8936,1.9914,1.6873,0.0
CZE_B07_08,6.5507,0.1375,0.8139,27.6517,0.1012,5.0069,0.717,0.5022,1.1608,0.6804,20.879,0.3105,1.6043,96.4544,130.8692,3.7021,2.755,4.8371,4.8775,3.9746,1.0043,2.4788,6.4953,15.3774,191.8167,8.4154,5.0686,0.0546,0.0484,5.5204,0.1173,0.5459,0.1837,0.0916,0.0915,0.3092,4.6479,5.4616,4.2588,1.7376,0.4846,1.2138,0.6923,0.7235,0.0
CZE_B09,34.5787,0.2173,11.3854,0.0852,19.3241,0.3185,0.0344,0.1474,0.1417,2.9067,2.9129,0.2165,1.1188,0.8447,16.8119,0.5769,0.0656,0.1515,0.1923,1.3506,0.0402,0.208,22.9095,0.024,1.5336,0.4931,4.7423,0.0027,0.0242,1.0771,0.0159,0.092,0.0078,0.0066,0.0062,0.0221,0.296,33.4747,2.5927,0.1528,0.1621,0.4636,0.0441,0.0779,0.0
CZE_C10T12,729.4542,2.3387,1.9489,1.5243,0.1694,1194.3352,12.9511,6.3371,9.285,3.6712,52.5014,6.9682,61.1661,11.1581,12.1099,22.0222,23.0823,14.5983,21.2085,52.1312,2.7398,12.7651,20.9641,8.0352,18.2009,174.7807,11.5622,0.3596,3.1398,7.0826,0.4598,432.5315,5.3458,2.3247,5.8303,8.4713,33.6893,29.6443,33.512,27.6928,34.568,58.9461,10.6025,11.1457,0.0
CZE_C13T15,20.6583,0.1097,4.0296,0.8984,0.1186,10.1501,281.4523,1.7916,8.8296,0.9707,13.4161,29.1394,69.7831,4.1213,2.9457,15.6786,9.1849,13.323,24.2741,328.777,5.3341,42.9281,14.6187,6.9153,16.4957,64.9339,8.9256,0.0807,0.1687,2.1254,0.809,7.9293,8.3116,0.5333,1.453,1.8045,15.4087,12.8927,24.5513,7.2862,2.6573,38.8358,10.4456,7.1186,0.0
CZE_C16,50.029,0.0592,5.0918,3.4131,0.0996,14.1301,1.6591,513.0848,115.6352,1.2926,8.535,0.7045,29.2227,33.9199,118.4723,30.2665,15.9943,7.9727,21.841,248.9116,4.417,252.4555,32.4342,11.9254,132.5737,53.4407,6.2211,0.0423,0.4318,9.3545,1.1896,14.1943,6.7567,1.2937,3.6443,2.363,300.6898,33.4384,13.2518,2.056,6.1058,9.1379,3.364,9.9323,0.0
CZE_C17_18,8.3118,0.0584,0.73,1.2794,0.0904,96.5503,13.2888,22.3541,778.2539,0.6934,33.5289,17.4104,37.5158,25.6092,13.3403,18.5635,26.736,23.8327,24.5811,61.2603,1.2542,35.5249,19.2363,6.1336,20.1922,108.9271,6.683,0.4598,0.676,12.1258,1.8263,25.0291,289.9361,1.7907,6.4493,85.8022,44.8169,414.5304,84.5471,23.9196,42.1211,25.6126,17.2397,30.2294,0.0
CZE_C19,164.2552,0.2312,8.8616,8.839,2.9951,58.0752,15.0897,23.2587,5.7124,24.1781,157.9341,1.4392,47.5638,30.3713,78.2136,34.2435,7.4599,14.1621,31.5227,100.3935,6.6621,26.7976,65.7786,51.4078,212.126,287.8166,511.4641,2.983,83.441,91.3021,4.2107,17.9023,1.7681,6.1966,6.7035,13.887,71.0218,32.7352,48.9889,25.8129,3.0107,9.7776,5.0557,5.1221,0.0
