V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_A01_02,2771.3953,0.5566,19.1112,37.1947,0.2727,22170.5895,84.4963,2869.9622,166.0124,23.1534,96.4039,20.4891,219.7862,26.396,37.7398,58.4652,17.4817,19.1658,57.4225,148.3908,21.6291,217.8664,274.4208,43.6186,334.8755,589.5179,61.258,23.0148,3.6483,51.6225,9.8154,370.6336,13.1191,19.1598,13.2403,40.1855,712.9936,72.7879,555.5771,435.7519,53.8519,316.7651,28.1947,119.8914,0.0
DEU_A03,0.0,14.025,0.0,0.0,0.0001,144.2073,0.0,0.0,0.4433,0.0,0.6513,0.1319,0.0,0.0,0.0,0.0,0.0,0.4157,0.5125,0.4983,0.0,2.1862,0.0,0.0,0.4417,2.9058,0.0,0.7045,0.0,0.0,0.0,50.4488,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.6076,0.0,14.5363,1.1679,0.0054,0.0
DEU_B05_06,12.6309,0.0715,63.39,15.5783,0.5565,90.2267,9.0805,4.9286,44.6934,836.3356,117.9322,8.0933,17.5214,60.8151,271.9797,24.631,6.9192,10.1681,53.8705,28.5235,5.1548,11.6859,1615.2521,13.3818,18.934,88.2906,19.3061,8.4678,7.104,11.0868,4.0847,18.7498,4.332,5.1854,2.8871,12.3858,6.4772,17.5102,14.6518,34.8987,9.3847,49.2126,4.7792,8.1065,0.0
DEU_B07_08,56.0849,1.1547,1.0815,160.5482,2.9976,49.6068,4.3727,15.1461,16.8139,15.4252,82.7107,14.3376,11.4735,786.642,193.6995,14.6895,13.0447,14.7872,42.6413,44.534,5.8758,34.6037,70.0031,9.2275,1238.5443,32.9131,6.1028,0.7637,0.9218,3.6057,0.9594,12.7622,1.9452,2.8963,0.4506,0.7861,3.0359,8.3965,11.9184,148.0767,1.489,32.1208,2.8186,4.096,0.0
DEU_B09,0.2322,0.0032,4.4925,2.8991,0.9694,0.3958,0.0092,0.0285,0.6454,20.7902,2.1003,0.0705,0.208,3.8761,7.8215,0.9299,0.0171,0.0856,0.5746,0.0827,0.0307,0.0997,10.1541,0.2568,14.871,0.2283,0.518,0.0416,0.0562,0.8497,0.0058,0.0306,0.0032,0.0,0.0036,0.0033,0.7616,0.8014,0.496,0.5442,0.0241,0.1884,0.043,0.0732,0.0
DEU_C10T12,3613.6643,0.1228,7.5205,14.2758,0.3235,24476.7229,51.1814,14.5937,40.9961,51.8376,1353.1769,553.6222,44.3371,22.8527,46.8094,30.3454,27.3621,27.12,63.0596,59.5743,10.1936,57.8522,29.3833,5.3033,209.5601,127.7849,7.8876,396.5437,121.9966,5.1862,2.8384,11832.2762,30.1935,4.62,4.5555,10.2904,2.8618,37.9586,24.7404,2907.3895,616.7729,6884.5164,101.8644,224.9967,0.0
DEU_C13T15,45.6556,12.1337,1.1793,1.776,0.2875,55.7102,1311.2959,9.5539,24.6821,14.3236,34.8838,39.568,481.49,11.2898,13.1802,69.1021,51.587,62.2888,145.1198,677.6101,37.714,385.95,16.277,8.5818,238.6967,103.5251,9.3308,4.5631,3.1651,10.6686,23.9098,109.552,12.6557,4.8781,40.2762,24.9329,5.3995,29.799,102.4773,52.8377,27.88,116.182,43.2839,48.4498,0.0
DEU_C16,68.5652,0.6458,20.5954,34.9876,0.3955,241.2836,35.9417,5079.633,296.4523,18.6825,268.8373,51.6666,89.3266,108.5917,83.8409,301.0576,123.754,105.7517,403.7496,452.3284,447.5478,2090.1781,163.9376,64.8515,4614.2692,259.4571,16.905,2.7597,2.6057,55.6023,5.6872,71.1386,11.8601,38.1505,7.1993,23.7397,103.2992,145.9336,287.2745,163.5721,158.2591,73.4646,50.6503,826.8792,0.0
DEU_C17_18,59.7055,3.1165,8.6039,78.5439,0.5325,2402.296,327.6036,122.5575,10258.3136,50.0791,1335.1145,895.2741,450.7605,252.0937,105.2111,375.4565,511.573,571.1349,594.1662,703.2516,62.5219,585.8472,120.6336,98.4856,549.9619,4640.3482,111.386,12.7926,18.4871,98.3328,327.0393,118.1993,3861.922,404.2033,167.9393,891.689,93.8199,2227.1837,1320.3817,751.5548,288.4263,687.3951,134.6643,226.4337,0.0
DEU_C19,1196.1239,6.6597,23.4076,145.6395,11.249,316.3094,78.9219,82.2543,132.9799,2941.4791,2921.1919,217.9173,293.5063,496.3974,714.068,151.7866,100.3244,190.4279,257.7315,445.2954,48.8569,144.9529,989.029,328.0114,1865.2034,2468.9394,1827.5363,1517.591,3245.8827,2166.0466,482.9327,162.1146,130.1993,79.1011,128.0805,101.2665,75.5882,598.8845,488.7894,756.4357,137.1459,296.1187,130.7701,291.4613,0.0
DEU_C20,1507.2668,1.3007,22.1926,55.2966,6.9362,1050.4902,1064.4676,717.8908,1464.0715,845.1714,15600.4774,2642.3279,7495.9865,849.2247,1061.2581,868.8093,569.6274,493.0784,1431.6017,2469.0871,191.9028,617.7045,329.2275,288.072,2594.5593,1197.7732,174.2024,72.67,111.6493,213.8157,55.9813,372.3689,155.7889,112.8757,344.4901,389.3373,221.9897,654.6208,1100.3534,569.7228,176.8318,1156.3344,159.3445,586.3959,0.0
DEU_C21,128.103,0.3109,2.4282,7.1615,0.6509,312.2337,52.0851,31.7431,80.9266,31.966,380.2685,2112.1836,181.6808,55.8408,48.3815,78.9541,78.894,90.1969,149.8123,233.1927,36.5329,108.356,124.5335,95.3413,440.6249,609.233,77.9804,20.853,27.0549,110.3067,21.3349,189.2842,72.2854,87.9067,83.2185,274.697,196.3154,446.0881,362.6027,192.8093,52.4386,1936.9848,58.9024,318.3949,0.0
DEU_C22,212.2476,1.4311,12.097,10.5201,3.2453,1856.482,358.5532,144.8968,839.7895,120.4281,1062.1027,679.379,5397.8272,266.8475,132.0681,1061.0046,712.3475,1401.5851,4352.3007,10877.7295,313.23,1467.6426,251.8724,313.7063,8635.8537,2719.3776,267.2408,13.7493,27.6441,214.1929,42.8142,136.0175,52.9226,85.186,74.1029,114.8823,132.4286,606.8868,578.6675,370.3169,60.9634,602.0253,49.7177,109.6224,0.0
