V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_A01_02,4963.4611,8.1949,909.1867,61.8909,55.0763,9120.1328,619.4065,48.2384,36.7637,6.6069,128.2512,108.01,93.7522,34.6338,47.0531,26.4092,6.7173,50.2653,5.0502,13.1182,1.1328,30.6746,0.0797,2.1924,405.9304,6.9761,12.9284,2.8985,4.2553,61.9743,8.5234,243.2983,10.5742,2.1077,0.3753,168.6691,25.1752,3.1476,29.6949,92.3651,5.8555,80.9287,1.3203,10.992,0
EGY_A03,0.0,35.4456,0.0,0.0,0.0,128.1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0001,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,325.2244,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.8472,0.1918,1.9249,0.0008,0.0097,0
EGY_B05_06,574.5454,60.6294,297.3856,29.3298,16.0862,852.8303,20.2299,15.6427,20.7306,17996.2846,110.0225,7.3141,4.8947,436.727,312.8592,15.5929,0.4425,6.2015,1.8432,4.4932,0.5333,7.4939,7686.8976,96.8147,87.0376,933.6714,1156.4842,272.1067,549.3537,167.3581,3.3383,590.7639,8.0516,25.9234,2.9909,45.0693,6.3447,67.509,59.5535,43.4923,36.1601,219.9684,38.9445,148.2465,0
EGY_B07_08,17.9778,0.0093,6.9461,24.859,4.4709,1.1962,10.1307,4.4308,5.5945,4.0177,688.1345,44.6867,8.8847,181.2991,652.2932,9.1042,1.1995,13.6837,1.155,5.1928,0.0926,15.3007,0.004,0.1407,201.6362,1.8416,0.3149,0.001,0.0002,0.0297,0.0049,7.9356,0.0005,0.0012,0.0002,0.2494,3.1986,0.547,0.5222,1.3794,1.0372,7.3417,0.044,1.0745,0
EGY_B09,817.0875,6.8031,401.453,40.5615,26.8695,24.6371,1.5195,0.0204,0.0265,0.0052,0.0395,0.0713,0.0251,0.0338,0.0889,0.3454,0.0129,0.2753,0.0239,0.3573,0.011,0.057,0.0011,0.0001,4.9115,0.0211,0.1542,0.0577,0.0004,7.1909,6.7126,0.6329,0.0199,0.0003,0.0001,82.4686,0.0106,0.0868,0.0349,0.0245,0.0672,0.1019,0.0013,0.0581,0
EGY_C10T12,1663.6227,30.7006,21.252,0.4482,0.1655,1129.4917,4.065,1.9356,2.004,0.4353,5.2867,3.6549,3.2777,2.3632,212.0555,86.608,0.3774,2.4746,11.9909,0.6758,0.0449,1.4007,0.0421,0.4507,23.6437,1.5745,5.2852,1.2274,4.2725,14.1193,0.0842,279.6344,5.1592,21.1095,6.4371,11.3677,2.8803,5.9342,5.6311,42.0991,28.6779,141.0198,3.6357,3.688,0
EGY_C13T15,1.0224,0.7075,8.9885,0.5946,0.252,10.4166,754.9575,5.8675,5.5998,0.2852,3.8419,4.2766,5.1498,2.3558,9.6688,3.0558,0.9708,1.5844,0.3345,12.0716,0.482,124.0793,0.0181,0.6494,21.4192,3.8137,7.9477,3.2371,3.805,15.7465,0.2549,80.8529,2.3791,9.2807,2.8057,4.7819,1.2225,16.6418,8.9548,19.543,10.1442,36.5228,1.5264,18.1881,0
EGY_C16,27.7286,0.222,9.094,4.0605,2.6216,67.0722,7.4051,69.2206,2.3961,0.1894,8.6905,17.5596,1.4677,20.8881,19.3977,8.9343,1.3903,12.9121,1.0153,3.3498,0.2967,475.8931,0.0233,0.3432,255.3698,20.0302,5.3648,0.446,0.5599,18.8238,0.1024,8.5136,0.8391,2.7586,0.8362,2.3683,0.5137,2.5045,2.2517,5.9114,4.2481,11.0985,0.3899,4.8228,0
EGY_C17_18,4.2758,0.0921,46.1671,5.9545,14.3372,133.538,6.0477,1.0418,439.3537,0.1293,1.8371,5.7872,0.9015,5.5829,1.7999,5.7935,1.2306,5.9577,1.4383,2.5979,0.0789,4.1132,0.1077,2.9904,25.0199,48.5148,13.8124,2.7436,1.6888,42.7573,3.0575,66.6758,0.5848,1.3178,0.3763,39.3931,46.3887,92.6275,19.1802,18.9823,92.4624,199.9539,4.6368,20.5954,0
EGY_C19,814.6864,89.7559,320.3887,33.0439,8.7574,947.3554,157.1675,110.2709,82.2196,20.3865,324.1063,206.9131,202.3569,559.5916,290.7661,62.4912,14.3197,106.1174,11.5183,32.8457,2.5103,62.5053,1003.405,149.3934,609.2221,1235.9735,1349.4074,534.5931,643.7975,548.4404,2.8811,883.4431,32.026,117.6106,29.6701,48.374,20.9247,102.72,101.3157,127.4952,83.3108,506.407,51.2763,166.867,0
EGY_C20,968.6722,1.4179,97.5632,9.7596,1.6322,64.5447,316.9357,211.4674,108.4068,28.2077,566.2079,424.25,417.5757,137.2573,151.8316,89.7591,29.7515,208.2542,18.9908,55.5956,3.5444,108.4254,5.0037,8.7596,31.3538,18.8612,8.8994,2.722,4.7976,9.8258,0.0707,118.9483,2.2785,9.3224,2.7636,5.4563,14.5972,1.6754,15.7549,21.0328,13.5489,286.0795,3.3787,40.2656,0
EGY_C21,0.7661,0.1765,3.496,2.1112,0.74,3.5163,48.1326,12.2645,5.9804,1.5973,44.1517,29.7079,38.0341,7.253,23.9641,11.8405,2.9409,23.2219,2.665,4.1257,0.2576,12.035,0.0044,0.4474,5.0857,0.1667,0.556,0.0428,0.4489,1.463,0.009,0.9068,0.5314,2.2063,0.674,1.3048,0.7506,0.1582,0.4758,6.2483,5.5922,26.9625,0.4611,0.7161,0
EGY_C22,14.2278,0.1029,3.3922,14.4329,9.4621,234.6254,29.7027,2.8579,2.5994,0.6259,36.1948,66.6484,7.9496,74.4247,8.5062,16.8452,4.4693,34.0206,2.3545,1.9443,0.0795,5.8517,0.0453,1.181,157.5991,70.2938,3.1999,0.095,0.2466,5.4668,0.2117,26.3118,0.4229,1.1876,0.3365,0.5936,2.9188,2.0855,2.3905,3.6728,1.4885,21.5439,0.2249,8.7937,0
