V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_A01_02,3227.288,15.9677,0.2982,2.2375,0.0463,21083.4575,332.4596,314.586,504.0122,5.2119,119.0167,41.7145,247.9825,7.5876,9.4563,13.8948,3.9021,5.9827,7.8309,18.4815,15.0405,21.3555,52.8431,18.7695,146.5179,1365.1259,8.2793,0.5184,1.6817,32.5252,1.9628,1261.4572,7.9307,23.5946,5.0379,33.3822,37.2492,60.9132,94.1084,176.2193,76.2132,159.8133,190.5149,10.0645,0.0
ESP_A03,0.0207,27.1238,0.0038,0.0197,0.0006,151.5754,0.1365,0.0033,0.0577,0.2804,1.0914,1.5554,0.2352,0.0718,0.1374,0.1351,0.2766,0.3145,0.448,1.4546,1.3894,0.3432,0.4709,0.0368,0.0771,1.2514,0.0274,0.0045,0.0247,0.1223,0.0184,174.7398,0.0712,1.3968,0.857,0.0546,0.031,2.2751,0.1501,3.8256,6.8383,8.4664,0.0866,0.3754,0.0
ESP_B05_06,0.841,0.187,0.0186,0.3487,0.0373,0.4299,0.0496,0.0536,0.1052,67.2385,4.3398,0.0406,0.4738,0.3288,9.261,0.1059,0.0137,0.0535,0.1193,0.1982,0.0629,0.1005,276.1964,0.255,2.1559,2.6425,4.5668,0.221,2.6847,0.6476,0.0462,0.8032,0.6335,0.0859,0.0555,0.3639,0.327,0.2801,0.421,0.8208,0.3362,0.286,0.966,0.123,0.0
ESP_B07_08,2.7609,5.9533,0.5021,36.1957,0.965,29.8,1.8777,0.5448,47.1272,0.6756,191.1653,7.0862,13.0954,483.3635,679.5266,10.0558,0.2505,3.5052,7.7718,4.2119,0.6448,8.7436,1.8892,16.4458,897.7822,12.7183,1.2208,0.0195,0.2106,7.719,0.0146,7.4722,2.7482,0.6537,0.3029,0.9176,0.7016,6.1321,1.2764,12.7524,0.5921,2.2961,2.0026,0.4821,0.0
ESP_B09,0.2003,0.0197,0.2229,1.1436,0.147,0.1791,0.0063,0.0057,0.156,8.4273,0.4914,0.0122,0.0405,1.1024,2.2573,0.1984,0.0007,0.0114,0.0381,0.0101,0.0101,0.0208,3.8944,0.1487,4.7503,0.0751,0.1896,0.002,0.0175,0.2015,0.0005,0.036,0.0009,0.0,0.0009,0.0008,0.1685,0.2321,0.0893,0.1368,0.0071,0.0491,0.0162,0.0158,0.0
ESP_C10T12,7363.9089,121.5658,2.6011,17.8017,0.2557,23638.9993,222.8939,29.405,232.6695,45.7695,536.7533,207.7712,84.2038,64.2032,67.9106,79.8129,26.9698,54.78,55.1567,122.9597,60.785,67.4754,304.2908,70.165,280.2737,1981.4396,82.6283,4.7039,31.6561,212.077,12.7694,16234.9021,70.0683,116.1561,111.8208,207.1598,152.602,518.604,425.1286,512.8854,315.435,946.0963,249.0464,104.325,0.0
ESP_C13T15,26.0202,30.1088,1.0419,0.9953,0.0717,110.5236,2738.5885,20.7528,106.16,2.3405,99.6503,24.4544,155.3287,14.3452,48.7616,46.4859,4.9972,24.1355,28.8199,433.9581,38.6866,92.5957,15.9315,24.4776,340.2294,264.2313,5.9219,0.248,11.3535,16.49,0.9148,381.9535,71.4784,16.4521,2.8716,6.6748,3.5925,204.9624,70.1116,69.7463,28.7198,124.3998,70.9648,168.2809,0.0
ESP_C16,69.9989,8.6296,10.5836,15.129,0.0676,311.2864,11.545,1096.7705,66.0089,1.2263,74.564,15.2589,37.9627,58.7061,49.6763,76.0704,7.9062,54.9741,25.5082,66.5615,51.3926,541.8124,27.2062,95.55,761.6917,211.9849,7.5333,0.5701,1.1256,96.6902,0.9725,214.0325,57.7216,8.9208,5.8748,13.0033,9.4293,144.7238,120.9531,26.3668,12.5272,81.5339,24.421,48.7323,0.0
ESP_C17_18,54.4427,2.2669,0.5811,6.0647,0.1199,1251.0804,61.2324,56.2952,3585.0703,7.389,305.0988,227.9948,286.9158,106.0066,42.0722,98.2223,33.6515,73.2044,33.1733,144.711,46.4711,99.19,114.6995,539.5614,112.4098,571.0594,19.4003,1.0749,4.0175,75.9095,8.3962,211.3232,1127.5988,55.889,677.363,312.4184,39.0453,2114.9006,355.9698,224.1982,188.7233,181.6666,153.3008,144.6514,0.0
ESP_C19,432.6746,90.2232,7.4783,69.547,2.8443,160.18,22.4046,26.0031,57.5132,2232.1269,1704.6491,90.1285,120.4677,54.1306,134.7689,54.2327,6.1491,31.9075,30.7587,92.5457,31.3555,30.5307,2517.179,120.9477,192.2716,748.3062,2191.2591,107.5205,1292.8669,174.8958,17.7907,201.3035,37.9052,26.0096,9.5934,89.9503,20.0651,187.0834,131.4461,198.0337,110.5298,170.2749,15.613,54.1352,0.0
