V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_A01_02,1142.6546,0.46,0.1611,0.5383,0.0254,1695.3553,0.9852,1935.2663,1650.5853,0.5072,6.7535,2.1591,31.9257,0.9829,1.0228,0.9551,17.7926,4.1808,6.9642,0.6458,1.5449,4.1422,63.8059,0.7649,31.9781,39.8648,5.7388,3.3122,3.9944,2.682,1.5489,109.0085,8.5049,1.1143,9.455,2.6714,20.2652,20.2548,15.8347,36.9141,23.6365,48.0495,7.4486,4.9695,0.0
FIN_A03,0.2342,26.0013,0.0263,0.0685,0.0,27.98,0.0484,0.1197,0.4552,0.1912,0.4118,0.0724,0.1677,0.1683,0.1921,0.2989,1.6326,0.3387,1.2074,0.0671,0.0626,0.1039,0.4721,0.0936,0.9435,0.2298,0.0966,0.1831,0.263,2.0928,0.0455,46.035,0.3022,0.6094,1.485,1.2823,2.2661,2.7823,2.5196,3.2082,2.1251,5.1298,0.765,1.3012,0.0
FIN_B05_06,2.5517,0.0048,0.081,0.0749,0.0052,0.4263,0.0508,6.8881,3.5392,0.2415,0.2891,0.0238,0.0868,0.4447,0.2571,0.1645,0.3308,0.0861,0.2829,0.0341,0.0382,0.4365,389.0404,0.0576,9.1042,0.5995,0.2273,0.0341,0.0491,0.1304,0.0341,0.1595,0.1912,0.0616,0.2599,0.2105,0.3304,0.2712,0.1402,0.4566,0.1585,0.3362,0.1166,0.2185,0.0
FIN_B07_08,2.0451,0.0107,18.8576,71.702,2.9624,3.6267,0.511,0.7566,193.6882,0.8039,112.0601,0.1491,1.0437,168.7472,201.1128,3.8974,4.6209,0.5562,0.9224,0.1512,0.1223,0.7536,206.8343,0.5038,277.0541,1.1609,0.4428,0.071,0.0955,0.2714,0.0673,0.3511,0.432,0.1093,0.5782,0.38,0.3102,0.4208,0.3583,1.3642,0.5055,0.7308,0.2159,0.2716,0.0
FIN_B09,0.1441,0.0106,0.9145,2.9577,0.3288,0.1173,0.0024,0.0356,1.1773,22.0692,0.6056,0.0101,0.0442,1.3345,3.8158,0.2492,0.0123,0.0234,0.1882,0.0021,0.0016,0.0394,3.9962,0.0999,9.1403,0.0798,0.2538,0.0198,0.0284,0.2101,0.001,0.0153,0.0011,0.0,0.0015,0.001,0.3142,0.3276,0.1444,0.2218,0.0104,0.0896,0.0203,0.0313,0.0
FIN_C10T12,472.3475,0.2662,0.0052,0.0114,0.0007,1645.3962,0.4467,3.8889,90.2299,0.0105,332.7204,1.4909,0.7509,0.2258,0.0048,0.0336,0.029,0.0345,0.099,0.0725,0.0052,2.097,14.9081,4.1505,48.8645,11.7886,4.6358,10.7279,7.0287,82.9758,2.2285,979.996,15.7195,30.8777,75.4018,63.4919,131.3647,151.9689,113.843,106.6287,67.2733,158.861,35.1634,90.8643,0.0
FIN_C13T15,0.9838,0.0548,0.0646,0.2353,0.0052,2.7868,61.2383,1.4103,6.476,0.5572,1.0503,3.8759,10.1023,9.0748,0.3333,1.2977,0.8655,1.3692,2.7119,0.7876,2.0875,18.3253,1.6703,18.5741,29.061,16.7502,1.4958,4.5129,0.5329,4.4506,0.1036,2.796,4.5335,1.1277,6.1818,8.4484,4.2274,29.1923,23.5763,9.0022,3.4123,27.6372,1.7092,10.3331,0.0
FIN_C16,10.0892,0.1252,4.9125,1.9658,0.7366,12.3275,1.4202,728.1618,430.3177,13.2945,5.8932,1.1504,2.78,7.7008,14.3475,12.6216,6.1427,2.9179,9.5689,1.563,2.8265,85.895,220.875,4.5196,1966.9821,46.483,10.666,3.6912,7.3529,8.0968,0.7675,3.9573,4.5695,3.1462,6.9045,8.0541,38.8106,40.1489,13.3149,12.0554,7.584,7.5016,4.403,22.3895,0.0
FIN_C17_18,35.8424,0.6371,1.5893,6.2702,0.1589,212.0713,9.357,56.2683,2557.7952,25.1447,56.3141,11.5904,45.8702,22.4048,22.4274,20.2787,45.1508,14.9342,49.8523,6.408,6.6556,26.269,39.7263,25.5099,164.6496,457.3648,27.0629,9.4274,11.3867,44.6554,8.4307,30.8813,603.3501,31.2461,82.646,57.2611,77.3918,143.2959,132.6333,122.5467,71.7175,167.6535,105.0077,52.38,0.0
FIN_C19,163.1741,6.0749,3.7648,15.6198,0.354,4.6723,0.3156,3.8258,20.038,1083.9767,40.7501,0.5729,9.3725,17.9994,45.0462,2.052,13.5939,3.2671,7.1329,0.7229,6.3595,9.002,97.9563,42.6078,189.4835,53.3576,813.0036,193.1375,384.2944,114.3336,10.5597,5.1248,4.8555,2.3569,6.1968,45.1913,220.0633,26.1081,39.0861,106.3347,24.1762,56.1161,35.1193,32.1096,0.0
FIN_C20,187.3316,0.1185,6.2387,24.9548,0.8019,61.4557,27.9984,48.4661,488.252,135.7424,1021.5699,20.0228,310.8394,42.9046,40.3354,26.0027,50.8732,31.6471,24.7861,8.3729,11.6641,14.6507,75.6496,56.3381,128.9877,37.7702,6.8687,2.8769,4.0466,30.9428,1.1362,5.5893,14.0892,3.2365,11.335,7.6491,5.1457,38.2343,44.4557,33.2418,7.7075,79.3746,14.3826,48.8032,0.0
FIN_C21,3.6384,0.0269,0.1523,1.1918,0.0204,3.2934,1.5685,1.5699,4.9528,1.3476,14.7271,13.2277,1.0005,0.7556,0.9645,1.7827,35.5357,1.5993,4.8583,0.5276,3.5415,33.7982,2.5954,4.5383,39.7884,13.7287,2.0461,1.0949,1.2212,2.741,0.6197,4.8641,5.1277,1.213,6.715,10.4407,1.662,24.9073,11.2245,24.1313,10.4278,284.5463,8.6614,3.5418,0.0
FIN_C22,3.0001,0.047,0.668,1.7594,0.0817,126.6004,2.6141,25.7471,77.5514,10.9049,35.9738,23.9173,137.3861,23.9977,5.8281,29.9102,21.7412,33.101,77.2489,14.5838,9.5952,42.3492,9.8996,5.5059,621.6882,44.9059,82.5675,1.2888,1.9115,24.2131,0.5586,2.9797,5.7048,2.4313,5.562,7.0741,4.6737,15.626,76.0757,29.21,6.6725,35.2895,6.4778,24.6156,0.0
FIN_C23,8.4252,0.0456,8.4929,34.2132,1.2951,11.0326,1.6431,23.2205,43.4957,3.1811,28.838,1.2303,14.4316,280.8651,77.2818,42.5871,17.142,17.8205,21.2639,8.7505,10.2645,11.0039,40.2878,5.2941,1394.372,99.3606,4.7518,2.1443,2.1621,2.4351,1.1029,2.8076,6.1559,2.631,11.9984,6.7191,3.6577,29.5418,12.6757,16.6445,2.653,19.7214,2.524,11.5279,0.0
FIN_C24,0.0,0.0,0.0106,0.0293,0.0018,1.0643,2.5804,13.0966,20.3898,6.8509,4.6634,0.3062,42.1429,79.9319,2109.7433,1208.3498,22.1484,290.5148,549.5005,75.5734,166.384,78.6962,0.9952,4.6427,98.181,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0044,0.0085,0.0,0.8492,0.0
FIN_C25,27.5521,0.0963,1.6345,4.4541,0.2296,53.4899,1.5585,50.9675,18.2472,16.4819,17.9218,2.4807,45.038,58.2947,171.2991,887.2249,60.2924,202.6062,1204.243,49.8245,143.8289,140.904,16.5444,20.7707,1320.9139,35.1616,11.2234,3.5279,5.8922,86.2168,1.3368,6.5714,9.5586,22.8939,17.3778,15.2434,14.212,45.2717,32.3403,98.1106,31.1091,16.6865,9.9874,24.2226,0.0
FIN_C26,104.8141,0.3243,0.9699,3.6052,0.1527,50.039,4.4183,19.0666,73.3935,18.2697,37.1376,11.5578,14.4851,13.5533,23.0106,19.0441,640.4756,95.2445,146.5486,7.7064,20.1293,57.8148,49.1757,15.9148,183.367,328.134,31.15,14.2259,36.272,34.0588,18.096,31.4508,111.2444,76.1253,351.2383,203.9413,29.1982,279.6093,99.6768,307.3675,66.7205,147.0837,48.5822,51.2388,0.0
FIN_C27,11.892,0.1189,0.4204,1.4163,0.0609,14.2475,1.1861,7.342,15.6608,5.4253,8.9069,2.2104,6.2809,5.6946,5.7173,13.2765,104.2871,348.2631,130.1722,6.4867,20.6077,126.6463,9.2567,16.1161,397.7651,75.8376,13.3718,3.8031,5.1235,7.0532,1.6707,6.7657,12.9878,6.1393,18.9666,12.1255,5.8306,51.0626,31.3954,54.7442,19.1294,37.0786,10.1317,14.4112,0.0
FIN_C28,80.1427,1.1086,9.0247,22.5863,1.0403,101.0625,7.1987,31.162,152.3716,61.3456,48.8726,9.0069,21.8925,42.8296,58.8034,101.3267,200.6809,119.5083,1564.6683,146.0824,58.7998,131.4727,155.8412,161.9394,609.9714,275.2795,86.3356,47.0593,86.5171,51.5492,13.1632,29.1603,63.039,34.1563,90.9574,40.9307,21.9088,164.4539,73.9952,303.1507,26.4722,72.3598,21.8727,32.1988,0.0
FIN_C29,2.9782,0.0068,0.0734,0.2266,0.0111,1.4838,0.1061,0.5867,1.4879,0.687,1.684,0.2495,1.9488,0.7471,1.4617,6.2979,8.0655,3.1199,71.4278,59.0162,2.8791,3.0224,1.0139,1.1014,17.4817,85.2201,19.9401,0.3418,0.4527,12.5857,0.1712,0.418,0.9649,1.319,1.5555,0.6795,0.4562,3.0297,3.284,9.1829,0.5514,1.164,0.3297,0.5326,0.0
FIN_C30,0.0,1.4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115,0.0004,0.0,0.1002,0.0393,0.8143,0.1011,1.1777,57.4628,97.027,0.0,0.0,0.0,0.5571,1.8705,4.744,0.9919,1.3419,0.0,0.0,0.0014,0.0,0.0,0.0,0.0094,0.0816,5.9671,87.4871,0.0582,0.0088,0.0031,0.0,0.0
