V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T
FRA_A01_02,13273.2311,0.0,0.7467,3.808,0.0169,25499.6062,140.3652,5410.4837,831.1341,0.0,114.2655,0.0,153.5565,0.0,0.0,0.0,0.0,0.0,8.0127,0.0,0.0,7.7718,196.7269,8.2026,3241.9984,9.7124,0.0,0.0,0.0,0.0,0.0,475.1546,50.0187,0.0,0.0,18.3116,0.0,22.1673,17.0132,1506.5395,118.2688,15.6108,142.2871,96.3325,0.0
FRA_A03,0.2975,26.4418,0.0,0.0,0.0,602.8609,4.1301,0.0,0.0,0.0,2.9444,3.6549,4.1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,7.4148,1.1619,44.9359,0.0,0.0,15.4284,0.0,0.0,0.0,335.1845,2.3337,0.2895,0.0,0.0,0.0,0.6515,0.8136,0.3022,0.0,47.379,2.7947,9.5262,0.0
FRA_B05_06,0.3775,0.0129,0.0355,0.0181,0.0077,0.9552,0.0535,0.0026,0.0602,179.1868,3.1605,0.0464,0.0122,0.0504,2.0949,0.0202,0.0111,0.008,0.0195,0.0577,0.0285,0.0899,116.7517,0.0755,0.328,0.8623,0.8259,0.238,0.5898,0.1261,0.0104,0.2018,0.0578,0.0638,0.0528,0.0502,0.0225,0.2488,0.2631,7.9459,1.0399,0.0871,0.0688,0.0608,0.0
FRA_B07_08,154.0058,33.025,0.0,28.8134,0.2846,250.689,12.2334,1.04,70.6415,10.5968,717.3302,11.0181,28.3637,649.0529,627.702,64.7728,14.9136,13.0464,15.7782,9.4142,8.2529,28.2303,53.1738,17.1897,939.9212,26.589,0.7463,0.4626,1.89,1.4506,0.8904,53.6238,0.9883,3.9848,1.7751,7.4056,0.3177,23.2886,22.8513,0.0,0.0,13.6411,2.9701,8.589,0.0
FRA_B09,0.1317,0.0061,0.0452,0.6473,0.0215,0.1237,0.0042,0.0012,0.0906,4.5519,0.3673,0.0101,0.0284,0.6728,1.1081,0.1316,0.0022,0.006,0.0296,0.004,0.0105,0.0361,2.7358,0.0696,4.6231,0.066,0.1397,0.0071,0.0128,0.1124,0.0005,0.0138,0.0009,0.0,0.0009,0.0011,0.1839,0.2539,0.163,0.1322,0.006,0.0531,0.0119,0.0119,0.0
FRA_C10T12,4896.2637,51.4178,0.7315,19.8874,0.013,19968.8859,242.8537,6.5555,82.9972,44.6429,1462.9469,263.4204,50.8455,29.076,65.4367,58.2857,38.4727,26.0849,45.4683,65.5189,9.0276,129.8756,29.0874,88.8131,258.8856,1825.632,53.788,75.3671,194.9274,97.4934,30.4683,16033.5029,328.9252,186.7766,159.9161,51.7836,85.2464,1420.0094,836.2031,381.8664,2082.4612,2319.3985,944.204,191.4803,0.0
FRA_C13T15,49.8258,2.3948,0.1933,0.7865,0.0135,166.2772,2944.5325,9.638,268.839,10.8353,76.071,35.9042,69.4314,15.0729,23.0209,33.0047,59.8634,26.6966,64.5884,217.5164,46.6485,263.6564,9.2437,26.4705,253.5219,805.5964,9.031,30.9902,10.4868,26.823,6.6147,149.5431,301.7463,57.9357,6.3093,16.0695,31.8605,108.878,117.4778,59.5509,48.213,217.5857,95.5278,69.1462,0.0
FRA_C16,457.0364,25.4795,0.0,28.869,0.0214,311.38,9.5595,449.5237,214.3074,1.2663,51.0834,47.5,59.8114,220.9471,68.8792,95.6169,49.3972,28.7068,73.3259,349.2638,73.3286,832.3979,2.1232,74.0029,3409.9687,294.1961,2.9966,14.1048,4.1043,72.1635,0.9497,58.1915,224.6471,90.0827,11.6768,5.2796,163.4779,32.7357,138.3732,5.8151,34.526,31.1375,113.4664,77.3992,0.0
FRA_C17_18,95.6361,7.154,0.0,16.9526,0.0251,1031.2636,126.4781,12.13,2706.3857,19.9309,408.4415,295.38,178.7813,121.7159,19.686,51.2748,98.1402,68.4164,67.0664,59.5628,24.7514,173.5854,19.7799,164.2599,256.5498,1714.4972,27.0621,26.7268,7.8472,130.1896,7.7783,124.066,3360.1836,303.0085,206.8932,1198.4333,216.3073,2441.587,1075.5356,734.7945,546.3854,387.6246,525.4805,277.3389,0.0
FRA_C19,1199.5912,41.1201,0.3202,57.4635,0.6985,365.8554,42.9648,8.3051,81.4727,1040.0482,2435.141,31.8953,38.8457,154.2075,137.2318,64.0738,35.2494,25.553,62.0355,85.1039,6.7854,103.825,260.775,185.8014,1031.7887,2291.7586,2617.782,751.8574,1854.8741,385.8694,23.0656,84.5866,173.3111,161.0275,149.2594,159.5308,67.9568,709.7845,597.1164,382.8742,114.1668,125.3421,186.4817,100.1474,0.0
FRA_C20,2831.0957,101.3241,0.6027,50.9356,0.321,603.8381,346.0296,17.6075,618.6125,330.5138,5911.9051,1012.8511,3249.1954,156.0864,232.5794,525.8313,100.2321,259.5681,237.7947,436.4994,114.9004,552.2366,1285.7079,83.881,1180.3517,675.714,24.2685,27.6084,10.6472,27.3549,7.6283,118.8723,264.0433,46.1145,68.7409,17.1436,351.9523,425.9957,240.9441,131.8106,102.028,375.7005,132.3235,80.5424,0.0
