V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T
HRV_A01_02,285.0479,7.2149,0.4877,0.0332,0.0331,643.157,4.6655,118.1516,45.5258,2.4442,7.5004,3.33,3.7685,2.6205,0.6015,3.0128,1.4874,1.6659,1.6957,0.4216,1.8301,2.3192,12.75,2.1612,8.5808,141.4071,13.4431,0.6496,1.9635,5.1865,0.4066,12.1863,1.9073,1.2484,3.3164,8.3455,4.7092,20.047,13.0632,12.4428,4.4386,5.0161,7.9049,7.6944,0.0
HRV_A03,3.8315,20.3682,0.1061,0.0087,0.0075,41.035,0.8772,0.2698,0.4339,0.4642,0.4507,0.5238,1.4442,1.3327,0.1363,0.7068,0.3359,0.6647,0.4772,0.1772,0.5539,0.5572,1.4219,0.3331,2.1242,6.8726,0.7833,0.1436,0.0698,0.2681,0.0883,3.2753,0.2505,0.2296,0.1719,1.085,0.3263,1.5129,0.5699,1.8784,0.4813,0.781,0.2419,0.3309,0.0
HRV_B05_06,0.0146,0.2988,43.1382,1.0137,6.6168,18.9214,0.0046,0.0144,0.0007,218.5163,0.8314,0.0111,0.0322,0.0,0.9908,0.0174,0.0013,0.0436,0.0,0.0003,0.0003,0.0029,37.5264,0.2984,4.2687,0.607,0.2119,0.3573,0.0,6.6422,0.0,0.2893,0.0058,0.0081,0.0,0.0,1.1582,16.4141,0.2081,0.1532,0.0,0.0563,0.0003,0.1028,0.0
HRV_B07_08,0.4864,0.0844,2.6092,0.7787,0.0807,0.8703,0.0175,0.0425,0.1927,0.0,0.0424,0.0682,0.035,1.9673,0.043,0.0898,0.0212,0.0936,0.0179,0.0051,0.0308,0.0334,0.008,0.3954,9.8314,0.207,0.0135,0.0121,0.0,0.245,0.0,0.0587,0.0002,0.0003,0.0004,0.0004,0.0461,0.6027,0.0101,0.092,0.0025,0.0203,0.01,0.1584,0.0
HRV_B09,0.0,0.0413,4.6846,0.0002,1.4361,2.6488,0.0006,0.0021,0.0001,29.3224,0.118,0.0016,0.0046,0.0,0.1374,0.0024,0.0002,0.0062,0.0,0.0,0.0,0.0004,2.7801,0.031,5.2803,0.5518,0.206,0.0508,0.0,0.961,0.0,0.0402,0.0,0.0,0.0,0.0,0.1676,2.297,0.03,0.0,0.0,0.0081,0.0,0.0146,0.0
HRV_C10T12,196.9993,2.649,0.0015,0.0003,0.0,277.532,34.0405,0.1071,2.5753,0.0723,34.4193,15.7092,0.5975,0.3618,0.0811,0.1509,0.0242,0.1054,0.0864,0.0089,0.0425,0.0708,0.8286,0.0957,7.3499,119.5136,0.506,3.0275,0.1791,7.2933,0.0096,541.4886,0.2865,0.0039,0.075,1.5571,0.5936,28.9891,23.9448,0.2929,34.0941,29.65,21.3224,5.0807,0.0
HRV_C13T15,3.1813,0.039,0.0181,0.0003,0.0003,3.7093,151.0845,0.1076,1.2385,0.1454,0.2793,0.4982,3.1273,8.8114,0.7728,1.0465,0.6738,2.0744,0.9209,0.4818,1.2339,9.6337,0.6717,13.7732,21.3705,20.6373,5.2684,0.9814,1.9845,9.4028,2.5481,7.6216,0.1147,11.021,0.7639,9.9715,8.848,27.1625,13.1044,206.6562,9.2954,18.2242,9.6897,6.3418,0.0
HRV_C16,2.4835,0.201,0.2319,0.002,0.0039,9.2286,1.6319,110.3276,2.7934,0.2405,1.4495,0.7344,3.2614,4.4595,0.6851,8.4498,0.7797,3.4644,2.5197,0.2724,1.9634,12.5685,6.1642,0.3138,9.5174,8.3961,0.8037,0.1168,0.0547,6.6542,0.0551,1.2276,0.163,0.229,0.1485,1.3806,18.0118,1.8948,0.5815,1.868,1.2628,3.1576,3.8848,2.566,0.0
HRV_C17_18,8.4754,0.7531,0.2222,0.0344,0.0084,100.697,8.2082,7.3951,202.102,2.9643,24.4193,15.2343,7.8987,8.8415,0.6187,7.3196,2.5222,4.6016,3.9352,0.3061,5.6873,4.8798,9.5302,1.6535,5.2587,27.2575,2.1761,0.5413,0.0555,3.9472,2.3752,42.183,29.7692,3.8079,1.5356,11.7843,2.3403,22.5093,6.2464,14.0588,8.2894,8.6331,11.6036,37.3525,0.0
HRV_C19,20.007,1.9267,10.1288,0.098,0.2981,15.6504,3.5874,1.4744,1.1094,41.1096,3.3231,1.4776,1.4517,5.5112,2.8501,5.7468,0.6355,2.927,1.7222,0.5241,1.29,3.4009,383.2375,5.4185,20.8405,165.7281,40.8319,28.4323,12.8135,8.3016,4.4543,5.9982,1.2044,11.5119,3.9335,6.2,1.3978,53.7395,14.6279,43.766,2.0725,3.9869,2.4264,5.8412,0.0
