V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_A01_02,1842.8545,4.8033,0.186,0.2752,0.1159,2800.0116,6.6947,100.4375,8.3866,8.1016,124.8119,10.2478,62.6156,4.5431,3.3999,5.1521,4.4364,3.848,9.604,20.3155,0.5426,12.574,36.2857,10.4639,47.6576,560.2006,9.4174,0.6188,3.6709,13.6811,0.3715,94.4782,7.2683,3.5596,1.6098,3.0589,19.8714,17.9872,34.3323,16.2828,4.1747,20.1156,5.41,11.6515,0.0
HUN_A03,0.9463,2.7912,0.0001,0.0002,0.0002,1.7085,0.0056,0.0013,0.0034,0.0098,0.037,0.0338,0.0212,0.003,0.0027,0.009,0.0089,0.006,0.016,0.0713,0.0006,0.0074,0.0189,0.0102,0.1878,0.258,0.016,0.0137,0.0002,0.0326,0.0017,5.6595,0.0233,0.0106,0.0162,0.0173,0.0732,0.093,0.1136,0.0667,0.0093,0.0286,0.1585,0.0351,0.0
HUN_B05_06,0.3137,0.0007,0.0302,0.0085,0.0014,0.3268,0.0313,0.018,0.0823,9.8364,0.7395,0.0898,0.0787,0.2505,0.5258,0.0826,0.0537,0.0493,0.1211,0.26,0.0164,0.0348,2.4774,0.1102,0.843,0.4733,0.188,0.0036,0.0043,0.2521,0.0131,0.2283,0.029,0.0338,0.0242,0.0627,0.3608,0.2325,0.2698,1.0086,0.377,0.4391,0.17,0.0975,0.0
HUN_B07_08,7.1444,0.0161,0.0381,0.3428,0.3085,1.9931,0.5442,0.7247,2.0443,0.2335,11.1656,0.3304,2.6185,27.3354,5.2916,1.2359,0.8974,2.6192,2.8302,4.1322,0.1376,1.5601,1.0988,1.4062,45.218,3.8731,1.2525,0.0746,0.005,1.0341,0.0078,0.1494,0.0649,0.0411,0.5141,0.0179,11.6408,3.4992,1.3752,2.2615,1.516,1.4275,1.2966,1.6157,0.0
HUN_B09,0.2355,0.0005,2.2263,0.0349,0.9597,0.2545,0.0196,0.1453,0.0833,37.3901,0.7214,0.1178,0.516,0.2345,1.6426,0.0778,0.0743,0.0738,0.4225,1.1347,0.0468,0.5962,2.8995,0.2062,4.1713,0.5267,0.1996,0.0054,0.0239,0.1585,0.0122,0.1871,0.0489,0.0297,0.042,0.0552,0.1657,0.5508,0.3054,0.4094,0.1876,0.5636,0.2302,0.0754,0.0
HUN_C10T12,534.5058,1.6905,0.1261,0.1394,0.1293,896.5993,4.2349,1.7359,10.1578,8.2335,89.5341,13.0855,12.0107,3.4717,3.5228,4.6935,3.6257,4.0731,6.0091,14.6216,0.5131,8.8947,9.1309,5.6194,10.4372,128.0695,5.0029,1.1965,4.2124,3.0607,0.395,786.3392,3.9525,0.9885,1.2907,2.6626,9.8792,16.3026,29.9624,14.0735,3.2648,66.9037,5.7122,6.4077,0.0
HUN_C13T15,1.8059,0.0193,0.0668,0.0757,0.038,3.5506,134.6212,0.4126,4.0502,0.3857,1.1456,1.2785,23.7071,2.2092,1.0657,1.3142,4.2113,3.2873,6.7473,61.2657,0.2836,26.163,0.9758,2.0021,8.7025,10.9792,2.2702,0.0647,0.1821,0.9358,0.3496,2.3028,0.2983,0.4865,0.7712,0.6359,1.6062,3.4739,3.2714,2.6776,0.8091,6.3749,5.0649,10.696,0.0
HUN_C16,15.5325,0.0233,0.0318,0.0631,0.0264,9.8328,1.5277,86.8413,2.1817,0.6805,8.8119,0.6736,7.0564,10.9154,2.5115,11.8946,2.5034,7.8881,10.0401,22.889,0.4857,61.7361,34.877,1.6562,113.2326,28.9344,5.2517,0.2516,0.5878,1.5983,0.1182,1.0573,0.2113,0.8355,0.1805,0.3745,11.3827,7.8856,4.9921,1.4607,0.3621,1.8093,1.1841,3.4846,0.0
HUN_C17_18,11.3497,0.0435,0.0404,0.1638,0.0194,111.7922,2.9801,6.3931,356.6058,0.8314,36.3115,22.3479,28.7143,9.0051,1.821,7.6674,21.9651,21.1829,10.7843,22.6052,0.6442,16.7037,1.3983,1.8499,5.6001,215.1445,7.7966,0.0872,0.4332,5.0892,3.9555,7.5533,152.4016,2.2828,5.8175,50.7026,39.3485,31.7922,29.7991,56.2175,16.1632,6.2354,11.6648,9.3411,0.0
HUN_C19,152.9148,0.967,0.7005,3.4099,2.3722,62.6797,5.9848,6.092,10.5182,206.5063,320.9687,13.4208,35.125,33.1804,63.5676,13.0569,8.0501,12.5828,18.1589,37.0014,1.4736,11.8759,53.6943,26.6826,89.6841,181.9608,567.658,25.4563,183.1266,47.5601,3.3363,16.8789,2.4731,4.8752,4.4479,9.2308,20.8562,30.4364,31.4033,23.6586,8.3205,23.957,9.206,13.1432,0.0
