V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_A01_02,818.8264,69.0054,0.6987,0.0922,0.0025,2858.9829,0.2607,127.8881,0.0352,0.3249,2.2905,8.3138,0.1383,0.1404,0.0669,0.242,0.5725,0.098,0.265,0.0628,0.0287,0.7276,4.835,0.0836,56.1914,9.3525,0.1386,1.1483,0.3677,0.1882,0.0435,10.285,0.1478,0.1277,0.4486,0.3026,1.5539,0.8715,0.3309,3.1226,0.421,10.4748,0.2088,1.3413,0.0
IRL_A03,0.0,50.8423,0.0004,0.0001,0.0,4.117,0.0,0.0,0.0,0.0,0.0003,0.0024,0.0001,0.0001,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.2151,0.0,0.0,0.0,0.0009,0.0,0.0331,0.0,0.0,0.0,0.0149,0.0001,0.0,0.0,0.0001,0.0009,0.0,0.0,0.0,0.0,0.0073,0.0,0.0047,0.0
IRL_B05_06,0.0001,0.0,0.1634,0.1486,0.0009,0.2618,0.0052,0.0199,0.0204,89.8623,0.0394,0.1094,0.0551,0.2632,0.6928,0.0648,6.1502,0.004,0.0768,0.0016,0.0003,0.0431,6.6652,0.0096,0.0534,0.1161,0.0245,0.0112,0.0003,0.0043,0.0002,0.0049,0.0006,0.0,0.0013,0.0003,0.0001,0.0024,0.012,0.1159,0.1111,0.9956,0.0013,0.0037,0.0
IRL_B07_08,25.0287,0.0177,0.0785,76.8322,0.0947,19.5201,0.0445,0.0406,0.1602,5.9835,4.4985,60.0369,1.0223,71.9647,64.9443,0.6466,1.4756,0.2625,0.4651,0.0193,1.3713,108.7012,0.1275,1.2955,87.6659,6.1051,1.0069,0.4964,2.2995,0.5015,0.0473,0.6175,0.4297,0.1737,2.3202,0.1797,0.0297,0.4826,0.603,1.4635,0.1553,0.584,0.3772,0.6263,0.0
IRL_B09,0.0095,0.0029,0.0454,0.1344,0.0061,0.0172,0.0001,0.0002,0.002,5.6107,0.0292,0.0201,0.0012,0.0362,0.0284,0.0047,0.0009,0.0002,0.0024,0.0,0.0016,0.0026,0.0963,0.0015,0.1666,0.0037,0.004,0.0001,0.0026,0.0024,0.0,0.0004,0.0,0.0,0.0005,0.0001,0.0044,0.0055,0.0071,0.0051,0.0001,0.0026,0.0013,0.0005,0.0
IRL_C10T12,528.3374,5.9195,0.1168,2.0226,0.0302,2320.06,4.4226,5.8927,6.0795,1.8575,178.5187,254.151,13.1807,4.0054,6.2957,2.8826,35.364,0.2063,0.87,0.8708,0.1893,10.9898,23.3618,1.9859,24.9018,148.474,11.3272,0.7914,15.3316,2.4614,2.7466,432.136,12.2296,3.2134,78.8744,7.03,0.1172,30.899,16.2284,33.1211,5.9293,32.8612,11.483,33.1128,0.0
IRL_C13T15,3.1527,1.6123,0.0402,0.0978,0.0032,0.6757,33.1931,0.3485,0.6761,0.1659,2.7274,6.8731,0.404,0.2789,0.0547,0.0888,2.8067,0.0484,0.1186,0.0482,0.0329,16.078,0.1629,0.2104,9.4098,9.6402,0.2999,0.0379,1.0405,0.1353,0.2089,0.899,0.35,0.287,4.3946,0.4901,0.0422,1.3924,2.118,13.7421,0.6028,5.8594,0.5049,1.3289,0.0
IRL_C16,0.456,0.0107,0.0084,0.012,0.0015,3.4779,0.0473,9.5811,0.6082,0.491,0.1674,0.9542,1.8622,0.6126,0.0479,0.5109,0.7963,0.0539,0.2049,0.0469,0.0153,55.4336,0.0741,0.0493,27.052,0.8875,0.1295,0.0157,0.1611,0.0498,0.0238,0.1862,0.3163,0.1157,1.4073,0.4084,0.0576,0.6034,0.8953,0.2133,0.4645,0.373,0.1141,0.2467,0.0
IRL_C17_18,4.4813,0.1465,0.0147,0.1352,0.0063,48.1852,0.9717,1.3043,121.8975,0.8106,7.0967,27.6745,2.2747,1.9338,0.4821,1.4561,8.0263,0.6697,0.6347,0.3851,0.2439,17.3135,0.9342,4.1206,9.3073,39.9787,1.774,0.1238,0.9634,2.8119,0.3726,1.2105,226.3098,5.2789,55.127,50.7338,2.0444,34.5633,15.4954,46.9653,52.02,17.9041,10.2805,4.0421,0.0
IRL_C19,159.9347,15.6829,0.397,5.8434,0.2838,84.3889,0.1792,7.5056,4.7694,1203.6674,19.3693,884.9579,41.8029,39.0644,21.157,72.7664,1632.1662,64.3005,377.8183,12.3865,20.6217,307.2671,50.0722,7.7469,234.0379,119.1837,114.4474,24.3655,371.9512,15.7428,4.8591,26.619,9.4569,88.0034,244.7856,25.6849,0.9056,33.1504,44.4319,44.1906,25.8427,300.342,11.1312,23.7499,0.0
