V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_A01_02,75.3512,0.0487,0.0872,0.1056,0.0155,493.9985,0.0449,0.3387,0.0056,0.084,1.6515,0.0376,0.2072,0.2111,0.0241,0.0467,0.0141,0.0243,0.0218,0.0132,0.0157,0.1571,0.0455,0.0383,0.2461,1.9799,0.0274,0.0,0.0,0.0627,0.0001,49.7146,0.0704,0.0814,0.0283,0.0386,0.275,0.0282,0.0223,8.1561,0.4829,0.3968,0.2851,0.1555,0.0
JOR_A03,0.0,0.2097,0.0,0.0,0.0,0.1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0
JOR_B05_06,7.8826,0.0,6.2221,5.9703,0.8224,5.8051,0.4904,0.622,0.3156,292.6254,0.0179,0.6452,36.2883,32.8533,1.3005,0.7323,1.2694,4.9692,4.7891,2.0543,2.5348,4.4398,43.2124,0.8753,17.6444,21.2349,23.8634,0.0479,1.3529,0.5756,0.0017,1.4984,1.5922,4.6808,1.107,2.4209,1.1412,1.0565,1.2929,0.0001,3.7244,2.4894,1.0026,1.7871,0.0
JOR_B07_08,0.0005,0.0,0.0564,0.1474,0.0135,10.9271,0.0032,0.0154,0.0015,0.0,199.9205,0.774,0.1091,26.7165,0.0198,0.5895,0.0008,0.0023,0.0071,0.0,0.0,0.1209,0.0,0.0238,16.1142,0.1529,0.0085,0.0,0.0,0.4127,0.0018,0.0,0.0,0.0001,0.0033,0.0,0.0552,0.0086,0.0118,2.9416,0.0115,0.0,0.1538,0.2748,0.0
JOR_B09,0.0,0.0,92.402,0.5668,20.8721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1635,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR_C10T12,202.1883,0.2468,0.751,0.7828,0.1264,1182.9158,0.2178,0.0244,0.2975,0.086,9.5539,1.4584,0.5512,1.5772,0.2442,0.4225,0.1425,0.352,0.4362,0.1366,0.2105,0.7159,0.2309,0.2905,3.1875,5.8935,0.8003,0.0011,0.0341,0.2142,0.0064,157.8516,0.5502,0.8572,0.1783,0.3879,0.5281,0.426,0.3608,24.8047,4.7737,22.375,8.3796,1.048,0.0
JOR_C13T15,1.8264,0.0694,1.7515,1.852,0.2419,5.1518,199.3828,0.1599,1.1206,0.0345,0.3205,1.6572,5.5227,0.1975,0.0892,0.1245,1.1926,2.1282,2.5058,1.5353,1.7143,3.4535,0.043,0.1127,2.7936,4.8412,0.1056,0.0028,1.9589,0.881,0.0154,7.0837,0.3104,0.5715,0.1767,0.512,0.1102,0.3272,1.8748,45.4515,4.2911,10.7731,2.1219,1.7309,0.0
JOR_C16,0.8115,0.0001,0.0423,0.0602,0.0106,0.2835,0.2613,16.3787,30.7099,0.0027,0.1509,0.0168,0.1793,1.0762,1.0429,0.8369,0.6268,1.1494,0.9399,0.5273,0.5908,4.9531,0.0017,0.2466,16.5108,1.7034,0.0114,0.0375,0.0031,0.1168,0.0001,0.0743,0.1399,0.1714,0.0473,0.0181,0.1317,1.1039,0.1709,1.0169,0.7684,0.3106,0.2472,0.1101,0.0
JOR_C17_18,1.9301,0.0009,0.1143,0.0735,0.0075,15.2071,0.6073,0.0256,147.2543,0.2705,6.0825,8.2215,7.1598,4.1479,1.545,3.8435,1.9876,5.6935,2.9965,1.3751,0.6955,3.9753,0.7252,1.4951,4.3208,13.2638,0.7195,0.0733,1.0234,2.079,0.3427,18.4647,6.759,1.8609,1.3468,9.4541,0.6644,12.689,3.7444,46.4746,27.887,4.6467,1.8297,0.7279,0.0
JOR_C19,42.5821,0.0949,13.7161,17.6828,1.2485,132.5395,4.1155,0.5012,11.4915,111.3332,33.2549,5.8481,4.658,37.644,12.576,12.2635,1.0429,3.5122,3.0374,1.4013,1.0889,3.404,198.6481,10.3383,59.2558,86.9797,339.1973,3.5927,419.5024,6.3314,1.3722,25.3127,6.297,19.7196,3.3932,4.2851,2.5947,2.9135,13.3867,92.9328,46.2337,23.072,7.0742,4.5225,0.0
JOR_C20,10.9479,0.0174,1.0557,1.5601,0.1762,6.5386,0.8834,0.1422,4.8659,1.0862,111.6767,24.8164,59.1433,3.0653,4.7761,3.5916,4.5157,15.2702,5.2631,4.4643,3.0324,9.3204,1.1923,5.5677,21.3184,10.8808,0.2002,0.0187,0.3966,0.2959,0.0288,4.6774,0.459,0.1584,0.1849,0.1165,3.3112,3.5864,0.2406,0.5156,2.7951,10.2413,0.5593,6.5924,0.0
JOR_C21,11.6389,0.0023,0.0303,0.0228,0.0043,2.7833,0.0535,0.0005,0.0571,0.0001,10.3525,174.6982,0.9036,0.0335,0.0293,0.0529,0.4387,0.5837,0.5249,0.2685,0.3308,1.0275,0.0051,1.6698,0.0731,3.6357,0.0569,0.0,0.0015,0.056,0.0003,0.5715,0.1044,0.1667,0.0526,0.1811,0.046,0.2936,0.1451,5.3791,0.5774,123.7335,0.1876,0.4555,0.0
JOR_C22,13.1409,0.0022,1.0027,0.9705,0.1048,44.5706,4.962,0.0356,5.615,1.3387,29.8978,7.8452,42.5328,1.9226,0.4628,1.6887,1.2613,4.1479,2.9429,1.8386,0.3859,2.0739,8.5071,2.0717,74.9339,48.3225,16.4884,0.0361,4.362,0.503,0.1861,4.0715,1.9462,3.1196,0.7868,2.4099,2.2025,0.891,1.0946,7.1359,3.7232,3.7889,0.7295,2.3797,0.0
JOR_C23,0.1562,0.0,0.3574,0.6781,0.0928,3.7338,1.0098,0.5502,0.011,0.303,11.2119,1.1255,0.4233,357.8823,1.38,3.8389,0.6239,1.7377,0.8487,0.6237,0.3056,1.0117,0.0912,1.8936,562.0456,3.1054,0.2421,0.0,0.0002,0.0652,0.0,0.1585,0.1035,0.201,0.0452,0.2618,0.0842,0.1741,0.1837,10.3609,0.4985,0.1722,0.4095,0.7815,0.0
JOR_C24,1.7803,0.0011,1.9256,2.7964,0.477,4.2102,0.3525,0.3472,0.846,0.2037,0.7375,0.3031,1.9202,0.2412,54.0404,92.5758,3.4799,19.4692,11.1357,5.92,2.735,5.1815,4.7966,6.8921,120.7048,7.9697,2.5147,0.0027,0.2509,5.696,0.5495,0.1151,0.1241,0.1749,0.0378,0.1336,0.4658,0.1123,0.1084,6.9873,0.0886,0.6849,0.206,1.993,0.0
JOR_C25,1.7242,0.0001,1.7372,2.425,0.3729,84.7821,0.7536,0.6648,0.8274,6.3485,6.4067,9.301,0.7505,4.8861,15.9419,95.8381,3.3826,11.0972,10.3304,4.9791,3.2586,6.2083,5.4577,6.3392,125.5359,9.2094,1.9121,0.1547,10.456,5.2064,0.3968,4.8756,0.1233,1.4963,0.3677,0.1562,0.4085,0.2153,0.2381,11.682,4.4697,2.7077,0.3285,2.7941,0.0
JOR_C26,0.6684,0.0004,0.2249,0.0002,0.0,0.7594,1.7556,0.0556,1.3229,0.0023,0.0,0.0165,0.0261,0.001,0.447,2.1779,7.3797,4.125,2.4837,1.0639,0.9022,1.4159,0.0,1.199,20.8136,1.8965,0.0661,0.0049,0.2093,1.0553,0.0367,0.0009,0.0948,0.5244,0.5284,0.0545,0.1028,0.1378,0.1141,0.0,0.0355,3.0002,0.4593,0.9561,0.0
JOR_C27,0.3754,0.0002,0.2044,0.1579,0.0243,5.8897,0.6994,0.0625,0.5435,0.4215,0.759,0.6272,0.0666,0.3229,1.2765,7.1754,0.9865,6.1346,2.3836,0.8737,0.5646,0.874,23.5727,0.9015,83.3404,1.3549,0.2344,0.0202,0.6931,0.7577,0.0262,0.3227,0.0525,0.3012,0.3844,0.0304,0.079,0.0768,0.0655,1.5503,0.2844,0.3707,0.3255,0.7454,0.0
JOR_C28,0.8609,0.0,0.7721,0.6271,0.0933,10.0784,1.2959,0.0246,1.1951,1.2699,2.8244,2.4834,1.6992,1.7075,0.9457,1.9168,0.6269,1.6581,6.8678,1.3177,0.9367,1.326,23.8534,1.0629,44.8123,4.0165,0.5299,0.0007,0.4829,1.0762,0.0064,0.3608,0.153,1.7089,0.2799,1.1891,0.0983,0.241,0.2165,0.8563,0.6368,3.1407,0.1471,0.2906,0.0
JOR_C29,0.3899,0.0002,0.1517,0.124,0.0118,0.8994,1.0481,0.0027,0.7756,0.0356,0.037,0.0564,0.0038,0.0273,0.3819,1.5971,0.2277,0.3287,0.9591,5.9108,0.3588,0.56,0.024,0.7632,19.2525,4.7915,3.1456,0.2157,1.8999,0.8962,0.0532,0.0271,0.0952,0.3368,0.061,0.0432,0.0694,0.0929,0.0818,6.6243,0.0335,0.402,0.0729,0.1567,0.0
