V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_A01_02,8876.1914,1.0654,7.6755,9.7493,0.8245,5625.2616,212.2684,61.2663,17.1248,1.2455,1.9559,63.9536,0.4593,4.6143,3.5703,0.1081,0.0094,0.008,0.0184,0.0111,0.3274,1.615,12.1767,0.2296,44.9129,144.6168,5.9946,1.0514,0.1852,131.3995,0.081,970.2716,4.5737,2.1116,2.9614,170.1522,334.4205,59.733,75.3178,1833.8508,141.4335,334.982,313.7882,45.7764,0.0
KAZ_A03,4.0967,0.0086,0.0863,0.0486,0.0103,4.779,0.0038,0.0058,0.0032,0.0859,0.0097,0.0027,0.0042,0.0168,0.1123,0.0065,0.0008,0.0023,0.0044,0.0019,0.0021,0.0117,0.03,0.0174,0.1643,0.0312,0.078,0.2132,0.0032,0.0325,0.001,0.2955,0.0015,0.0102,0.001,0.0049,0.0224,0.4528,1.4634,2.1598,4.5944,10.9156,2.3517,0.0024,0.0
KAZ_B05_06,13.1419,0.1058,13899.7705,208.2116,287.7381,7.6252,0.1436,0.542,8.539,5567.9962,627.2992,0.5031,395.3206,434.7046,69.377,0.0596,0.0263,3.4252,0.0665,0.7715,0.0354,48.2277,2010.7145,38.4217,240.788,440.4919,4825.7665,0.4002,0.293,9.1509,19.9921,0.9691,0.3954,4.0172,0.1195,1.1705,14.9635,10.5964,19.1926,89.5398,2.8711,2.9047,33.2956,1.9981,0.0
KAZ_B07_08,1.6696,3.5748,61.4656,1195.8081,4.3956,0.8916,0.0197,0.2406,0.0128,0.885,780.5648,0.045,0.8117,327.4297,11922.7942,1.624,0.0059,0.0233,0.0678,0.0152,0.2032,18.5066,3.1192,8.402,726.7172,21.1309,37.1481,0.0345,0.188,2.7536,0.3334,0.1938,0.066,1.604,0.0558,3.6758,111.7176,29.5242,9.9607,4.7355,31.706,4.4594,1.1801,0.9396,0.0
KAZ_B09,0.1979,0.0014,3616.3633,732.0448,147.3645,0.1006,0.0029,0.004,0.0124,0.0251,0.1622,0.0094,0.0074,0.2,0.1207,0.0186,0.0009,0.002,1.001,0.0199,0.0054,0.0345,1.4342,0.5947,108.4132,5.4092,1.2841,0.1913,0.0117,0.8791,0.0017,0.0203,0.0661,0.1445,0.0538,0.2437,1.7851,166.6009,1.9208,0.0938,0.6653,1.4941,1.0384,0.0518,0.0
KAZ_C10T12,1645.9779,65.9552,18.9104,25.1124,22.0666,2276.0417,13.9898,0.2787,18.1099,0.9082,1.7274,19.0669,0.2472,4.982,5.7134,0.6407,0.052,0.0745,0.094,0.299,0.0904,1.0292,32.6617,2.3689,79.4027,1764.6271,28.6937,0.2208,13.8947,165.8577,1.1429,1352.0999,144.8511,3.5237,66.3591,9.3533,90.5504,194.2632,113.537,20.0271,785.287,179.5453,363.076,37.1975,0.0
KAZ_C13T15,3.7063,8.0971,19.5106,12.2533,1.0234,4.4988,85.8398,0.0228,0.7573,0.1996,0.132,1.1901,1.8998,5.2747,0.6655,0.3701,0.012,0.0592,1.4966,0.0254,0.1278,7.3153,5.7431,3.2419,22.0996,90.6754,34.564,0.9757,28.3414,5.829,8.0081,23.6544,3.2044,2.6767,1.8635,1.2323,3.5762,44.6796,54.4235,7.838,6.6299,34.6699,61.0473,15.0256,0.0
KAZ_C16,1.3723,0.1107,2.3455,0.5364,31.1361,0.7591,0.0431,1.0413,0.0308,0.0164,0.0115,0.0306,0.3681,0.846,0.1394,0.395,0.0021,0.0055,0.0159,0.4236,0.2193,18.9972,1.2314,0.1544,34.6915,2.8262,1.4902,0.0041,3.346,6.028,0.2036,2.6413,0.0118,1.2449,0.0066,0.2728,64.7767,18.8319,1.8949,2.9412,0.8777,0.1315,5.9534,2.1952,0.0
KAZ_C17_18,0.3787,0.3445,3.8123,1.1571,0.1698,21.0853,0.0605,0.67,22.5394,0.013,0.03,1.9951,0.0388,0.6247,0.1214,0.009,0.0078,0.006,0.0045,0.0002,0.001,0.2337,2.5142,0.0224,28.417,441.824,3.4334,0.0689,0.5169,3.9596,36.9592,4.3708,67.8037,2.9283,30.6018,24.0309,13.8823,68.1763,7.8025,28.9051,75.6115,3.2678,3.4889,0.4552,0.0
KAZ_C19,99.5081,30.8365,374.1349,299.6723,7.3145,31.095,0.0698,28.402,0.4702,0.7416,2.9924,0.479,0.0238,88.0533,571.8267,0.0942,0.0634,0.0446,0.0876,0.3119,0.0222,7.7567,235.2665,9.2466,200.4455,918.784,3056.0395,24.3929,165.5038,151.2651,3.8917,0.6979,1.143,5.1799,0.9893,85.4901,561.0206,49.7233,61.8376,224.264,7.3301,147.7674,35.8475,61.7583,0.0
