V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_A01_02,191.6073,0.0123,0,0.4664,0.1363,254.6501,0.4009,9.3845,1.7342,0.0011,4.263,0.8454,3.1995,0.2399,0.0138,0.0258,0.0,0.0,0.0,0.0159,0.0145,0.5597,12.7563,6.6618,20.83,45.3828,2.7617,1.5861,0.6792,1.0885,0.1866,213.7772,1.2745,0.6508,0.0388,0.0771,2.5169,0.3164,0.3677,5.3857,1.4254,12.0726,3.3172,4.8939,0
KHM_A03,127.6225,140.7171,0,0.1787,0.0451,99.485,0.1807,3.5365,0.5058,0.0,1.403,0.4662,1.2162,0.0904,0.0054,0.0094,0.0,0.0,0.0,0.0052,0.0077,0.0859,4.6329,2.2088,0.0032,17.0934,0.7778,0.6946,0.4391,0.2579,0.083,80.6485,0.9969,0.2368,0.0197,0.0287,0.0036,0.0451,0.2154,0.0052,0.7952,5.2434,1.3835,1.7837,0
KHM_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KHM_B07_08,2.3967,0.0128,0,0.1707,0.0249,1.3245,0.1243,0.0127,0.1599,0.6435,0.0637,0.0041,0.0836,7.6765,8.7097,4.3444,0.0001,0.0003,0.0013,0.0012,0.0013,0.0286,13.1021,5.3788,6.8323,0.2692,0.3293,0.0334,0.1023,0.0925,0.2033,2.2124,0.8647,0.6412,0.1226,0.1571,9.1633,0.766,0.4309,1.4513,0.2039,0.1175,0.7556,1.8095,0
KHM_B09,1.9989,0.0107,0,0.1433,0.1052,0.6661,0.0293,0.0168,0.0674,0.2061,0.0225,0.0005,0.0484,0.771,2.4619,2.202,0.0,0.0,0.0007,0.0005,0.0005,0.0559,8.6559,2.8884,1.4992,0.1128,0.1499,0.0148,0.0229,0.0386,0.2795,0.5757,0.6499,0.0,0.0217,0.1292,7.1516,0.4864,0.093,1.3125,0.1659,0.1734,0.2527,0.5935,0
KHM_C10T12,9.7359,0.0855,0,0.0505,0.0059,167.3689,0.4802,0.0259,1.5381,0.0001,0.0717,0.0114,0.1142,0.0655,0.8006,1.3881,0.0001,0.0002,0.0065,0.0742,0.0835,0.5573,1.2093,0.8571,9.2605,18.1326,1.84,1.0409,1.0424,0.5975,0.2737,69.7532,0.6159,0.8535,0.124,0.0741,3.0509,0.302,0.2929,1.5763,0.3834,0.2591,0.492,0.7343,0
KHM_C13T15,17.0948,0.1498,0,0.0068,0.0014,41.0435,1133.954,0.0383,38.0794,0.0066,0.2772,0.0468,37.2337,0.1004,2.0874,4.7144,0.0001,0.0002,0.0128,0.1385,0.1194,5.1374,1.6979,1.9289,39.1415,36.141,10.2502,2.3567,3.9445,3.1784,0.6748,50.8668,5.0292,1.562,14.4636,0.0002,0.0088,26.7324,17.8145,25.6298,5.7123,0.1296,0.5225,1.9254,0
KHM_C16,8.1752,0.0391,0,0.0138,0.0016,0.2956,0.3801,5.9049,0.0007,0.006,0.0001,0.0,0.0005,0.0004,0.0063,0.0202,0.0,0.0,0.0,0.0646,0.0498,0.3111,0.4327,0.1213,1.2675,2.1962,0.0143,0.0039,0.0021,0.0093,0.0,1.38,0.0147,0.0,0.8342,0.0,0.0,2.3739,0.9257,0.0018,0.0,0.0006,0.0236,0.0637,0
KHM_C17_18,0.009,0.0,0,0.0047,0.0007,0.4742,0.6484,0.0201,6.1576,0.0092,0.0957,0.0232,0.036,0.0176,0.3006,0.9132,0.0001,0.0003,0.0079,0.0292,0.0222,0.6537,0.2236,0.1963,1.8597,1.3785,0.467,0.0659,0.1132,0.2421,0.0765,3.4475,2.0498,0.222,0.0256,0.0303,0.0087,0.0623,0.112,2.2555,0.6367,0.0213,0.0418,0.0756,0
KHM_C19,13.4793,0.0726,0,0.949,0.1125,4.3001,0.0343,0.3547,0.0001,0.7839,0.0229,0.0011,0.1134,0.2374,0.1789,0.2428,0.0006,0.0022,0.0,0.0842,0.0715,0.2623,5.5933,1.3337,0.4596,6.0175,10.3433,1.798,3.4936,0.7116,0.0386,0.6527,0.1997,0.0659,0.0518,0.1052,0.2834,0.1235,0.306,1.3291,0.0965,0.0849,0.2159,0.3825,0
KHM_C20,36.5386,0.0397,0,0.5215,0.0814,0.7237,0.308,0.1756,0.0291,0.2838,3.0878,0.2065,6.2311,0.4589,0.1102,0.181,0.0001,0.0002,0.0034,0.0254,0.0153,0.1887,0.1013,0.2925,0.1424,2.1076,0.023,0.0045,0.0051,0.0091,0.0202,0.0567,0.0537,0.0574,0.0244,0.1517,2.0066,0.1818,0.0538,0.0658,0.1021,4.1467,0.045,0.187,0
KHM_C21,4.0919,0.0135,0,0.0205,0.002,0.0845,0.0139,0.0088,0.0007,0.0257,0.1734,0.4761,0.144,0.0148,0.0053,0.0081,0.0,0.0,0.0002,0.0008,0.0008,0.0078,0.0046,0.0137,0.0046,0.1792,0.0016,0.0008,0.0006,0.0007,0.0032,0.0048,0.0028,0.0087,0.0029,0.0198,0.1138,0.1626,0.003,0.0227,0.0204,5.8228,0.01,0.0197,0
KHM_C22,2.6109,0.0101,0,0.0208,0.005,41.4084,2.685,0.3608,2.9303,0.042,0.6566,0.1098,7.2184,1.1585,2.0599,8.1954,0.0007,0.0024,0.059,1.608,0.86,1.7631,0.9006,1.1748,17.3168,36.0895,11.1181,0.71,0.8297,1.7148,0.0038,5.9378,0.6249,0.0088,0.0724,0.0023,0.0029,0.1918,0.3356,2.5368,0.005,0.1261,0.1517,0.3522,0
KHM_C23,0.0425,0.0002,0,0.2358,0.0466,11.9715,0.0003,0.0075,0.0001,0.0103,1.0399,0.2233,1.1416,0.9195,0.0687,0.1428,0.0001,0.0002,0.0012,0.2877,0.1526,0.3549,1.048,0.526,9.8221,2.5292,0.4577,0.0991,0.129,0.203,0.0001,0.2307,0.0331,0.0007,0.0307,0.0,0.2498,0.102,0.0709,0.0676,0.0185,0.0034,0.0504,0.1393,0
KHM_C24,0.0004,0.0,0,0.0,0.0,0.5506,0.0531,0.0065,0.064,0.039,0.0107,0.0006,0.0327,0.0165,6.758,6.9677,0.0,0.0001,0.0024,0.0997,0.0604,0.2949,0.1787,0.2506,30.3168,0.4587,0.9402,0.2225,0.2681,0.2958,0.0001,0.1909,0.0305,0.001,0.0,0.0,0.0,0.0,0.0045,0.004,0.0008,0.0594,0.0215,0.0462,0
KHM_C25,0.0044,0.0,0,0.0,0.0,2.6372,0.3231,0.0422,0.3163,0.1803,0.0444,0.005,0.1863,0.1316,2.63,18.7858,0.0001,0.0003,0.0194,1.42,1.0511,4.0645,1.4629,1.2782,87.3252,3.3801,5.9511,1.2089,0.9255,2.6596,0.0012,0.9624,0.1907,0.0069,0.0,0.0,0.0003,0.0063,0.3624,0.7763,0.0232,0.3517,0.1522,0.2532,0
KHM_C26,0.0006,0.0,0,0.0002,0.0001,0.0012,0.0002,0.0003,0.0001,0.0026,0.0003,0.0001,0.0001,0.0,0.0002,0.0011,0.0,0.0,0.0008,0.0007,0.0007,0.0052,0.0039,0.003,0.0051,0.0115,0.0023,0.0005,0.0008,0.0011,0.0006,0.0075,0.0028,0.0156,0.0006,0.0017,0.0002,0.0005,0.0004,0.0071,0.0026,0.0035,0.0015,0.005,0
KHM_C27,0.0012,0.0,0,0.0005,0.0001,0.0021,0.0004,0.0008,0.0002,0.0066,0.0005,0.0001,0.0002,0.0001,0.0009,0.0026,0.0,0.0001,0.0026,0.0026,0.0017,0.0123,0.0098,0.0051,0.0363,0.0174,0.0054,0.0008,0.0007,0.0017,0.0005,0.0154,0.0029,0.0118,0.0003,0.0012,0.0005,0.0006,0.0004,0.0058,0.0019,0.0026,0.0018,0.0057,0
