V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_A01_02,49.0614,0,0,0.005,0,123.5284,0.4104,2.9462,0.1966,0,2.2932,0.5086,34.2098,0.3404,0.8981,0.3283,0.0404,0.0202,0.2675,0.0241,0.0058,0.1363,2.4206,0.0152,1.9989,1.4965,0.2783,0.0592,0.3765,0.1759,0.0228,4.3647,0.0513,0.039,0.2042,0.7084,0.769,1.3976,0.5768,0.3087,0.1274,1.2286,0.3269,0.7165,0.0
LUX_A03,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B05_06,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_B07_08,0.0159,0,0,0.6191,0,0.0227,0.1207,0.0,0.0197,0,1.2059,0.015,0.7232,34.606,29.3956,0.4268,0.0126,0.0156,0.1777,0.0052,0.0016,0.0383,3.5979,0.1858,11.1454,0.0,0.494,0.0012,0.0089,0.0365,0.0014,0.0047,0.0,0.0,0.0,0.0,0.1812,0.0234,0.0205,0.0044,0.0002,0.0,0.0,0.0005,0.0
LUX_B09,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C10T12,17.5092,0,0,0.1031,0,50.131,0.1603,0.1554,0.6144,0,21.6647,3.8249,17.3305,2.8599,9.8572,2.7048,0.2901,0.1987,2.9021,0.1629,0.0263,0.5066,0.0094,0.0716,49.4609,6.4612,0.1056,1.5763,15.6269,2.3572,0.4497,148.3455,0.0725,0.071,0.0,0.0035,5.8754,10.5372,12.8919,2.2257,0.8241,46.8817,2.0666,0.6369,0.0
LUX_C13T15,0.3855,0,0,0.036,0,0.6321,127.326,0.1147,0.5953,0,0.5711,0.1842,58.554,2.9865,6.5417,2.5914,0.2411,0.1659,2.5036,1.0357,0.0867,1.8321,0.1905,0.0708,5.1397,19.1425,1.0413,0.1564,1.934,0.4132,0.4595,0.2739,0.1003,0.0429,0.1241,0.0087,0.8668,3.7498,3.6001,1.0331,0.0472,2.4048,0.282,2.1528,0.0
LUX_C16,0.1414,0,0,0.1784,0,0.7617,0.5669,22.7266,0.5745,0,0.5381,0.0412,12.7472,5.5615,12.2195,4.8186,0.1687,0.2281,2.3581,0.4508,0.1956,3.7398,0.5193,0.0699,62.2996,3.0312,0.1471,0.0203,0.1914,0.3795,0.0596,0.0528,0.0322,0.0127,0.054,0.0419,3.5783,1.0009,0.8658,1.2505,3.2268,0.1012,0.0177,0.2034,0.0
LUX_C17_18,0.0026,0,0,0.0127,0,2.0652,0.1143,0.0871,15.1131,0,0.8861,0.4342,18.3071,3.6615,5.4943,2.3031,0.4892,0.2528,2.222,0.1515,0.0224,0.3306,0.0623,0.0201,0.7503,66.5591,0.5901,0.0542,1.6661,0.7118,1.7454,0.0489,2.5964,0.0853,25.9549,1.0173,2.8102,5.9662,8.8797,0.5062,0.1162,0.2055,0.0615,0.2013,0.0
LUX_C19,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX_C20,0.7632,0,0,0.1048,0,0.4123,7.215,3.7777,0.6593,0,8.3171,0.5714,131.3538,4.2034,11.7738,2.9946,0.3175,0.3444,1.6648,0.2044,0.0407,0.2619,0.0365,0.1203,3.17,3.0035,0.0616,0.0143,0.2514,0.0771,0.0237,0.0481,0.2449,0.0084,0.3941,0.087,0.513,0.9427,0.5783,0.136,0.0216,0.3718,0.0582,0.3164,0.0
LUX_C21,0.1116,0,0,0.0,0,0.174,0.0,0.0023,0.0118,0,0.5546,3.8485,2.6309,0.0914,0.4302,0.0795,0.013,0.0124,0.1259,0.0064,0.0009,0.0151,0.0023,0.0,0.0049,0.7636,0.0,0.0036,0.056,0.009,0.0111,0.0164,0.0026,0.0011,0.1188,0.0,0.0284,1.0231,0.0857,0.0,0.0068,17.852,0.0243,0.2155,0.0
LUX_C22,0.0068,0,0,0.4338,0,19.2138,220.0824,1.6047,7.2052,0,14.1722,3.7153,1891.9624,45.7935,75.7698,48.3303,11.0614,9.918,84.6148,16.9165,0.9102,8.1993,0.0226,0.0,112.0386,189.0126,16.9617,0.2993,11.1328,3.7687,2.0641,0.1974,12.7277,0.1217,13.9825,0.0769,9.7544,4.7371,10.8746,0.1254,0.0136,1.4075,0.0153,0.1467,0.0
LUX_C23,0.0034,0,0,0.2129,0,1.1288,0.864,0.1204,0.039,0,0.6951,0.2873,20.0139,100.4419,33.1231,6.5087,0.7338,0.5713,3.3734,0.611,0.1038,0.4006,1.037,0.0,127.8644,5.7783,2.2365,0.0282,0.3043,0.1677,0.0247,0.1888,0.0421,0.0021,0.4646,0.0017,4.0143,1.2428,0.5402,0.0022,0.062,0.1276,0.0884,0.124,0.0
LUX_C24,0.0006,0,0,0.0146,0,0.0765,0.0683,0.0214,0.0678,0,0.1748,0.0182,11.1171,5.0396,540.1892,93.7435,1.065,2.435,41.4434,2.6538,0.4169,1.3445,0.0011,0.0051,13.5877,2.1328,0.1753,0.0205,0.1356,0.1403,0.0054,0.0073,0.0097,0.0006,0.1524,0.0004,0.3013,0.5652,0.2092,0.0072,0.001,0.0048,0.0023,0.0111,0.0
LUX_C25,0.1111,0,0,0.74,0,0.9695,1.1902,0.3569,0.1582,0,0.6208,0.0833,20.0341,4.851,53.7334,58.9035,1.1795,1.3147,28.7306,2.0656,0.3682,1.9084,4.5081,5.0468,25.3411,8.4026,1.7748,0.0554,0.5527,0.4014,0.0641,0.4629,0.211,0.9071,1.1835,0.0049,1.0661,10.5586,1.283,3.0242,0.891,1.2621,0.5152,0.8871,0.0
LUX_C26,0.0084,0,0,0.0268,0,0.0573,0.2232,0.1301,0.1549,0,0.088,0.0313,2.8758,0.4384,2.6515,1.5891,15.5291,1.1433,6.1394,0.5146,0.1024,0.8251,0.4849,1.0109,1.8315,7.4882,0.2916,0.0233,0.7211,0.1933,0.1963,0.0038,0.3253,1.5831,22.8186,1.7953,0.3318,4.3383,1.1928,0.7621,0.1322,6.3433,0.0779,0.3182,0.0
LUX_C27,0.0005,0,0,0.0446,0,0.0476,0.0028,0.0094,0.0263,0,0.0718,0.0093,2.3594,0.5178,4.8276,2.0461,1.8915,3.8802,8.4477,0.7264,0.0896,0.8849,0.1124,0.0059,23.1864,3.7276,1.0405,0.0271,0.3417,0.1609,0.0504,0.4581,0.067,0.0016,2.0631,0.0121,0.5297,2.6673,0.6052,0.2745,0.0111,0.0281,0.0128,0.0823,0.0
LUX_C28,3.5686,0,0,2.0475,0,0.8274,4.8721,1.6352,0.5126,0,0.8664,0.1491,22.3866,8.3044,39.9646,15.182,1.6929,1.6702,137.093,3.133,0.6864,5.1219,6.5508,1.1771,27.8654,19.598,10.2843,0.1813,2.3805,0.9737,0.2209,0.0009,1.2166,2.3749,4.4928,0.5353,1.2285,10.3029,4.7813,0.0699,0.3716,4.4519,0.6497,1.2527,0.0
LUX_C29,0.0006,0,0,0.0022,0,0.0235,0.0,0.0,0.0055,0,0.0149,0.002,0.8403,0.227,0.6013,0.3735,0.0238,0.0357,1.3486,4.5668,0.0239,0.2438,0.003,0.0091,0.5431,3.0091,0.0558,0.0093,0.3795,0.1331,0.0787,0.0,0.0062,0.0,0.1454,0.0003,0.06,0.1659,0.6982,0.0333,0.0011,0.0017,0.0026,0.0063,0.0
